#{"t_start": 1752848709.831235, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.967057
19.0,19,0.974057
41.0,41,0.990057
12.0,12,0.995057
19.0,19,1.002057
10.0,10,1.006057
16.0,16,1.013057
12.0,12,1.017057
13.0,13,1.022057
24.0,24,1.031057
32.0,32,1.04406
15.0,15,1.049075
18.0,18,1.058077
10.0,10,1.063075
19.0,19,1.076074
19.0,19,1.091075
21.0,21,1.108074
62.0,62,1.154582
12.0,12,1.164583
28.0,28,1.188582
21.0,21,1.205582
10.0,10,1.213582
12.0,12,1.223582
21.0,21,1.241585
13.0,13,1.253089
17.0,17,1.267089
31.0,31,1.292089
58.0,58,1.340091
12.0,12,1.350597
19.0,19,1.366597
23.0,23,1.384597
35.0,35,1.415597
11.0,11,1.425596
16.0,16,1.438599
13.0,13,1.449104
15.0,15,1.462104
13.0,13,1.473104
29.0,29,1.497104
11.0,11,1.506104
11.0,11,1.515104
50.0,50,1.556611
12.0,12,1.565611
21.0,21,1.583611
39.0,39,1.616611
12.0,12,1.626611
38.0,38,1.658118
12.0,12,1.669117
14.0,14,1.681118
14.0,14,1.693118
17.0,17,1.706118
21.0,21,1.723117
21.0,21,1.74112
26.0,26,1.761625
16.0,16,1.774625
15.0,15,1.786625
23.0,23,1.804625
18.0,18,1.818625
38.0,38,1.849133
15.0,15,1.862133
12.0,12,1.872133
39.0,39,1.903133
78.0,78,1.966174
38.0,38,2.000174
18.0,18,2.014174
17.0,17,2.027174
24.0,24,2.045176
51.0,51,2.084682
28.0,28,2.106682
10.0,10,2.114682
21.0,21,2.132682
17.0,17,2.146684
25.0,25,2.167188
21.0,21,2.186188
13.0,13,2.197188
8.0,8,2.203188
18.0,18,2.219188
21.0,21,2.236194
14.0,14,2.248194
10.0,10,2.257261
20.0,20,2.274261
22.0,22,2.294262
23.0,23,2.315311
11.0,11,2.325311
13.0,13,2.336313
53.0,53,2.380353
25.0,25,2.402354
36.0,36,2.435355
15.0,15,2.447356
22.0,22,2.466445
13.0,13,2.477445
24.0,24,2.497445
15.0,15,2.509444
28.0,28,2.531445
51.0,51,4.083203
44.0,44,4.120203
26.0,26,4.140205
28.0,28,4.16071
25.0,25,4.17971
39.0,39,4.20971
22.0,22,4.22871
11.0,11,4.236713
38.0,38,4.267218
11.0,11,4.276217
18.0,18,4.293217
40.0,40,4.325216
18.0,18,4.340219
68.0,68,4.397726
22.0,22,4.415725
27.0,27,4.436727
38.0,38,4.468233
33.0,33,4.495232
16.0,16,4.509232
46.0,46,4.549236
44.0,44,4.588602
22.0,22,4.608603
29.0,29,4.630602
79.0,79,4.691108
36.0,36,4.719108
27.0,27,4.741111
22.0,22,4.759616
41.0,41,4.792616
75.0,75,4.854123
17.0,17,4.868123
18.0,18,4.883123
42.0,42,4.916123
31.0,31,4.940126
20.0,20,4.956328
12.0,12,4.965328
19.0,19,4.980329
42.0,42,5.013328
16.0,16,5.026328
32.0,32,5.052836
27.0,27,5.073836
77.0,77,5.141843
19.0,19,5.157346
23.0,23,5.175346
17.0,17,5.190347
38.0,38,5.220346
13.0,13,5.230346
27.0,27,5.250854
39.0,39,5.282854
36.0,36,5.312854
15.0,15,5.324854
84.0,84,5.392361
28.0,28,5.41636
14.0,14,5.42836
36.0,36,5.456408
83.0,83,5.522408
42.0,42,5.557964
57.0,57,5.602914
55.0,55,5.646916
23.0,23,5.666421
20.0,20,5.683421
98.0,98,7.233142
31.0,31,7.258649
81.0,81,7.325649
72.0,72,7.382156
77.0,77,7.44716
126.0,126,7.552172
145.0,145,7.670678
51.0,51,7.712678
37.0,37,7.743681
59.0,59,7.796141
50.0,50,7.837647
83.0,83,7.909156
95.0,95,7.988666
105.0,105,8.078966
74.0,74,8.141969
59.0,59,8.191997
20.0,20,8.209997
164.0,164,8.344106
25.0,25,8.363138
68.0,68,8.422138
150.0,150,8.546162
114.0,114,8.634181
71.0,71,8.6912
43.0,43,8.7262
87.0,87,8.79422
232.0,232,10.458474
126.0,126,10.561541
53.0,53,10.610542
155.0,155,10.73505
203.0,203,10.903065
178.0,178,11.050575
280.0,280,11.292599
256.0,256,11.500615
171.0,171,11.644653
243.0,243,11.849636
218.0,218,12.026632
21.0,21,12.044634
185.0,185,13.671842
345.0,345,13.947726
265.0,265,14.163247
164.0,164,14.296259
345.0,345,14.56953
252.0,252,14.766715
269.0,269,14.978912
172.0,172,15.11099
200.0,200,16.734935
319.0,319,16.983428
350.0,350,17.25895
188.0,188,17.407461
216.0,216,17.578908
211.0,211,17.745419
185.0,185,17.893431
433.0,433,18.24316
129.0,129,19.767066
242.0,242,19.958079
155.0,155,20.084587
252.0,252,20.289602
191.0,191,20.44111
238.0,238,20.634122
226.0,226,20.811136
252.0,252,21.011836
154.0,154,21.137343
242.0,242,22.740963
180.0,180,22.887973
198.0,198,23.048482
201.0,201,23.212494
194.0,194,23.371508
253.0,253,23.581523
250.0,250,23.782043
247.0,247,23.990058
142.0,142,24.106566
135.0,135,24.218072
245.0,245,25.807271
210.0,210,25.969828
160.0,160,26.102082
336.0,336,26.365604
223.0,223,26.546112
232.0,232,26.753352
184.0,184,26.910364
172.0,172,27.064887
155.0,155,27.189395
207.0,207,27.354409
188.0,188,28.921064
500.0,500,29.320091
233.0,233,29.502105
500.0,500,29.898133
299.0,299,30.138329
135.0,135,30.246838
259.0,259,30.461176
275.0,275,32.07653
500.0,500,32.469256
500.0,500,32.872791
500.0,500,33.277821
201.0,201,33.44133
500.0,500,35.232421
500.0,500,35.650421
500.0,500,36.053314
500.0,500,36.461909
500.0,500,38.275303
500.0,500,38.6965
500.0,500,39.101766
500.0,500,39.507296
