#{"t_start": 1752906993.4468825, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.912273
23.0,23,0.921273
25.0,25,0.931273
31.0,31,0.943273
10.0,10,0.946273
26.0,26,0.957273
12.0,12,0.961273
18.0,18,0.968272
25.0,25,0.977274
10.0,10,0.982274
20.0,20,0.989411
33.0,33,1.002411
14.0,14,1.007411
36.0,36,1.021411
22.0,22,1.030411
9.0,9,1.033411
17.0,17,1.040412
26.0,26,1.051411
13.0,13,1.056411
41.0,41,1.073413
19.0,19,1.084919
27.0,27,1.107925
15.0,15,1.113923
14.0,14,1.118922
21.0,21,1.126922
25.0,25,1.137922
57.0,57,1.160922
46.0,46,1.178924
13.0,13,1.182924
14.0,14,1.188428
20.0,20,1.197428
28.0,28,1.207428
41.0,41,1.224428
18.0,18,1.231428
21.0,21,1.240428
12.0,12,1.24643
16.0,16,1.258479
12.0,12,1.268429
18.0,18,1.283431
35.0,35,1.311936
39.0,39,1.343936
20.0,20,1.359936
12.0,12,1.368936
19.0,19,1.385444
17.0,17,1.399444
34.0,34,1.428444
11.0,11,1.436444
17.0,17,1.450444
27.0,27,1.472952
20.0,20,1.491456
11.0,11,1.501456
29.0,29,1.523457
16.0,16,1.537456
26.0,26,1.560457
14.0,14,1.571459
12.0,12,1.581459
16.0,16,1.594481
9.0,9,1.60248
23.0,23,1.620481
11.0,11,1.62948
29.0,29,1.652482
10.0,10,1.66048
21.0,21,1.678484
13.0,13,1.68881
24.0,24,1.70781
17.0,17,1.72081
12.0,12,1.72981
18.0,18,1.74381
42.0,42,1.775812
29.0,29,1.799317
27.0,27,1.820317
27.0,27,1.842317
38.0,38,1.87232
20.0,20,1.888825
25.0,25,1.908825
14.0,14,1.920825
21.0,21,1.937825
15.0,15,1.949825
17.0,17,1.965825
19.0,19,1.979828
23.0,23,1.998332
23.0,23,2.018332
22.0,22,2.036332
18.0,18,2.051332
16.0,16,2.064332
14.0,14,2.075334
24.0,24,2.094839
11.0,11,2.102839
30.0,30,2.128839
20.0,20,2.144839
11.0,11,2.153839
15.0,15,2.166839
13.0,13,2.176841
11.0,11,2.186346
21.0,21,2.202346
16.0,16,2.215346
35.0,35,2.245346
40.0,40,3.673444
51.0,51,3.713949
31.0,31,3.738949
32.0,32,3.763949
13.0,13,3.774951
25.0,25,3.794455
46.0,46,3.831455
55.0,55,3.875457
13.0,13,3.885962
38.0,38,3.916962
27.0,27,3.938962
61.0,61,3.989468
20.0,20,4.005468
38.0,38,4.037468
24.0,24,4.057468
14.0,14,4.068468
34.0,34,4.095975
13.0,13,4.106975
45.0,45,4.143975
15.0,15,4.156975
26.0,26,4.176975
69.0,69,4.232532
