#{"t_start": 1752910969.8159587, "env_id": "CartPole-v1"}
r,l,t
31.0,31,0.036999
24.0,24,0.056002
14.0,14,0.067507
16.0,16,0.080507
19.0,19,0.095507
13.0,13,0.105507
19.0,19,0.121507
23.0,23,0.140507
13.0,13,0.150509
10.0,10,0.159509
14.0,14,0.171013
13.0,13,0.181013
12.0,12,0.191013
13.0,13,0.202013
10.0,10,0.211013
17.0,17,0.225013
13.0,13,0.235013
34.0,34,0.263518
20.0,20,0.27952
9.0,9,0.28752
17.0,17,0.30052
37.0,37,0.32952
21.0,21,0.34652
13.0,13,0.356522
26.0,26,0.378027
14.0,14,0.390028
23.0,23,0.409027
14.0,14,0.420027
24.0,24,0.439027
34.0,34,0.466534
12.0,12,0.478534
54.0,54,0.521535
49.0,49,0.560537
18.0,18,0.575041
11.0,11,0.58404
31.0,31,0.60904
34.0,34,0.637041
29.0,29,0.660043
11.0,11,0.668548
20.0,20,0.685548
16.0,16,0.697548
14.0,14,0.708548
18.0,18,0.723548
53.0,53,0.765054
28.0,28,0.787054
19.0,19,0.803054
14.0,14,0.814054
10.0,10,0.823054
28.0,28,0.845054
22.0,22,0.862057
19.0,19,0.876562
19.0,19,0.891562
18.0,18,0.906562
28.0,28,0.929562
22.0,22,0.947562
41.0,41,0.981068
16.0,16,0.992068
16.0,16,1.004068
41.0,41,1.037068
16.0,16,1.04907
22.0,22,1.066575
19.0,19,1.082576
42.0,42,1.116575
11.0,11,1.125576
14.0,14,1.136575
65.0,65,1.190081
25.0,25,1.211081
29.0,29,1.234082
19.0,19,1.250084
44.0,44,1.284589
12.0,12,1.295589
14.0,14,1.307589
10.0,10,1.315589
32.0,32,1.342589
21.0,21,1.360591
12.0,12,1.370096
15.0,15,1.383096
39.0,39,1.416096
18.0,18,1.432096
22.0,22,1.449098
43.0,43,1.483603
25.0,25,1.504603
22.0,22,1.521603
16.0,16,1.534603
13.0,13,1.545604
16.0,16,1.558606
17.0,17,1.57311
20.0,20,1.590118
31.0,31,1.617118
19.0,19,1.633117
31.0,31,1.65812
15.0,15,1.669625
10.0,10,3.069723
73.0,73,3.128723
29.0,29,3.152725
16.0,16,3.165229
16.0,16,3.178229
16.0,16,3.19023
35.0,35,3.21823
10.0,10,3.22623
78.0,78,3.288415
18.0,18,3.302416
12.0,12,3.312416
35.0,35,3.341417
37.0,37,3.371923
28.0,28,3.395923
20.0,20,3.411923
30.0,30,3.437923
15.0,15,3.449926
22.0,22,3.46843
26.0,26,3.48843
18.0,18,3.50343
33.0,33,3.529429
33.0,33,3.555432
100.0,100,3.635937
51.0,51,3.677444
53.0,53,3.718444
25.0,25,3.738444
31.0,31,3.763446
19.0,19,3.779893
124.0,124,3.880399
43.0,43,3.913399
31.0,31,3.938399
49.0,49,3.977907
35.0,35,4.004906
45.0,45,4.040906
22.0,22,4.058908
47.0,47,4.096412
26.0,26,4.117412
24.0,24,4.137412
26.0,26,4.159415
44.0,44,4.19492
16.0,16,4.20792
37.0,37,4.23892
15.0,15,4.250922
35.0,35,4.279426
64.0,64,4.330426
30.0,30,4.354429
12.0,12,4.363428
66.0,66,4.414934
31.0,31,4.439934
42.0,42,4.473441
22.0,22,4.491441
31.0,31,4.51644
34.0,34,4.54444
32.0,32,4.569948
22.0,22,4.58795
23.0,23,4.606136
18.0,18,4.621544
16.0,16,4.634544
56.0,56,4.679051
13.0,13,4.690051
141.0,141,6.182547
118.0,118,6.277054
16.0,16,6.290053
60.0,60,6.339054
169.0,169,6.472066
20.0,20,6.488066
66.0,66,6.541066
131.0,131,6.644572
65.0,65,6.698078
105.0,105,6.782584
75.0,75,6.842584
18.0,18,6.856586
183.0,183,7.003598
90.0,90,7.074105
20.0,20,7.090105
23.0,23,7.108104
47.0,47,7.147105
173.0,173,7.288118
20.0,20,7.303118
87.0,87,7.373623
13.0,13,7.383623
74.0,74,7.442633
186.0,186,7.590646
9.0,9,7.597646
141.0,141,7.711153
19.0,19,7.727153
134.0,134,9.214752
221.0,221,9.392765
77.0,77,9.452766
162.0,162,9.584777
108.0,108,9.673283
69.0,69,9.729283
78.0,78,9.790789
100.0,100,9.874296
166.0,166,10.006802
55.0,55,10.048307
74.0,74,10.108316
127.0,127,10.207822
60.0,60,10.253824
126.0,126,10.350333
333.0,333,10.622849
66.0,66,10.674355
154.0,154,12.185951
281.0,281,12.409972
500.0,500,12.814996
224.0,224,12.995009
136.0,136,13.103516
195.0,195,13.260023
234.0,234,13.447035
240.0,240,13.642047
500.0,500,15.425172
337.0,337,15.702691
249.0,249,15.903703
400.0,400,16.230222
242.0,242,16.426235
300.0,300,16.666754
282.0,282,18.26587
464.0,464,18.644389
213.0,213,18.814402
214.0,214,18.991415
314.0,314,19.241363
500.0,500,19.649388
183.0,183,19.797401
475.0,475,21.554026
251.0,251,21.754038
181.0,181,21.898049
290.0,290,22.123062
217.0,217,22.291074
306.0,306,22.534086
296.0,296,22.766647
157.0,157,24.279265
500.0,500,24.687291
227.0,227,24.873303
316.0,316,25.127974
233.0,233,25.312798
275.0,275,25.536406
67.0,67,25.590917
342.0,342,25.862795
500.0,500,27.653792
262.0,262,27.868282
500.0,500,28.27528
249.0,249,28.477015
500.0,500,28.87929
500.0,500,30.666059
307.0,307,30.913092
500.0,500,31.325103
500.0,500,31.728144
500.0,500,33.513755
500.0,500,33.919359
500.0,500,34.311112
500.0,500,34.715573
500.0,500,36.506391
500.0,500,36.904442
500.0,500,37.313676
500.0,500,37.711908
500.0,500,39.503091
500.0,500,39.908663
500.0,500,40.305944
500.0,500,40.713208
500.0,500,42.500616
500.0,500,42.905189
500.0,500,43.309973
500.0,500,43.722667
500.0,500,44.126038
500.0,500,45.90929
500.0,500,46.305685
500.0,500,46.694893
500.0,500,47.091217
500.0,500,48.887424
500.0,500,49.289955
500.0,500,49.694681
500.0,500,50.098506
500.0,500,51.883558
500.0,500,52.284585
500.0,500,52.678613
500.0,500,53.073383
500.0,500,54.865747
500.0,500,55.2689
500.0,500,55.679216
500.0,500,56.086449
500.0,500,57.878237
500.0,500,58.275264
500.0,500,58.67029
500.0,500,59.063314
500.0,500,60.840744
500.0,500,61.247772
500.0,500,61.654798
500.0,500,62.062469
500.0,500,63.863652
500.0,500,64.275714
500.0,500,64.668296
500.0,500,65.078408
500.0,500,66.871605
500.0,500,67.277663
500.0,500,67.689216
500.0,500,68.07991
500.0,500,69.865146
500.0,500,70.272189
500.0,500,70.670313
500.0,500,71.060351
500.0,500,72.838567
500.0,500,73.240599
500.0,500,73.643647
500.0,500,74.045695
500.0,500,74.445731
500.0,500,76.233133
500.0,500,76.620168
500.0,500,77.017213
500.0,500,77.421252
500.0,500,79.212561
500.0,500,79.617595
500.0,500,80.016628
500.0,500,80.417661
379.0,379,82.101485
416.0,416,82.428021
354.0,354,82.696559
336.0,336,82.952589
384.0,384,83.254624
