#{"t_start": 1752913754.193266, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.075003
19.0,19,0.11051
17.0,17,0.14151
24.0,24,0.185513
20.0,20,0.22202
15.0,15,0.25002
38.0,38,0.717561
12.0,12,0.739562
35.0,35,0.80207
14.0,14,0.82707
20.0,20,0.86307
18.0,18,1.340615
12.0,12,1.362615
17.0,17,1.394124
44.0,44,1.472126
50.0,50,2.159893
17.0,17,2.190404
12.0,12,2.212405
41.0,41,2.286912
56.0,56,2.968875
14.0,14,2.994003
12.0,12,3.016003
19.0,19,3.050003
10.0,10,3.068003
23.0,23,3.109341
14.0,14,3.134341
17.0,17,3.165341
13.0,13,3.188848
16.0,16,3.540008
29.0,29,3.59212
16.0,16,3.62212
39.0,39,3.692547
14.0,14,3.718547
34.0,34,4.258526
16.0,16,4.287529
39.0,39,4.358856
23.0,23,4.399362
12.0,12,4.421362
12.0,12,4.442363
12.0,12,4.873656
13.0,13,4.897933
11.0,11,4.916933
20.0,20,4.952933
27.0,27,5.001959
23.0,23,5.042959
35.0,35,5.509007
10.0,10,5.528007
14.0,14,5.553007
17.0,17,5.584009
10.0,10,5.601521
23.0,23,5.643521
22.0,22,5.683523
14.0,14,5.709027
11.0,11,5.729027
16.0,16,6.088175
45.0,45,6.168182
22.0,22,6.207685
22.0,22,6.248695
14.0,14,6.273685
31.0,31,6.830722
33.0,33,6.889229
30.0,30,6.943229
36.0,36,7.007369
20.0,20,7.481396
54.0,54,7.57842
16.0,16,7.608571
21.0,21,7.645571
15.0,15,7.673571
13.0,13,7.697595
20.0,20,8.370641
39.0,39,8.441053
12.0,12,8.462053
59.0,59,9.178658
33.0,33,9.238816
12.0,12,9.259816
20.0,20,9.296324
35.0,35,9.359324
18.0,18,9.39183
45.0,45,9.950096
16.0,16,9.979098
16.0,16,10.008626
16.0,16,10.038627
32.0,32,10.097146
49.0,49,10.634368
12.0,12,10.657369
63.0,63,10.770646
14.0,14,10.796155
36.0,36,11.536719
37.0,37,11.604227
40.0,40,11.675229
13.0,13,11.699736
17.0,17,12.227271
12.0,12,12.249272
59.0,59,12.355781
21.0,21,12.393289
16.0,16,12.422289
19.0,19,13.032334
14.0,14,13.058334
43.0,43,13.134841
14.0,14,13.16184
26.0,26,13.208348
13.0,13,13.232348
20.0,20,13.800392
35.0,35,13.863391
15.0,15,13.890898
19.0,19,13.925898
16.0,16,13.954899
20.0,20,13.989907
32.0,32,14.532136
13.0,13,14.556135
12.0,12,14.578138
20.0,20,14.614643
54.0,54,14.710149
61.0,61,15.403702
14.0,14,15.429702
29.0,29,15.481704
19.0,19,15.515209
27.0,27,16.182254
39.0,39,16.253758
41.0,41,16.326268
14.0,14,16.352268
139.0,139,17.10833
10.0,10,18.142498
26.0,26,18.18956
21.0,21,18.227076
16.0,16,18.257073
52.0,52,18.350611
26.0,26,18.989658
77.0,77,19.12667
25.0,25,19.170669
18.0,18,19.936733
29.0,29,19.989734
37.0,37,20.057239
34.0,34,20.118745
24.0,24,20.628282
23.0,23,20.669281
88.0,88,20.826297
26.0,26,21.777864
35.0,35,21.840369
