#{"t_start": 1752912375.3666737, "env_id": "CartPole-v1"}
r,l,t
34.0,34,0.073509
46.0,46,0.158022
22.0,22,0.198018
40.0,40,0.773063
12.0,12,0.794064
15.0,15,0.822063
14.0,14,0.846569
32.0,32,0.903571
18.0,18,0.936574
32.0,32,1.439126
16.0,16,1.467632
18.0,18,1.499632
16.0,16,1.528632
10.0,10,1.547138
15.0,15,1.57414
16.0,16,1.602138
43.0,43,2.066718
21.0,21,2.103718
20.0,20,2.13872
13.0,13,2.162225
14.0,14,2.187225
16.0,16,2.216225
32.0,32,2.635254
10.0,10,2.65376
21.0,21,2.691772
14.0,14,2.716771
14.0,14,2.741776
26.0,26,2.789302
17.0,17,2.820279
14.0,14,2.846784
14.0,14,3.220308
20.0,20,3.255815
12.0,12,3.277815
22.0,22,3.316815
35.0,35,3.379322
40.0,40,3.869861
25.0,25,3.91486
18.0,18,3.94837
20.0,20,3.984369
23.0,23,4.027369
74.0,74,4.595418
43.0,43,4.671926
58.0,58,5.301968
14.0,14,5.326968
11.0,11,5.347475
11.0,11,5.368475
14.0,14,5.393475
52.0,52,5.485982
16.0,16,6.17853
41.0,41,6.252038
30.0,30,6.306038
41.0,41,6.379545
72.0,72,7.0096
11.0,11,7.0296
42.0,42,7.10511
23.0,23,7.691152
23.0,23,7.733154
12.0,12,7.754658
37.0,37,7.820658
13.0,13,7.844661
16.0,16,7.873169
24.0,24,8.401332
16.0,16,8.430332
20.0,20,8.465838
88.0,88,8.621346
29.0,29,9.517701
55.0,55,9.615208
11.0,11,9.63521
13.0,13,9.658714
17.0,17,9.689714
32.0,32,10.313759
14.0,14,10.338762
20.0,20,10.374267
35.0,35,10.438269
12.0,12,10.460775
17.0,17,10.489775
19.0,19,10.991318
17.0,17,11.022317
24.0,24,11.065824
33.0,33,11.124825
17.0,17,11.156013
15.0,15,11.183014
32.0,32,11.641047
50.0,50,11.729552
12.0,12,11.751059
20.0,20,11.787058
31.0,31,12.410102
26.0,26,12.456609
25.0,25,12.501609
22.0,22,12.540611
27.0,27,12.588115
45.0,45,12.999142
31.0,31,13.054649
40.0,40,13.125649
19.0,19,13.161156
18.0,18,13.618186
18.0,18,13.650693
36.0,36,13.713693
27.0,27,13.763199
13.0,13,13.787199
15.0,15,13.815199
24.0,24,14.354242
19.0,19,14.388242
35.0,35,14.451749
29.0,29,14.503749
17.0,17,14.534751
46.0,46,15.040293
17.0,17,15.069798
51.0,51,15.159305
10.0,10,15.178305
22.0,22,15.810351
20.0,20,15.84635
21.0,21,15.883856
13.0,13,15.907856
19.0,19,15.941858
16.0,16,15.970363
19.0,19,16.004362
14.0,14,16.030363
21.0,21,16.365394
82.0,82,16.513901
