#{"t_start": 1752914568.6228447, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.073503
24.0,24,0.11701
31.0,31,0.17301
41.0,41,0.71605
13.0,13,0.74105
40.0,40,0.812557
14.0,14,0.838557
27.0,27,0.886557
41.0,41,1.440595
9.0,9,1.456595
15.0,15,1.485595
20.0,20,1.522103
34.0,34,1.583103
18.0,18,1.615609
26.0,26,2.093647
20.0,20,2.129153
30.0,30,2.182153
25.0,25,2.226659
10.0,10,2.244659
68.0,68,2.8157
27.0,27,2.8637
34.0,34,2.924206
16.0,16,2.952207
27.0,27,3.408739
13.0,13,3.432739
27.0,27,3.480739
17.0,17,3.511246
12.0,12,3.533246
11.0,11,3.553246
25.0,25,3.598248
50.0,50,4.059908
27.0,27,4.108413
17.0,17,4.138415
12.0,12,4.160415
20.0,20,4.195416
19.0,19,4.22892
43.0,43,4.706951
25.0,25,4.751456
13.0,13,4.775456
14.0,14,4.800458
45.0,45,5.353497
20.0,20,5.389497
16.0,16,5.420004
28.0,28,5.473003
10.0,10,5.491003
47.0,47,6.041045
49.0,49,6.130288
18.0,18,6.162288
33.0,33,6.220796
29.0,29,6.861837
43.0,43,6.936343
22.0,22,6.975343
15.0,15,7.002345
19.0,19,7.035423
25.0,25,7.080423
16.0,16,7.570665
34.0,34,7.632926
13.0,13,7.655927
47.0,47,7.739433
44.0,44,8.315995
14.0,14,8.341995
17.0,17,8.371995
24.0,24,8.415391
16.0,16,8.443391
36.0,36,8.89747
30.0,30,8.950973
12.0,12,8.972973
45.0,45,9.052018
49.0,49,9.665314
33.0,33,9.72434
28.0,28,9.77434
14.0,14,9.799343
43.0,43,10.369285
35.0,35,10.430793
14.0,14,10.455794
21.0,21,10.492793
24.0,24,10.536303
14.0,14,10.562303
38.0,38,11.087951
46.0,46,11.169458
67.0,67,11.894009
19.0,19,11.927515
18.0,18,11.959515
15.0,15,11.985515
37.0,37,12.051023
50.0,50,12.575557
16.0,16,12.604559
18.0,18,12.637064
14.0,14,12.662065
26.0,26,12.708066
25.0,25,12.752571
17.0,17,13.126353
35.0,35,13.188353
18.0,18,13.22086
19.0,19,13.254859
36.0,36,13.318367
33.0,33,13.80606
12.0,12,13.827565
18.0,18,13.858565
26.0,26,13.905567
35.0,35,13.967072
45.0,45,14.442245
28.0,28,14.491245
22.0,22,14.531752
45.0,45,14.610256
19.0,19,15.108289
38.0,38,15.175794
74.0,74,15.304303
23.0,23,16.030619
34.0,34,16.090619
34.0,34,16.151128
32.0,32,16.208129
15.0,15,16.660662
20.0,20,16.695662
17.0,17,16.725727
36.0,36,16.789727
9.0,9,16.80573
67.0,67,17.410795
96.0,96,17.581305
30.0,30,18.572588
11.0,11,18.592588
71.0,71,18.720603
21.0,21,18.757603
23.0,23,19.626225
11.0,11,19.646225
30.0,30,19.701227
46.0,46,19.782733
149.0,149,20.804808
65.0,65,20.91982
37.0,37,20.98582
42.0,42,21.724875
21.0,21,21.762875
96.0,96,22.630448
42.0,42,22.705451
64.0,64,22.818969
9.0,9,22.835968
45.0,45,23.576023
61.0,61,23.683529
83.0,83,24.464584
52.0,52,24.557091
71.0,71,25.273638
129.0,129,26.250208
129.0,129,27.064264
116.0,116,27.920353
47.0,47,28.004355
45.0,45,28.602396
85.0,85,28.751409
76.0,76,29.64086
200.0,200,30.797447
91.0,91,31.910425
93.0,93,32.812493
100.0,100,33.857566
121.0,121,35.006466
120.0,120,35.217985
102.0,102,36.218814
147.0,147,37.396374
59.0,59,38.491817
83.0,83,39.390393
19.0,19,39.424803
76.0,76,39.557309
98.0,98,40.424798
126.0,126,41.367295
76.0,76,42.207966
157.0,157,43.333778
26.0,26,43.378778
104.0,104,44.219341
23.0,23,44.259341
46.0,46,44.340625
88.0,88,45.032704
111.0,111,45.941268
78.0,78,46.837154
107.0,107,47.025167
114.0,114,48.04286
131.0,131,49.144718
227.0,227,50.747152
167.0,167,51.74222
181.0,181,53.127316
57.0,57,53.227823
122.0,122,54.020878
132.0,132,55.048124
156.0,156,56.028739
26.0,26,57.012283
197.0,197,58.267782
200.0,200,59.4816
181.0,181,60.782874
148.0,148,61.759663
208.0,208,63.281277
137.0,137,64.268092
135.0,135,65.214657
163.0,163,66.209715
171.0,171,67.466501
179.0,179,68.725744
167.0,167,69.755837
112.0,112,70.769684
145.0,145,72.028272
199.0,199,73.446367
162.0,162,74.532952
183.0,183,75.785035
166.0,166,77.088256
165.0,165,78.136852
175.0,175,79.426452
150.0,150,80.656531
16.0,16,80.684531
191.0,191,81.796104
189.0,189,83.187212
159.0,159,84.324907
170.0,170,85.391979
171.0,171,86.9614
182.0,182,88.071974
170.0,170,89.12555
191.0,191,90.66645
126.0,126,91.588012
164.0,164,92.571193
167.0,167,93.857788
179.0,179,95.369634
160.0,160,96.378705
150.0,150,97.463284
173.0,173,98.876935
160.0,160,100.062626
150.0,150,101.051357
179.0,179,102.3951
141.0,141,103.681687
158.0,158,104.985273
174.0,174,105.951339
186.0,186,107.335044
172.0,172,108.616781
164.0,164,109.624522
199.0,199,111.039081
166.0,166,112.045668
175.0,175,113.311381
184.0,184,114.722118
167.0,167,115.734827
161.0,161,117.152925
160.0,160,118.450766
154.0,154,119.458831
155.0,155,120.434899
163.0,163,121.458968
169.0,169,122.966085
152.0,152,124.135165
162.0,162,125.123728
169.0,169,126.530635
152.0,152,127.762718
149.0,149,128.856292
137.0,137,129.886361
140.0,140,130.856976
137.0,137,131.888678
139.0,139,132.882829
137.0,137,134.011844
137.0,137,135.276011
141.0,141,136.445602
134.0,134,138.033238
123.0,123,138.253253
133.0,133,140.400691
128.0,128,141.464268
140.0,140,142.711352
131.0,131,144.096437
120.0,120,145.178273
128.0,128,146.342354
115.0,115,146.547369
119.0,119,147.820499
123.0,123,149.077207
127.0,127,150.178258
121.0,121,151.385488
127.0,127,152.539368
126.0,126,153.725006
18.0,18,153.758026
123.0,123,154.809387
122.0,122,155.957651
123.0,123,157.110231
125.0,125,158.393833
