#{"t_start": 1752910820.4845438, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.02
20.0,20,0.036
40.0,40,0.068332
24.0,24,0.087332
36.0,36,0.115333
18.0,18,0.129333
13.0,13,0.139333
13.0,13,0.149334
26.0,26,0.169495
13.0,13,0.180495
24.0,24,0.199495
12.0,12,0.208495
17.0,17,0.221495
16.0,16,0.233495
14.0,14,0.244495
11.0,11,0.253497
25.0,25,0.272632
9.0,9,0.279632
18.0,18,0.294632
30.0,30,0.318632
14.0,14,0.330632
14.0,14,0.341632
22.0,22,0.358634
20.0,20,0.37414
16.0,16,0.388139
17.0,17,0.402139
18.0,18,0.417139
19.0,19,0.434139
15.0,15,0.446139
10.0,10,0.454141
22.0,22,0.472646
35.0,35,0.500646
21.0,21,0.517646
16.0,16,0.531646
21.0,21,0.548648
28.0,28,0.571153
29.0,29,0.594152
21.0,21,0.611153
11.0,11,0.620152
10.0,10,0.629153
13.0,13,0.639152
62.0,62,0.689659
18.0,18,0.704659
11.0,11,0.713659
25.0,25,0.732659
29.0,29,0.756661
13.0,13,0.767166
58.0,58,0.815167
17.0,17,0.829169
11.0,11,0.837674
15.0,15,0.850181
22.0,22,0.868685
20.0,20,0.882685
20.0,20,0.898687
21.0,21,0.914685
18.0,18,0.928687
15.0,15,0.941685
25.0,25,0.961688
39.0,39,0.991194
25.0,25,1.010194
17.0,17,1.023193
39.0,39,1.055196
13.0,13,1.0657
22.0,22,1.0837
19.0,19,1.098703
24.0,24,1.1177
18.0,18,1.1317
17.0,17,1.1457
9.0,9,1.152702
14.0,14,1.163207
12.0,12,1.173207
27.0,27,1.195208
25.0,25,1.214207
10.0,10,1.223207
33.0,33,1.249209
34.0,34,1.275714
17.0,17,1.289714
20.0,20,1.306714
22.0,22,1.323714
24.0,24,1.343714
16.0,16,1.356716
32.0,32,1.382221
20.0,20,1.399221
23.0,23,1.417221
45.0,45,1.454223
10.0,10,1.462728
19.0,19,1.477728
25.0,25,1.496727
11.0,11,1.505728
16.0,16,1.518728
25.0,25,1.539728
15.0,15,1.55173
13.0,13,1.562233
34.0,34,1.591235
20.0,20,1.607235
14.0,14,1.617235
19.0,19,1.633235
20.0,20,1.647237
52.0,52,3.07034
55.0,55,3.111865
14.0,14,3.122846
13.0,13,3.132846
15.0,15,3.145846
26.0,26,3.167353
11.0,11,3.178353
17.0,17,3.192353
60.0,60,3.242353
44.0,44,3.276859
11.0,11,3.28586
38.0,38,3.316859
9.0,9,3.324859
26.0,26,3.34486
25.0,25,3.365023
39.0,39,3.396023
37.0,37,3.425023
29.0,29,3.448025
70.0,70,3.502531
30.0,30,3.527531
42.0,42,3.562036
21.0,21,3.579038
63.0,63,3.629038
35.0,35,3.65604
30.0,30,3.680546
34.0,34,3.706546
22.0,22,3.724545
22.0,22,3.742592
40.0,40,3.774052
12.0,12,3.783052
37.0,37,3.812052
24.0,24,3.831052
28.0,28,3.853054
8.0,8,3.860054
41.0,41,3.893559
64.0,64,3.944559
42.0,42,3.978066
70.0,70,4.034066
61.0,61,4.082573
13.0,13,4.091574
74.0,74,4.150576
12.0,12,4.160576
57.0,57,4.20608
17.0,17,4.21908
29.0,29,4.24108
39.0,39,4.272587
36.0,36,4.303587
40.0,40,4.335587
30.0,30,4.359589
20.0,20,4.376093
35.0,35,4.404093
36.0,36,4.433093
37.0,37,4.462598
41.0,41,4.4976
34.0,34,4.5246
50.0,50,4.566107
33.0,33,4.593107
10.0,10,4.601107
26.0,26,4.622107
19.0,19,4.637107
40.0,40,4.670615
49.0,49,6.103725
53.0,53,6.143727
63.0,63,6.194236
67.0,67,6.247236
174.0,174,6.389251
27.0,27,6.411251
103.0,103,6.494759
24.0,24,6.514759
89.0,89,6.585265
17.0,17,6.599265
128.0,128,6.703772
20.0,20,6.719772
79.0,79,6.784278
10.0,10,6.792277
20.0,20,6.808278
24.0,24,6.828277
149.0,149,6.946785
127.0,127,7.048294
121.0,121,7.147801
75.0,75,7.209305
16.0,16,7.222305
26.0,26,7.244305
54.0,54,7.289813
80.0,80,7.354315
19.0,19,7.371821
109.0,109,7.457823
17.0,17,7.472327
76.0,76,7.534327
9.0,9,7.541327
27.0,27,7.562832
43.0,43,7.596834
48.0,48,7.637553
39.0,39,7.67006
142.0,142,9.177432
117.0,117,9.271938
194.0,194,9.422445
136.0,136,9.526952
111.0,111,9.612459
117.0,117,9.705965
30.0,30,9.731965
177.0,177,9.875725
105.0,105,9.961727
43.0,43,9.996231
189.0,189,10.147739
190.0,190,10.302752
137.0,137,10.413259
63.0,63,10.465766
149.0,149,10.585272
69.0,69,10.640272
73.0,73,10.69978
154.0,154,12.208503
131.0,131,12.31001
166.0,166,12.438516
245.0,245,12.633458
211.0,211,12.802471
134.0,134,12.909484
290.0,290,13.139037
103.0,103,13.218543
357.0,357,13.496064
127.0,127,13.59257
469.0,469,15.341082
206.0,206,15.500096
349.0,349,15.768617
500.0,500,16.162694
196.0,196,16.319706
500.0,500,16.721979
430.0,430,18.455012
376.0,376,18.755533
327.0,327,19.018052
418.0,418,19.352576
500.0,500,19.756002
500.0,500,21.549503
500.0,500,21.948816
500.0,500,22.342884
500.0,500,22.745143
500.0,500,24.536128
500.0,500,24.939753
500.0,500,25.339314
500.0,500,25.737861
500.0,500,27.529686
204.0,204,27.697224
500.0,500,28.105788
500.0,500,28.509324
388.0,388,28.81892
500.0,500,30.601127
431.0,431,30.950196
500.0,500,31.355762
485.0,485,31.76279
500.0,500,33.540756
500.0,500,33.929313
259.0,259,34.141716
500.0,500,34.542844
322.0,322,34.804362
500.0,500,36.59551
500.0,500,36.997535
500.0,500,37.40056
500.0,500,37.811584
500.0,500,39.613702
500.0,500,40.021727
500.0,500,40.417751
500.0,500,40.812775
500.0,500,42.606899
500.0,500,43.016932
500.0,500,43.416964
500.0,500,43.822988
500.0,500,45.611108
500.0,500,46.000134
500.0,500,46.405158
500.0,500,46.814183
500.0,500,48.610462
500.0,500,49.003487
500.0,500,49.401511
500.0,500,49.794537
500.0,500,51.592673
500.0,500,51.9847
500.0,500,52.370721
500.0,500,52.766253
500.0,500,54.554876
500.0,500,54.946902
500.0,500,55.348926
500.0,500,55.743951
500.0,500,56.150975
500.0,500,57.926123
500.0,500,58.321148
500.0,500,58.701171
500.0,500,59.092196
500.0,500,60.869821
500.0,500,61.262845
500.0,500,61.651867
500.0,500,62.053891
500.0,500,63.844017
500.0,500,64.243041
500.0,500,64.649066
500.0,500,65.04609
500.0,500,66.839246
500.0,500,67.240271
500.0,500,67.639295
500.0,500,68.039329
500.0,500,69.840445
500.0,500,70.25147
500.0,500,70.6515
500.0,500,71.065528
500.0,500,72.869644
500.0,500,73.261678
500.0,500,73.648699
500.0,500,74.049724
500.0,500,75.837848
500.0,500,76.230873
500.0,500,76.631897
500.0,500,77.031922
500.0,500,78.832054
500.0,500,79.220079
500.0,500,79.613104
500.0,500,80.01782
500.0,500,81.828615
500.0,500,82.214159
500.0,500,82.609186
500.0,500,83.004214
500.0,500,84.806422
483.0,483,85.1965
436.0,436,85.550022
500.0,500,85.954625
469.0,469,86.334826
500.0,500,88.134072
500.0,500,88.539303
455.0,455,88.916547
413.0,413,89.250579
422.0,422,90.983127
481.0,481,91.373536
464.0,464,91.741655
430.0,430,92.084779
427.0,427,92.425908
430.0,430,94.167437
389.0,389,94.476063
500.0,500,94.886602
500.0,500,95.287385
419.0,419,97.011995
388.0,388,97.324513
407.0,407,97.656032
432.0,432,98.009564
434.0,434,98.355844
447.0,447,100.110962
376.0,376,100.41248
446.0,446,100.769001
420.0,420,101.096036
390.0,390,101.394557
406.0,406,103.115167
423.0,423,103.461687
407.0,407,103.793718
382.0,382,104.099236
405.0,405,104.428756
