#{"t_start": 1752924448.8292677, "env_id": "FrozenLake-v1"}
r,l,t
0.0,2,0.009999
0.0,3,0.011999
0.0,2,0.013001
0.0,5,0.016999
0.0,9,0.022002
0.0,12,0.030002
0.0,11,0.036507
0.0,13,0.044507
0.0,6,0.048507
0.0,5,0.051508
0.0,2,0.053508
0.0,2,0.054508
0.0,2,0.056507
0.0,8,0.063507
0.0,12,0.070507
0.0,3,0.072507
0.0,2,0.074507
0.0,9,0.080507
0.0,3,0.082507
0.0,12,0.089507
0.0,7,0.096507
0.0,4,0.098507
0.0,6,0.102509
0.0,11,0.110507
0.0,3,0.112507
0.0,7,0.117507
0.0,18,0.12951
0.0,5,0.13251
0.0,5,0.136018
0.0,5,0.139017
0.0,10,0.146017
1.0,12,0.153017
0.0,4,0.156017
0.0,16,0.166017
0.0,9,0.172017
0.0,6,0.177016
0.0,7,0.181016
0.0,5,0.184017
0.0,9,0.190017
0.0,7,0.195017
0.0,5,0.198017
0.0,11,0.205017
0.0,11,0.212017
0.0,6,0.216016
0.0,9,0.223019
0.0,10,0.229019
0.0,13,0.237523
0.0,9,0.243523
0.0,5,0.246523
0.0,3,0.248523
0.0,7,0.254523
0.0,7,0.258523
0.0,3,0.260523
0.0,6,0.264523
0.0,7,0.269523
0.0,22,0.282523
0.0,8,0.287523
0.0,8,0.293523
0.0,11,0.302523
0.0,13,0.310523
0.0,11,0.317523
0.0,5,0.320525
0.0,7,0.324525
0.0,3,0.327525
0.0,9,0.333525
0.0,10,0.33903
0.0,6,0.34303
0.0,4,0.34503
0.0,17,0.35603
0.0,13,0.36603
0.0,8,0.37103
0.0,3,0.37303
0.0,5,0.37603
0.0,5,0.38003
0.0,21,0.39303
0.0,11,0.40003
0.0,2,0.40203
0.0,7,0.40603
0.0,4,0.40803
0.0,4,0.41103
0.0,20,0.424032
0.0,7,0.429032
0.0,11,0.436536
0.0,4,0.439536
0.0,2,0.441536
0.0,12,0.448536
0.0,7,0.453536
0.0,6,0.457536
0.0,2,0.458536
0.0,13,0.467536
0.0,17,0.477536
0.0,12,0.485536
0.0,2,0.486536
0.0,4,0.489536
0.0,2,0.490536
0.0,12,0.500536
0.0,6,0.505536
0.0,13,0.512536
0.0,2,0.514536
0.0,5,0.517536
1.0,9,0.523538
0.0,9,0.529538
0.0,4,0.532538
0.0,7,0.536045
0.0,7,0.541043
0.0,11,0.548043
0.0,3,0.550043
0.0,7,0.555043
0.0,2,0.556043
0.0,4,0.559043
0.0,2,0.560043
0.0,3,0.562043
0.0,2,0.563043
0.0,2,0.565043
0.0,9,0.571043
0.0,12,0.578043
0.0,3,0.580043
0.0,2,0.581043
0.0,18,0.593043
0.0,16,0.603043
0.0,4,0.606043
0.0,16,0.616044
0.0,14,0.625046
0.0,9,0.631048
0.0,11,0.637555
0.0,4,0.640555
0.0,4,0.642555
0.0,3,0.644555
0.0,2,0.646555
0.0,19,0.658555
0.0,4,0.660555
0.0,5,0.664555
0.0,3,0.666555
0.0,3,0.668555
0.0,11,0.675555
0.0,7,0.679555
0.0,2,0.680555
0.0,8,0.685555
0.0,6,0.689556
0.0,6,0.693555
0.0,17,0.704555
0.0,2,0.705555
0.0,7,0.710555
0.0,5,0.713555
0.0,3,0.715555
0.0,2,0.717555
0.0,4,0.719555
0.0,7,0.723557
0.0,2,0.725557
0.0,12,0.733557
0.0,3,0.73506
0.0,2,0.736062
0.0,15,0.746062
0.0,8,0.751062
0.0,7,0.755062
0.0,13,0.763062
0.0,3,0.766062
0.0,5,0.771062
0.0,12,0.778062
0.0,4,0.781062
0.0,9,0.786062
0.0,7,0.791062
0.0,4,0.794062
0.0,8,0.799062
0.0,2,0.800062
0.0,5,0.803062
0.0,17,0.814062
0.0,7,0.818062
0.0,5,0.822064
0.0,11,0.829064
0.0,11,0.836568
0.0,5,0.839568
0.0,8,0.844568
0.0,4,0.847568
0.0,2,0.849568
0.0,14,0.858568
0.0,8,0.863568
0.0,6,0.866568
0.0,3,0.868568
0.0,9,0.874568
0.0,7,0.879568
0.0,5,0.882568
0.0,14,0.891568
0.0,4,0.893568
0.0,4,0.896568
0.0,24,0.911568
0.0,7,0.915569
0.0,7,0.92057
0.0,7,0.92457
0.0,16,0.93457
0.0,16,0.945075
0.0,8,0.950075
0.0,5,0.953075
0.0,11,0.962075
0.0,3,0.964075
0.0,5,0.967075
0.0,2,0.968075
0.0,5,0.971075
0.0,11,0.979075
0.0,11,0.985075
0.0,7,0.990075
0.0,11,0.997075
0.0,5,1.000075
0.0,10,1.007075
0.0,7,1.011075
0.0,8,1.016075
0.0,3,1.018075
0.0,11,1.025078
0.0,6,1.029077
0.0,8,1.034579
0.0,9,1.040581
0.0,6,1.045581
0.0,3,1.047581
0.0,4,1.050581
0.0,17,1.061581
0.0,2,1.063581
0.0,10,1.069581
0.0,5,1.072581
0.0,5,1.076581
0.0,7,1.080581
0.0,3,1.081581
0.0,8,1.087581
0.0,25,1.103581
0.0,8,1.109581
0.0,7,1.113581
0.0,2,1.115581
0.0,9,1.120583
0.0,8,1.126584
0.0,13,1.134583
0.0,5,1.13809
0.0,20,1.152091
0.0,9,1.158089
0.0,5,1.162089
0.0,8,1.16709
0.0,8,1.17209
0.0,7,1.17609
0.0,9,1.182089
0.0,4,1.18509
0.0,12,1.19209
0.0,2,1.194089
1.0,14,1.20309
0.0,8,1.20809
0.0,20,1.220092
0.0,3,1.222092
0.0,2,1.225092
0.0,11,1.232092
0.0,3,1.233092
0.0,2,1.235597
0.0,5,1.238597
0.0,2,1.239597
0.0,9,1.245597
0.0,9,1.252101
0.0,7,1.256101
0.0,8,1.260605
0.0,2,1.262605
0.0,7,1.266605
0.0,10,1.273605
0.0,4,1.276605
0.0,14,1.284605
0.0,7,1.289605
0.0,11,1.296605
0.0,4,1.299605
0.0,7,1.304605
0.0,2,1.305605
0.0,2,1.306605
0.0,16,1.317605
0.0,5,1.320607
0.0,7,1.324607
0.0,3,1.326607
0.0,6,1.330607
0.0,8,1.336112
0.0,4,1.338113
