#{"t_start": 1752927193.8628726, "env_id": "FrozenLake-v1"}
r,l,t
0.0,5,0.021
0.0,11,0.04
0.0,4,0.046999
0.0,9,0.062002
0.0,5,0.070508
0.0,4,0.077507
0.0,3,0.082507
0.0,6,0.092507
0.0,5,0.101507
0.0,14,0.123507
0.0,4,0.130507
0.0,3,0.136507
0.0,2,0.139507
0.0,7,0.151509
0.0,15,0.175682
0.0,2,0.179682
0.0,21,0.212682
0.0,13,0.573323
0.0,8,0.586299
0.0,2,0.589299
0.0,10,0.605299
0.0,14,0.628299
0.0,6,0.638299
0.0,5,0.647299
0.0,6,0.657301
0.0,3,0.662301
0.0,2,0.665301
0.0,7,0.678806
0.0,14,0.701805
0.0,7,0.712805
0.0,2,0.716805
0.0,3,0.721805
0.0,5,0.730805
0.0,6,0.740805
0.0,11,0.758807
0.0,13,1.031196
0.0,12,1.050197
0.0,5,1.0592
0.0,18,1.087477
0.0,16,1.113476
0.0,13,1.134476
0.0,14,1.157481
0.0,2,1.16048
0.0,12,1.180504
0.0,4,1.187504
0.0,8,1.200505
0.0,4,1.207505
0.0,3,1.212504
0.0,11,1.231504
0.0,12,1.540626
0.0,9,1.555626
0.0,11,1.574132
0.0,9,1.589132
0.0,10,1.605134
0.0,14,1.629133
0.0,3,1.634133
0.0,3,1.640133
0.0,4,1.646133
0.0,2,1.650133
0.0,3,1.655133
0.0,3,1.660135
0.0,10,1.676639
0.0,9,1.692639
0.0,8,1.705639
0.0,9,1.720639
0.0,10,1.736639
0.0,7,1.995051
0.0,5,2.00405
0.0,12,2.02405
0.0,10,2.040051
0.0,6,2.05005
0.0,4,2.057053
0.0,10,2.073557
0.0,3,2.078557
0.0,9,2.093557
0.0,11,2.110557
0.0,7,2.122557
0.0,4,2.128557
0.0,15,2.153558
0.0,2,2.15656
0.0,8,2.16956
0.0,4,2.177064
0.0,18,2.461674
0.0,2,2.464674
0.0,9,2.480178
0.0,10,2.497178
0.0,26,2.540178
0.0,2,2.544178
0.0,16,2.56918
0.0,7,2.581513
0.0,4,2.588513
0.0,12,2.607513
0.0,2,2.611513
0.0,3,2.616514
0.0,6,2.626513
0.0,4,2.632513
0.0,17,2.660518
0.0,2,2.664516
0.0,14,3.073267
0.0,6,3.083269
0.0,8,3.097268
0.0,6,3.106268
0.0,3,3.112268
0.0,6,3.122268
0.0,8,3.135268
0.0,12,3.155267
0.0,4,3.16227
0.0,9,3.177439
0.0,4,3.183439
0.0,3,3.189439
0.0,13,3.210439
0.0,2,3.213439
0.0,3,3.219439
0.0,9,3.234439
0.0,2,3.237439
0.0,6,3.247439
0.0,7,3.259441
0.0,5,3.267441
0.0,3,3.508504
0.0,22,3.544504
0.0,14,3.567506
0.0,7,3.578681
0.0,8,3.591681
0.0,9,3.606681
0.0,29,3.652681
0.0,6,3.663684
0.0,9,3.677945
0.0,2,3.681945
0.0,4,3.688945
0.0,25,4.139825
0.0,2,4.143825
0.0,6,4.153825
0.0,6,4.163826
0.0,5,4.171826
0.0,3,4.17733
0.0,3,4.182332
0.0,8,4.19533
0.0,6,4.20433
0.0,32,4.256344
0.0,18,4.284863
0.0,10,4.301862
0.0,5,4.309862
0.0,12,4.329864
0.0,9,4.740823
0.0,11,4.758825
0.0,4,4.765825
0.0,6,4.77633
0.0,7,4.787331
0.0,2,4.791331
0.0,12,4.811331
0.0,2,4.814331
0.0,10,4.83133
0.0,5,4.83933
0.0,16,4.865334
0.0,6,4.875842
0.0,4,4.881842
1.0,12,4.901842
0.0,9,4.91584
0.0,4,4.92284
0.0,9,4.93684
0.0,5,5.222358
0.0,14,5.245356
0.0,8,5.25836
0.0,6,5.26836
0.0,4,5.275864
0.0,3,5.280867
0.0,7,5.292864
1.0,7,5.303864
0.0,5,5.312864
0.0,16,5.339864
0.0,2,5.342864
0.0,8,5.356864
0.0,4,5.363868
0.0,6,5.373174
0.0,12,5.393173
0.0,2,5.397175
0.0,3,5.402173
0.0,14,5.426173
0.0,15,5.730693
0.0,10,5.746694
0.0,3,5.751694
0.0,3,5.756694
0.0,16,5.783201
0.0,8,5.796201
0.0,9,5.8112
0.0,6,5.8202
0.0,13,5.8422
0.0,10,5.858202
0.0,6,5.868202
0.0,2,5.872202
0.0,7,5.883707
0.0,15,5.907705
0.0,2,5.911705
0.0,4,5.917707
0.0,5,6.197227
0.0,10,6.213229
0.0,6,6.223227
0.0,5,6.232227
0.0,3,6.237227
0.0,2,6.241227
0.0,14,6.263233
0.0,5,6.271231
0.0,18,6.300735
0.0,21,6.333735
0.0,13,6.355736
0.0,2,6.358737
0.0,7,6.370737
0.0,21,6.404242
0.0,2,6.74176
0.0,10,6.758764
0.0,2,6.761762
0.0,2,6.765762
0.0,13,6.787265
0.0,5,6.795267
0.0,8,6.809265
0.0,5,6.818266
0.0,3,6.823265
0.0,4,6.830265
0.0,9,6.845265
0.0,4,6.852265
0.0,4,6.85827
0.0,16,6.884772
0.0,3,6.889773
0.0,7,6.900772
0.0,8,6.914772
0.0,16,6.940772
0.0,5,6.948771
0.0,6,7.238292
0.0,5,7.247294
0.0,4,7.254292
0.0,10,7.270295
0.0,48,7.349799
0.0,5,7.358801
0.0,5,7.3678
0.0,2,7.370801
0.0,32,7.424304
0.0,33,8.119762
0.0,2,8.122762
0.0,10,8.139762
0.0,4,8.147764
0.0,3,8.152762
0.0,8,8.165764
0.0,4,8.172268
0.0,12,8.192272
0.0,8,8.205271
0.0,5,8.213272
0.0,31,8.263461
0.0,6,8.273544
0.0,11,8.292543
0.0,2,8.295543
0.0,5,8.77308
0.0,2,8.776083
0.0,12,8.796082
0.0,4,8.803082
0.0,2,8.806082
0.0,3,8.812082
0.0,13,8.833083
0.0,5,8.842083
0.0,9,8.856083
0.0,5,8.865085
0.0,4,8.871085
0.0,12,8.890589
0.0,13,8.912589
0.0,4,8.918589
0.0,8,8.932589
1.0,7,8.943589
