#{"t_start": 1752926535.3696632, "env_id": "FrozenLake-v1"}
r,l,t
0.0,7,0.025002
0.0,15,0.049507
0.0,7,0.061507
0.0,17,0.089507
0.0,5,0.097507
0.0,4,0.104507
0.0,7,0.116507
0.0,7,0.12851
0.0,5,0.137509
0.0,13,0.159014
0.0,15,0.184013
0.0,9,0.199013
0.0,5,0.207013
0.0,13,0.503536
0.0,19,0.534536
0.0,3,0.54004
0.0,4,0.54704
0.0,8,0.56004
1.0,22,0.59504
0.0,5,0.60304
0.0,8,0.61704
0.0,3,0.62104
0.0,4,0.629048
0.0,6,0.638047
0.0,6,0.648552
0.0,5,0.656552
0.0,8,0.669552
0.0,8,0.682552
0.0,8,0.695552
0.0,7,0.707552
0.0,15,1.08759
0.0,16,1.11359
0.0,5,1.12159
0.0,13,1.143096
0.0,3,1.148096
0.0,5,1.156096
0.0,7,1.168096
0.0,3,1.173096
0.0,6,1.183095
0.0,7,1.195096
0.0,4,1.201096
0.0,15,1.226098
0.0,4,1.233098
0.0,2,1.237098
0.0,5,1.245603
0.0,17,1.271603
0.0,4,1.278603
0.0,4,1.568135
0.0,2,1.571135
0.0,8,1.585135
0.0,9,1.599134
0.0,4,1.606135
0.0,3,1.611135
0.0,20,1.642642
0.0,18,1.671642
0.0,11,1.689641
0.0,10,1.705642
0.0,6,1.715641
0.0,9,1.730644
0.0,9,1.745149
0.0,5,1.753148
0.0,5,1.762149
0.0,31,2.133504
0.0,10,2.149008
0.0,6,2.159009
0.0,5,2.167009
0.0,11,2.185009
1.0,20,2.217009
0.0,4,2.224009
0.0,3,2.22901
0.0,9,2.244515
0.0,3,2.249515
0.0,4,2.256516
0.0,2,2.260515
0.0,23,2.297515
0.0,4,2.706554
0.0,5,2.715554
0.0,5,2.723554
0.0,6,2.733557
0.0,4,2.74106
0.0,26,2.782061
0.0,4,2.788063
0.0,7,2.800061
0.0,2,2.803061
0.0,8,2.81606
0.0,24,2.854568
0.0,2,2.858568
0.0,2,2.862568
0.0,7,2.872568
0.0,2,2.876569
0.0,8,2.889568
0.0,15,3.317597
0.0,5,3.326599
0.0,2,3.329599
0.0,7,3.341103
0.0,7,3.353103
0.0,11,3.371103
1.0,10,3.389103
0.0,3,3.394103
0.0,5,3.402103
0.0,7,3.414103
1.0,13,3.435105
0.0,7,3.446272
0.0,6,3.458272
0.0,10,3.474272
0.0,2,3.478272
0.0,4,3.485273
0.0,7,3.498272
0.0,2,3.502272
0.0,18,3.531275
0.0,8,3.84489
0.0,20,3.87689
0.0,5,3.88689
1.0,15,3.91089
0.0,13,3.931892
0.0,16,3.957397
0.0,8,3.971396
0.0,8,3.984397
0.0,27,4.028399
0.0,5,4.037399
0.0,2,4.040904
0.0,8,4.422425
0.0,2,4.426427
0.0,5,4.434427
0.0,4,4.441472
0.0,2,4.444472
0.0,13,4.466473
0.0,4,4.473472
0.0,4,4.480472
0.0,2,4.483472
0.0,8,4.496473
0.0,12,4.515472
0.0,16,4.54298
0.0,12,4.561979
0.0,7,4.573979
0.0,11,4.59198
0.0,9,4.60698
0.0,3,4.612979
0.0,14,4.906984
0.0,8,4.919983
0.0,5,4.928985
0.0,5,4.936985
0.0,4,4.94449
0.0,8,4.95749
0.0,4,4.96349
0.0,12,4.98349
0.0,5,4.99249
0.0,3,4.99749
0.0,2,5.00049
0.0,6,5.01049
0.0,5,5.01949
0.0,2,5.02249
0.0,7,5.034492
0.0,5,5.042983
0.0,3,5.047983
0.0,3,5.052983
0.0,7,5.064983
0.0,16,5.090983
0.0,5,5.099983
0.0,2,5.102983
0.0,5,5.111983
0.0,8,5.396496
0.0,15,5.420496
0.0,16,5.44593
0.0,10,5.46193
0.0,10,5.47993
0.0,4,5.48693
0.0,21,5.52193
0.0,5,5.529932
0.0,7,5.541437
0.0,19,5.571437
0.0,10,5.588437
0.0,21,5.937959
0.0,8,5.951464
