#{"t_start": 1752924649.5589678, "env_id": "FrozenLake-v1"}
r,l,t
0.0,15,0.037506
0.0,7,0.049506
0.0,2,0.053506
0.0,10,0.070506
0.0,4,0.077506
0.0,18,0.107506
0.0,2,0.110506
0.0,4,0.117509
0.0,14,0.141014
0.0,2,0.144014
0.0,3,0.150014
0.0,13,0.171014
0.0,10,0.188014
0.0,11,0.206014
0.0,3,0.211014
0.0,3,0.217016
0.0,6,0.227016
0.0,5,0.501534
0.0,11,0.519536
0.0,6,0.529536
0.0,5,0.539042
0.0,4,0.545042
0.0,13,0.567042
0.0,8,0.580042
0.0,7,0.592042
0.0,9,0.607042
1.0,17,0.634548
0.0,16,0.660548
0.0,6,0.670548
0.0,16,0.696548
0.0,2,0.700547
0.0,4,0.707548
0.0,15,1.016069
0.0,3,1.023071
0.0,3,1.028071
0.0,4,1.034576
0.0,3,1.040576
0.0,2,1.043575
0.0,7,1.055576
0.0,11,1.073575
0.0,3,1.078576
0.0,10,1.094575
0.0,4,1.102576
0.0,2,1.105575
0.0,2,1.109576
0.0,2,1.112576
0.0,6,1.122577
0.0,19,1.154082
0.0,8,1.167082
0.0,10,1.183082
0.0,11,1.202082
0.0,5,1.526604
0.0,6,1.537109
0.0,4,1.544109
0.0,12,1.565109
0.0,20,1.597109
0.0,14,1.619111
0.0,4,1.627111
0.0,2,1.630113
0.0,5,1.638618
0.0,3,1.643618
0.0,6,1.654618
0.0,13,1.675618
0.0,7,1.687618
0.0,6,1.697618
0.0,2,1.701618
0.0,4,1.707618
0.0,3,1.712618
0.0,7,1.72462
0.0,9,2.070644
0.0,6,2.080645
0.0,2,2.084645
0.0,6,2.094645
0.0,13,2.115644
0.0,12,2.135231
0.0,4,2.142163
0.0,19,2.173163
0.0,2,2.177163
0.0,12,2.196163
0.0,7,2.208163
0.0,2,2.211163
0.0,4,2.219165
0.0,6,2.229165
0.0,3,2.234673
1.0,13,2.255672
0.0,13,2.276673
0.0,9,2.605193
0.0,6,2.615193
0.0,14,2.637699
0.0,8,2.6517
0.0,3,2.656699
0.0,3,2.662699
0.0,16,2.688699
0.0,19,2.719702
0.0,13,2.741206
0.0,5,2.749206
0.0,3,2.754207
0.0,11,2.772206
0.0,5,2.781206
0.0,4,2.788206
0.0,2,2.791206
0.0,8,2.804207
0.0,12,3.12473
0.0,20,3.158235
0.0,5,3.166236
0.0,8,3.180235
0.0,8,3.192235
0.0,5,3.201235
0.0,2,3.204234
0.0,5,3.213235
0.0,8,3.226237
0.0,5,3.234741
0.0,10,3.251741
0.0,6,3.262741
0.0,2,3.265741
0.0,4,3.272741
0.0,4,3.279742
0.0,9,3.294741
0.0,4,3.301741
0.0,12,3.321743
0.0,9,3.665768
0.0,3,3.671768
0.0,12,3.691768
0.0,11,3.709768
0.0,14,3.732273
0.0,14,3.755275
0.0,7,3.767276
0.0,2,3.771275
0.0,10,3.787275
0.0,12,3.807276
0.0,3,3.812275
0.0,7,3.823277
0.0,10,3.839781
0.0,3,3.845782
0.0,6,3.855783
0.0,4,3.862288
0.0,18,4.132317
0.0,6,4.142319
0.0,12,4.161319
0.0,2,4.165319
0.0,6,4.175319
0.0,2,4.17832
0.0,3,4.184319
0.0,4,4.191319
0.0,11,4.209319
0.0,6,4.219321
0.0,4,4.225321
0.0,22,4.261837
0.0,20,4.294825
0.0,4,4.301825
0.0,5,4.310825
0.0,2,4.314825
0.0,13,4.687851
0.0,9,4.702852
0.0,3,4.707851
0.0,12,4.727854
1.0,12,4.747359
0.0,7,4.758358
0.0,7,4.770359
0.0,19,4.801358
0.0,11,4.81936
0.0,4,4.82736
0.0,9,4.841864
0.0,8,4.854865
0.0,5,4.863865
0.0,14,5.195386
0.0,4,5.202386
0.0,6,5.212386
0.0,11,5.230388
