#{"t_start": 1752925858.3486466, "env_id": "FrozenLake-v1"}
r,l,t
0.0,4,0.019003
0.0,12,0.039313
0.0,4,0.046313
0.0,7,0.057313
0.0,2,0.061313
0.0,23,0.098314
0.0,15,0.122569
0.0,9,0.137568
0.0,8,0.150569
0.0,2,0.154569
0.0,2,0.157569
0.0,2,0.161569
0.0,12,0.180569
0.0,12,0.200569
0.0,5,0.20957
0.0,14,0.565598
0.0,5,0.574599
0.0,4,0.581598
0.0,9,0.595598
0.0,25,0.636613
0.0,5,0.645613
0.0,5,0.653613
0.0,2,0.657613
1.0,9,0.672613
0.0,6,0.681613
0.0,6,0.692613
0.0,3,0.697613
0.0,8,0.711616
0.0,13,0.73312
0.0,3,0.738121
0.0,5,0.746121
0.0,6,0.757121
0.0,3,0.76212
0.0,6,0.773121
0.0,43,1.228194
1.0,13,1.249193
0.0,3,1.255193
0.0,10,1.271194
0.0,8,1.284194
0.0,2,1.288193
0.0,2,1.291194
0.0,3,1.296194
0.0,29,1.3437
0.0,8,1.3567
0.0,2,1.3607
0.0,5,1.368701
0.0,9,1.964277
0.0,5,1.972276
0.0,5,1.981276
0.0,15,2.005277
0.0,5,2.014277
1.0,14,2.036782
0.0,2,2.039782
0.0,4,2.046782
0.0,15,2.071782
0.0,5,2.080782
0.0,2,2.083782
0.0,4,2.090782
0.0,10,2.106784
0.0,5,2.114784
0.0,11,2.133289
0.0,2,2.137289
0.0,3,2.142289
0.0,5,2.150289
0.0,4,2.157289
0.0,2,2.160289
0.0,2,2.418305
0.0,3,2.424809
0.0,4,2.430809
0.0,5,2.439809
0.0,8,2.452809
0.0,6,2.462809
0.0,3,2.467809
0.0,11,2.485809
0.0,2,2.488809
0.0,4,2.495809
0.0,15,2.518812
0.0,2,2.522316
0.0,2,2.525317
0.0,2,2.528316
0.0,4,2.536317
0.0,15,2.560316
0.0,5,2.568316
0.0,5,2.577316
0.0,6,2.586316
0.0,4,2.593316
0.0,3,2.598316
0.0,5,2.606319
0.0,8,2.620823
0.0,14,2.901837
0.0,2,2.904837
0.0,5,2.913839
0.0,2,2.916839
0.0,2,2.920341
0.0,5,2.929343
0.0,12,2.948344
0.0,7,2.960344
0.0,15,2.985344
0.0,5,2.993344
0.0,6,3.003344
0.0,7,3.015346
0.0,7,3.02585
0.0,6,3.03585
0.0,5,3.04485
0.0,16,3.07085
0.0,13,3.09185
0.0,11,3.372371
0.0,2,3.376371
0.0,7,3.388371
0.0,9,3.402371
0.0,2,3.406373
0.0,5,3.414373
0.0,2,3.418373
0.0,7,3.429877
0.0,4,3.436877
0.0,3,3.441877
0.0,21,3.476877
0.0,5,3.484877
0.0,19,3.515879
0.0,7,3.527384
0.0,6,3.537384
0.0,8,3.550384
0.0,17,3.900904
0.0,2,3.904904
0.0,11,3.922411
0.0,7,3.934411
0.0,3,3.939411
0.0,3,3.944412
0.0,22,3.980411
0.0,3,3.985411
0.0,15,4.010413
0.0,4,4.017414
0.0,4,4.024918
0.0,12,4.043918
0.0,4,4.050918
0.0,12,4.070917
0.0,6,4.080918
0.0,6,4.090917
0.0,7,4.102917
0.0,7,4.467611
0.0,7,4.47961
0.0,5,4.48761
0.0,5,4.49561
0.0,5,4.504611
0.0,13,4.525116
0.0,15,4.550116
0.0,16,4.577116
0.0,3,4.582116
0.0,16,4.608119
0.0,3,4.613118
0.0,5,4.622135
0.0,5,4.630135
0.0,2,4.633135
0.0,6,4.643135
0.0,34,4.993655
0.0,10,5.010658
0.0,9,5.026162
0.0,2,5.029162
0.0,3,5.035162
0.0,5,5.043162
0.0,3,5.048162
0.0,3,5.053162
0.0,8,5.067162
0.0,7,5.078162
0.0,2,5.082162
0.0,3,5.087162
0.0,8,5.100162
0.0,4,5.107164
0.0,2,5.111164
0.0,13,5.132669
0.0,5,5.140669
0.0,11,5.158669
0.0,18,5.445696
0.0,21,5.479697
0.0,7,5.491696
0.0,15,5.516698
0.0,3,5.521203
0.0,2,5.525202
0.0,6,5.535203
0.0,9,5.549202
0.0,10,5.566202
0.0,11,5.584203
0.0,3,5.590202
0.0,12,5.610204
0.0,3,5.615204
0.0,3,5.620205
0.0,3,5.625222
0.0,5,5.634222
0.0,6,5.643222
0.0,4,5.650222
0.0,2,5.654222
0.0,4,5.978743
0.0,4,5.985743
0.0,5,5.994743
0.0,7,6.005745
0.0,10,6.022249
0.0,4,6.02925
0.0,12,6.049249
0.0,7,6.061249
0.0,12,6.08025
0.0,6,6.09025
0.0,2,6.094249
0.0,3,6.099249
0.0,14,6.121468
0.0,4,6.128468
0.0,8,6.141468
0.0,4,6.148468
0.0,10,6.164468
0.0,6,6.174468
0.0,6,6.185468
0.0,5,6.431989
0.0,2,6.435989
0.0,7,6.447989
0.0,8,6.461989
0.0,2,6.465989
0.0,2,6.468989
0.0,6,6.478989
0.0,5,6.487989
0.0,4,6.494989
0.0,2,6.497989
0.0,22,6.533495
0.0,13,6.555495
0.0,6,6.565495
0.0,23,6.602495
0.0,4,6.609498
0.0,6,6.619497
0.0,9,6.634513
0.0,7,7.003034
0.0,3,7.008036
1.0,20,7.04154
0.0,2,7.045541
0.0,26,7.08654
0.0,6,7.09654
0.0,11,7.115541
0.0,9,7.130046
0.0,10,7.146046
0.0,4,7.153047
0.0,11,7.171046
0.0,10,7.187047
0.0,6,7.197047
0.0,2,7.201046
0.0,12,7.620577
0.0,8,7.633579
0.0,2,7.637579
0.0,2,7.641579
0.0,10,7.657579
0.0,16,7.683579
0.0,3,7.689579
0.0,16,7.715581
0.0,4,7.722086
0.0,4,7.729086
0.0,6,7.739086
0.0,8,7.753087
0.0,10,7.769086
0.0,4,7.776086
0.0,4,7.782086
0.0,3,7.787086
0.0,4,7.794086
0.0,2,7.798086
0.0,10,7.814088
0.0,5,8.094605
0.0,5,8.102605
0.0,29,8.150112
0.0,5,8.158112
0.0,2,8.162112
0.0,8,8.175112
0.0,2,8.179112
0.0,4,8.186112
0.0,11,8.204112
0.0,7,8.215114
0.0,4,8.222619
0.0,3,8.227619
0.0,6,8.237619
0.0,6,8.247619
0.0,3,8.252619
0.0,5,8.261618
0.0,7,8.272619
0.0,7,8.284619
0.0,9,8.299619
0.0,5,8.759702
0.0,13,8.780702
0.0,2,8.784702
0.0,2,8.787702
0.0,6,8.797702
0.0,2,8.801702
0.0,2,8.805702
0.0,3,8.810704
0.0,13,8.832209
0.0,8,8.845209
0.0,13,8.867208
0.0,10,8.884209
0.0,9,8.898209
0.0,8,8.911211
0.0,2,8.91521
0.0,11,8.933715
0.0,3,8.938715
1.0,21,9.286237
0.0,7,9.298237
0.0,13,9.319239
0.0,17,9.346743
0.0,3,9.352743
0.0,22,9.387743
0.0,2,9.391743
0.0,2,9.395743
0.0,3,9.400743
0.0,6,9.410745
0.0,4,9.416745
0.0,8,9.430533
0.0,3,9.435533
0.0,3,9.441039
0.0,11,9.458039
0.0,4,9.466038
0.0,2,9.469039
0.0,18,9.81351
0.0,5,9.822015
1.0,17,9.850014
0.0,2,9.854014
0.0,6,9.863014
0.0,12,9.883014
0.0,6,9.893014
0.0,9,9.908017
0.0,7,9.920017
0.0,4,9.926522
0.0,3,9.931522
0.0,8,9.944522
0.0,5,9.953522
0.0,5,9.961522
0.0,2,9.965522
0.0,3,9.970522
0.0,9,9.985522
0.0,10,10.001522
0.0,7,10.013525
0.0,3,10.018524
0.0,4,10.311044
0.0,4,10.318044
0.0,4,10.325549
0.0,4,10.331548
0.0,2,10.335549
0.0,3,10.340549
0.0,9,10.354549
0.0,2,10.358549
0.0,7,10.369549
0.0,2,10.373549
0.0,11,10.391549
0.0,6,10.401549
0.0,5,10.409551
1.0,11,10.428055
0.0,6,10.438055
0.0,2,10.442055
0.0,14,10.466055
0.0,6,10.476055
0.0,15,10.500055
0.0,11,10.519058
0.0,10,10.792577
0.0,2,10.796577
0.0,8,10.809579
0.0,10,10.826083
0.0,12,10.845083
0.0,4,10.852083
0.0,2,10.856083
0.0,13,10.878083
0.0,2,10.881083
0.0,8,10.894083
0.0,6,10.904083
0.0,2,10.908085
0.0,23,10.94559
0.0,2,10.94859
0.0,3,10.95359
0.0,12,10.97359
0.0,9,10.98859
0.0,6,11.332618
0.0,15,11.356618
0.0,13,11.377618
0.0,10,11.394618
0.0,5,11.402618
0.0,11,11.421122
0.0,12,11.440125
0.0,3,11.446124
0.0,9,11.461124
0.0,3,11.466124
0.0,7,11.478124
0.0,11,11.495124
0.0,7,11.507128
0.0,6,11.517127
0.0,3,11.522328
0.0,5,11.530328
0.0,8,11.791342
0.0,9,11.806342
0.0,5,11.814344
0.0,6,11.824848
0.0,4,11.831848
0.0,5,11.839848
0.0,10,11.855849
0.0,3,11.861848
0.0,8,11.874849
0.0,4,11.881848
0.0,15,11.906851
0.0,7,11.918851
0.0,3,11.923355
0.0,9,11.938355
0.0,5,11.947355
0.0,18,11.976355
0.0,11,11.994354
0.0,3,11.999355
0.0,9,12.299877
0.0,15,12.323383
0.0,4,12.330383
0.0,6,12.340383
0.0,5,12.349383
0.0,6,12.359383
0.0,5,12.367383
0.0,4,12.374383
0.0,2,12.378383
0.0,2,12.381383
0.0,15,12.406383
0.0,16,12.432395
0.0,3,12.437396
0.0,6,12.447395
0.0,6,12.457396
0.0,8,12.471396
0.0,4,12.478395
0.0,3,12.484395
0.0,3,12.489395
0.0,8,12.772916
1.0,11,12.790916
0.0,7,12.802916
0.0,5,12.810918
0.0,2,12.814918
0.0,10,12.831423
0.0,8,12.845423
0.0,9,12.860423
0.0,13,12.881423
