#{"t_start": 1752927870.302988, "env_id": "FrozenLake-v1"}
r,l,t
0.0,7,0.026
0.0,26,0.069088
0.0,3,0.074087
0.0,7,0.086087
0.0,4,0.092087
0.0,6,0.103088
0.0,4,0.110086
0.0,4,0.117087
0.0,15,0.142089
0.0,7,0.153594
0.0,6,0.163594
0.0,9,0.178594
0.0,2,0.182594
0.0,13,0.202593
0.0,4,0.209595
0.0,3,0.215593
0.0,5,0.223594
0.0,14,0.657127
0.0,11,0.675127
0.0,3,0.680129
0.0,9,0.695127
0.0,14,0.718128
0.0,4,0.725127
0.0,7,0.736127
0.0,2,0.740129
0.0,24,0.779633
0.0,4,0.785632
0.0,2,0.789632
0.0,11,0.808633
0.0,4,0.815633
0.0,3,0.820633
0.0,9,0.835633
0.0,11,1.193375
0.0,10,1.211377
0.0,6,1.222376
0.0,5,1.230376
0.0,10,1.24738
0.0,6,1.257886
0.0,9,1.272886
0.0,6,1.283885
0.0,2,1.286885
0.0,7,1.298887
0.0,7,1.310885
0.0,2,1.313885
0.0,8,1.326885
0.0,3,1.332888
0.0,17,1.360391
0.0,3,1.366391
0.0,13,1.388391
0.0,10,1.404391
0.0,4,1.703441
0.0,4,1.710442
0.0,6,1.720443
0.0,3,1.725441
0.0,11,1.743442
0.0,11,1.760949
0.0,2,1.764946
0.0,7,1.776947
0.0,20,1.809946
0.0,3,1.814945
0.0,15,1.838947
0.0,5,1.846948
0.0,5,1.855456
0.0,8,1.869456
0.0,3,1.874457
0.0,7,1.886456
0.0,8,1.899455
0.0,15,2.240785
0.0,2,2.244786
0.0,8,2.258289
0.0,7,2.270287
0.0,2,2.273287
0.0,3,2.279287
0.0,6,2.288289
0.0,4,2.295288
0.0,5,2.303287
0.0,19,2.334288
0.0,23,2.371532
0.0,5,2.380533
0.0,11,2.399533
0.0,3,2.404532
0.0,14,2.427532
0.0,3,2.432533
0.0,2,2.436538
0.0,2,2.439537
0.0,2,2.443537
0.0,2,2.809873
0.0,9,2.824872
0.0,6,2.834872
0.0,5,2.842874
0.0,23,2.880932
0.0,2,2.884931
0.0,7,2.895932
0.0,5,2.903932
0.0,5,2.911936
0.0,8,2.925936
0.0,2,2.929934
0.0,4,2.935933
0.0,11,2.954451
0.0,9,2.968446
0.0,8,2.982445
0.0,2,2.986447
0.0,9,3.002448
0.0,4,3.008452
0.0,2,3.012445
0.0,5,3.021446
0.0,7,3.410486
0.0,9,3.424486
0.0,3,3.430485
0.0,4,3.437488
0.0,5,3.445488
0.0,9,3.460991
0.0,5,3.468992
0.0,15,3.494992
0.0,2,3.497992
0.0,5,3.506991
0.0,4,3.512992
0.0,7,3.524992
0.0,9,3.538994
0.0,4,3.545995
0.0,11,3.564216
0.0,9,3.579216
0.0,7,3.591217
0.0,10,3.607216
0.0,3,3.612267
0.0,2,3.864677
0.0,4,3.871677
0.0,15,3.896677
0.0,2,3.900677
0.0,8,3.913677
0.0,3,3.919677
1.0,11,3.937678
0.0,4,3.94468
0.0,6,3.954184
0.0,3,3.960182
0.0,2,3.964182
0.0,9,3.978182
0.0,13,4.000181
0.0,2,4.004182
0.0,4,4.011276
0.0,4,4.017182
0.0,6,4.027182
0.0,23,4.065689
0.0,7,4.077689
0.0,7,4.465328
0.0,8,4.478328
0.0,23,4.516328
0.0,2,4.520328
0.0,6,4.530328
0.0,4,4.536328
0.0,2,4.54033
0.0,3,4.546331
0.0,7,4.557506
0.0,2,4.561506
0.0,7,4.573505
0.0,2,4.576505
0.0,11,4.594505
0.0,3,4.599505
0.0,10,4.616506
0.0,2,4.619506
0.0,6,4.629506
0.0,2,4.633506
0.0,5,4.641561
0.0,6,4.652561
0.0,15,5.056715
0.0,3,5.062715
0.0,15,5.086715
0.0,10,5.103715
0.0,12,5.123715
0.0,6,5.134716
0.0,2,5.137715
0.0,14,5.16095
0.0,2,5.16495
0.0,3,5.16995
0.0,2,5.17395
0.0,4,5.17995
0.0,8,5.19295
0.0,5,5.201951
0.0,7,5.21495
0.0,7,5.22695
0.0,7,5.238952
0.0,12,5.258096
0.0,2,5.262096
0.0,15,5.549959
0.0,3,5.555462
0.0,7,5.567462
0.0,35,5.623462
0.0,2,5.627462
0.0,6,5.637463
0.0,9,5.651465
0.0,4,5.658971
0.0,7,5.670971
0.0,6,5.680971
0.0,2,5.684971
0.0,6,5.694971
0.0,15,5.718971
0.0,9,5.733971
0.0,8,6.257117
0.0,5,6.265116
0.0,5,6.274116
0.0,18,6.303116
0.0,3,6.308116
0.0,18,6.337116
0.0,9,6.353118
0.0,2,6.357191
0.0,2,6.360191
0.0,2,6.364193
0.0,5,6.372191
0.0,7,6.385193
0.0,19,6.416191
0.0,11,6.433191
