#{"t_start": 1752924247.9951978, "env_id": "FrozenLake-v1"}
r,l,t
0.0,3,0.012002
0.0,4,0.014002
0.0,23,0.029506
0.0,2,0.030506
0.0,19,0.043506
0.0,6,0.047506
0.0,2,0.048506
0.0,7,0.053506
0.0,2,0.054506
0.0,5,0.057506
0.0,17,0.069506
0.0,3,0.071506
0.0,7,0.075506
0.0,14,0.084506
0.0,5,0.087506
0.0,9,0.093506
0.0,8,0.098506
0.0,3,0.100506
0.0,12,0.108508
0.0,15,0.118508
0.0,5,0.121508
0.0,10,0.128013
0.0,3,0.130013
0.0,5,0.134013
0.0,7,0.138013
0.0,3,0.140013
0.0,4,0.143013
0.0,7,0.148013
0.0,8,0.153013
0.0,16,0.164013
0.0,8,0.169013
0.0,4,0.171013
0.0,13,0.180013
0.0,4,0.184013
0.0,9,0.190013
0.0,3,0.192013
0.0,18,0.203012
0.0,5,0.206012
0.0,12,0.214015
0.0,2,0.216015
0.0,23,0.231518
0.0,7,0.235518
0.0,6,0.239518
0.0,2,0.240518
0.0,17,0.251518
0.0,5,0.255518
0.0,5,0.258518
0.0,4,0.261518
0.0,3,0.263518
0.0,11,0.270519
0.0,3,0.272518
0.0,7,0.277519
0.0,4,0.279518
0.0,3,0.281518
0.0,4,0.284518
0.0,12,0.292518
0.0,15,0.301518
0.0,12,0.30952
0.0,10,0.31552
0.0,17,0.327025
0.0,5,0.330025
0.0,2,0.331025
0.0,4,0.334025
0.0,2,0.336025
0.0,2,0.337025
0.0,14,0.347025
0.0,10,0.353025
0.0,4,0.356025
0.0,9,0.363025
0.0,4,0.366025
0.0,11,0.373025
0.0,6,0.377025
0.0,5,0.380025
0.0,3,0.383025
0.0,26,0.399025
0.0,6,0.403025
0.0,11,0.410026
0.0,4,0.412027
0.0,15,0.422529
0.0,2,0.423531
0.0,7,0.428531
0.0,4,0.430531
0.0,3,0.432531
0.0,3,0.435531
0.0,3,0.436531
0.0,10,0.443531
0.0,2,0.445531
0.0,4,0.447531
0.0,3,0.449531
0.0,4,0.452531
0.0,3,0.453531
