#{"t_start": 1752925283.9917111, "env_id": "FrozenLake-v1"}
r,l,t
0.0,4,0.018
0.0,3,0.024
0.0,11,0.042
0.0,5,0.05
0.0,7,0.063
0.0,7,0.074
0.0,15,0.098506
0.0,12,0.118506
0.0,7,0.130506
0.0,2,0.133506
0.0,3,0.139506
0.0,4,0.146506
0.0,7,0.158506
0.0,4,0.165506
0.0,6,0.175506
0.0,3,0.180508
0.0,4,0.187508
0.0,10,0.204013
0.0,2,0.208013
0.0,2,0.212013
0.0,13,0.483029
0.0,11,0.501533
0.0,8,0.514533
0.0,2,0.518533
0.0,13,0.539533
0.0,16,0.565533
0.0,7,0.577533
0.0,2,0.580535
0.0,7,0.592535
0.0,4,0.60004
0.0,2,0.60304
0.0,7,0.61604
0.0,5,0.62504
0.0,6,0.63504
0.0,6,0.64604
0.0,6,0.65604
0.0,3,0.66104
0.0,4,0.66704
0.0,2,0.67104
0.0,5,0.680042
0.0,13,0.97556
0.0,5,0.983562
0.0,3,0.989561
0.0,2,0.992561
0.0,3,0.998066
0.0,14,1.022066
0.0,6,1.032066
0.0,4,1.039066
0.0,8,1.052066
0.0,4,1.059067
0.0,10,1.077066
0.0,5,1.085068
0.0,6,1.095572
0.0,2,1.099573
0.0,9,1.114572
0.0,6,1.124573
0.0,12,1.144572
0.0,15,1.169572
0.0,4,1.176573
0.0,2,1.179574
0.0,7,1.448094
0.0,4,1.455094
0.0,3,1.460093
0.0,11,1.478094
0.0,23,1.5146
0.0,4,1.5216
0.0,18,1.5506
0.0,8,1.5636
0.0,8,1.5776
0.0,3,1.582602
0.0,3,1.588602
0.0,5,1.597107
0.0,6,1.607107
0.0,6,1.617107
0.0,4,1.624107
0.0,2,1.627107
0.0,6,1.638107
0.0,2,1.642107
0.0,12,2.033136
0.0,3,2.038136
0.0,18,2.067136
0.0,5,2.076137
0.0,2,2.079138
0.0,6,2.089138
0.0,6,2.099642
0.0,9,2.114642
0.0,9,2.129642
0.0,2,2.133642
0.0,5,2.142642
0.0,5,2.151642
0.0,24,2.191644
0.0,6,2.202148
0.0,4,2.209148
0.0,4,2.216149
0.0,14,2.238148
0.0,6,2.63518
0.0,3,2.64018
0.0,12,2.66118
0.0,11,2.67818
0.0,5,2.687182
0.0,11,2.705686
0.0,3,2.710686
0.0,2,2.714686
0.0,12,2.733686
0.0,3,2.738686
0.0,4,2.745686
0.0,7,2.757686
0.0,2,2.760686
0.0,2,2.764686
0.0,4,2.771686
0.0,4,2.778686
0.0,3,2.783688
0.0,2,2.787688
0.0,6,2.798193
0.0,2,2.801193
0.0,6,2.811193
0.0,8,2.825193
0.0,4,2.832193
0.0,11,3.076207
0.0,10,3.09221
0.0,7,3.104714
0.0,8,3.117713
0.0,5,3.126714
0.0,9,3.141714
0.0,4,3.148714
0.0,4,3.155714
0.0,6,3.165714
0.0,6,3.176713
0.0,11,3.194219
0.0,27,3.239221
0.0,10,3.256221
0.0,3,3.261221
0.0,9,3.276221
0.0,2,3.279223
0.0,14,3.727773
0.0,5,3.736773
0.0,3,3.741773
0.0,3,3.747772
0.0,12,3.767772
0.0,8,3.780775
0.0,3,3.785775
0.0,10,3.802281
