#{"t_start": 1752924047.1052759, "env_id": "FrozenLake-v1"}
r,l,t
0.0,10,0.018
0.0,17,0.028
0.0,2,0.03
0.0,5,0.033
0.0,2,0.034
0.0,7,0.039
0.0,8,0.044
0.0,11,0.051
0.0,16,0.061002
0.0,3,0.064002
0.0,6,0.068002
0.0,4,0.070507
0.0,6,0.075507
0.0,12,0.082507
0.0,4,0.084507
0.0,4,0.087507
0.0,13,0.095507
0.0,5,0.098507
0.0,10,0.104507
0.0,2,0.106507
0.0,2,0.107507
0.0,6,0.111507
0.0,2,0.113507
0.0,10,0.119507
0.0,8,0.125507
0.0,2,0.126507
0.0,5,0.129507
0.0,5,0.133507
0.0,3,0.135507
0.0,9,0.141507
0.0,4,0.143507
0.0,9,0.149507
0.0,4,0.152507
0.0,6,0.156509
0.0,2,0.158509
0.0,2,0.159509
0.0,2,0.161509
0.0,4,0.163509
0.0,4,0.166509
0.0,15,0.176013
0.0,6,0.180013
0.0,8,0.185013
0.0,3,0.187013
0.0,10,0.194013
0.0,15,0.204013
0.0,7,0.209013
0.0,9,0.215013
0.0,14,0.224013
0.0,2,0.226013
0.0,7,0.230013
0.0,5,0.234013
0.0,6,0.238013
0.0,3,0.240013
0.0,5,0.243013
0.0,5,0.246013
0.0,5,0.250013
0.0,9,0.255015
0.0,5,0.259015
0.0,10,0.266015
0.0,19,0.27796
0.0,15,0.28796
0.0,17,0.29896
0.0,10,0.30496
0.0,18,0.31696
0.0,5,0.31996
0.0,2,0.32196
0.0,6,0.32596
0.0,6,0.32996
0.0,7,0.33496
0.0,6,0.33896
0.0,5,0.34196
0.0,5,0.34496
0.0,13,0.353962
0.0,7,0.357963
0.0,2,0.358963
0.0,3,0.360962
0.0,10,0.367962
0.0,6,0.371145
0.0,5,0.375145
0.0,3,0.377146
0.0,2,0.378145
0.0,2,0.380145
0.0,24,0.396145
0.0,13,0.405145
0.0,4,0.407146
0.0,8,0.413146
0.0,5,0.416145
0.0,4,0.418146
0.0,8,0.424145
0.0,8,0.429145
0.0,7,0.435146
0.0,2,0.436146
0.0,8,0.441146
0.0,9,0.447145
0.0,12,0.455148
0.0,6,0.459148
0.0,8,0.464148
0.0,4,0.467148
0.0,9,0.472653
0.0,2,0.474653
0.0,7,0.478653
0.0,6,0.483653
0.0,14,0.491654
0.0,6,0.496653
0.0,2,0.498653
0.0,11,0.505653
0.0,7,0.510653
0.0,4,0.514653
0.0,11,0.521653
0.0,10,0.528653
0.0,5,0.532654
0.0,3,0.533654
0.0,9,0.539653
