#{"t_start": 1752915927.140971, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.141068
-200.0,200,0.272629
-200.0,200,0.403692
-200.0,200,0.538773
-200.0,200,0.670906
-200.0,200,0.804006
-200.0,200,0.934067
-200.0,200,1.060918
-200.0,200,1.193526
-200.0,200,1.320101
-200.0,200,2.863893
-200.0,200,2.992491
-200.0,200,3.119788
-200.0,200,3.252866
-200.0,200,3.385237
-200.0,200,3.519934
-200.0,200,3.653021
-200.0,200,3.786745
-200.0,200,3.919829
-200.0,200,4.051753
-200.0,200,5.728032
-200.0,200,5.859626
-200.0,200,5.99071
-200.0,200,6.118782
-200.0,200,6.24636
-200.0,200,6.376926
-200.0,200,6.50559
-200.0,200,6.637658
-200.0,200,6.772739
-200.0,200,6.903871
-200.0,200,8.52909
-200.0,200,8.652171
-200.0,200,8.786246
-200.0,200,8.918837
-200.0,200,9.047912
-200.0,200,9.182575
-200.0,200,9.311244
-200.0,200,9.443829
-200.0,200,9.575406
-200.0,200,9.703036
-200.0,200,11.354192
-200.0,200,11.488288
-200.0,200,11.628374
-200.0,200,11.762003
-200.0,200,11.892062
-200.0,200,12.025629
-200.0,200,12.160203
-200.0,200,12.293796
-200.0,200,12.427867
-200.0,200,12.56143
-200.0,200,12.692492
-200.0,200,14.233786
-200.0,200,14.364844
-200.0,200,14.498404
-200.0,200,14.626461
-200.0,200,14.755523
-200.0,200,14.888578
-200.0,200,15.024649
-200.0,200,15.160208
-200.0,200,15.290262
-200.0,200,15.424827
-200.0,200,16.975603
-200.0,200,17.109683
-200.0,200,17.245748
-200.0,200,17.376269
-200.0,200,17.509827
-200.0,200,17.651909
-200.0,200,17.780964
-200.0,200,17.920063
-200.0,200,18.060652
-200.0,200,18.194707
-200.0,200,19.758496
-200.0,200,19.889557
-200.0,200,20.023625
-200.0,200,20.158684
-200.0,200,20.290249
-200.0,200,20.418746
-200.0,200,20.549826
-200.0,200,20.685566
-200.0,200,20.818157
-200.0,200,20.947233
-200.0,200,22.581962
-200.0,200,22.709542
-200.0,200,22.837166
-200.0,200,22.97125
-200.0,200,23.107813
-200.0,200,23.233387
-200.0,200,23.369959
-200.0,200,23.500042
-200.0,200,23.635631
-200.0,200,23.765712
-200.0,200,23.896794
-200.0,200,25.661461
-200.0,200,25.787053
-200.0,200,25.909654
-200.0,200,26.044793
-200.0,200,26.17388
-200.0,200,26.310414
-200.0,200,26.438224
-200.0,200,26.583692
-200.0,200,26.708277
-200.0,200,26.833856
-200.0,200,28.552078
-200.0,200,28.676442
-200.0,200,28.805558
-200.0,200,28.92845
-200.0,200,29.058185
-200.0,200,29.182857
-200.0,200,29.31295
-200.0,200,29.435908
-200.0,200,29.560929
-200.0,200,29.693166
-200.0,200,31.336917
-200.0,200,31.467585
-200.0,200,31.598637
-200.0,200,31.722717
-200.0,200,31.856766
-200.0,200,31.987816
-200.0,200,32.11837
-200.0,200,32.240744
-200.0,200,32.36517
-200.0,200,32.489952
-200.0,200,34.033341
-200.0,200,34.172397
-200.0,200,34.294573
-200.0,200,34.423103
-200.0,200,34.553118
-200.0,200,34.687666
-200.0,200,34.815213
-200.0,200,34.946076
-200.0,200,35.083319
-200.0,200,35.204093
-200.0,200,35.328042
-200.0,200,36.85727
-200.0,200,36.988321
-200.0,200,37.11988
-200.0,200,37.242926
-200.0,200,37.371473
-200.0,200,37.506525
-200.0,200,37.636572
-200.0,200,37.761622
-200.0,200,37.891175
-200.0,200,38.020223
-200.0,200,39.600801
-200.0,200,39.72985
-200.0,200,39.8599
-200.0,200,39.985451
-200.0,200,40.112576
-200.0,200,40.235083
-200.0,200,40.36059
-200.0,200,40.485099
-200.0,200,40.616109
-200.0,200,40.749516
-200.0,200,42.317068
-200.0,200,42.449808
-200.0,200,42.578675
-200.0,200,42.701436
-200.0,200,42.82274
-200.0,200,42.944293
-200.0,200,43.080862
-200.0,200,43.209803
-200.0,200,43.332534
-200.0,200,43.471026
-200.0,200,45.040448
-200.0,200,45.160604
-200.0,200,45.29211
-200.0,200,45.416617
-200.0,200,45.554631
-200.0,200,45.688137
-200.0,200,45.818643
-200.0,200,45.949653
-200.0,200,46.081161
-200.0,200,46.210668
-200.0,200,46.341176
-200.0,200,47.876975
-200.0,200,48.00948
-200.0,200,48.139989
-200.0,200,48.276999
-200.0,200,48.408505
-200.0,200,48.545013
-200.0,200,48.678024
-200.0,200,48.81253
-200.0,200,48.947038
-200.0,200,49.081049
-200.0,200,50.63763
-200.0,200,50.769641
-200.0,200,50.900741
-200.0,200,51.027781
-200.0,200,51.158843
-200.0,200,51.291918
-200.0,200,51.430931
-200.0,200,51.560945
-200.0,200,51.688451
-200.0,200,51.818958
-200.0,200,53.35908
-200.0,200,53.488587
-200.0,200,53.614093
-200.0,200,53.740585
-200.0,200,53.873596
-200.0,200,54.002102
-200.0,200,54.13261
-200.0,200,54.265624
-200.0,200,54.39313
-200.0,200,54.521637
-200.0,200,56.031244
-200.0,200,56.162258
-200.0,200,56.294757
-200.0,200,56.429264
-200.0,200,56.562277
-200.0,200,56.694094
-200.0,200,56.814601
-200.0,200,56.945109
-200.0,200,57.07731
-200.0,200,57.207033
-200.0,200,57.337593
-200.0,200,58.854099
-200.0,200,58.974344
-200.0,200,59.099851
-200.0,200,59.223357
-200.0,200,59.348866
-200.0,200,59.481877
-200.0,200,59.609384
-200.0,200,59.740892
-200.0,200,59.868903
-200.0,200,59.99341
-200.0,200,61.533037
-200.0,200,61.664052
-200.0,200,61.803558
-200.0,200,61.933067
-200.0,200,62.06308
-200.0,200,62.203594
-200.0,200,62.329102
-200.0,200,62.455078
-200.0,200,62.584585
-200.0,200,62.723094
-200.0,200,64.287218
-200.0,200,64.413727
-200.0,200,64.53724
-200.0,200,64.669256
-200.0,200,64.796762
-200.0,200,64.928272
-200.0,200,65.051791
-200.0,200,65.178803
-200.0,200,65.311312
-200.0,200,65.436819
-200.0,200,66.972935
-200.0,200,67.103444
-200.0,200,67.234949
-200.0,200,67.364962
-200.0,200,67.495469
-200.0,200,67.626975
-200.0,200,67.759
-200.0,200,67.892508
-200.0,200,68.023013
-200.0,200,68.149527
-200.0,200,68.272542
-200.0,200,69.805146
-200.0,200,69.937655
-200.0,200,70.069666
-200.0,200,70.20018
-200.0,200,70.322694
-200.0,200,70.451203
-200.0,200,70.578214
-200.0,200,70.709721
-200.0,200,70.841229
-200.0,200,70.97924
-200.0,200,72.529854
-200.0,200,72.660867
-200.0,200,72.796373
-200.0,200,72.927885
-200.0,200,73.062902
-200.0,200,73.197411
-200.0,200,73.32792
-200.0,200,73.460936
-200.0,200,73.591444
-200.0,200,73.723956
-200.0,200,75.354601
-200.0,200,75.495108
-200.0,200,75.625614
-200.0,200,75.758628
-200.0,200,75.890135
-200.0,200,76.019641
-200.0,200,76.151154
-200.0,200,76.286166
-200.0,200,76.417672
-200.0,200,76.541181
-200.0,200,78.089294
-200.0,200,78.220806
-200.0,200,78.365843
-200.0,200,78.490351
-200.0,200,78.619857
-200.0,200,78.756871
-200.0,200,78.890378
-200.0,200,79.032886
-200.0,200,79.181
-200.0,200,79.314507
-200.0,200,80.855538
-200.0,200,80.987044
-200.0,200,81.118551
-200.0,200,81.252059
-200.0,200,81.382069
-200.0,200,81.507576
-200.0,200,81.636082
-200.0,200,81.765095
-200.0,200,81.896602
-200.0,200,82.026108
-200.0,200,82.15712
-200.0,200,83.694484
-200.0,200,83.826994
-200.0,200,83.951501
-200.0,200,84.092805
-200.0,200,84.235313
-200.0,200,84.369328
-200.0,200,84.498834
-200.0,200,84.629341
-200.0,200,84.761933
-200.0,200,84.896358
-200.0,200,86.497966
-200.0,200,86.636064
-200.0,200,86.766081
-200.0,200,86.900587
-200.0,200,87.039093
-200.0,200,87.16863
-200.0,200,87.304136
-200.0,200,87.437729
-200.0,200,87.565316
-200.0,200,87.690449
-200.0,200,89.249484
-200.0,200,89.383495
-200.0,200,89.519002
-200.0,200,89.648511
-200.0,200,89.778524
-200.0,200,89.90703
-200.0,200,90.035537
-200.0,200,90.166108
-200.0,200,90.304121
-200.0,200,90.440445
-200.0,200,91.943138
-200.0,200,92.07115
-200.0,200,92.204657
-200.0,200,92.340163
-200.0,200,92.475176
-200.0,200,92.602683
-200.0,200,92.733189
-200.0,200,92.865203
-200.0,200,92.99871
-200.0,200,93.127216
-200.0,200,93.259232
-200.0,200,94.770818
-200.0,200,94.898325
-200.0,200,95.028832
-200.0,200,95.157403
-200.0,200,95.28691
-200.0,200,95.420416
-200.0,200,95.544717
-200.0,200,95.673728
-200.0,200,95.800235
-200.0,200,95.929742
-200.0,200,97.438294
-200.0,200,97.566293
-200.0,200,97.692799
-200.0,200,97.824288
-200.0,200,97.953797
-200.0,200,98.0818
-200.0,200,98.209291
-200.0,200,98.338798
-200.0,200,98.466796
-200.0,200,98.59529
-200.0,200,100.09479
-200.0,200,100.227284
-200.0,200,100.355791
-200.0,200,100.486789
-200.0,200,100.618282
-200.0,200,100.74379
-200.0,200,100.870787
-200.0,200,101.001281
-200.0,200,101.132787
-200.0,200,101.258785
-200.0,200,102.754019
-200.0,200,102.88403
-200.0,200,103.012537
-200.0,200,103.140044
-200.0,200,103.269057
-200.0,200,103.395562
-200.0,200,103.523069
-200.0,200,103.653577
-200.0,200,103.780588
-200.0,200,103.911095
-200.0,200,104.040601
-200.0,200,105.545205
