#{"t_start": 1752921405.6515987, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.424748
-200.0,200,2.695832
-200.0,200,4.079417
-200.0,200,5.574276
-200.0,200,6.700959
-200.0,200,8.323151
-200.0,200,9.416234
-200.0,200,10.871329
-200.0,200,12.092411
-200.0,200,13.491837
-200.0,200,14.861928
-200.0,200,16.054919
-200.0,200,17.506527
-200.0,200,18.602102
-200.0,200,20.050207
-200.0,200,21.095276
-200.0,200,22.715898
-200.0,200,23.96499
-200.0,200,25.1876
-200.0,200,26.649307
-200.0,200,27.774883
-200.0,200,29.328999
-200.0,200,30.265073
-200.0,200,31.616175
-200.0,200,32.845997
-200.0,200,34.177584
-200.0,200,35.336458
-200.0,200,36.463803
-200.0,200,37.892609
-200.0,200,38.974247
-200.0,200,40.370611
-200.0,200,41.444222
-200.0,200,43.021151
-200.0,200,44.262231
-200.0,200,45.501817
-200.0,200,46.759908
-200.0,200,47.809061
-200.0,200,49.277719
-200.0,200,50.476815
-200.0,200,52.02293
-200.0,200,53.262642
-200.0,200,54.703338
-200.0,200,55.925891
-200.0,200,57.085801
-200.0,200,58.499668
-200.0,200,59.747168
-200.0,200,61.27678
-200.0,200,62.273274
-200.0,200,63.994349
-200.0,200,65.217935
-200.0,200,66.627038
-200.0,200,67.936206
-200.0,200,69.072779
-200.0,200,70.633898
-200.0,200,71.667967
-200.0,200,73.032986
-200.0,200,74.22997
-200.0,200,75.256061
-200.0,200,76.384611
-200.0,200,77.421319
-200.0,200,78.738002
-200.0,200,79.949089
-200.0,200,81.333602
-200.0,200,82.414083
-200.0,200,83.970077
-200.0,200,85.214072
-200.0,200,86.454572
-200.0,200,87.765062
-200.0,200,88.87782
-200.0,200,90.261655
-200.0,200,91.322768
-200.0,200,92.890455
-200.0,200,94.138454
-200.0,200,95.403476
-200.0,200,96.615211
-200.0,200,97.982797
-200.0,200,99.395907
-200.0,200,100.432986
-200.0,200,101.766192
-200.0,200,102.726268
-200.0,200,104.131364
-200.0,200,105.330446
-200.0,200,106.587535
-200.0,200,107.902127
-200.0,200,109.067201
-200.0,200,110.383786
-200.0,200,111.33086
-200.0,200,112.997965
-200.0,200,114.222545
-200.0,200,115.48763
-200.0,200,116.774215
-200.0,200,117.992292
-200.0,200,119.32339
-200.0,200,120.36746
-200.0,200,121.626045
-200.0,200,122.65112
-200.0,200,124.311226
-200.0,200,125.538816
-200.0,200,126.976916
-200.0,200,128.202997
-200.0,200,129.392075
-200.0,200,130.759065
-200.0,200,131.856633
-200.0,200,133.301725
-200.0,200,134.51801
-200.0,200,135.739144
-200.0,200,137.121077
-200.0,200,138.347301
-200.0,200,139.695669
-200.0,200,140.891318
-200.0,200,142.146906
-200.0,200,143.164986
-200.0,200,144.658589
-200.0,200,145.881826
-200.0,200,147.073345
-200.0,200,148.440833
-200.0,200,149.594335
-200.0,200,151.078316
-200.0,200,152.098389
-200.0,200,153.623116
-200.0,200,154.844209
-200.0,200,156.217799
