#{"t_start": 1752920097.8987818, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.448113
-200.0,200,2.716202
-200.0,200,3.962681
-200.0,200,5.283013
-200.0,200,6.554311
-200.0,200,8.011259
-200.0,200,9.074491
-200.0,200,10.664886
-200.0,200,11.907122
-200.0,200,13.189343
-200.0,200,14.38994
-200.0,200,15.562717
-200.0,200,16.800388
-200.0,200,17.950189
-200.0,200,19.285092
-200.0,200,20.31316
-200.0,200,21.94798
-200.0,200,23.197718
-200.0,200,24.410003
-200.0,200,25.797382
-200.0,200,27.0472
-200.0,200,28.672824
-200.0,200,29.724896
-200.0,200,31.265006
-200.0,200,32.466658
-200.0,200,33.749243
-200.0,200,34.955332
-200.0,200,36.111422
-200.0,200,37.429011
-200.0,200,38.544559
-200.0,200,40.083143
-200.0,200,41.179715
-200.0,200,42.656314
-200.0,200,43.914403
-200.0,200,45.298702
-200.0,200,46.74825
-200.0,200,48.019337
-200.0,200,49.546441
-200.0,200,50.669012
-200.0,200,52.239126
-200.0,200,53.475206
-200.0,200,54.745791
-200.0,200,55.886004
-200.0,200,57.078084
-200.0,200,58.525181
-200.0,200,59.764771
-200.0,200,61.229861
-200.0,200,62.229923
-200.0,200,63.783054
-200.0,200,65.072637
-200.0,200,66.42722
-200.0,200,67.738314
-200.0,200,68.906884
-200.0,200,70.277974
-200.0,200,71.418543
-200.0,200,72.762655
-200.0,200,73.990739
-200.0,200,75.533346
-200.0,200,76.861452
-200.0,200,78.099531
-200.0,200,79.410113
-200.0,200,80.491302
-200.0,200,81.848395
-200.0,200,82.887476
-200.0,200,84.426087
-200.0,200,85.631164
-200.0,200,86.876744
-200.0,200,88.173921
-200.0,200,89.555019
-200.0,200,91.027118
-200.0,200,92.152213
-200.0,200,93.586313
-200.0,200,94.805399
-200.0,200,96.147501
-200.0,200,97.394601
-200.0,200,98.774697
-200.0,200,100.20291
-200.0,200,101.21698
-200.0,200,102.72477
-200.0,200,103.810355
-200.0,200,105.445043
-200.0,200,106.741634
-200.0,200,108.089748
-200.0,200,109.416024
-200.0,200,110.673613
-200.0,200,112.067235
-200.0,200,113.178253
-200.0,200,114.834215
-200.0,200,116.081246
-200.0,200,117.336241
-200.0,200,118.612767
-200.0,200,119.84337
-200.0,200,121.204749
-200.0,200,122.382155
-200.0,200,123.929428
-200.0,200,125.053188
-200.0,200,126.628774
-200.0,200,127.926364
-200.0,200,129.166011
-200.0,200,130.465935
-200.0,200,131.585541
-200.0,200,133.052749
-200.0,200,134.136934
-200.0,200,135.62046
-200.0,200,136.85013
-200.0,200,138.298212
-200.0,200,139.540164
-200.0,200,140.628739
-200.0,200,142.022456
-200.0,200,143.190404
-200.0,200,144.76352
-200.0,200,145.852093
-200.0,200,147.447813
-200.0,200,148.787907
-200.0,200,150.255208
-200.0,200,151.767822
-200.0,200,153.065412
-200.0,200,154.557826
-200.0,200,155.618902
-200.0,200,157.180013
-200.0,200,158.432098
-200.0,200,159.841648
-200.0,200,161.04249
-200.0,200,162.180923
-200.0,200,163.511521
-200.0,200,164.731724
-200.0,200,166.279838
-200.0,200,167.290918
-200.0,200,168.807522
-200.0,200,170.087113
-200.0,200,171.380018
-200.0,200,172.771704
-200.0,200,173.946281
-200.0,200,175.413777
-200.0,200,176.537355
-200.0,200,178.161197
-200.0,200,179.405291
-200.0,200,180.651376
-200.0,200,181.950966
-200.0,200,183.13825
-200.0,200,184.534891
-200.0,200,185.728943
-200.0,200,187.06602
-200.0,200,188.182427
-200.0,200,189.538422
-200.0,200,190.877972
-200.0,200,192.075068
-200.0,200,193.55326
-200.0,200,194.905122
-200.0,200,196.481293
-200.0,200,197.517363
-200.0,200,199.146023
-200.0,200,200.382214
-200.0,200,201.706306
-200.0,200,203.002399
-200.0,200,204.409493
-200.0,200,205.710711
-200.0,200,206.880795
-200.0,200,208.352816
-200.0,200,209.408052
-200.0,200,210.905663
-200.0,200,212.109349
-200.0,200,213.543983
-200.0,200,215.012498
-200.0,200,216.106805
-200.0,200,217.555888
-200.0,200,218.680967
-200.0,200,220.290689
-200.0,200,221.541773
-200.0,200,222.696853
-200.0,200,224.063881
-200.0,200,225.083692
-200.0,200,226.414282
-200.0,200,227.504059
-200.0,200,228.899728
-200.0,200,229.962799
-200.0,200,231.49026
-200.0,200,232.687547
-200.0,200,233.965926
-200.0,200,235.380689
-200.0,200,236.356256
-200.0,200,237.929364
-200.0,200,239.000952
-200.0,200,240.475557
-200.0,200,241.699639
-200.0,200,243.06674
-200.0,200,244.32324
-200.0,200,245.543323
-200.0,200,246.986927
-200.0,200,248.175871
-200.0,200,249.662585
-200.0,200,250.713157
-200.0,200,252.372165
-200.0,200,253.643826
-200.0,200,254.93093
-200.0,200,256.216768
-200.0,200,257.448853
-200.0,200,258.81817
-200.0,200,259.955722
-200.0,200,261.399328
-200.0,200,262.623413
-200.0,200,264.122064
-200.0,200,265.245641
-200.0,200,266.470249
-200.0,200,267.732654
-200.0,200,268.957745
-200.0,200,270.518081
-200.0,200,271.469925
-200.0,200,273.131535
-200.0,200,274.434597
-200.0,200,275.589566
-200.0,200,276.941675
-200.0,200,278.374114
-200.0,200,279.725744
-200.0,200,280.876554
-200.0,200,282.274256
-200.0,200,283.497835
-200.0,200,284.854334
-200.0,200,286.050601
-200.0,200,287.367976
-200.0,200,288.909714
-200.0,200,289.997933
-200.0,200,291.48063
-200.0,200,292.525858
-200.0,200,294.019986
-200.0,200,295.251733
-200.0,200,296.664234
-200.0,200,297.98747
-200.0,200,299.226813
-200.0,200,300.739343
-200.0,200,301.837825
-200.0,200,303.400286
-200.0,200,304.611879
-200.0,200,305.968476
-200.0,200,307.310593
-200.0,200,308.474085
-200.0,200,309.846179
-200.0,200,311.043263
-200.0,200,312.43028
-200.0,200,313.463074
-200.0,200,314.918468
-200.0,200,316.123657
-200.0,200,317.548741
-200.0,200,318.84387
-200.0,200,319.953979
-200.0,200,321.48834
-200.0,200,322.589607
-200.0,200,324.148614
-200.0,200,325.354109
-200.0,200,326.549382
-200.0,200,327.859988
-200.0,200,328.952
-200.0,200,330.216938
-200.0,200,331.354268
-200.0,200,332.753811
-200.0,200,333.782882
-200.0,200,335.349904
-200.0,200,336.481481
-200.0,200,337.741067
-200.0,200,339.039657
-200.0,200,340.289834
-200.0,200,341.74044
-200.0,200,342.771508
-200.0,200,344.263623
-200.0,200,345.487708
-200.0,200,346.771301
-200.0,200,347.890334
-200.0,200,348.966161
-200.0,200,350.230576
-200.0,200,351.36458
-200.0,200,352.831683
-200.0,200,353.823003
-200.0,200,355.327438
-200.0,200,356.590892
-200.0,200,358.009371
-200.0,200,359.340628
-200.0,200,360.6161
-200.0,200,362.007215
-200.0,200,363.159322
-200.0,200,364.697865
-200.0,200,365.934105
-200.0,200,367.247108
-200.0,200,368.671551
-200.0,200,369.866213
-200.0,200,371.257165
-200.0,200,372.484866
-200.0,200,374.09331
-200.0,200,375.174881
-200.0,200,376.713997
-200.0,200,377.960078
-200.0,200,379.410187
-200.0,200,380.677282
-200.0,200,382.012097
-200.0,200,383.398762
-200.0,200,384.392815
-200.0,200,385.736907
-200.0,200,386.969989
-200.0,200,388.352067
-200.0,200,389.687021
-200.0,200,391.015117
-200.0,200,392.454927
-200.0,200,393.544479
-200.0,200,394.87007
-200.0,200,395.887604
-200.0,200,397.478714
-200.0,200,398.801306
-200.0,200,399.983905
-200.0,200,401.229493
-200.0,200,402.514086
-200.0,200,403.891209
-200.0,200,404.932785
-200.0,200,406.443391
-200.0,200,407.646207
-200.0,200,408.763794
-200.0,200,409.952878
-200.0,200,411.219987
-200.0,200,412.661098
-200.0,200,413.850159
-200.0,200,415.314083
-200.0,200,416.324153
-200.0,200,417.808122
-200.0,200,419.050611
-200.0,200,420.437131
-200.0,200,421.785131
-200.0,200,423.121862
-200.0,200,424.688981
-200.0,200,425.781558
-200.0,200,427.363486
-200.0,200,428.598569
-200.0,200,429.756284
-200.0,200,431.015823
-200.0,200,432.317132
-200.0,200,433.664722
-200.0,200,434.73583
-200.0,200,436.351944
-200.0,200,437.349011
-200.0,200,438.987704
-200.0,200,440.19079
-200.0,200,441.395465
-200.0,200,442.74156
-200.0,200,443.870288
-200.0,200,445.402428
-200.0,200,446.496677
-200.0,200,447.881289
-200.0,200,449.115925
-200.0,200,450.490521
-200.0,200,451.873124
-200.0,200,453.176716
-200.0,200,454.488308
-200.0,200,455.69645
-200.0,200,457.161076
-200.0,200,458.221654
-200.0,200,459.863779
-200.0,200,461.125371
-200.0,200,462.304955
-200.0,200,463.649061
-200.0,200,464.966653
-200.0,200,466.478258
-200.0,200,467.593845
-200.0,200,468.971942
-200.0,200,470.201966
-200.0,200,471.558066
-200.0,200,472.916166
-200.0,200,474.209249
-200.0,200,475.709863
-200.0,200,476.834945
-200.0,200,478.232041
-200.0,200,479.281114
-200.0,200,480.849773
-200.0,200,482.105854
-200.0,200,483.484952
-200.0,200,484.767211
-200.0,200,485.86378
-200.0,200,487.353384
-200.0,200,488.467955
-200.0,200,489.892048
-200.0,200,491.147639
-200.0,200,492.639767
-200.0,200,493.985363
-200.0,200,495.171438
-200.0,200,496.622043
-200.0,200,497.696108
-200.0,200,499.321744
-200.0,200,500.3589
-200.0,200,501.855496
-200.0,200,503.054994
-200.0,200,504.389191
-200.0,200,505.71837
-200.0,200,506.851449
-200.0,200,508.496078
-200.0,200,509.491143
-200.0,200,511.04735
-200.0,200,512.306444
-200.0,200,513.723041
-200.0,200,514.985123
-200.0,200,516.178213
-200.0,200,517.676386
-200.0,200,518.800976
-200.0,200,520.173367
-200.0,200,521.224413
-200.0,200,522.651219
-200.0,200,523.936702
-200.0,200,525.153215
-200.0,200,526.540215
-200.0,200,527.830922
-200.0,200,529.320018
-200.0,200,530.473163
-200.0,200,532.04643
-200.0,200,533.313513
-200.0,200,534.733
-200.0,200,536.031326
-200.0,200,537.196902
-200.0,200,538.611997
-200.0,200,539.831585
-200.0,200,541.335183
-200.0,200,542.456762
-200.0,200,543.928364
-200.0,200,545.229947
-200.0,200,546.712035
-200.0,200,548.140639
-200.0,200,549.415713
-200.0,200,550.921311
-200.0,200,552.02194
-200.0,200,553.65955
-200.0,200,554.900632
-200.0,200,556.240738
-200.0,200,557.524323
-200.0,200,558.847922
-200.0,200,560.276029
-200.0,200,561.479115
-200.0,200,562.897207
-200.0,200,563.945797
-200.0,200,565.462398
-200.0,200,566.709482
-200.0,200,567.911579
-200.0,200,569.140165
-200.0,200,570.321746
-200.0,200,571.672893
-200.0,200,572.772466
-200.0,200,574.453082
-200.0,200,575.708178
-200.0,200,577.08027
-200.0,200,578.399854
-200.0,200,579.659464
-200.0,200,581.029563
-200.0,200,582.245741
-200.0,200,583.580338
-200.0,200,584.639919
-200.0,200,586.422535
-200.0,200,587.634133
-200.0,200,589.040227
-200.0,200,590.45132
-200.0,200,591.448274
-200.0,200,592.79186
-200.0,200,593.956936
-200.0,200,595.555039
-200.0,200,596.787114
-200.0,200,598.116699
-200.0,200,599.34628
-200.0,200,600.635871
-200.0,200,601.961465
-200.0,200,603.18154
-200.0,200,604.587639
-200.0,200,605.668212
-200.0,200,607.019037
-200.0,200,608.294845
-200.0,200,609.805347
-200.0,200,611.278107
-200.0,200,612.560697
-200.0,200,614.058541
-200.0,200,615.065608
-200.0,200,616.614213
-200.0,200,617.867232
-200.0,200,619.021514
-200.0,200,620.350502
-200.0,200,621.591832
-200.0,200,622.944342
-200.0,200,623.938925
-200.0,200,625.268719
-200.0,200,626.311623
-200.0,200,627.819774
-200.0,200,629.026862
-200.0,200,630.264448
-200.0,200,631.618648
-200.0,200,632.819737
-200.0,200,634.166748
-200.0,200,635.195744
-200.0,200,636.634738
-200.0,200,637.875734
-200.0,200,639.202235
-200.0,200,640.459724
-200.0,200,641.660225
-200.0,200,643.146713
-200.0,200,644.279216
-200.0,200,645.66821
-200.0,200,646.698207
-200.0,200,648.240694
-200.0,200,649.49369
-200.0,200,650.912136
-200.0,200,652.31213
-200.0,200,653.509689
-200.0,200,654.866217
-200.0,200,655.943865
-200.0,200,657.524245
-200.0,200,658.748079
-200.0,200,660.100933
-200.0,200,661.35266
-200.0,200,662.553211
-200.0,200,663.812027
-200.0,200,665.022372
-200.0,200,666.515324
-200.0,200,667.530038
-200.0,200,668.982941
-200.0,200,670.23595
-200.0,200,671.547811
-200.0,200,672.801701
-200.0,200,673.978325
-200.0,200,675.454939
-200.0,200,676.355263
-200.0,200,678.082643
-200.0,200,679.313724
-200.0,200,680.806252
-200.0,200,682.066071
-200.0,200,683.321473
-200.0,200,684.660253
-200.0,200,685.621897
-200.0,200,687.213011
-200.0,200,688.238559
-200.0,200,689.77188
-200.0,200,690.962081
-200.0,200,692.319229
-200.0,200,693.669339
-200.0,200,694.929425
-200.0,200,696.452776
-200.0,200,697.554334
-200.0,200,699.095268
-200.0,200,700.301361
-200.0,200,701.563429
-200.0,200,702.866821
-200.0,200,704.107711
-200.0,200,705.51624
-200.0,200,706.687538
-200.0,200,708.227893
-200.0,200,709.25331
-200.0,200,710.852303
-200.0,200,712.0685
-200.0,200,713.309293
-200.0,200,714.685356
-200.0,200,715.90456
-200.0,200,717.248952
-200.0,200,718.249807
-200.0,200,719.658126
-200.0,200,720.890021
-200.0,200,722.163019
-200.0,200,723.3791
-200.0,200,724.515676
-200.0,200,725.807283
-200.0,200,726.875856
-200.0,200,728.343951
-200.0,200,729.387499
-200.0,200,730.831592
-200.0,200,731.999671
-200.0,200,733.250336
-200.0,200,734.622941
-200.0,200,735.735083
-200.0,200,737.266021
-200.0,200,738.39024
-200.0,200,739.926847
-200.0,200,741.177354
-200.0,200,742.501197
-200.0,200,743.796494
-200.0,200,745.06681
-200.0,200,746.352776
-200.0,200,747.446349
-200.0,200,748.786481
-200.0,200,749.832547
-200.0,200,751.53297
-200.0,200,752.787315
-200.0,200,754.014343
-200.0,200,755.247428
-200.0,200,756.568529
-200.0,200,758.153907
-200.0,200,759.179477
-200.0,200,760.705094
-200.0,200,761.948184
-200.0,200,763.257771
-200.0,200,764.525257
-200.0,200,765.804325
-200.0,200,767.340938
-200.0,200,768.453512
-200.0,200,769.757869
-200.0,200,770.801438
-200.0,200,772.435833
-200.0,200,773.665926
-200.0,200,774.762496
-200.0,200,776.152388
-200.0,200,777.465748
-200.0,200,779.098017
-200.0,200,780.144546
-200.0,200,781.49982
-200.0,200,782.741786
-200.0,200,784.087366
-200.0,200,785.341459
-200.0,200,786.630048
-200.0,200,788.094218
-200.0,200,789.277837
-200.0,200,790.79453
-200.0,200,791.840596
