#{"t_start": 1752916196.9948015, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.608103
-200.0,200,2.860713
-200.0,200,4.168303
-200.0,200,5.470733
-200.0,200,6.698809
-200.0,200,8.284929
-200.0,200,9.437528
-200.0,200,10.942214
-200.0,200,12.151833
-200.0,200,13.506562
-200.0,200,14.764786
-200.0,200,16.051274
-200.0,200,17.486983
-200.0,200,18.450051
-200.0,200,19.726149
-200.0,200,20.807721
-200.0,200,22.34478
-200.0,200,23.479277
-200.0,200,24.868903
-200.0,200,26.091988
-200.0,200,27.216577
-200.0,200,28.704177
-200.0,200,29.781755
-200.0,200,31.323478
-200.0,200,32.556072
-200.0,200,33.90666
-200.0,200,35.280768
-200.0,200,36.678408
-200.0,200,38.119505
-200.0,200,39.324597
-200.0,200,40.888707
-200.0,200,41.933284
-200.0,200,43.423396
-200.0,200,44.579474
-200.0,200,45.992577
-200.0,200,47.204669
-200.0,200,48.253246
-200.0,200,49.599835
-200.0,200,50.796926
-200.0,200,52.224034
-200.0,200,53.468626
-200.0,200,54.757223
-200.0,200,56.074835
-200.0,200,57.179412
-200.0,200,58.626377
-200.0,200,59.692966
-200.0,200,61.245073
-200.0,200,62.387646
-200.0,200,64.082273
-200.0,200,65.334856
-200.0,200,66.644443
-200.0,200,68.001037
-200.0,200,69.38262
-200.0,200,70.793612
-200.0,200,71.929557
-200.0,200,73.436055
-200.0,200,74.679744
-200.0,200,75.990269
-200.0,200,77.286374
-200.0,200,78.555964
-200.0,200,79.975071
-200.0,200,81.136561
-200.0,200,82.594221
-200.0,200,83.633807
-200.0,200,85.197914
-200.0,200,86.368188
-200.0,200,87.770094
-200.0,200,88.980361
-200.0,200,90.090936
-200.0,200,91.664081
-200.0,200,92.834341
-200.0,200,94.539851
-200.0,200,95.790493
-200.0,200,96.962467
-200.0,200,98.265455
-200.0,200,99.376959
-200.0,200,100.844458
-200.0,200,101.862441
-200.0,200,103.289311
-200.0,200,104.348531
-200.0,200,105.963642
-200.0,200,107.255647
-200.0,200,108.391225
-200.0,200,109.691817
-200.0,200,110.894466
-200.0,200,112.475927
-200.0,200,113.664553
-200.0,200,115.095267
-200.0,200,116.367509
-200.0,200,117.948619
-200.0,200,119.228514
-200.0,200,120.52175
-200.0,200,121.88485
-200.0,200,122.970441
-200.0,200,124.55009
-200.0,200,125.587761
-200.0,200,127.097907
-200.0,200,128.334074
-200.0,200,129.663172
-200.0,200,130.980846
-200.0,200,132.056991
-200.0,200,133.637439
-200.0,200,134.732733
-200.0,200,136.341832
-200.0,200,137.60555
-200.0,200,139.062362
-200.0,200,140.358984
-200.0,200,141.643557
-200.0,200,142.970169
-200.0,200,144.16274
-200.0,200,145.666547
-200.0,200,146.819164
-200.0,200,148.355783
-200.0,200,149.633415
-200.0,200,150.90162
-200.0,200,152.283096
-200.0,200,153.425152
-200.0,200,154.739436
-200.0,200,155.828831
-200.0,200,157.224958
-200.0,200,158.46962
-200.0,200,159.897115
-200.0,200,161.16371
-200.0,200,162.585606
-200.0,200,164.113711
-200.0,200,165.324709
-200.0,200,166.856704
-200.0,200,167.879129
-200.0,200,169.532676
-200.0,200,170.751461
-200.0,200,172.061836
-200.0,200,173.496231
-200.0,200,174.656072
-200.0,200,175.959123
-200.0,200,177.053875
-200.0,200,178.636984
-200.0,200,179.867655
-200.0,200,181.269945
-200.0,200,182.483308
-200.0,200,183.839709
-200.0,200,185.273722
