#{"t_start": 1752918797.9705324, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.505344
-200.0,200,2.780009
-200.0,200,4.055862
-200.0,200,5.339006
-200.0,200,6.392664
-200.0,200,7.820426
-200.0,200,8.928027
-200.0,200,10.377679
-200.0,200,11.599782
-200.0,200,12.838399
-200.0,200,14.117677
-200.0,200,15.313857
-200.0,200,16.840045
-200.0,200,18.042188
-200.0,200,19.513335
-200.0,200,20.557687
-200.0,200,22.01587
-200.0,200,23.229163
-200.0,200,24.502796
-200.0,200,25.964293
-200.0,200,27.244054
-200.0,200,28.60266
-200.0,200,29.63176
-200.0,200,31.020026
-200.0,200,32.263655
-200.0,200,33.704801
-200.0,200,34.799527
-200.0,200,36.119165
-200.0,200,37.614816
-200.0,200,38.702422
-200.0,200,40.045586
-200.0,200,41.119519
-200.0,200,42.566873
-200.0,200,43.842326
-200.0,200,45.103368
-200.0,200,46.482806
-200.0,200,47.829627
-200.0,200,49.18757
-200.0,200,50.344517
-200.0,200,51.815624
-200.0,200,53.060673
-200.0,200,54.194591
-200.0,200,55.397198
-200.0,200,56.738353
-200.0,200,58.033424
-200.0,200,59.324468
-200.0,200,60.975672
-200.0,200,61.985515
-200.0,200,63.496131
-200.0,200,64.742134
-200.0,200,66.045432
-200.0,200,67.27244
-200.0,200,68.521305
-200.0,200,69.827819
-200.0,200,70.933511
-200.0,200,72.315303
-200.0,200,73.530971
-200.0,200,74.835298
-200.0,200,75.976186
-200.0,200,77.108508
-200.0,200,78.426315
-200.0,200,79.630148
-200.0,200,80.973025
-200.0,200,82.108618
-200.0,200,83.653742
-200.0,200,84.915845
-200.0,200,86.256698
-200.0,200,87.605772
-200.0,200,88.666465
-200.0,200,90.222886
-200.0,200,91.359741
-200.0,200,92.943136
-200.0,200,94.183362
-200.0,200,95.648468
-200.0,200,96.975572
-200.0,200,98.282133
-200.0,200,99.657478
-200.0,200,100.801648
-200.0,200,102.12651
-200.0,200,103.202516
-200.0,200,104.808181
-200.0,200,106.079087
-200.0,200,107.419147
-200.0,200,108.7806
-200.0,200,109.719533
-200.0,200,111.191922
-200.0,200,112.26924
-200.0,200,113.675442
-200.0,200,114.91677
-200.0,200,116.213277
-200.0,200,117.42939
-200.0,200,118.583882
-200.0,200,120.02623
-200.0,200,121.152983
-200.0,200,122.481146
-200.0,200,123.534221
-200.0,200,125.043986
-200.0,200,126.297463
-200.0,200,127.486497
-200.0,200,128.77645
-200.0,200,130.090159
-200.0,200,131.514393
-200.0,200,132.618009
-200.0,200,134.061767
-200.0,200,135.26889
-200.0,200,136.556548
-200.0,200,137.863146
-200.0,200,138.904873
-200.0,200,140.331007
-200.0,200,141.470599
-200.0,200,142.90442
-200.0,200,144.010002
-200.0,200,145.640124
-200.0,200,146.904959
-200.0,200,148.312117
-200.0,200,149.582787
-200.0,200,150.701509
-200.0,200,152.096623
-200.0,200,153.246316
-200.0,200,154.641478
-200.0,200,155.868618
-200.0,200,157.165266
-200.0,200,158.484956
-200.0,200,159.74512
-200.0,200,161.051881
-200.0,200,162.20275
-200.0,200,163.588708
-200.0,200,164.655857
-200.0,200,166.097385
-200.0,200,167.329351
-200.0,200,168.66307
-200.0,200,169.854152
-200.0,200,171.0161
-200.0,200,172.322526
-200.0,200,173.326149
-200.0,200,174.840761
-200.0,200,176.044349
-200.0,200,177.389446
-200.0,200,178.568034
-200.0,200,179.816606
-200.0,200,181.362107
-200.0,200,182.520606
-200.0,200,184.128048
-200.0,200,185.243241
-200.0,200,186.955065
-200.0,200,188.123976
-200.0,200,189.501117
-200.0,200,190.804923
-200.0,200,191.948789
-200.0,200,193.227263
-200.0,200,194.307175
-200.0,200,195.830113
-200.0,200,197.038903
-200.0,200,198.515687
-200.0,200,199.734538
-200.0,200,200.782863
-200.0,200,202.003458
-200.0,200,203.151254
-200.0,200,204.641085
-200.0,200,205.714877
-200.0,200,207.361503
-200.0,200,208.548005
-200.0,200,209.903553
-200.0,200,211.276691
-200.0,200,212.494279
-200.0,200,213.822097
-200.0,200,214.94619
-200.0,200,216.379113
-200.0,200,217.593699
-200.0,200,218.940295
-200.0,200,220.290385
-200.0,200,221.62097
-200.0,200,222.97557
-200.0,200,223.98415
-200.0,200,225.584266
-200.0,200,226.630837
-200.0,200,228.072928
-200.0,200,229.315524
-200.0,200,230.450864
-200.0,200,231.825957
-200.0,200,232.865264
-200.0,200,234.40637
-200.0,200,235.476447
-200.0,200,236.957735
-200.0,200,238.19082
-200.0,200,239.479383
-200.0,200,240.673377
-200.0,200,241.980026
-200.0,200,243.296873
-200.0,200,244.498868
-200.0,200,246.010467
-200.0,200,246.967026
-200.0,200,248.558136
