#{"t_start": 1752922707.913744, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.436598
-200.0,200,2.691678
-200.0,200,4.072783
-200.0,200,5.440702
-200.0,200,6.598277
-200.0,200,8.054891
-200.0,200,9.083965
-200.0,200,10.761579
-200.0,200,12.00167
-200.0,200,13.434275
-200.0,200,14.767873
-200.0,200,16.145976
-200.0,200,17.470562
-200.0,200,18.61564
-200.0,200,20.040785
-200.0,200,21.080856
-200.0,200,22.617971
-200.0,200,23.908053
-200.0,200,25.319683
-200.0,200,26.660271
-200.0,200,27.951368
-200.0,200,29.530364
-200.0,200,30.623755
-200.0,200,32.231452
-200.0,200,33.485053
-200.0,200,34.894817
-200.0,200,36.167572
-200.0,200,37.425261
-200.0,200,38.517414
-200.0,200,39.567276
-200.0,200,41.189088
-200.0,200,42.154531
-200.0,200,43.6297
-200.0,200,44.889255
-200.0,200,46.17249
-200.0,200,47.456589
-200.0,200,48.816793
-200.0,200,50.150804
-200.0,200,51.146902
-200.0,200,52.552149
-200.0,200,53.810305
-200.0,200,55.151875
-200.0,200,56.285715
-200.0,200,57.584947
-200.0,200,59.100212
-200.0,200,60.188796
-200.0,200,61.812174
-200.0,200,62.901697
-200.0,200,64.378663
-200.0,200,65.610162
-200.0,200,66.999748
-200.0,200,68.307444
-200.0,200,69.471316
-200.0,200,70.89141
-200.0,200,72.044067
-200.0,200,73.613046
-200.0,200,74.887388
-200.0,200,76.499504
-200.0,200,77.816095
-200.0,200,78.932191
-200.0,200,80.192281
-200.0,200,81.361026
-200.0,200,82.983135
-200.0,200,84.074145
-200.0,200,85.801647
-200.0,200,87.054585
-200.0,200,88.424176
-200.0,200,89.806266
-200.0,200,91.124852
-200.0,200,92.536458
-200.0,200,93.606525
-200.0,200,95.114126
-200.0,200,96.374767
-200.0,200,97.566846
-200.0,200,98.767924
-200.0,200,99.956003
-200.0,200,101.333107
-200.0,200,102.417176
-200.0,200,104.055798
-200.0,200,105.075859
-200.0,200,106.886026
-200.0,200,108.167624
-200.0,200,109.419708
-200.0,200,110.682299
-200.0,200,111.858378
-200.0,200,113.265566
-200.0,200,114.401135
-200.0,200,115.890733
-200.0,200,117.12183
-200.0,200,118.486934
-200.0,200,119.796521
-200.0,200,121.188645
-200.0,200,122.625464
-200.0,200,123.862058
-200.0,200,125.451686
-200.0,200,126.530264
-200.0,200,128.091869
-200.0,200,129.338457
-200.0,200,130.695045
-200.0,200,132.01663
-200.0,200,133.274229
-200.0,200,134.75683
-200.0,200,135.774895
-200.0,200,137.455519
-200.0,200,138.701595
-200.0,200,139.943177
-200.0,200,141.158266
-200.0,200,142.425351
-200.0,200,143.916948
-200.0,200,145.066857
-200.0,200,146.449949
-200.0,200,147.489014
-200.0,200,149.011624
-200.0,200,150.273211
-200.0,200,151.649302
-200.0,200,152.960901
-200.0,200,154.239035
-200.0,200,155.584531
-200.0,200,156.5485
-200.0,200,158.007608
-200.0,200,159.21234
-200.0,200,160.490995
-200.0,200,161.81178
-200.0,200,162.994231
-200.0,200,164.382171
-200.0,200,165.506357
-200.0,200,166.964405
-200.0,200,168.031463
-200.0,200,169.551093
-200.0,200,170.783175
-200.0,200,172.209887
-200.0,200,173.532987
-200.0,200,174.628686
-200.0,200,176.207698
-200.0,200,177.2285
-200.0,200,178.822619
-200.0,200,180.041822
-200.0,200,181.323457
-200.0,200,182.657107
-200.0,200,183.9657
-200.0,200,185.358797
-200.0,200,186.523375
-200.0,200,188.210635
-200.0,200,189.214704
-200.0,200,190.866735
-200.0,200,192.094826
-200.0,200,193.387136
-200.0,200,194.775504
-200.0,200,196.065602
-200.0,200,197.574105
-200.0,200,198.574099
-200.0,200,199.958094
-200.0,200,201.17809
-200.0,200,202.329132
-200.0,200,203.495166
-200.0,200,204.799179
-200.0,200,206.196144
-200.0,200,207.304013
-200.0,200,208.747555
-200.0,200,209.819428
-200.0,200,211.375052
-200.0,200,212.636049
-200.0,200,213.940041
-200.0,200,215.203531
-200.0,200,216.473032
-200.0,200,217.838027
-200.0,200,218.875024
-200.0,200,220.416511
-200.0,200,221.646507
-200.0,200,223.047007
-200.0,200,224.311496
-200.0,200,225.503334
-200.0,200,227.057113
-200.0,200,228.123787
-200.0,200,229.64004
-200.0,200,230.735659
-200.0,200,232.091095
-200.0,200,233.376838
-200.0,200,234.711182
-200.0,200,236.09582
-200.0,200,237.359015
-200.0,200,238.76964
-200.0,200,239.713745
-200.0,200,241.277939
-200.0,200,242.474934
-200.0,200,243.886759
-200.0,200,245.100868
-200.0,200,246.282955
-200.0,200,247.675725
-200.0,200,248.810305
-200.0,200,250.174399
-200.0,200,251.147395
-200.0,200,252.621896
-200.0,200,253.859818
-200.0,200,255.133109
-200.0,200,256.483715
-200.0,200,257.705942
-200.0,200,259.126171
-200.0,200,260.25522
-200.0,200,261.782828
-200.0,200,262.990561
-200.0,200,264.374255
-200.0,200,265.627338
-200.0,200,266.92994
-200.0,200,268.328957
-200.0,200,269.495596
-200.0,200,270.955759
-200.0,200,272.070308
-200.0,200,273.617813
-200.0,200,274.841815
-200.0,200,276.105948
-200.0,200,277.461608
-200.0,200,278.691195
-200.0,200,280.207372
-200.0,200,281.160439
-200.0,200,282.70504
-200.0,200,283.940739
-200.0,200,285.108815
-200.0,200,286.39307
-200.0,200,287.665931
-200.0,200,289.036942
-200.0,200,290.064515
-200.0,200,291.47275
-200.0,200,292.579018
-200.0,200,294.075934
-200.0,200,295.292014
-200.0,200,296.669708
-200.0,200,298.054724
-200.0,200,299.257677
-200.0,200,300.53021
-200.0,200,301.640713
-200.0,200,303.2532
-200.0,200,304.478195
-200.0,200,305.641699
-200.0,200,306.865186
-200.0,200,308.050181
-200.0,200,309.506176
-200.0,200,310.618678
-200.0,200,312.085166
-200.0,200,313.130162
-200.0,200,314.610665
-200.0,200,315.865152
-200.0,200,317.154654
-200.0,200,318.355649
-200.0,200,319.557134
-200.0,200,320.896639
-200.0,200,322.103635
-200.0,200,323.477662
-200.0,200,324.702625
-200.0,200,325.916624
-200.0,200,327.160108
-200.0,200,328.374104
-200.0,200,329.703606
-200.0,200,330.784095
-200.0,200,332.160596
-200.0,200,333.253087
-200.0,200,334.927079
-200.0,200,336.176871
-200.0,200,337.47169
-200.0,200,338.722764
-200.0,200,339.906852
-200.0,200,341.406963
-200.0,200,342.509534
-200.0,200,344.069144
-200.0,200,345.288877
-200.0,200,346.629465
-200.0,200,348.018567
-200.0,200,349.347163
-200.0,200,350.755759
-200.0,200,351.872341
-200.0,200,353.415941
-200.0,200,354.502511
-200.0,200,355.982122
-200.0,200,357.286711
-200.0,200,358.590299
-200.0,200,359.827057
-200.0,200,360.99304
-200.0,200,362.617148
-200.0,200,363.746389
-200.0,200,365.113832
-200.0,200,366.363427
-200.0,200,367.539155
-200.0,200,368.882291
-200.0,200,370.10446
-200.0,200,371.595045
-200.0,200,372.639638
-200.0,200,374.019178
-200.0,200,374.99351
-200.0,200,376.647941
-200.0,200,377.910724
-200.0,200,379.319926
-200.0,200,380.641446
-200.0,200,381.944736
-200.0,200,383.403983
-200.0,200,384.488863
-200.0,200,386.183979
-200.0,200,387.447841
-200.0,200,388.541355
-200.0,200,389.739988
-200.0,200,390.925124
-200.0,200,392.362156
-200.0,200,393.472246
-200.0,200,394.928334
-200.0,200,396.027919
-200.0,200,397.646912
-200.0,200,398.852997
-200.0,200,400.190096
-200.0,200,401.308652
-200.0,200,402.568238
-200.0,200,403.942839
-200.0,200,405.007414
-200.0,200,406.67503
-200.0,200,407.94412
-200.0,200,409.375718
-200.0,200,410.695302
-200.0,200,411.885292
-200.0,200,413.455787
-200.0,200,414.469287
-200.0,200,415.909276
-200.0,200,416.926278
-200.0,200,418.518271
-200.0,200,419.809261
-200.0,200,421.187262
-200.0,200,422.608749
-200.0,200,423.811255
-200.0,200,425.278739
-200.0,200,426.435241
-200.0,200,428.012738
-200.0,200,429.265096
-200.0,200,430.498182
-200.0,200,431.776459
-200.0,200,432.998607
-200.0,200,434.526211
-200.0,200,435.606749
-200.0,200,437.216049
-200.0,200,438.269444
-200.0,200,439.779215
-200.0,200,440.975102
-200.0,200,442.35509
-200.0,200,443.745742
-200.0,200,445.011441
-200.0,200,446.443862
-200.0,200,447.497001
-200.0,200,449.15249
-200.0,200,450.387072
-200.0,200,451.876729
-200.0,200,453.134815
-200.0,200,454.438403
-200.0,200,455.886112
-200.0,200,457.0892
-200.0,200,458.6098
-200.0,200,459.605867
-200.0,200,461.206997
-200.0,200,462.48963
-200.0,200,463.946217
-200.0,200,465.346889
-200.0,200,466.629091
-200.0,200,468.15021
-200.0,200,469.289293
-200.0,200,470.969484
-200.0,200,472.228206
-200.0,200,473.700808
-200.0,200,474.936798
-200.0,200,476.227544
-200.0,200,477.503894
-200.0,200,478.762816
-200.0,200,480.340065
-200.0,200,481.416642
-200.0,200,483.092298
-200.0,200,484.360391
-200.0,200,485.81199
-200.0,200,487.22197
-200.0,200,488.497557
-200.0,200,489.755639
-200.0,200,490.859215
-200.0,200,492.45433
-200.0,200,493.687928
-200.0,200,494.98631
-200.0,200,496.319889
-200.0,200,497.523132
-200.0,200,498.917616
-200.0,200,500.026195
-200.0,200,501.5048
-200.0,200,502.516869
-200.0,200,504.200002
-200.0,200,505.431657
-200.0,200,506.632739
-200.0,200,507.985735
-200.0,200,509.212821
-200.0,200,510.690432
-200.0,200,511.817665
-200.0,200,513.211714
-200.0,200,514.436349
-200.0,200,515.650204
-200.0,200,516.904824
-200.0,200,518.157888
-200.0,200,519.684997
-200.0,200,520.674207
-200.0,200,522.192906
-200.0,200,523.194534
-200.0,200,524.812752
-200.0,200,526.099341
-200.0,200,527.346354
-200.0,200,528.546884
-200.0,200,529.754963
-200.0,200,531.309659
-200.0,200,532.349754
-200.0,200,533.894032
-200.0,200,535.143114
-200.0,200,536.599738
-200.0,200,537.692822
-200.0,200,538.917904
-200.0,200,540.242096
-200.0,200,541.345232
-200.0,200,542.76735
-200.0,200,543.802991
-200.0,200,545.389933
-200.0,200,546.670016
-200.0,200,548.00312
-200.0,200,549.366717
-200.0,200,550.42787
-200.0,200,551.779032
-200.0,200,552.868102
-200.0,200,554.346703
-200.0,200,555.574789
-200.0,200,556.89289
-200.0,200,558.028587
-200.0,200,559.271669
-200.0,200,560.761229
-200.0,200,561.874226
-200.0,200,563.389776
-200.0,200,564.408852
-200.0,200,565.824956
-200.0,200,567.058036
-200.0,200,568.339628
-200.0,200,569.660217
-200.0,200,570.892802
-200.0,200,572.152444
-200.0,200,573.210146
-200.0,200,574.667784
-200.0,200,575.894715
-200.0,200,577.290813
-200.0,200,578.48843
-200.0,200,579.64601
-200.0,200,580.988778
-200.0,200,582.043847
-200.0,200,583.582525
-200.0,200,584.698281
-200.0,200,586.444643
-200.0,200,587.678741
-200.0,200,588.906943
-200.0,200,590.186538
-200.0,200,591.459113
-200.0,200,592.756616
-200.0,200,593.94861
-200.0,200,595.50617
-200.0,200,596.71026
-200.0,200,597.864836
-200.0,200,599.05892
-200.0,200,600.283406
-200.0,200,601.544993
-200.0,200,602.615314
-200.0,200,603.9727
-200.0,200,605.014907
-200.0,200,606.631021
-200.0,200,607.882118
-200.0,200,609.224721
-200.0,200,610.451374
-200.0,200,611.736558
-200.0,200,613.167202
-200.0,200,614.334284
-200.0,200,616.070718
-200.0,200,617.307306
-200.0,200,618.510898
-200.0,200,619.798503
-200.0,200,620.935578
-200.0,200,622.305503
-200.0,200,623.502372
-200.0,200,624.828493
-200.0,200,625.87049
-200.0,200,627.350978
-200.0,200,628.55748
-200.0,200,629.756968
-200.0,200,631.22047
-200.0,200,632.371437
-200.0,200,633.851953
-200.0,200,634.910495
-200.0,200,636.55861
-200.0,200,637.821948
-200.0,200,639.203873
-200.0,200,640.519462
-200.0,200,641.854062
-200.0,200,643.423805
-200.0,200,644.510381
-200.0,200,646.11606
-200.0,200,647.1996
-200.0,200,648.706768
-200.0,200,649.96566
-200.0,200,651.245249
-200.0,200,652.531108
-200.0,200,653.87772
-200.0,200,655.209391
-200.0,200,656.28446
-200.0,200,657.77504
-200.0,200,659.025626
-200.0,200,660.253707
-200.0,200,661.50931
-200.0,200,662.846916
-200.0,200,664.264011
-200.0,200,665.477104
-200.0,200,666.901703
-200.0,200,668.023278
-200.0,200,669.526843
-200.0,200,670.706814
-200.0,200,672.065316
-200.0,200,673.443311
-200.0,200,674.589804
-200.0,200,676.116794
-200.0,200,677.248298
-200.0,200,678.720784
-200.0,200,679.97378
-200.0,200,681.046283
-200.0,200,682.36777
-200.0,200,683.752766
-200.0,200,685.30576
-200.0,200,686.399263
-200.0,200,688.053256
-200.0,200,689.136745
-200.0,200,690.705739
-200.0,200,692.01824
-200.0,200,693.243254
-200.0,200,694.643791
-200.0,200,695.862943
-200.0,200,697.13909
-200.0,200,698.247852
-200.0,200,699.781454
-200.0,200,701.001018
-200.0,200,702.371437
-200.0,200,703.660033
-200.0,200,704.997067
-200.0,200,706.482778
-200.0,200,707.709364
-200.0,200,709.229971
-200.0,200,710.286021
-200.0,200,711.779624
-200.0,200,712.962703
-200.0,200,714.221823
-200.0,200,715.614917
-200.0,200,716.697005
-200.0,200,718.183576
-200.0,200,719.267611
-200.0,200,720.683317
-200.0,200,721.931549
-200.0,200,723.382561
-200.0,200,724.532645
-200.0,200,725.681235
-200.0,200,727.129838
-200.0,200,728.200413
-200.0,200,729.799531
-200.0,200,730.786094
-200.0,200,732.2782
-200.0,200,733.546623
-200.0,200,734.901509
-200.0,200,736.288668
-200.0,200,737.504842
-200.0,200,738.866014
-200.0,200,739.921587
-200.0,200,741.45619
-200.0,200,742.689896
-200.0,200,744.137703
-200.0,200,745.401291
-200.0,200,746.779886
-200.0,200,748.29649
-200.0,200,749.45758
-200.0,200,750.949198
-200.0,200,752.002769
-200.0,200,753.449859
-200.0,200,754.689949
-200.0,200,755.894025
-200.0,200,757.21813
-200.0,200,758.478216
-200.0,200,759.849305
-200.0,200,760.954873
-200.0,200,762.604943
-200.0,200,763.862022
-200.0,200,765.310583
-200.0,200,766.489172
-200.0,200,767.823843
-200.0,200,769.223938
-200.0,200,770.422029
-200.0,200,772.093136
-200.0,200,773.146704
-200.0,200,774.60545
-200.0,200,775.792608
-200.0,200,776.961682
-200.0,200,778.369416
-200.0,200,779.591498
-200.0,200,780.942817
-200.0,200,782.074399
-200.0,200,783.817519
-200.0,200,785.093602
-200.0,200,786.490704
-200.0,200,787.681784
-200.0,200,788.774355
-200.0,200,790.227478
-200.0,200,791.434353
-200.0,200,792.765957
-200.0,200,793.827356
-200.0,200,795.362966
-200.0,200,796.657461
-200.0,200,797.969357
-200.0,200,799.279039
-200.0,200,800.390207
-200.0,200,801.884768
-200.0,200,803.007431
-200.0,200,804.618538
-200.0,200,805.873628
-200.0,200,807.205724
-200.0,200,808.518315
-200.0,200,809.923414
-200.0,200,811.251996
-200.0,200,812.370568
-200.0,200,813.89818
-200.0,200,814.87324
-200.0,200,816.305836
-200.0,200,817.527916
-200.0,200,818.921015
-200.0,200,820.282598
-200.0,200,821.45368
-200.0,200,823.055804
-200.0,200,824.171379
-200.0,200,825.733548
-200.0,200,826.972628
-200.0,200,828.156707
-200.0,200,829.467302
-200.0,200,830.910919
-200.0,200,832.410518
-200.0,200,833.318079
-200.0,200,834.872687
-200.0,200,835.866765
-200.0,200,837.419873
-200.0,200,838.672965
-200.0,200,840.067065
-200.0,200,841.349653
-200.0,200,842.614248
-200.0,200,844.156847
-200.0,200,845.190912
-200.0,200,846.738156
-200.0,200,847.978233
-200.0,200,849.333426
-200.0,200,850.439008
-200.0,200,851.744596
-200.0,200,853.210332
-200.0,200,854.307411
-200.0,200,855.729011
-200.0,200,856.822582
-200.0,200,858.380191
-200.0,200,859.640779
-200.0,200,860.876858
-200.0,200,862.23397
-200.0,200,863.260044
-200.0,200,864.696141
-200.0,200,865.844223
-200.0,200,867.403828
-200.0,200,868.639412
-200.0,200,869.989007
-200.0,200,871.230598
-200.0,200,872.469683
-200.0,200,873.75928
-200.0,200,874.868853
-200.0,200,876.356455
-200.0,200,877.443539
-200.0,200,878.915151
-200.0,200,880.169234
-200.0,200,881.502878
-200.0,200,882.808486
-200.0,200,883.847063
-200.0,200,885.296173
-200.0,200,886.319761
-200.0,200,887.860363
-200.0,200,889.085445
-200.0,200,890.612566
-200.0,200,891.969226
-200.0,200,893.192311
-200.0,200,894.591414
-200.0,200,895.743511
-200.0,200,897.212121
-200.0,200,898.290207
-200.0,200,899.662307
