#{"t_start": 1752915658.5706592, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.142751
-200.0,200,0.277464
-200.0,200,0.413451
-200.0,200,0.545459
-200.0,200,0.67606
-200.0,200,0.816055
-200.0,200,0.951142
-200.0,200,1.085393
-200.0,200,1.221138
-200.0,200,1.357097
-200.0,200,2.875289
-200.0,200,3.005978
-200.0,200,3.142442
-200.0,200,3.273342
-200.0,200,3.399113
-200.0,200,3.53104
-200.0,200,3.651115
-200.0,200,3.778411
-200.0,200,3.909826
-200.0,200,4.043367
-200.0,200,5.559153
-200.0,200,5.691371
-200.0,200,5.821564
-200.0,200,5.952301
-200.0,200,6.082425
-200.0,200,6.212949
-200.0,200,6.348306
-200.0,200,6.47936
-200.0,200,6.604413
-200.0,200,6.72742
-200.0,200,8.223943
-200.0,200,8.349079
-200.0,200,8.477002
-200.0,200,8.609745
-200.0,200,8.736487
-200.0,200,8.869384
-200.0,200,8.99396
-200.0,200,9.124169
-200.0,200,9.253339
-200.0,200,9.387395
-200.0,200,10.903071
-200.0,200,11.028191
-200.0,200,11.16009
-200.0,200,11.293061
-200.0,200,11.421977
-200.0,200,11.554425
-200.0,200,11.681349
-200.0,200,11.812446
-200.0,200,11.943383
-200.0,200,12.077913
-200.0,200,12.200981
-200.0,200,13.719968
-200.0,200,13.852068
-200.0,200,13.983008
-200.0,200,14.10897
-200.0,200,14.240937
-200.0,200,14.359574
-200.0,200,14.482286
-200.0,200,14.613662
-200.0,200,14.745337
-200.0,200,14.874994
-200.0,200,16.383356
-200.0,200,16.508197
-200.0,200,16.631249
-200.0,200,16.761778
-200.0,200,16.895052
-200.0,200,17.025581
-200.0,200,17.159423
-200.0,200,17.295125
-200.0,200,17.421032
-200.0,200,17.554177
-200.0,200,19.074496
-200.0,200,19.198817
-200.0,200,19.326701
-200.0,200,19.456275
-200.0,200,19.591088
-200.0,200,19.724029
-200.0,200,19.825104
-200.0,200,19.957457
-200.0,200,20.088935
-200.0,200,20.216963
-200.0,200,21.731021
-200.0,200,21.860931
-200.0,200,21.995506
-200.0,200,22.124492
-200.0,200,22.251349
-200.0,200,22.380897
-200.0,200,22.508553
-200.0,200,22.64091
-200.0,200,22.771975
-200.0,200,22.903933
-200.0,200,23.034237
-200.0,200,24.542896
-200.0,200,24.672282
-200.0,200,24.804202
-200.0,200,24.941209
-200.0,200,25.072344
-200.0,200,25.207169
-200.0,200,25.336107
-200.0,200,25.464876
-200.0,200,25.596212
-200.0,200,25.722142
-200.0,200,27.250035
-200.0,200,27.371195
-200.0,200,27.495915
-200.0,200,27.62345
-200.0,200,27.752978
-200.0,200,27.885282
-200.0,200,28.016311
-200.0,200,28.149773
-200.0,200,28.283847
-200.0,200,28.412118
-200.0,200,29.914146
-200.0,200,30.039157
-200.0,200,30.16969
-200.0,200,30.303387
-200.0,200,30.432967
-200.0,200,30.55522
-200.0,200,30.687255
-200.0,200,30.817592
-200.0,200,30.945525
-200.0,200,31.077025
-200.0,200,32.565448
-200.0,200,32.696285
-200.0,200,32.827612
-200.0,200,32.959942
-200.0,200,33.089725
-200.0,200,33.216978
-200.0,200,33.351219
-200.0,200,33.483955
-200.0,200,33.60849
-200.0,200,33.739791
-200.0,200,33.865628
-200.0,200,35.38685
-200.0,200,35.52007
-200.0,200,35.648147
-200.0,200,35.77576
-200.0,200,35.90619
-200.0,200,36.036133
-200.0,200,36.167166
-200.0,200,36.300879
-200.0,200,36.435881
-200.0,200,36.574862
-200.0,200,38.084827
-200.0,200,38.218352
-200.0,200,38.346022
-200.0,200,38.478148
-200.0,200,38.609812
-200.0,200,38.739156
-200.0,200,38.869141
-200.0,200,38.997237
-200.0,200,39.129914
-200.0,200,39.261084
-200.0,200,40.764828
-200.0,200,40.894275
-200.0,200,41.02526
-200.0,200,41.157902
-200.0,200,41.291117
-200.0,200,41.4253
-200.0,200,41.556459
-200.0,200,41.684319
-200.0,200,41.812873
-200.0,200,41.943971
-200.0,200,43.466373
-200.0,200,43.598434
-200.0,200,43.730064
-200.0,200,43.863364
-200.0,200,43.995913
-200.0,200,44.12905
-200.0,200,44.260828
-200.0,200,44.38987
-200.0,200,44.516872
-200.0,200,44.649837
-200.0,200,44.779878
-200.0,200,46.401538
-200.0,200,46.533915
-200.0,200,46.669243
-200.0,200,46.802567
-200.0,200,46.933785
-200.0,200,47.066663
-200.0,200,47.201999
-200.0,200,47.336812
-200.0,200,47.463575
-200.0,200,47.605148
-200.0,200,49.225262
-200.0,200,49.356242
-200.0,200,49.485749
-200.0,200,49.608865
-200.0,200,49.733226
-200.0,200,49.856716
-200.0,200,49.983282
-200.0,200,50.111988
-200.0,200,50.243087
-200.0,200,50.375828
-200.0,200,51.969177
-200.0,200,52.095299
-200.0,200,52.228581
-200.0,200,52.366688
-200.0,200,52.499001
-200.0,200,52.632978
-200.0,200,52.769746
-200.0,200,52.898553
-200.0,200,53.026936
-200.0,200,53.155039
-200.0,200,54.751021
-200.0,200,54.878945
-200.0,200,55.000784
-200.0,200,55.136898
-200.0,200,55.25904
-200.0,200,55.391826
-200.0,200,55.521111
-200.0,200,55.653076
-200.0,200,55.792197
-200.0,200,55.923078
-200.0,200,56.054235
-200.0,200,57.59385
-200.0,200,57.717678
-200.0,200,57.841891
-200.0,200,57.97304
-200.0,200,58.093139
-200.0,200,58.227735
-200.0,200,58.35573
-200.0,200,58.489782
-200.0,200,58.623122
-200.0,200,58.757336
-200.0,200,60.264624
-200.0,200,60.391972
-200.0,200,60.524618
-200.0,200,60.655872
-200.0,200,60.789419
-200.0,200,60.917247
-200.0,200,61.047936
-200.0,200,61.181496
-200.0,200,61.308044
-200.0,200,61.435749
-200.0,200,62.949499
-200.0,200,63.079142
-200.0,200,63.212117
-200.0,200,63.341672
-200.0,200,63.471389
-200.0,200,63.593611
-200.0,200,63.733436
-200.0,200,63.855025
-200.0,200,63.979574
-200.0,200,64.107919
-200.0,200,65.667467
-200.0,200,65.80721
-200.0,200,65.942772
-200.0,200,66.076564
-200.0,200,66.218458
-200.0,200,66.35279
-200.0,200,66.489693
-200.0,200,66.620767
-200.0,200,66.749721
-200.0,200,66.881933
-200.0,200,67.015835
-200.0,200,68.538509
-200.0,200,68.666843
-200.0,200,68.798894
-200.0,200,68.930875
-200.0,200,69.055709
-200.0,200,69.173779
-200.0,200,69.305245
-200.0,200,69.43531
-200.0,200,69.566073
-200.0,200,69.697795
-200.0,200,71.23576
-200.0,200,71.362866
-200.0,200,71.496161
-200.0,200,71.627839
-200.0,200,71.76978
-200.0,200,71.892527
-200.0,200,72.01591
-200.0,200,72.148001
-200.0,200,72.289099
-200.0,200,72.423167
-200.0,200,73.986328
-200.0,200,74.116593
-200.0,200,74.2462
-200.0,200,74.364699
-200.0,200,74.496818
-200.0,200,74.633539
-200.0,200,74.769249
-200.0,200,74.901905
-200.0,200,75.024229
-200.0,200,75.145296
-200.0,200,76.715184
-200.0,200,76.848059
-200.0,200,76.97607
-200.0,200,77.102186
-200.0,200,77.23298
-200.0,200,77.363189
-200.0,200,77.492254
-200.0,200,77.618444
