#{"t_start": 1752917499.8773446, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.232197
-200.0,200,2.492585
-200.0,200,3.786796
-200.0,200,5.091801
-200.0,200,6.188674
-200.0,200,7.46295
-200.0,200,8.547526
-200.0,200,9.966012
-200.0,200,11.187929
-200.0,200,12.598886
-200.0,200,13.796526
-200.0,200,14.924364
-200.0,200,16.324214
-200.0,200,17.492901
-200.0,200,18.961513
-200.0,200,19.975586
-200.0,200,21.487188
-200.0,200,22.721692
-200.0,200,24.116913
-200.0,200,25.339371
-200.0,200,26.492178
-200.0,200,27.98241
-200.0,200,29.007477
-200.0,200,30.65685
-200.0,200,31.902932
-200.0,200,33.198811
-200.0,200,34.46545
-200.0,200,35.655491
-200.0,200,37.033588
-200.0,200,38.223781
-200.0,200,39.553876
-200.0,200,40.605944
-200.0,200,42.272099
-200.0,200,43.481181
-200.0,200,44.830934
-200.0,200,46.181343
-200.0,200,47.275917
-200.0,200,48.764032
-200.0,200,49.746715
-200.0,200,51.255322
-200.0,200,52.48441
-200.0,200,53.855504
-200.0,200,55.162597
-200.0,200,56.485188
-200.0,200,57.892786
-200.0,200,58.99497
-200.0,200,60.462119
-200.0,200,61.538131
-200.0,200,63.204124
-200.0,200,64.443626
-200.0,200,65.776621
-200.0,200,67.014619
-200.0,200,68.241105
-200.0,200,69.674099
-200.0,200,70.681097
-200.0,200,72.053868
-200.0,200,73.257177
-200.0,200,74.653168
-200.0,200,75.85625
-200.0,200,77.05685
-200.0,200,78.518477
-200.0,200,79.689556
-200.0,200,81.05734
-200.0,200,82.111316
-200.0,200,83.583196
-200.0,200,84.811169
-200.0,200,86.192511
-200.0,200,87.431895
-200.0,200,88.638467
-200.0,200,90.066874
-200.0,200,91.146014
-200.0,200,92.683624
-200.0,200,93.865004
-200.0,200,95.129108
-200.0,200,96.427698
-200.0,200,97.619993
-200.0,200,98.902135
-200.0,200,100.074832
-200.0,200,101.479515
-200.0,200,102.503634
-200.0,200,104.210248
-200.0,200,105.467838
-200.0,200,106.567421
-200.0,200,107.965529
-200.0,200,109.182393
-200.0,200,110.628514
-200.0,200,111.675093
-200.0,200,112.961694
-200.0,200,114.171431
-200.0,200,115.566435
-200.0,200,116.889922
-200.0,200,118.186424
-200.0,200,119.483912
-200.0,200,120.588414
-200.0,200,122.095902
-200.0,200,123.088899
-200.0,200,124.665893
-200.0,200,125.909884
-200.0,200,127.202389
-200.0,200,128.53088
-200.0,200,129.723383
-200.0,200,131.302375
-200.0,200,132.338864
-200.0,200,133.725367
-200.0,200,134.914361
-200.0,200,136.203849
-200.0,200,137.493293
-200.0,200,138.697839
-200.0,200,140.128836
-200.0,200,141.26083
-200.0,200,142.85433
-200.0,200,143.898891
-200.0,200,145.451
-200.0,200,146.714631
-200.0,200,148.120025
-200.0,200,149.427089
-200.0,200,150.651689
-200.0,200,152.043785
-200.0,200,153.046453
-200.0,200,154.578923
-200.0,200,155.798543
-200.0,200,156.98764
-200.0,200,158.213008
-200.0,200,159.382599
-200.0,200,160.597272
-200.0,200,161.672941
-200.0,200,163.121012
-200.0,200,164.157587
-200.0,200,165.597247
-200.0,200,166.813079
-200.0,200,168.212173
-200.0,200,169.561229
-200.0,200,170.780264
-200.0,200,172.100751
-200.0,200,173.206252
-200.0,200,174.92276
-200.0,200,176.151247
-200.0,200,177.621235
-200.0,200,178.834727
-200.0,200,180.15972
-200.0,200,181.619188
-200.0,200,182.669713
-200.0,200,184.188236
-200.0,200,185.262701
