#{"t_start": 1752915388.3256853, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.143063
-200.0,200,0.270973
-200.0,200,0.403412
-200.0,200,0.537921
-200.0,200,0.669363
-200.0,200,0.791417
-200.0,200,0.925463
-200.0,200,1.058247
-200.0,200,1.184425
-200.0,200,1.316209
-200.0,200,2.85248
-200.0,200,2.98557
-200.0,200,3.113298
-200.0,200,3.245374
-200.0,200,3.378963
-200.0,200,3.516029
-200.0,200,3.651615
-200.0,200,3.779171
-200.0,200,3.906721
-200.0,200,4.046013
-200.0,200,5.581465
-200.0,200,5.71271
-200.0,200,5.843763
-200.0,200,5.975402
-200.0,200,6.110533
-200.0,200,6.248717
-200.0,200,6.387278
-200.0,200,6.517743
-200.0,200,6.657133
-200.0,200,6.797074
-200.0,200,8.335231
-200.0,200,8.468211
-200.0,200,8.601811
-200.0,200,8.739941
-200.0,200,8.863561
-200.0,200,8.991215
-200.0,200,9.118017
-200.0,200,9.244524
-200.0,200,9.382107
-200.0,200,9.517667
-200.0,200,11.05605
-200.0,200,11.188468
-200.0,200,11.315124
-200.0,200,11.447982
-200.0,200,11.585676
-200.0,200,11.715938
-200.0,200,11.848485
-200.0,200,11.97522
-200.0,200,12.107848
-200.0,200,12.248257
-200.0,200,12.382224
-200.0,200,13.969263
-200.0,200,14.099002
-200.0,200,14.236186
-200.0,200,14.368045
-200.0,200,14.511127
-200.0,200,14.646442
-200.0,200,14.785569
-200.0,200,14.916188
-200.0,200,15.048308
-200.0,200,15.1856
-200.0,200,16.798419
-200.0,200,16.932891
-200.0,200,17.064779
-200.0,200,17.192949
-200.0,200,17.327182
-200.0,200,17.456941
-200.0,200,17.587759
-200.0,200,17.711883
-200.0,200,17.841293
-200.0,200,17.970169
-200.0,200,19.518465
-200.0,200,19.643176
-200.0,200,19.767207
-200.0,200,19.896143
-200.0,200,20.025952
-200.0,200,20.149926
-200.0,200,20.275345
-200.0,200,20.405965
-200.0,200,20.536938
-200.0,200,20.662301
-200.0,200,22.175679
