#{"t_start": 1753029385.3027403, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.038018
9.0,9,0.055029
19.0,19,0.089049
24.0,24,0.132068
28.0,28,0.182154
25.0,25,0.226727
22.0,22,0.658146
42.0,42,0.734188
28.0,28,0.784716
30.0,30,0.839246
23.0,23,1.402076
17.0,17,1.432593
11.0,11,1.452603
11.0,11,1.472612
22.0,22,1.513638
23.0,23,1.554659
27.0,27,1.604184
13.0,13,2.002902
29.0,29,2.05543
21.0,21,2.094453
17.0,17,2.124966
9.0,9,2.141472
18.0,18,2.173494
22.0,22,2.212511
12.0,12,2.638738
24.0,24,2.681267
11.0,11,2.702277
17.0,17,2.732295
13.0,13,2.755308
29.0,29,2.808276
34.0,34,3.277031
50.0,50,3.365595
11.0,11,3.386617
19.0,19,3.421131
18.0,18,3.453152
26.0,26,3.500175
19.0,19,4.127522
39.0,39,4.196561
17.0,17,4.227078
10.0,10,4.245087
16.0,16,4.275108
34.0,34,4.798684
56.0,56,4.898236
26.0,26,4.945763
17.0,17,4.976284
30.0,30,5.597123
21.0,21,5.634144
19.0,19,5.669661
18.0,18,5.70118
27.0,27,5.750709
25.0,25,5.796067
11.0,11,5.816077
13.0,13,6.211818
22.0,22,6.251837
13.0,13,6.27536
12.0,12,6.297373
20.0,20,6.333394
16.0,16,6.361405
16.0,16,6.390924
24.0,24,6.753135
16.0,16,6.78165
13.0,13,6.805164
27.0,27,6.853692
26.0,26,6.900217
10.0,10,6.918226
20.0,20,6.955245
24.0,24,7.374995
11.0,11,7.39451
14.0,14,7.419521
39.0,39,7.489559
16.0,16,7.518075
20.0,20,7.554096
16.0,16,8.07641
24.0,24,8.11943
16.0,16,8.147946
12.0,12,8.169958
79.0,79,8.980934
11.0,11,9.000947
37.0,37,9.068482
16.0,16,9.097502
18.0,18,9.130017
26.0,26,9.176043
22.0,22,9.680889
17.0,17,9.713466
11.0,11,9.734477
11.0,11,9.754488
19.0,19,9.787504
21.0,21,9.825522
16.0,16,9.854038
19.0,19,9.888064
65.0,65,10.307306
14.0,14,10.332817
20.0,20,10.368336
33.0,33,10.427871
23.0,23,11.190292
15.0,15,11.216806
25.0,25,11.261827
11.0,11,11.281342
25.0,25,11.327866
21.0,21,11.364889
15.0,15,11.750107
23.0,23,11.79063
25.0,25,11.836154
27.0,27,11.884184
43.0,43,11.960717
42.0,42,12.511527
15.0,15,12.539043
10.0,10,12.558054
21.0,21,12.596577
23.0,23,12.638596
28.0,28,13.13188
20.0,20,13.168901
36.0,36,13.232937
34.0,34,13.294476
11.0,11,13.314488
17.0,17,13.345004
50.0,50,13.921504
25.0,25,13.967027
14.0,14,13.993044
15.0,15,14.020563
23.0,23,14.061583
22.0,22,14.640943
61.0,61,14.751011
20.0,20,14.786539
40.0,40,15.449911
30.0,30,15.504448
22.0,22,15.54447
21.0,21,15.5825
15.0,15,15.610116
26.0,26,15.658645
40.0,40,16.139418
11.0,11,16.160429
18.0,18,16.192448
15.0,15,16.218963
12.0,12,16.240971
73.0,73,16.823297
40.0,40,16.895673
27.0,27,16.944206
20.0,20,16.979721
17.0,17,17.506522
17.0,17,17.538035
13.0,13,17.561715
56.0,56,17.663776
37.0,37,18.389154
25.0,25,18.433674
28.0,28,18.484703
32.0,32,18.541225
20.0,20,18.577242
11.0,11,18.597755
22.0,22,19.076019
61.0,61,19.185573
18.0,18,19.219086
37.0,37,19.957959
37.0,37,20.023996
19.0,19,20.058513
28.0,28,20.108539
61.0,61,20.679487
47.0,47,20.764544
31.0,31,20.820066
61.0,61,21.358332
94.0,94,22.292275
77.0,77,22.429347
34.0,34,22.490375
39.0,39,23.285275
56.0,56,23.385321
69.0,69,24.114164
56.0,56,24.215211
63.0,63,24.960095
37.0,37,25.026132
69.0,69,25.150693
88.0,88,26.037181
29.0,29,26.089709
60.0,60,27.00043
65.0,65,27.119997
68.0,68,27.92494
71.0,71,28.054262
65.0,65,28.961231
62.0,62,29.074285
42.0,42,29.805654
115.0,115,30.972781
51.0,51,31.065829
30.0,30,31.120353
102.0,102,31.793206
230.0,230,33.109904
143.0,143,34.181544
219.0,219,35.528291
99.0,99,35.705392
116.0,116,36.742012
294.0,294,38.658895
192.0,192,40.009126
165.0,165,40.996406
167.0,167,42.554266
233.0,233,43.930562
170.0,170,45.47893
173.0,173,46.527514
162.0,162,47.798231
232.0,232,49.34957
290.0,290,51.13308
241.0,241,52.53436
226.0,226,54.092624
96.0,96,55.121249
155.0,155,56.091187
140.0,140,57.237001
199.0,199,58.578347
190.0,190,59.691027
153.0,153,61.125039
145.0,145,62.397904
157.0,157,63.542091
82.0,82,64.372238
170.0,170,65.82673
156.0,156,67.03605
169.0,169,68.12235
171.0,171,69.369159
153.0,153,70.517032
146.0,146,71.461015
157.0,157,72.526185
165.0,165,74.061956
174.0,174,75.322176
141.0,141,76.285349
157.0,157,77.296527
176.0,176,78.689267
156.0,156,79.903466
140.0,140,81.062673
144.0,144,82.062362
162.0,162,83.078538
158.0,158,84.577277
164.0,164,85.952999
174.0,174,87.027166
159.0,159,88.146081
135.0,135,89.540012
164.0,164,91.040735
161.0,161,92.108695
155.0,155,93.11236
158.0,158,94.206947
157.0,157,95.65644
148.0,148,96.668244
158.0,158,97.646435
157.0,157,98.597638
155.0,155,99.95292
164.0,164,101.361774
170.0,170,102.549519
162.0,162,103.573725
154.0,154,104.993815
152.0,152,106.316114
171.0,171,107.484232
157.0,157,108.681316
169.0,169,110.189387
161.0,161,111.484458
164.0,164,112.537007
135.0,135,113.691888
150.0,150,115.050222
136.0,136,116.53941
147.0,147,117.604045
179.0,179,118.719835
139.0,139,119.731057
166.0,166,120.924773
170.0,170,122.517735
161.0,161,123.589622
134.0,134,124.498466
155.0,155,125.448401
138.0,138,126.536608
156.0,156,127.97526
136.0,136,129.276149
160.0,160,130.495134
143.0,143,131.470451
144.0,144,132.467189
123.0,123,133.554929
147.0,147,134.416572
140.0,140,135.626559
154.0,154,136.986543
149.0,149,138.218537
140.0,140,139.320089
141.0,141,140.479193
137.0,137,141.371756
149.0,149,142.356372
144.0,144,143.269488
140.0,140,144.470313
146.0,146,145.807662
100.0,100,145.987252
135.0,135,147.127195
141.0,141,148.258539
57.0,57,149.534003
27.0,27,149.583513
138.0,138,150.415137
146.0,146,151.44147
160.0,160,152.933528
136.0,136,154.116393
147.0,147,155.266673
129.0,129,156.291183
143.0,143,157.471286
142.0,142,158.457632
152.0,152,159.469369
142.0,142,160.49682
144.0,144,161.562955
128.0,128,162.778653
145.0,145,164.148638
137.0,137,165.393955
142.0,142,166.604726
150.0,150,167.818787
138.0,138,168.842385
148.0,148,169.831512
140.0,140,170.794807
126.0,126,171.814937
140.0,140,173.008047
137.0,137,174.218145
129.0,129,175.449536
136.0,136,176.572107
139.0,139,178.012661
140.0,140,179.340548
132.0,132,180.449789
148.0,148,181.510849
117.0,117,182.618069
126.0,126,183.765716
119.0,119,184.88588
124.0,124,186.123726
82.0,82,186.271294
134.0,134,187.355772
137.0,137,188.645345
119.0,119,189.717973
132.0,132,190.977953
68.0,68,192.167529
118.0,118,193.147569
70.0,70,193.275073
139.0,139,194.187633
132.0,132,195.533183
121.0,121,196.936253
130.0,130,198.151314
134.0,134,199.388376
129.0,129,200.758954
120.0,120,202.078019
122.0,122,203.44609
135.0,135,204.692644
126.0,126,205.96571
138.0,138,207.357286
128.0,128,208.580838
28.0,28,209.76441
125.0,125,210.844461
132.0,132,211.996522
127.0,127,213.162071
130.0,130,214.365653
124.0,124,215.528188
130.0,130,216.873308
138.0,138,218.210367
124.0,124,219.190133
131.0,131,220.220836
128.0,128,221.254094
133.0,133,222.452717
136.0,136,223.445858
131.0,131,224.370485
59.0,59,224.478996
41.0,41,225.188095
135.0,135,226.269254
125.0,125,227.322027
34.0,34,227.383539
133.0,133,228.337157
123.0,123,229.284954
135.0,135,230.248904
130.0,130,231.238039
38.0,38,231.306551
143.0,143,232.262241
131.0,131,233.66062
134.0,134,235.149335
130.0,130,236.476973
131.0,131,237.802734
130.0,130,239.024997
138.0,138,240.21988
51.0,51,240.313325
68.0,68,241.051175
138.0,138,242.179544
131.0,131,243.463083
143.0,143,244.50934
127.0,127,245.651145
30.0,30,245.705657
132.0,132,246.554971
134.0,134,247.605737
131.0,131,248.535365
125.0,125,249.567895
126.0,126,250.628898
129.0,129,251.646367
99.0,99,252.566982
139.0,139,253.600117
79.0,79,254.472838
140.0,140,255.752372
133.0,133,256.804672
129.0,129,258.094446
134.0,134,259.200226
143.0,143,260.439715
120.0,120,261.452958
134.0,134,262.537044
88.0,88,263.513307
