#{"t_start": 1753076567.779133, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.041
16.0,16,0.069507
13.0,13,0.092507
51.0,51,0.186013
19.0,19,0.219013
16.0,16,0.8097
24.0,24,0.853703
16.0,16,0.882207
18.0,18,0.914207
34.0,34,0.974714
16.0,16,1.003714
16.0,16,1.032714
13.0,13,1.441742
16.0,16,1.470247
12.0,12,1.491247
15.0,15,1.519247
78.0,78,2.329302
18.0,18,2.36181
12.0,12,2.38281
15.0,15,2.40981
12.0,12,2.43281
21.0,21,2.470316
16.0,16,2.499821
33.0,33,2.934376
21.0,21,2.971883
16.0,16,3.000883
21.0,21,3.039883
23.0,23,3.080389
16.0,16,3.109389
14.0,14,3.135389
12.0,12,3.156894
57.0,57,3.586925
21.0,21,3.624924
27.0,27,3.673431
14.0,14,3.699431
53.0,53,4.404412
15.0,15,4.431412
22.0,22,4.470918
22.0,22,4.510918
40.0,40,5.10096
14.0,14,5.12596
33.0,33,5.184467
15.0,15,5.211467
20.0,20,5.24747
32.0,32,5.303974
16.0,16,5.77551
12.0,12,5.79751
59.0,59,5.901016
17.0,17,5.932016
21.0,21,5.969524
14.0,14,6.679072
29.0,29,6.731072
46.0,46,6.814579
24.0,24,6.858086
27.0,27,7.460127
16.0,16,7.489127
22.0,22,7.529127
28.0,28,7.578635
33.0,33,7.637635
10.0,10,7.655637
25.0,25,8.137365
16.0,16,8.166621
23.0,23,8.207621
15.0,15,8.234621
19.0,19,8.269129
10.0,10,8.287129
9.0,9,8.304129
26.0,26,8.670156
11.0,11,8.690156
12.0,12,8.712156
17.0,17,8.742157
16.0,16,8.770663
10.0,10,8.789663
44.0,44,8.86817
16.0,16,9.415703
40.0,40,9.487211
23.0,23,9.529211
21.0,21,9.566717
36.0,36,9.630717
12.0,12,10.109219
45.0,45,10.189725
25.0,25,10.233725
35.0,35,10.298232
55.0,55,10.947337
18.0,18,10.979842
29.0,29,11.031842
11.0,11,11.051844
13.0,13,11.075349
15.0,15,11.102349
16.0,16,11.62057
18.0,18,11.653572
20.0,20,11.690076
28.0,28,11.740076
37.0,37,11.806102
28.0,28,12.271637
12.0,12,12.292637
33.0,33,12.35164
22.0,22,12.390144
14.0,14,12.416144
15.0,15,12.443144
11.0,11,12.462651
25.0,25,12.949682
57.0,57,13.049188
25.0,25,13.094694
14.0,14,13.119694
18.0,18,13.829241
19.0,19,13.863748
17.0,17,13.894076
25.0,25,13.938076
30.0,30,13.992584
11.0,11,14.011583
44.0,44,14.495631
119.0,119,15.66622
20.0,20,15.70222
35.0,35,15.764726
39.0,39,15.834726
11.0,11,15.854728
14.0,14,16.314263
38.0,38,16.382771
17.0,17,16.41377
28.0,28,16.464278
16.0,16,16.493278
13.0,13,16.517278
18.0,18,17.011534
14.0,14,17.036535
21.0,21,17.073561
79.0,79,17.213068
14.0,14,17.989122
22.0,22,18.028122
18.0,18,18.061629
12.0,12,18.082628
54.0,54,18.178136
20.0,20,18.775909
54.0,54,18.87694
23.0,23,18.91994
16.0,16,18.949942
19.0,19,18.983447
23.0,23,19.581078
20.0,20,19.618078
24.0,24,19.660258
20.0,20,19.696258
20.0,20,19.732258
16.0,16,19.760542
29.0,29,20.139589
16.0,16,20.168096
40.0,40,20.240097
60.0,60,20.918645
28.0,28,20.969153
25.0,25,21.013153
37.0,37,21.079659
65.0,65,21.647821
72.0,72,21.775834
24.0,24,21.817834
24.0,24,22.462381
13.0,13,22.486382
32.0,32,22.544382
58.0,58,22.648397
19.0,19,23.33549
13.0,13,23.359994
52.0,52,23.451999
27.0,27,23.500504
43.0,43,24.211482
18.0,18,24.243482
48.0,48,24.329989
37.0,37,24.396497
24.0,24,24.972537
51.0,51,25.06255
23.0,23,25.10455
19.0,19,25.13755
19.0,19,25.688182
30.0,30,25.742182
36.0,36,25.807688
56.0,56,25.907195
21.0,21,26.574496
27.0,27,26.622001
30.0,30,26.675508
53.0,53,27.34656
16.0,16,27.376064
32.0,32,27.434064
57.0,57,27.535572
18.0,18,27.569078
22.0,22,28.223331
69.0,69,28.346841
51.0,51,29.05739
101.0,101,29.239401
28.0,28,30.197149
48.0,48,30.285655
15.0,15,30.313655
22.0,22,30.354658
25.0,25,30.398707
11.0,11,30.893068
31.0,31,30.94807
47.0,47,31.030574
39.0,39,31.099082
9.0,9,31.642718
77.0,77,31.783734
17.0,17,31.815735
64.0,64,32.705168
55.0,55,32.801675
21.0,21,32.838675
12.0,12,32.859678
28.0,28,33.500136
16.0,16,33.529136
94.0,94,34.604971
82.0,82,34.751986
38.0,38,34.81949
67.0,67,35.721298
15.0,15,35.748298
23.0,23,35.790482
28.0,28,35.842482
66.0,66,36.64811
19.0,19,36.681617
11.0,11,36.701616
41.0,41,37.448331
35.0,35,37.510837
20.0,20,37.545837
50.0,50,37.635345
60.0,60,38.263892
87.0,87,39.26211
52.0,52,39.353617
24.0,24,39.396122
44.0,44,39.474139
80.0,80,40.212589
62.0,62,41.069279
30.0,30,41.123279
12.0,12,41.145279
24.0,24,41.187786
95.0,95,41.941334
69.0,69,42.061843
16.0,16,42.090348
22.0,22,42.763762
57.0,57,42.864772
73.0,73,43.583847
29.0,29,43.634847
23.0,23,43.675354
23.0,23,43.717354
18.0,18,43.750356
88.0,88,44.242721
48.0,48,44.328228
50.0,50,45.172723
110.0,110,46.149284
191.0,191,47.249244
203.0,203,48.598558
82.0,82,48.743064
63.0,63,49.505904
188.0,188,50.548427
214.0,214,52.130059
141.0,141,53.140136
186.0,186,54.444701
136.0,136,55.600407
161.0,161,56.81389
142.0,142,57.742033
205.0,205,59.058133
209.0,209,60.272721
309.0,309,62.102636
120.0,120,63.183489
206.0,206,64.582586
219.0,219,66.123766
203.0,203,67.357839
245.0,245,68.654428
236.0,236,70.17854
176.0,176,71.520348
179.0,179,72.780849
175.0,175,73.86934
85.0,85,74.918334
158.0,158,76.019837
151.0,151,77.371831
382.0,382,79.234835
201.0,201,80.660942
92.0,92,81.578527
429.0,429,83.668247
500.0,500,85.904754
274.0,274,87.38306
500.0,500,89.787816
178.0,178,90.807792
302.0,302,92.769981
180.0,180,93.84247
500.0,500,96.266222
140.0,140,97.195533
166.0,166,98.554542
432.0,432,100.683956
181.0,181,101.692029
276.0,276,103.426152
190.0,190,104.782772
280.0,280,106.179441
312.0,312,108.057601
218.0,218,109.422697
185.0,185,110.8733
203.0,203,112.152409
246.0,246,113.768643
281.0,281,115.189476
217.0,217,116.829177
18.0,18,116.861177
310.0,310,118.522676
358.0,358,120.326671
500.0,500,122.417661
130.0,130,123.71215
500.0,500,126.130793
207.0,207,127.506658
170.0,170,128.508277
150.0,150,129.774341
146.0,146,131.248448
173.0,173,132.377229
139.0,139,133.334294
350.0,350,135.069319
244.0,244,136.645943
500.0,500,139.019397
186.0,186,140.423114
485.0,485,142.592263
