#{"t_start": 1753080441.0236573, "env_id": "FrozenLake-v1"}
r,l,t
0.0,10,0.031508
0.0,7,0.043507
0.0,2,0.047508
0.0,8,0.060507
0.0,8,0.074508
0.0,4,0.081508
0.0,28,0.128071
0.0,14,0.152074
0.0,4,0.159074
0.0,8,0.172074
0.0,2,0.176073
0.0,20,0.209074
0.0,8,0.223076
0.0,8,0.646538
0.0,5,0.654538
0.0,5,0.663539
0.0,6,0.673539
0.0,16,0.699538
0.0,2,0.703538
0.0,2,0.707538
0.0,3,0.712538
0.0,11,0.731045
0.0,3,0.736046
0.0,11,0.754046
0.0,5,0.763046
0.0,3,0.768045
0.0,11,0.786046
0.0,9,0.801211
0.0,14,0.824048
0.0,14,0.847504
0.0,9,1.126509
0.0,24,1.166013
0.0,24,1.205014
0.0,2,1.211014
0.0,2,1.214017
0.0,4,1.221016
0.0,7,1.233505
0.0,13,1.254505
0.0,3,1.260504
0.0,26,1.301505
0.0,16,1.328009
0.0,7,1.731038
0.0,4,1.738038
0.0,7,1.750038
0.0,10,1.767038
0.0,4,1.774038
0.0,3,1.779038
0.0,2,1.783038
0.0,13,1.805038
0.0,10,1.82104
0.0,11,1.839234
0.0,13,1.860234
0.0,2,1.864234
0.0,5,1.873234
0.0,5,1.881234
0.0,10,1.898234
0.0,10,1.914236
0.0,3,1.920236
0.0,3,1.925236
0.0,11,2.177276
0.0,5,2.186276
0.0,10,2.203276
0.0,14,2.226278
0.0,10,2.242501
0.0,4,2.250501
0.0,11,2.268502
0.0,11,2.287501
0.0,19,2.318504
0.0,15,2.343544
0.0,31,2.779573
0.0,5,2.788573
0.0,15,2.813573
0.0,5,2.822575
0.0,7,2.83408
0.0,13,2.85508
0.0,5,2.86408
0.0,5,2.87308
0.0,4,2.88008
0.0,10,2.89608
0.0,4,2.903081
0.0,7,2.915082
0.0,4,2.922082
0.0,11,2.940587
0.0,8,2.954587
0.0,7,2.967587
0.0,11,2.985587
0.0,5,3.253109
0.0,7,3.265109
0.0,13,3.286108
0.0,10,3.303108
0.0,22,3.339616
0.0,3,3.344615
0.0,11,3.363615
0.0,4,3.369616
0.0,14,3.392616
0.0,4,3.399615
0.0,8,3.412616
0.0,2,3.416618
0.0,2,3.420618
0.0,7,3.432123
0.0,2,3.436123
0.0,8,3.449123
0.0,2,3.452123
0.0,10,3.825905
0.0,2,3.829408
0.0,9,3.84441
0.0,5,3.852411
0.0,5,3.86141
0.0,5,3.869411
0.0,12,3.88941
0.0,5,3.898411
0.0,3,3.903411
0.0,5,3.911411
0.0,4,3.918413
0.0,2,3.922413
0.0,3,3.927413
0.0,11,3.945917
0.0,15,3.970917
0.0,2,3.974917
0.0,6,3.984917
0.0,12,4.005917
0.0,8,4.018919
0.0,2,4.02292
0.0,3,4.02792
0.0,2,4.031346
0.0,31,4.35287
0.0,2,4.356869
0.0,3,4.361869
0.0,2,4.365869
0.0,6,4.375869
0.0,2,4.379869
0.0,4,4.386869
0.0,7,4.397869
0.0,2,4.401869
0.0,9,4.416872
0.0,4,4.423872
0.0,4,4.430377
0.0,13,4.453377
0.0,11,4.471377
0.0,11,4.489377
0.0,3,4.494377
0.0,10,4.510377
0.0,4,4.517379
0.0,4,4.524379
0.0,9,4.927407
1.0,11,4.945911
0.0,16,4.972911
0.0,2,4.976911
0.0,5,4.984911
0.0,5,4.993911
0.0,12,5.013911
0.0,10,5.030419
0.0,10,5.047419
0.0,8,5.061418
0.0,3,5.066419
0.0,4,5.074419
0.0,3,5.079418
0.0,10,5.096418
0.0,9,5.111418
0.0,13,5.39894
0.0,6,5.408939
0.0,2,5.412939
0.0,6,5.422942
0.0,2,5.425942
0.0,8,5.439448
0.0,4,5.446448
0.0,5,5.455448
0.0,3,5.460448
0.0,12,5.481448
0.0,3,5.486448
0.0,9,5.501448
0.0,2,5.505448
0.0,12,5.52545
0.0,4,5.531955
0.0,2,5.535954
0.0,9,5.550954
0.0,8,5.564955
0.0,5,5.572954
0.0,5,5.581954
0.0,2,5.585955
0.0,4,5.592955
0.0,3,5.597955
0.0,7,5.610049
0.0,27,5.881167
0.0,8,5.894168
0.0,18,5.92317
0.0,4,5.930675
0.0,6,5.940675
0.0,5,5.948675
0.0,5,5.957675
0.0,11,5.975675
0.0,13,5.997675
0.0,9,6.012675
0.0,4,6.019678
0.0,3,6.024677
0.0,3,6.030182
0.0,10,6.047182
0.0,7,6.419707
0.0,8,6.433212
0.0,2,6.437212
0.0,14,6.459212
0.0,4,6.466212
0.0,14,6.489344
0.0,6,6.500211
0.0,3,6.505212
0.0,9,6.520214
0.0,2,6.524214
0.0,15,6.547719
0.0,4,6.554719
0.0,2,6.558719
0.0,6,6.568719
0.0,11,6.586719
