#{"t_start": 1753079693.9568827, "env_id": "FrozenLake-v1"}
r,l,t
0.0,9,0.03
0.0,10,0.048003
0.0,4,0.055003
0.0,4,0.0621
0.0,13,0.084101
0.0,14,0.107101
0.0,6,0.118101
0.0,2,0.122101
0.0,11,0.141103
0.0,3,0.147104
0.0,5,0.155608
0.0,3,0.16161
0.0,11,0.18061
0.0,2,0.18361
0.0,6,0.19361
0.0,3,0.19861
1.0,7,0.21061
0.0,15,0.23461
0.0,7,0.511787
0.0,6,0.521787
0.0,8,0.535787
0.0,6,0.545789
0.0,8,0.559293
0.0,13,0.581294
0.0,11,0.599293
1.0,11,0.618293
0.0,9,0.633293
0.0,8,0.646296
1.0,19,0.677801
0.0,3,0.683801
0.0,8,0.6968
0.0,8,0.709801
0.0,7,1.008323
0.0,5,1.017323
0.0,2,1.021323
0.0,24,1.06183
0.0,3,1.06683
0.0,3,1.07183
0.0,16,1.09883
0.0,3,1.103831
0.0,11,1.12183
0.0,3,1.12683
0.0,8,1.13983
0.0,14,1.163338
0.0,2,1.167338
0.0,2,1.171339
0.0,13,1.192338
0.0,29,1.614988
0.0,6,1.624988
0.0,4,1.631988
0.0,3,1.637988
0.0,6,1.64799
0.0,2,1.65199
0.0,4,1.658494
0.0,3,1.663494
0.0,7,1.675494
0.0,6,1.686495
0.0,11,1.704494
0.0,3,1.709494
0.0,2,1.713495
0.0,4,1.720494
0.0,18,1.749496
0.0,2,1.753497
0.0,9,1.768836
0.0,2,1.772836
0.0,23,2.124358
0.0,3,2.130358
0.0,9,2.14536
0.0,5,2.15436
0.0,8,2.167866
0.0,2,2.171866
0.0,12,2.191866
0.0,11,2.209866
0.0,8,2.222866
0.0,2,2.225866
0.0,9,2.240869
0.0,8,2.253869
0.0,4,2.261373
0.0,2,2.264373
0.0,5,2.273373
0.0,2,2.277373
0.0,5,2.285373
0.0,12,2.305373
0.0,8,2.318373
0.0,18,2.565665
0.0,10,2.581665
0.0,2,2.585665
0.0,10,2.601665
0.0,21,2.635665
0.0,11,2.653667
0.0,7,2.665993
0.0,9,2.679994
0.0,3,2.684994
0.0,2,2.688993
0.0,3,2.693994
0.0,6,2.703994
0.0,9,2.718994
0.0,2,2.722993
0.0,9,2.737994
0.0,6,2.747996
0.0,8,2.761502
0.0,11,3.119024
0.0,13,3.140024
0.0,8,3.154027
0.0,8,3.167531
0.0,11,3.185531
0.0,9,3.200531
0.0,4,3.207531
0.0,3,3.212531
0.0,3,3.218531
0.0,2,3.221531
0.0,15,3.246533
