#{"t_start": 1753079488.131883, "env_id": "FrozenLake-v1"}
r,l,t
0.0,11,0.889091
0.0,7,0.892088
0.0,9,0.89509
0.0,4,0.897093
0.0,3,0.898093
0.0,9,0.901089
0.0,2,0.901089
0.0,3,0.902088
0.0,23,0.909087
0.0,5,0.910089
0.0,9,0.913088
0.0,5,0.914088
0.0,10,0.917088
0.0,4,0.919087
0.0,2,0.919087
0.0,2,0.920088
0.0,20,0.926095
0.0,20,0.931094
0.0,17,0.937093
0.0,5,0.938091
0.0,7,0.940597
0.0,7,0.942597
0.0,4,0.9436
0.0,4,0.944597
0.0,11,0.948596
0.0,8,0.950596
0.0,6,0.952597
0.0,4,0.953596
0.0,8,0.955601
0.0,7,0.957597
0.0,5,0.959596
0.0,5,0.960596
0.0,3,0.961596
0.0,2,0.962596
0.0,3,0.963596
0.0,31,0.971596
0.0,5,0.973597
0.0,9,0.976596
0.0,13,0.979596
0.0,6,0.981596
0.0,3,0.982596
0.0,8,0.984596
0.0,5,0.986596
0.0,18,0.9916
0.0,10,0.994596
0.0,4,0.995596
0.0,8,0.997597
0.0,4,0.999596
0.0,15,1.003596
0.0,3,1.004596
0.0,6,1.006596
0.0,3,1.007596
0.0,10,1.010596
0.0,5,1.011596
0.0,4,1.012596
0.0,9,1.015596
0.0,6,1.017596
0.0,3,1.018596
0.0,4,1.019596
0.0,7,1.021596
0.0,3,1.022596
0.0,8,1.024596
0.0,14,1.028598
0.0,8,1.030598
0.0,20,1.036599
0.0,3,1.037599
0.0,2,1.038599
0.0,5,1.040102
0.0,5,1.041109
0.0,5,1.043105
0.0,4,1.044105
0.0,4,1.045105
0.0,8,1.047105
0.0,4,1.049105
0.0,6,1.050105
0.0,11,1.053106
0.0,16,1.058107
0.0,37,1.068107
0.0,11,1.071105
0.0,3,1.072105
0.0,3,1.073105
0.0,2,1.074105
0.0,13,1.077105
0.0,5,1.079105
0.0,11,1.082105
0.0,2,1.082105
0.0,16,1.087105
0.0,7,1.089105
0.0,3,1.090105
0.0,9,1.092105
0.0,8,1.095105
0.0,7,1.097105
0.0,3,1.098106
0.0,2,1.098106
0.0,10,1.101106
0.0,3,1.102105
0.0,12,1.106105
0.0,10,1.109105
0.0,9,1.111107
0.0,6,1.113107
0.0,9,1.116107
0.0,7,1.118105
0.0,7,1.120107
0.0,18,1.125109
0.0,6,1.127107
0.0,6,1.129108
0.0,18,1.135108
0.0,3,1.136108
0.0,7,1.13811
0.0,5,1.139614
0.0,3,1.140617
0.0,8,1.143622
0.0,15,1.147617
0.0,4,1.149617
0.0,10,1.152617
0.0,15,1.156617
0.0,18,1.161617
0.0,3,1.162618
0.0,8,1.165617
0.0,10,1.168619
0.0,3,1.169622
0.0,5,1.170618
0.0,5,1.17262
0.0,2,1.17262
0.0,4,1.17362
0.0,3,1.175618
0.0,28,1.183617
0.0,6,1.185616
0.0,4,1.187616
0.0,6,1.188617
0.0,16,1.194617
0.0,5,1.195616
0.0,7,1.197619
0.0,10,1.200616
0.0,4,1.201619
0.0,5,1.202617
0.0,18,1.207622
0.0,4,1.20962
0.0,2,1.20962
0.0,8,1.212617
0.0,6,1.213617
0.0,7,1.215617
0.0,17,1.220617
0.0,4,1.221617
0.0,3,1.222617
0.0,11,1.225623
0.0,8,1.22862
0.0,6,1.22962
0.0,6,1.23162
0.0,6,1.23362
0.0,4,1.234661
0.0,4,1.235662
0.0,6,1.237625
0.0,21,1.243142
1.0,9,1.246142
0.0,2,1.247141
0.0,4,1.248142
0.0,5,1.249142
0.0,4,1.250142
0.0,7,1.253138
1.0,8,1.25514
0.0,7,1.257137
0.0,2,1.258137
0.0,2,1.258137
0.0,14,1.262137
0.0,6,1.264141
