#{"t_start": 1753086607.0872898, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.387596
-200.0,200,2.697694
-200.0,200,3.984923
-200.0,200,5.258343
-200.0,200,6.551933
-200.0,200,8.095221
-200.0,200,9.055783
-200.0,200,10.63989
-200.0,200,11.888478
-200.0,200,13.384082
-200.0,200,14.695686
-200.0,200,15.851766
-200.0,200,17.29637
-200.0,200,18.539449
-200.0,200,20.002557
-200.0,200,21.115173
-200.0,200,22.965796
-200.0,200,24.173852
-200.0,200,25.415439
-200.0,200,26.822535
-200.0,200,27.93816
-200.0,200,29.233747
-200.0,200,30.32432
-200.0,200,32.004042
-200.0,200,33.288229
-200.0,200,34.539391
-200.0,200,35.752548
-200.0,200,37.041986
-200.0,200,38.473762
-200.0,200,39.42063
-200.0,200,40.946668
-200.0,200,41.956174
-200.0,200,43.509264
-200.0,200,44.769236
-200.0,200,46.05285
-200.0,200,47.332009
-200.0,200,48.561009
-200.0,200,49.932676
-200.0,200,51.078874
-200.0,200,52.580208
-200.0,200,53.810042
-200.0,200,55.106673
-200.0,200,56.241251
-200.0,200,57.41447
-200.0,200,58.868013
-200.0,200,59.975583
-200.0,200,61.581152
-200.0,200,62.693028
-200.0,200,64.262608
-200.0,200,65.534399
-200.0,200,66.630301
-200.0,200,68.03553
-200.0,200,69.281003
-200.0,200,70.6586
-200.0,200,71.820244
-200.0,200,73.371859
-200.0,200,74.600739
-200.0,200,76.220706
-200.0,200,77.535818
-200.0,200,78.756015
-200.0,200,80.145159
-200.0,200,81.312511
-200.0,200,82.978131
-200.0,200,84.026426
-200.0,200,85.605555
-200.0,200,86.851655
-200.0,200,87.874982
-200.0,200,89.171297
-200.0,200,90.326382
-200.0,200,91.82849
-200.0,200,92.913584
-200.0,200,94.474189
-200.0,200,95.71727
-200.0,200,97.023861
-200.0,200,98.344168
-200.0,200,99.421006
-200.0,200,100.790426
-200.0,200,101.816736
-200.0,200,103.386331
-200.0,200,104.448804
-200.0,200,106.187073
-200.0,200,107.379494
-200.0,200,108.608695
-200.0,200,109.844047
-200.0,200,110.975543
-200.0,200,112.196137
-200.0,200,113.294718
-200.0,200,114.728778
-200.0,200,115.927622
-200.0,200,117.401802
-200.0,200,118.653216
-200.0,200,119.885782
-200.0,200,121.410696
-200.0,200,122.395757
-200.0,200,123.792638
-200.0,200,124.770848
-200.0,200,126.374518
-200.0,200,127.643272
-200.0,200,128.902514
-200.0,200,130.189339
-200.0,200,131.251636
-200.0,200,132.880244
-200.0,200,133.921806
-200.0,200,135.561358
