#{"t_start": 1753085299.0773168, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,1.348975
-200.0,200,2.598361
-200.0,200,3.983229
-200.0,200,5.269668
-200.0,200,6.372394
-200.0,200,7.846579
-200.0,200,8.89792
-200.0,200,10.448372
-200.0,200,11.634402
-200.0,200,12.95123
-200.0,200,14.205706
-200.0,200,15.355075
-200.0,200,16.750384
-200.0,200,17.807929
-200.0,200,19.292653
-200.0,200,20.323644
-200.0,200,21.841956
-200.0,200,23.062958
-200.0,200,24.269684
-200.0,200,25.492061
-200.0,200,26.717113
-200.0,200,28.117477
-200.0,200,29.158279
-200.0,200,30.588706
-200.0,200,31.793056
-200.0,200,33.063146
-200.0,200,34.334188
-200.0,200,35.474873
-200.0,200,36.737493
-200.0,200,37.733943
-200.0,200,39.165282
-200.0,200,40.250173
-200.0,200,41.72008
-200.0,200,42.909402
-200.0,200,44.25918
-200.0,200,45.65938
-200.0,200,46.845384
-200.0,200,48.238043
-200.0,200,49.262867
-200.0,200,50.864219
-200.0,200,52.094959
-200.0,200,53.400635
-200.0,200,54.742838
-200.0,200,55.94066
-200.0,200,57.221807
-200.0,200,58.272472
-200.0,200,59.766275
-200.0,200,60.839309
-200.0,200,62.454374
-200.0,200,63.754262
-200.0,200,65.013752
-200.0,200,66.317469
-200.0,200,67.369558
-200.0,200,68.830523
-200.0,200,69.873574
-200.0,200,71.271961
-200.0,200,72.51083
-200.0,200,73.837745
-200.0,200,75.099957
-200.0,200,76.460556
-200.0,200,77.941171
-200.0,200,79.056259
-200.0,200,80.566074
-200.0,200,81.589264
-200.0,200,83.246191
-200.0,200,84.499728
-200.0,200,85.612995
-200.0,200,87.049706
-200.0,200,88.243803
-200.0,200,89.617975
-200.0,200,90.644355
-200.0,200,92.297207
-200.0,200,93.513802
-200.0,200,94.792403
-200.0,200,95.964139
-200.0,200,97.269834
-200.0,200,98.737449
-200.0,200,99.913162
-200.0,200,101.302156
-200.0,200,102.313659
-200.0,200,103.680177
-200.0,200,104.912768
-200.0,200,106.138124
-200.0,200,107.528044
-200.0,200,108.745729
-200.0,200,110.16068
-200.0,200,111.370657
-200.0,200,112.802338
-200.0,200,114.043098
-200.0,200,115.577202
-200.0,200,116.9891
-200.0,200,118.261655
-200.0,200,119.640809
-200.0,200,120.802691
-200.0,200,122.263789
-200.0,200,123.351465
-200.0,200,125.071083
-200.0,200,126.317519
-200.0,200,127.757789
-200.0,200,129.040078
-200.0,200,130.139164
-200.0,200,131.512864
-200.0,200,132.591595
-200.0,200,134.229326
-200.0,200,135.463806
-200.0,200,136.837677
-200.0,200,138.120264
-200.0,200,139.36752
-200.0,200,140.657107
-200.0,200,141.650176
-200.0,200,143.133283
-200.0,200,144.226856
-200.0,200,145.871963
-200.0,200,147.153568
-200.0,200,148.365652
-200.0,200,149.581739
