#{"t_start": 1753085025.1578832, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.980467
-200.0,200,1.03998
-200.0,200,1.101492
-200.0,200,1.169491
-200.0,200,1.298509
-200.0,200,1.43102
-200.0,200,1.564526
-200.0,200,1.698543
-200.0,200,1.836695
-200.0,200,1.969825
-200.0,200,3.49336
-200.0,200,3.623866
-200.0,200,3.759375
-200.0,200,3.8919
-200.0,200,4.024405
-200.0,200,4.156416
-200.0,200,4.286925
-200.0,200,4.422939
-200.0,200,4.552448
-200.0,200,4.680961
-200.0,200,6.211632
-200.0,200,6.340679
-200.0,200,6.476188
-200.0,200,6.607731
-200.0,200,6.739243
-200.0,200,6.870749
-200.0,200,7.005868
-200.0,200,7.137949
-200.0,200,7.272558
-200.0,200,7.400603
-200.0,200,8.927898
-200.0,200,9.062107
-200.0,200,9.195208
-200.0,200,9.327459
-200.0,200,9.457967
-200.0,200,9.591475
-200.0,200,9.724956
-200.0,200,9.861037
-200.0,200,9.994148
-200.0,200,10.126315
-200.0,200,11.654539
-200.0,200,11.789753
-200.0,200,11.921935
-200.0,200,12.054058
-200.0,200,12.188266
-200.0,200,12.320705
-200.0,200,12.453213
-200.0,200,12.589722
-200.0,200,12.724009
-200.0,200,12.857059
-200.0,200,12.990243
-200.0,200,14.524854
-200.0,200,14.660055
-200.0,200,14.794511
-200.0,200,14.931184
-200.0,200,15.067428
-200.0,200,15.201735
-200.0,200,15.331884
-200.0,200,15.468346
-200.0,200,15.599946
-200.0,200,15.733194
-200.0,200,17.258667
-200.0,200,17.390779
-200.0,200,17.52679
-200.0,200,17.659296
-200.0,200,17.790806
-200.0,200,17.917824
-200.0,200,18.049327
-200.0,200,18.176832
-200.0,200,18.309845
-200.0,200,18.443354
-200.0,200,19.98131
-200.0,200,20.110321
-200.0,200,20.245827
-200.0,200,20.373957
-200.0,200,20.505253
-200.0,200,20.635498
-200.0,200,20.769002
-200.0,200,20.904649
-200.0,200,21.03816
-200.0,200,21.169666
-200.0,200,22.701196
-200.0,200,22.833047
-200.0,200,22.963553
-200.0,200,23.095066
-200.0,200,23.225083
-200.0,200,23.354589
-200.0,200,23.485095
-200.0,200,23.616682
-200.0,200,23.747027
-200.0,200,23.878084
-200.0,200,24.010996
-200.0,200,25.549625
-200.0,200,25.678906
-200.0,200,25.809169
-200.0,200,25.941291
-200.0,200,26.073374
-200.0,200,26.20539
-200.0,200,26.338579
-200.0,200,26.469954
-200.0,200,26.599462
-200.0,200,26.730797
-200.0,200,28.250451
-200.0,200,28.380958
-200.0,200,28.513972
-200.0,200,28.642995
-200.0,200,28.7745
-200.0,200,28.910029
-200.0,200,29.042106
-200.0,200,29.175613
-200.0,200,29.307626
-200.0,200,29.444133
-200.0,200,30.970829
-200.0,200,31.103343
-200.0,200,31.239694
-200.0,200,31.37172
-200.0,200,31.503749
-200.0,200,31.634366
-200.0,200,31.765873
-200.0,200,31.895903
-200.0,200,32.025474
-200.0,200,32.158981
-200.0,200,33.674187
-200.0,200,33.803696
-200.0,200,33.938581
-200.0,200,34.07062
-200.0,200,34.202765
-200.0,200,34.331413
-200.0,200,34.45892
-200.0,200,34.589001
-200.0,200,34.720237
-200.0,200,34.855596
-200.0,200,34.990103
-200.0,200,36.515594
-200.0,200,36.651103
-200.0,200,36.783609
-200.0,200,36.916624
-200.0,200,37.048134
-200.0,200,37.179637
-200.0,200,37.312653
-200.0,200,37.444158
-200.0,200,37.574668
-200.0,200,37.711256
-200.0,200,39.245167
-200.0,200,39.376676
-200.0,200,39.514689
-200.0,200,39.643999
-200.0,200,39.780513
-200.0,200,39.914397
-200.0,200,40.049474
-200.0,200,40.181525
-200.0,200,40.316684
-200.0,200,40.45487
-200.0,200,41.995628
-200.0,200,42.131751
-200.0,200,42.264864
-200.0,200,42.398216
-200.0,200,42.529958
-200.0,200,42.663083
-200.0,200,42.802593
-200.0,200,42.938107
-200.0,200,43.074615
-200.0,200,43.208123
-200.0,200,44.755663
-200.0,200,44.889169
-200.0,200,45.021182
-200.0,200,45.153689
-200.0,200,45.286464
-200.0,200,45.421377
-200.0,200,45.557872
-200.0,200,45.693378
-200.0,200,45.830377
-200.0,200,45.961866
-200.0,200,46.095155
-200.0,200,47.640486
-200.0,200,47.774994
-200.0,200,47.910504
-200.0,200,48.045259
-200.0,200,48.175766
-200.0,200,48.309275
-200.0,200,48.443983
-200.0,200,48.571489
-200.0,200,48.701999
-200.0,200,48.830011
-200.0,200,50.385772
-200.0,200,50.518789
-200.0,200,50.649297
-200.0,200,50.778805
-200.0,200,50.908315
-200.0,200,51.034998
-200.0,200,51.169279
-200.0,200,51.299789
-200.0,200,51.427801
-200.0,200,51.557308
-200.0,200,53.090435
-200.0,200,53.226076
-200.0,200,53.357582
-200.0,200,53.49009
-200.0,200,53.623106
-200.0,200,53.754613
-200.0,200,53.890121
-200.0,200,54.021139
-200.0,200,54.151646
-200.0,200,54.280667
-200.0,200,55.831488
-200.0,200,55.961995
-200.0,200,56.093631
-200.0,200,56.224646
-200.0,200,56.356846
-200.0,200,56.489072
-200.0,200,56.621086
-200.0,200,56.754594
-200.0,200,56.8861
-200.0,200,57.018436
-200.0,200,57.152828
-200.0,200,58.688565
-200.0,200,58.821578
-200.0,200,58.953085
-200.0,200,59.084592
-200.0,200,59.217102
-200.0,200,59.351114
-200.0,200,59.485621
-200.0,200,59.619635
-200.0,200,59.750143
-200.0,200,59.883254
-200.0,200,61.422101
-200.0,200,61.554607
-200.0,200,61.688114
-200.0,200,61.819129
-200.0,200,61.951635
-200.0,200,62.086143
-200.0,200,62.217652
-200.0,200,62.351664
-200.0,200,62.483171
-200.0,200,62.61368
-200.0,200,64.146152
-200.0,200,64.280659
-200.0,200,64.414169
-200.0,200,64.54718
-200.0,200,64.679687
-200.0,200,64.810196
-200.0,200,64.943209
-200.0,200,65.073716
-200.0,200,65.206225
-200.0,200,65.343237
-200.0,200,66.880584
-200.0,200,67.014095
-200.0,200,67.146107
-200.0,200,67.281614
-200.0,200,67.415125
-200.0,200,67.551137
-200.0,200,67.685643
-200.0,200,67.818655
-200.0,200,67.953066
-200.0,200,68.089574
-200.0,200,68.220588
-200.0,200,69.761469
-200.0,200,69.895975
-200.0,200,70.033882
-200.0,200,70.16839
-200.0,200,70.3009
-200.0,200,70.432914
-200.0,200,70.568422
-200.0,200,70.704931
-200.0,200,70.834943
-200.0,200,70.97045
-200.0,200,72.506096
-200.0,200,72.640108
-200.0,200,72.772277
-200.0,200,72.903785
-200.0,200,73.033324
-200.0,200,73.164831
-200.0,200,73.298338
-200.0,200,73.433353
-200.0,200,73.56586
-200.0,200,73.701367
-200.0,200,75.250978
-200.0,200,75.386483
-200.0,200,75.521496
-200.0,200,75.657002
-200.0,200,75.790508
-200.0,200,75.923522
-200.0,200,76.056029
-200.0,200,76.190534
-200.0,200,76.325547
-200.0,200,76.459053
-200.0,200,78.015792
-200.0,200,78.143371
-200.0,200,78.277878
-200.0,200,78.412387
-200.0,200,78.546398
-200.0,200,78.682905
-200.0,200,78.815414
-200.0,200,78.947426
-200.0,200,79.082932
-200.0,200,79.218441
-200.0,200,80.786588
-200.0,200,80.917096
-200.0,200,81.050108
-200.0,200,81.183615
-200.0,200,81.315124
-200.0,200,81.450135
-200.0,200,81.583643
-200.0,200,81.718152
-200.0,200,81.850163
-200.0,200,81.982171
-200.0,200,82.111681
-200.0,200,83.69169
-200.0,200,83.838689
-200.0,200,83.985196
-200.0,200,84.129211
-200.0,200,84.259718
-200.0,200,84.394225
-200.0,200,84.53123
-200.0,200,84.667722
-200.0,200,84.804227
-200.0,200,84.937227
-200.0,200,86.495331
-200.0,200,86.629345
-200.0,200,86.762852
-200.0,200,86.89436
-200.0,200,87.028877
-200.0,200,87.162385
-200.0,200,87.295891
-200.0,200,87.428905
-200.0,200,87.561924
-200.0,200,87.696431
-200.0,200,89.25002
-200.0,200,89.384525
-200.0,200,89.520035
-200.0,200,89.659713
-200.0,200,89.791219
-200.0,200,89.934065
-200.0,200,90.068571
-200.0,200,90.205046
-200.0,200,90.341618
-200.0,200,90.475125
-200.0,200,92.028235
-200.0,200,92.162741
-200.0,200,92.28825
-200.0,200,92.428263
-200.0,200,92.56677
-200.0,200,92.702278
-200.0,200,92.838292
-200.0,200,92.972799
-200.0,200,93.107309
-200.0,200,93.24132
-200.0,200,93.374827
-200.0,200,94.917841
-200.0,200,95.053853
-200.0,200,95.18487
-200.0,200,95.32038
-200.0,200,95.457391
-200.0,200,95.594897
-200.0,200,95.730911
-200.0,200,95.865418
-200.0,200,95.999869
-200.0,200,96.134884
-200.0,200,97.681363
-200.0,200,97.816873
-200.0,200,97.954884
-200.0,200,98.092391
-200.0,200,98.225406
-200.0,200,98.360914
-200.0,200,98.494421
-200.0,200,98.626434
-200.0,200,98.757941
-200.0,200,98.894448
-200.0,200,100.444273
-200.0,200,100.578284
-200.0,200,100.712793
-200.0,200,100.843805
-200.0,200,100.980312
-200.0,200,101.10982
-200.0,200,101.243832
-200.0,200,101.379339
-200.0,200,101.514849
-200.0,200,101.649855
-200.0,200,103.18782
-200.0,200,103.32333
-200.0,200,103.457343
-200.0,200,103.58885
-200.0,200,103.721863
-200.0,200,103.854159
-200.0,200,103.984668
-200.0,200,104.122175
-200.0,200,104.258237
-200.0,200,104.39087
