#{"t_start": 1753090848.622316, "env_id": "LunarLander-v3"}
r,l,t
-125.654911,70,0.131508
-125.439568,92,1.133091
-47.174224,97,2.128158
-308.698429,112,2.311171
-238.039791,95,3.807904
-127.17261,70,4.709468
-63.578403,69,4.823975
-194.26297,128,5.718535
-317.509206,100,6.885617
-198.463312,74,7.82725
-87.747652,73,7.950761
-332.052772,98,8.962033
-131.1572,131,10.00761
-321.322662,68,10.121116
-105.253645,90,11.116689
-161.169672,60,12.159756
-138.813031,111,13.369337
-346.305635,148,14.952936
-124.318833,62,15.055942
-81.848621,84,16.007006
-147.794349,98,17.130579
-83.308719,73,17.253089
-373.425168,133,18.428179
-249.006372,131,19.416751
-145.956591,96,20.515831
-116.096012,91,21.545897
-482.067856,96,21.70691
-40.397113,69,22.855988
-249.71032,89,23.798073
-128.284056,106,23.974085
-286.267195,96,25.22717
-239.078092,75,26.278746
-237.102957,91,27.363316
-287.533826,73,27.485327
30.024529,73,28.452887
-23.676947,92,28.604898
-91.569053,58,29.66747
-116.355623,75,29.791976
-249.255283,147,31.114069
-62.085063,74,31.236575
-99.05337,91,32.193642
-314.537583,101,33.294215
-299.519046,72,33.414721
-209.838583,98,34.400785
-98.798844,115,35.414353
-231.511085,111,36.592427
-235.992116,105,37.87201
-137.250559,79,38.007517
-107.743286,68,38.882588
-123.495314,111,39.992162
-259.264798,76,40.12467
-188.130041,64,41.123733
-123.675686,96,41.283746
-460.927625,109,42.464317
-78.549446,74,43.675403
-163.021172,58,43.771909
-230.473868,72,44.617963
-60.322512,70,44.734468
-80.512328,74,45.575029
-388.033719,99,46.577095
-150.667095,112,47.858683
-409.865355,92,48.016696
-122.224867,107,48.987764
-356.833223,86,50.014838
-144.778971,64,50.124345
-362.668774,91,50.969415
-397.446225,76,51.99749
-99.390692,116,53.308064
-328.606361,75,53.433572
-43.294012,69,54.457648
3.607946,134,55.845284
-95.588622,74,55.970298
-107.085194,73,57.027373
-245.519475,107,58.122954
-299.951256,79,58.255462
-161.820166,58,59.222046
-274.144687,126,60.48977
-106.910191,77,60.618277
-93.744509,104,61.734857
-91.644915,69,62.691925
-83.059051,108,63.977019
-128.54209,108,64.156527
-112.949478,67,65.338604
-389.683102,116,66.335739
-387.04228,102,67.44582
-93.926232,59,67.543326
-129.606453,89,68.386887
-143.735496,116,69.580973
-111.154242,69,69.693478
-231.018695,91,70.721546
-58.11961,89,71.674116
-106.64327,117,72.94021
-394.365634,96,73.105224
-134.722289,83,74.110294
-136.162104,141,75.16287
-213.728184,72,76.165941
-92.953461,69,76.277953
-66.590944,79,77.224518
-111.271707,76,77.349025
-114.633418,101,78.289095
-61.857945,76,79.10466
-320.452087,132,80.371253
-83.337804,80,80.506763
-114.386531,97,81.658347
-130.641265,87,82.630455
-348.185909,113,83.583048
-139.147101,122,84.879647
-151.139282,90,85.028155
-194.752972,114,86.158738
-416.054311,86,87.31135
-113.24106,68,88.236916
-524.349367,87,88.380929
-109.899309,94,89.611105
-354.086132,130,90.74873
-266.868492,97,91.689362
-168.048355,98,91.85087
-329.084569,103,93.035953
-375.787666,105,94.168527
-111.770016,83,95.0921
-98.774034,69,95.205606
-117.560577,116,96.200683
-155.253937,97,97.262756
-134.776414,83,98.250927
-307.580415,75,98.37594
-183.924729,73,99.366115
-76.476843,81,99.499126
-112.380343,82,100.387687
-83.252984,84,101.369254
-120.063107,75,101.491265
-42.153723,123,102.512347
-83.049878,78,103.581428
