#{"t_start": 1753088762.6143987, "env_id": "LunarLander-v3"}
r,l,t
-107.917784,95,0.174017
-357.056246,98,1.388119
-275.731581,106,2.3922
-137.952297,75,2.518709
-107.319148,81,3.372282
41.468386,74,4.31836
-452.984097,94,4.473375
-169.772929,110,5.501602
-269.677031,79,6.407489
-166.616048,77,6.535
-80.614968,76,7.547584
-311.997077,102,8.517154
-35.704028,88,9.740419
-76.959773,117,9.933544
-130.770651,96,11.399855
-324.688747,95,12.459941
-270.724099,108,13.465516
-275.39823,90,13.616128
-227.954978,70,14.84953
-392.806656,138,15.902932
-75.726474,64,16.850484
-250.767209,93,17.003094
-404.190451,103,18.157298
-133.785355,102,19.187391
-107.145097,89,20.212509
-138.330474,68,20.325016
-7.336903,126,21.3451
-161.204694,80,22.354694
-305.562883,86,22.497238
-103.504009,96,23.484627
-440.924226,100,24.553614
-343.501202,99,25.574712
-227.676031,88,25.72222
-159.65719,130,26.988499
-118.895655,82,28.156092
-94.40636,90,29.13066
-149.332829,98,30.18324
-126.340825,107,30.357253
-144.050512,110,31.565348
-75.610318,56,32.610436
-86.574212,71,32.727943
-294.111203,128,33.73202
-429.980436,91,34.88546
-102.669495,70,35.000965
-107.001083,58,35.916541
-192.656861,90,36.863611
-338.127114,80,36.996118
-130.817026,83,37.985307
-179.576507,91,38.962381
-213.551804,78,39.090888
-388.739492,114,40.030454
-130.071226,92,41.173645
-73.083671,72,41.294158
-312.214185,103,42.365136
-112.610421,71,43.47332
-319.730498,109,44.597405
-58.630682,75,44.724017
-105.108251,83,45.793099
-287.282266,135,46.942893
-266.363173,72,47.064908
-73.611903,66,47.99248
-405.538586,112,49.016562
-75.115259,60,49.118072
-118.751958,108,49.983647
-431.186904,113,50.977734
-199.19772,80,51.829112
-241.721011,106,53.042392
-87.648749,70,53.15941
-134.597287,108,54.068077
-284.064332,96,55.153263
-50.851362,74,55.277278
-181.431611,97,56.162859
-126.379934,98,57.146753
-218.448523,70,57.263865
-233.961181,82,58.196547
-71.355933,72,59.13611
-291.758516,85,59.275124
-194.540595,125,60.41572
-357.060285,114,61.419262
-165.870819,77,62.366841
-240.759418,107,62.542349
-98.551602,68,63.697547
-61.889,71,64.633109
-125.369186,76,64.758619
-114.79475,73,65.817199
-266.896801,84,65.955709
-166.508245,130,67.063795
-70.772886,74,68.436393
-97.888242,67,69.357307
-335.797554,123,69.558325
-186.996597,92,70.823917
-222.008899,109,71.798995
-174.3619,86,72.796195
-254.65447,103,73.970299
17.901969,61,74.071807
-97.983786,107,75.050375
-139.704114,98,75.984446
-467.073433,97,76.146076
-353.109926,88,77.388316
-198.938411,64,78.335311
-68.905414,68,78.446818
