#{"t_start": 1753088334.3488562, "env_id": "LunarLander-v3"}
r,l,t
-77.77644,74,1.021904
-111.197805,88,1.051032
-396.070791,91,1.082595
-211.057221,95,1.112994
-141.928255,95,1.142906
-98.260324,81,1.170486
-99.26467,92,1.233929
-139.92906,70,1.286584
-150.207798,69,1.337112
-98.377167,91,1.400882
-125.609626,125,1.49006
-74.893414,69,1.539438
-242.034394,96,1.604035
-285.513257,75,1.656983
-147.846825,107,1.735722
-98.429537,90,1.79972
-74.533817,74,1.854557
-22.270379,128,1.952893
-60.44937,73,2.007004
-271.120596,81,2.063942
-169.005506,86,2.129808
-178.93124,63,2.179028
-126.981121,114,2.259806
-176.085394,90,3.792587
-89.900871,69,3.838607
-217.125385,103,3.907938
-95.339686,60,3.958002
-144.172558,95,4.03002
-265.848021,122,4.110571
-376.857051,94,4.179538
-118.592747,75,4.230595
-198.149235,91,4.29466
-408.069998,93,4.36112
-263.517957,97,4.426098
-322.642824,101,4.497992
-151.027258,125,4.586965
-230.349308,72,4.637844
-258.585429,89,4.696954
-231.773504,104,4.771483
-128.07618,125,4.863519
-220.890503,118,4.946551
-203.264964,100,5.019584
-185.832349,108,5.099131
-158.015287,120,5.185741
-139.082557,89,6.683572
-163.113143,133,6.778636
-90.651406,78,6.833659
-92.392111,71,6.885679
-111.415298,62,6.927694
-116.678879,75,6.981714
-76.145472,66,7.028232
-239.413566,94,7.097262
-76.726283,71,7.150793
-116.386938,72,7.203323
-138.660741,98,7.274368
-159.860931,135,7.371422
-153.515766,124,7.458767
-251.874219,94,7.521301
-132.615173,133,7.617854
-174.760647,64,7.665877
-107.542615,90,7.731903
-131.70707,90,7.79694
-117.575463,97,7.868972
-89.738557,65,7.917507
-184.529628,82,7.975887
-66.030474,118,8.060926
-153.694771,93,9.545994
-271.034537,122,9.627655
-219.10952,81,9.681783
-73.460886,103,9.754824
-45.686233,82,9.813352
-263.362093,98,9.883385
-106.289407,100,9.957922
-277.061248,100,10.02998
-252.498704,116,10.113019
-197.529346,107,10.189061
-154.425501,105,10.263091
-122.161127,83,10.324646
-135.803303,103,10.396687
-83.265903,88,10.458717
-219.746871,131,10.552769
-106.224674,84,10.613865
-164.05391,74,10.667892
-83.041297,105,10.742925
-49.799244,102,10.816972
-104.763751,102,10.889015
-127.059608,77,10.94054
-269.604206,88,12.445729
-92.631041,80,12.500756
-88.152524,128,12.587815
-94.602085,117,12.66685
-138.764006,98,12.737892
-88.761967,86,12.799417
-81.419316,75,12.850936
-146.977471,117,12.93698
-147.535464,101,13.011012
-91.191074,71,13.06054
-74.937696,78,13.115067
-138.207166,93,13.184099
-41.699291,77,13.237624
-25.591549,144,13.340175
-249.577839,119,13.428987
-35.095764,111,13.505529
-59.733186,105,13.578565
-78.071523,80,13.635596
-102.184434,135,13.726644
-145.648171,95,13.78919
-156.766576,101,13.861722
-88.612944,68,15.34166
-2.837058,83,15.399185
-57.367626,87,15.458208
-300.46036,125,15.54625
-101.07025,126,15.633291
-63.910549,128,15.722837
-79.562091,129,15.812873
-76.478389,75,15.866894
-187.481179,125,15.953931
-151.740557,109,16.033479
-82.080757,85,16.095006
-103.533578,98,16.163533
-46.051121,102,16.23356
-212.000688,129,16.324598
-134.774306,108,16.399626
-67.299133,132,16.488662
-93.522327,98,16.554191
-47.144736,76,16.605726
-114.159132,86,16.664773
-51.797227,145,18.190374
-31.113253,92,18.254898
-339.398724,109,18.331927
-192.129245,103,18.404267
-118.611802,90,18.46529
-110.475813,91,18.527815
-97.580096,96,18.591339
-260.745504,114,18.670374
-73.804867,69,18.721402
-99.931032,120,18.80644
-70.88851,89,18.867461
-25.998974,128,18.956496
-73.531595,102,19.028021
-119.638549,128,19.118552
-61.224834,114,19.19958
-120.674985,108,19.281624
-195.964795,118,19.361672
-130.258997,107,19.436461
-115.571127,98,19.508502
-229.731174,162,21.038075
-104.66654,130,21.128625
-64.178011,123,21.215162
-37.996172,121,21.302705
-11.844564,97,21.370735
-63.90578,86,21.433263
-73.108732,101,21.503797
-3.86601,111,21.58033
-131.734541,100,21.649861
-44.977302,156,21.760426
-101.761962,91,21.822955
-132.716462,96,21.892997
-92.222184,96,21.961034
-206.18266,150,22.069046
-114.728985,133,22.162505
-58.484691,72,22.213541
-100.675879,140,22.314084
-130.444384,143,22.416623
-83.430045,153,23.955416
-98.126161,202,24.097471
-216.244059,148,24.204513
-165.160679,173,24.327058
-258.727422,145,24.439145
-69.702138,183,24.566998
-233.790691,112,24.639028
-208.480279,165,24.757576
-106.703779,122,24.845616
-214.412144,157,24.956658
-80.414894,190,25.092712
-123.319645,141,25.194251
-48.602062,172,25.318799
-171.904128,100,26.827265
-115.434096,123,26.9163
-56.18221,75,26.970819
-25.177421,137,27.069357
-143.746776,132,27.164386
-77.772522,156,27.278341
-101.637194,112,27.359148
-88.560454,121,27.446026
-37.983895,92,27.511553
-7.894437,79,27.570131
-57.228808,157,27.681309
-48.520689,192,27.816194
-54.341692,107,27.896463
-106.207779,102,27.969178
-102.876385,143,28.07272
-204.197139,174,28.199042
-49.126179,115,29.709466
-138.525138,109,29.787351
-83.569397,91,29.849051
-110.801885,210,30.001792
-306.731832,160,30.120715
-69.097656,154,30.233271
-44.333174,180,30.366976
-118.49309,108,30.441531
-53.260463,156,30.55171
-95.340889,120,30.63747
-119.908907,143,30.73764
-1.933382,112,30.819414
-148.318034,91,30.882456
-92.968241,106,30.959994
-69.659936,160,31.073544
-127.466759,97,31.142575
9.01429,135,32.687649
-48.330218,137,32.786193
-83.166926,167,32.907791
33.663954,139,33.006334
-39.37721,157,33.118333
-137.634137,174,33.24496
-85.548397,144,33.346512
27.380774,136,33.444485
-68.805161,140,33.544165
12.29239,195,33.679751
-71.836338,212,33.828975
-58.738292,220,33.988105
-121.850034,115,35.511039
-276.54957,237,35.671233
-167.378431,247,35.844046
-50.821275,143,35.948788
5.861374,143,36.05785
-2.486792,191,36.194503
-363.285026,216,36.345214
-193.342411,170,36.468262
-99.133278,444,36.786536
-48.808877,125,36.87525
-278.160413,300,38.535972
17.115771,1000,39.263568
-6.26212,296,39.474209
-274.130802,162,39.586986
-39.77167,391,39.869214
-22.135596,372,41.557588
17.890258,150,41.660631
90.607047,1000,42.389597
-35.33378,207,42.540673
-51.522717,257,42.725485
-76.165646,105,44.241391
-23.641074,216,44.396464
-33.673825,243,44.571686
-140.063605,488,44.919575
-118.983033,272,45.115455
-150.683346,244,45.289244
-132.770247,250,45.469824
-32.903996,1000,47.635778
-16.896469,169,47.756334
73.161727,1000,48.480706
-172.281393,189,48.614409
72.519139,1000,50.787029
9.648402,231,50.945972
-75.760279,339,51.181421
35.755361,1000,53.359708
18.372256,1000,54.072379
4.021599,222,54.228778
-121.458542,356,55.913113
-140.169031,214,56.063372
-61.262951,198,56.202692
-135.91905,164,56.316242
15.223741,194,56.450632
18.076959,150,56.55779
-272.313079,337,56.796526
108.042179,1000,58.938537
-109.705655,209,59.082325
106.375096,1000,59.785866
-27.549212,255,59.962511
-118.094256,281,60.156328
39.429447,160,61.710845
-77.382082,247,61.884008
-2.827215,203,62.02574
-13.275892,208,62.171405
-28.14713,205,62.312558
65.29513,1000,63.033401
-52.276843,239,64.628632
-56.427891,169,64.745534
-32.110199,194,64.881268
-89.077831,246,65.054337
21.027048,189,65.189949
-51.698965,246,65.365058
24.081022,1000,67.497797
-15.865508,268,67.685548
-231.481042,455,68.004533
-47.517735,324,68.233999
25.825262,304,68.450032
-48.26202,246,68.625499
-60.862648,191,68.75653
-163.838204,369,70.49576
-73.756668,315,70.716715
-156.483814,532,71.085147
-124.431621,525,71.443762
-63.244687,415,73.155504
59.937936,1000,73.856301
43.083056,1000,74.556635
-146.07088,237,76.141019
76.050665,1000,76.855176
-213.614192,333,77.09021
114.794991,1000,79.222803
-210.961504,564,79.619536
16.424633,393,79.902477
-76.617989,584,80.299782
-99.587745,378,81.996454
-96.635939,365,82.255271
-171.024396,479,82.584882
-197.229489,570,82.983261
-51.485579,499,84.744594
4.228195,1000,85.452403
-210.765027,951,87.537198
31.175875,1000,88.239494
-113.24421,396,88.506598
-134.753454,1000,90.638091
-23.267857,1000,91.331679
74.347639,1000,93.475597
186.798893,666,93.951607
5.856889,1000,96.080843
66.513918,1000,96.791596
-36.911281,1000,97.497274
102.016047,1000,99.63698
61.205057,1000,100.343551
135.194963,1000,102.500547
-72.249267,634,102.942738
16.507629,1000,105.065971
182.96544,288,105.265058
121.263826,1000,105.975741
40.29068,1000,108.115798
113.136355,1000,108.835303
9.714083,463,110.578382
89.70678,1000,111.295231
138.796236,1000,113.43558
0.726594,366,113.696234
-37.247576,258,113.877596
92.098883,1000,114.576596
1.833747,366,116.247145
42.613001,251,116.422136
-12.471564,378,116.689797
0.925838,205,116.835642
126.035324,1000,117.559004
120.192821,1000,119.694589
-0.038773,272,119.881522
125.690413,1000,122.051076
140.843436,1000,122.766394
235.884733,476,123.101119
234.601413,766,125.095881
15.249223,342,125.339397
239.945523,507,125.694142
204.2643,565,126.104569
250.912049,484,127.934843
-25.486253,366,128.204726
-16.447784,326,128.44359
-46.156761,433,128.740728
235.324184,451,129.068148
207.88531,501,130.865051
229.624879,409,131.175222
0.889625,353,131.442191
179.028524,604,131.864601
218.046294,562,133.754151
235.929343,413,134.056732
-40.974844,512,134.423172
