#{"t_start": 1753103944.5117557, "env_id": "CartPole-v1"}
r,l,t
11.0,11,0.152189
18.0,18,0.185208
26.0,26,0.233729
32.0,32,0.293279
27.0,27,0.343805
16.0,16,0.756514
27.0,27,0.805543
14.0,14,0.831054
14.0,14,0.857061
16.0,16,0.88708
23.0,23,0.928598
16.0,16,0.958108
25.0,25,1.379366
14.0,14,1.405013
37.0,37,1.47054
23.0,23,1.51206
17.0,17,1.543573
10.0,10,1.562579
23.0,23,2.044901
32.0,32,2.102429
19.0,19,2.136941
30.0,30,2.191469
20.0,20,2.228484
10.0,10,2.24599
55.0,55,2.775493
13.0,13,2.801511
17.0,17,2.834024
43.0,43,2.913574
12.0,12,2.935583
19.0,19,3.499622
27.0,27,3.548144
17.0,17,3.579665
17.0,17,3.610689
17.0,17,3.641201
15.0,15,3.669714
20.0,20,4.084538
17.0,17,4.115049
61.0,61,4.226098
19.0,19,4.260269
21.0,21,4.298669
14.0,14,4.913996
39.0,39,4.98503
25.0,25,5.03055
50.0,50,5.122638
40.0,40,5.741385
31.0,31,5.797914
36.0,36,5.862944
23.0,23,5.905471
34.0,34,6.415748
15.0,15,6.443342
22.0,22,6.483277
35.0,35,6.548327
23.0,23,6.589857
24.0,24,7.048197
19.0,19,7.082711
14.0,14,7.108777
57.0,57,7.211323
37.0,37,7.963859
9.0,9,7.980867
16.0,16,8.010884
34.0,34,8.071911
40.0,40,8.143946
23.0,23,8.634225
35.0,35,8.696752
25.0,25,8.742273
14.0,14,8.768783
24.0,24,8.812325
11.0,11,8.832333
17.0,17,9.282544
13.0,13,9.306552
42.0,42,9.383586
10.0,10,9.401594
21.0,21,9.439611
43.0,43,10.003088
48.0,48,10.090631
41.0,41,10.165218
18.0,18,10.198232
29.0,29,10.835562
23.0,23,10.876577
19.0,19,10.912095
30.0,30,10.966677
37.0,37,11.452662
52.0,52,11.552721
40.0,40,11.630762
38.0,38,12.254916
22.0,22,12.295437
25.0,25,12.34196
32.0,32,12.403503
33.0,33,12.468046
54.0,54,12.982373
34.0,34,13.048421
40.0,40,13.120462
42.0,42,13.696288
43.0,43,13.77532
11.0,11,13.795832
23.0,23,13.83836
11.0,11,13.858367
38.0,38,14.408128
15.0,15,14.435138
38.0,38,14.503171
13.0,13,14.527181
35.0,35,15.063956
28.0,28,15.115984
33.0,33,15.177008
54.0,54,15.274552
26.0,26,15.917851
15.0,15,15.944364
24.0,24,15.987884
17.0,17,16.017903
53.0,53,16.114948
52.0,52,16.671815
28.0,28,16.722842
88.0,88,17.459696
13.0,13,17.483703
39.0,39,17.553743
47.0,47,18.119585
77.0,77,18.259144
38.0,38,18.326683
15.0,15,19.192731
55.0,55,19.291306
20.0,20,19.328825
56.0,56,20.039656
