#{"t_start": 1753103375.5065498, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.065176
20.0,20,0.101176
13.0,13,0.125175
16.0,16,0.154259
21.0,21,0.193259
42.0,42,0.654306
15.0,15,0.681306
29.0,29,0.734308
20.0,20,0.769814
22.0,22,0.809814
38.0,38,1.257349
11.0,11,1.27735
10.0,10,1.29535
27.0,27,1.343854
29.0,29,1.396857
22.0,22,1.436859
28.0,28,1.889897
14.0,14,1.915898
18.0,18,1.949404
37.0,37,2.017404
22.0,22,2.056911
30.0,30,2.109911
35.0,35,2.615444
46.0,46,2.697952
16.0,16,2.727952
38.0,38,3.3118
13.0,13,3.334802
17.0,17,3.366308
17.0,17,3.396308
27.0,27,3.445819
14.0,14,3.472818
10.0,10,3.491818
24.0,24,3.907845
19.0,19,3.941847
34.0,34,4.004351
21.0,21,4.042354
14.0,14,4.069508
25.0,25,4.113508
12.0,12,4.13551
18.0,18,4.62175
28.0,28,4.672194
13.0,13,4.696194
38.0,38,4.7647
13.0,13,4.7887
13.0,13,4.8127
14.0,14,5.342238
51.0,51,5.433744
22.0,22,5.47425
44.0,44,5.553756
9.0,9,6.159439
47.0,47,6.244947
56.0,56,6.344496
13.0,13,6.368498
12.0,12,7.049919
25.0,25,7.094919
14.0,14,7.119919
24.0,24,7.164459
17.0,17,7.19546
24.0,24,7.238462
28.0,28,7.636688
24.0,24,7.680192
10.0,10,7.699192
29.0,29,7.751805
52.0,52,7.847312
11.0,11,8.404531
13.0,13,8.427531
36.0,36,8.494038
12.0,12,8.515038
57.0,57,8.618544
15.0,15,9.199611
30.0,30,9.25388
11.0,11,9.27388
35.0,35,9.337882
49.0,49,9.898945
19.0,19,9.932947
13.0,13,9.956451
24.0,24,10.001452
11.0,11,10.021451
45.0,45,10.101959
17.0,17,10.709671
31.0,31,10.766179
20.0,20,10.804179
13.0,13,10.828179
12.0,12,10.850687
34.0,34,10.911687
17.0,17,11.39289
22.0,22,11.432892
35.0,35,11.495397
22.0,22,11.5354
14.0,14,11.563003
33.0,33,12.036746
25.0,25,12.083253
37.0,37,12.150854
39.0,39,12.219854
15.0,15,12.24836
14.0,14,12.735589
32.0,32,12.795093
13.0,13,12.819093
10.0,10,12.837095
40.0,40,12.9096
75.0,75,13.521643
16.0,16,13.550159
16.0,16,13.580193
27.0,27,13.630193
13.0,13,13.653711
21.0,21,14.207008
18.0,18,14.24001
15.0,15,14.267514
13.0,13,14.291514
18.0,18,14.324514
47.0,47,14.41012
19.0,19,15.063979
20.0,20,15.099979
26.0,26,15.146981
24.0,24,15.189587
11.0,11,15.209719
24.0,24,15.253093
15.0,15,15.629814
40.0,40,15.702321
18.0,18,15.734321
31.0,31,15.793933
45.0,45,16.372864
14.0,14,16.397864
46.0,46,16.481371
39.0,39,16.55189
12.0,12,16.57289
19.0,19,17.13963
38.0,38,17.208135
13.0,13,17.232135
60.0,60,17.971184
51.0,51,18.06369
48.0,48,18.149692
17.0,17,18.180192
16.0,16,18.812956
21.0,21,18.852189
10.0,10,18.870189
32.0,32,18.929189
17.0,17,18.96078
51.0,51,19.529224
10.0,10,19.547227
16.0,16,19.576731
19.0,19,19.612731
26.0,26,19.660853
49.0,49,19.752358
29.0,29,20.280896
27.0,27,20.330896
21.0,21,20.37135
18.0,18,20.404349
44.0,44,20.877702
19.0,19,20.911702
38.0,38,20.981209
16.0,16,21.010209
18.0,18,21.042331
68.0,68,21.588978
36.0,36,21.65399
25.0,25,21.698989
72.0,72,22.273144
32.0,32,22.330143
15.0,15,22.356745
38.0,38,22.915483
59.0,59,23.02199
12.0,12,23.043992
11.0,11,23.064496
72.0,72,23.855551
78.0,78,23.996056
59.0,59,24.853112
35.0,35,24.916617
82.0,82,25.736182
20.0,20,25.771689
41.0,41,25.846693
20.0,20,25.883195
36.0,36,26.339225
50.0,50,26.428734
49.0,49,26.51824
19.0,19,27.127282
49.0,49,27.21879
15.0,15,27.246792
63.0,63,27.950936
15.0,15,27.97844
48.0,48,28.063947
24.0,24,28.107947
63.0,63,28.811493
80.0,80,28.955506
31.0,31,29.809026
22.0,22,29.849028
73.0,73,29.982043
29.0,29,30.772097
37.0,37,30.839097
57.0,57,30.942605
43.0,43,31.639149
16.0,16,31.667655
52.0,52,31.768163
70.0,70,32.468323
21.0,21,32.509323
73.0,73,32.642833
66.0,66,33.421422
57.0,57,33.525929
41.0,41,34.255496
40.0,40,34.326499
25.0,25,34.372005
30.0,30,34.426005
96.0,96,35.038049
44.0,44,35.979115
43.0,43,36.064145
83.0,83,36.960221
58.0,58,37.065728
67.0,67,37.888291
93.0,93,38.056304
54.0,54,39.052871
49.0,49,39.147378
36.0,36,39.218884
52.0,52,39.907449
63.0,63,40.023957
95.0,95,40.880214
54.0,54,40.978721
55.0,55,41.743772
115.0,115,42.68784
100.0,100,42.866853
110.0,110,43.975432
81.0,81,45.081008
112.0,112,46.001129
96.0,96,46.984206
50.0,50,47.077713
80.0,80,47.935771
89.0,89,48.097787
81.0,81,49.099867
92.0,92,50.009766
152.0,152,51.301364
58.0,58,51.407872
32.0,32,52.125422
170.0,170,53.417022
210.0,210,54.704122
481.0,481,57.110428
177.0,177,58.514057
44.0,44,58.594565
139.0,139,59.513158
361.0,361,61.384292
186.0,186,62.435666
329.0,329,64.457942
307.0,307,65.934558
303.0,303,67.619096
251.0,251,69.236818
82.0,82,69.383831
435.0,435,71.416431
415.0,415,73.399082
69.0,69,73.522589
329.0,329,76.077295
432.0,432,77.997444
500.0,500,80.474338
470.0,470,82.941559
500.0,500,85.141714
454.0,454,87.085405
89.0,89,88.135487
242.0,242,89.56809
500.0,500,91.80076
190.0,190,92.833835
459.0,459,95.123003
500.0,500,97.302225
359.0,359,99.083455
500.0,500,101.484627
300.0,300,103.361764
266.0,266,104.765864
235.0,235,106.140806
251.0,251,107.586408
247.0,247,108.869576
264.0,264,110.49185
315.0,315,112.002982
165.0,165,113.420082
272.0,272,115.083234
281.0,281,116.674958
248.0,248,118.124783
383.0,383,120.140628
318.0,318,121.74175
306.0,306,123.760396
269.0,269,125.490272
421.0,421,127.504881
246.0,246,128.886976
231.0,231,130.236092
278.0,278,131.849784
446.0,446,133.924286
247.0,247,135.316452
295.0,295,137.313432
302.0,302,138.985559
302.0,302,140.472179
399.0,399,142.899369
412.0,412,145.007185
230.0,230,146.475291
207.0,207,147.733371
335.0,335,149.612521
291.0,291,151.114626
205.0,205,152.526719
206.0,206,153.798805
253.0,253,155.474423
239.0,239,157.064028
146.0,146,158.226618
205.0,205,159.64871
182.0,182,160.719277
185.0,185,162.251384
208.0,208,163.413475
189.0,189,165.016589
159.0,159,166.110676
187.0,187,167.406264
174.0,174,168.788361
169.0,169,169.860995
276.0,276,171.514665
250.0,250,173.094779
164.0,164,174.590923
247.0,247,176.041023
215.0,215,177.490635
197.0,197,178.873257
162.0,162,180.084374
157.0,157,181.079456
163.0,163,182.380558
182.0,182,183.671159
134.0,134,184.628734
137.0,137,185.602808
179.0,179,186.668387
174.0,174,188.2535
157.0,157,189.264578
159.0,159,190.338666
154.0,154,191.748764
215.0,215,193.231371
154.0,154,194.251943
209.0,209,195.727548
202.0,202,197.024143
169.0,169,198.307697
201.0,201,199.624288
175.0,175,201.100171
166.0,166,202.177039
168.0,168,203.379124
142.0,142,204.800061
176.0,176,206.099708
160.0,160,207.069272
181.0,181,208.228354
180.0,180,209.37343
157.0,157,210.392216
152.0,152,211.522404
198.0,198,213.118902
178.0,178,214.164397
207.0,207,215.659898
178.0,178,216.706955
214.0,214,218.232074
276.0,276,219.673357
236.0,236,221.281476
209.0,209,222.56022
223.0,223,223.840037
231.0,231,225.502653
183.0,183,226.868748
225.0,225,228.209491
165.0,165,229.872605
182.0,182,231.218772
494.0,494,233.489036
287.0,287,234.89213
268.0,268,236.415563
192.0,192,237.904055
232.0,232,239.39192
175.0,175,240.598103
251.0,251,241.963215
213.0,213,243.268881
199.0,199,244.558972
254.0,254,246.017745
231.0,231,247.433344
231.0,231,248.764938
448.0,448,250.736613
500.0,500,253.183836
344.0,344,255.140698
365.0,365,256.880318
357.0,357,258.817655
296.0,296,260.545759
429.0,429,262.58217
343.0,343,264.447873
352.0,352,266.253074
500.0,500,268.594241
315.0,315,270.46039
281.0,281,271.872637
373.0,373,273.759414
298.0,298,275.224627
339.0,339,277.117379
264.0,264,278.621943
317.0,317,280.336109
367.0,367,282.251996
286.0,286,284.393424
500.0,500,286.763856
500.0,500,289.074457
500.0,500,291.410932
462.0,462,293.711812
500.0,500,295.888761
500.0,500,298.060669
500.0,500,300.23029
500.0,500,302.613189
343.0,343,304.2253
500.0,500,306.643519
500.0,500,308.804398
500.0,500,311.07967
291.0,291,312.554291
262.0,262,314.1491
185.0,185,315.711572
190.0,190,316.867188
178.0,178,318.181276
142.0,142,319.37765
170.0,170,320.440881
188.0,188,321.810492
149.0,149,322.998238
176.0,176,324.136142
158.0,158,325.266702
157.0,157,326.767403
147.0,147,328.151966
168.0,168,329.307956
149.0,149,330.356164
153.0,153,331.463139
159.0,159,332.953271
157.0,157,334.202863
148.0,148,335.16295
135.0,135,336.119678
137.0,137,337.154803
149.0,149,338.229123
127.0,127,339.346305
116.0,116,340.406065
104.0,104,341.476039
111.0,111,342.454045
100.0,100,343.394132
122.0,122,344.487373
39.0,39,344.55588
133.0,133,345.375506
187.0,187,346.421187
175.0,175,348.046428
299.0,299,349.394916
230.0,230,350.786038
281.0,281,352.206648
187.0,187,353.551514
217.0,217,355.059124
246.0,246,356.561465
171.0,171,357.95203
312.0,312,359.756985
210.0,210,361.062001
222.0,222,362.322468
204.0,204,363.721584
194.0,194,364.988182
384.0,384,367.138326
49.0,49,367.225818
222.0,222,368.54832
213.0,213,369.892316
248.0,248,371.390803
247.0,247,372.924299
315.0,315,374.728017
242.0,242,376.352806
263.0,263,378.145851
