#{"t_start": 1753103221.6574798, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.987104
13.0,13,0.992104
29.0,29,1.004104
22.0,22,1.013104
10.0,10,1.017105
10.0,10,1.021104
18.0,18,1.028107
63.0,63,1.052596
37.0,37,1.066597
15.0,15,1.072597
16.0,16,1.078598
15.0,15,1.084596
16.0,16,1.090596
13.0,13,1.096596
11.0,11,1.100596
25.0,25,1.110596
15.0,15,1.116597
57.0,57,1.140105
31.0,31,1.156104
21.0,21,1.174105
12.0,12,1.183104
21.0,21,1.200105
15.0,15,1.212104
16.0,16,1.225108
11.0,11,1.233107
25.0,25,1.253613
23.0,23,1.273612
19.0,19,1.289613
18.0,18,1.304612
33.0,33,1.332615
14.0,14,1.344119
27.0,27,1.368119
12.0,12,1.378119
17.0,17,1.394119
24.0,24,1.414119
13.0,13,1.427121
20.0,20,1.443626
19.0,19,1.460627
14.0,14,1.471627
22.0,22,1.490627
16.0,16,1.503626
15.0,15,1.517626
29.0,29,1.542135
10.0,10,1.550134
29.0,29,1.575135
14.0,14,1.587135
11.0,11,1.596134
23.0,23,1.613134
12.0,12,1.622134
22.0,22,1.639643
12.0,12,1.649642
15.0,15,1.662643
37.0,37,1.693643
13.0,13,1.703643
39.0,39,1.736645
20.0,20,1.754149
10.0,10,1.76415
22.0,22,1.78215
17.0,17,1.79615
12.0,12,1.806149
17.0,17,1.82015
12.0,12,1.831152
27.0,27,1.852657
22.0,22,1.871657
14.0,14,1.882657
28.0,28,1.905657
21.0,21,1.923659
30.0,30,1.948164
12.0,12,1.959164
15.0,15,1.973163
16.0,16,1.985163
13.0,13,1.996164
35.0,35,2.026166
11.0,11,2.035166
30.0,30,2.061429
16.0,16,2.074429
17.0,17,2.090429
23.0,23,2.109429
12.0,12,2.120429
23.0,23,2.139936
12.0,12,2.150936
21.0,21,2.168936
28.0,28,2.192937
13.0,13,2.204937
37.0,37,2.234939
16.0,16,2.248444
31.0,31,2.276443
35.0,35,2.307443
15.0,15,2.321444
17.0,17,2.335445
12.0,12,2.345951
18.0,18,2.363951
41.0,41,2.400951
37.0,37,2.432953
45.0,45,2.474459
15.0,15,2.487458
11.0,11,2.497459
22.0,22,2.516458
36.0,36,4.00876
16.0,16,4.02176
12.0,12,4.031762
11.0,11,4.040268
42.0,42,4.079268
48.0,48,4.121268
13.0,13,4.13227
32.0,32,4.161774
28.0,28,4.185774
33.0,33,4.216774
20.0,20,4.235776
17.0,17,4.253039
39.0,39,4.29004
34.0,34,4.318039
75.0,75,4.38024
18.0,18,4.39524
15.0,15,4.40824
11.0,11,4.41824
34.0,34,4.448308
21.0,21,4.466307
44.0,44,4.507308
39.0,39,4.541816
49.0,49,4.584816
17.0,17,4.600817
21.0,21,4.617816
37.0,37,4.650323
32.0,32,4.678323
14.0,14,4.691324
13.0,13,4.702323
46.0,46,4.742831
56.0,56,4.788833
15.0,15,4.79983
31.0,31,4.82283
48.0,48,4.858336
36.0,36,4.885337
19.0,19,4.901336
53.0,53,4.944844
24.0,24,4.964844
18.0,18,4.979844
14.0,14,4.993844
21.0,21,5.011844
22.0,22,5.030847
20.0,20,5.048352
119.0,119,5.152858
14.0,14,5.163859
16.0,16,5.175858
41.0,41,5.207859
35.0,35,5.239363
61.0,61,5.293366
12.0,12,5.305367
27.0,27,5.329369
67.0,67,5.393811
14.0,14,5.40581
69.0,69,5.463321
11.0,11,5.47232
11.0,11,5.481322
68.0,68,5.540829
13.0,13,5.552829
26.0,26,5.575829
14.0,14,5.587829
12.0,12,5.598829
48.0,48,5.639336
54.0,54,5.686341
27.0,27,5.708339
62.0,62,5.758465
83.0,83,7.276875
139.0,139,7.392383
98.0,98,7.47489
68.0,68,7.534892
66.0,66,7.586399
80.0,80,7.654907
81.0,81,7.708907
83.0,83,7.779415
47.0,47,7.821415
105.0,105,7.906921
98.0,98,7.989429
23.0,23,8.01043
42.0,42,8.044427
83.0,83,8.111427
89.0,89,8.182007
50.0,50,8.222007
40.0,40,8.254379
57.0,57,8.302379
30.0,30,8.326382
58.0,58,8.370886
23.0,23,8.389886
27.0,27,8.412886
105.0,105,8.500015
76.0,76,8.565523
46.0,46,8.603524
107.0,107,8.693033
120.0,120,8.797094
37.0,37,8.829096
27.0,27,8.851601
65.0,65,8.904602
222.0,222,10.508302
144.0,144,10.633369
241.0,241,10.838989
111.0,111,10.932497
