#{"t_start": 1753252999.6649015, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.494266
-500.0,500,5.034281
-500.0,500,7.587943
-500.0,500,9.993209
-500.0,500,12.339089
-500.0,500,14.652338
-500.0,500,16.848089
-500.0,500,19.180821
-500.0,500,21.469169
-500.0,500,24.097108
-500.0,500,26.379526
-500.0,500,28.885753
-500.0,500,31.379042
-500.0,500,33.938867
-500.0,500,36.126549
-500.0,500,38.345879
-500.0,500,40.557098
-500.0,500,42.868851
-500.0,500,45.133715
-500.0,500,47.713672
-500.0,500,50.070574
-500.0,500,52.295318
-500.0,500,54.920387
-500.0,500,57.362502
-500.0,500,59.687456
-500.0,500,62.023199
-500.0,500,64.203204
-500.0,500,66.498164
-500.0,500,68.686653
-500.0,500,71.02239
-500.0,500,73.406277
-500.0,500,75.716337
-500.0,500,78.255023
-500.0,500,80.72392
-500.0,500,83.143652
-500.0,500,85.464291
-500.0,500,87.746022
-500.0,500,90.009063
-500.0,500,92.267514
-500.0,500,94.581932
-500.0,500,97.11588
-500.0,500,99.529051
-500.0,500,101.716681
-500.0,500,104.243489
-500.0,500,106.747182
-500.0,500,109.215942
-500.0,500,111.47035
-500.0,500,113.776758
-500.0,500,116.151643
-500.0,500,118.407581
-500.0,500,120.68629
-500.0,500,123.139776
-500.0,500,125.751572
-500.0,500,128.070713
-500.0,500,130.495194
-500.0,500,132.879642
-500.0,500,135.228745
-500.0,500,137.617689
-500.0,500,139.876371
-500.0,500,142.156775
-500.0,500,144.548475
-476.0,477,146.888383
-500.0,500,149.225375
-500.0,500,151.747632
-354.0,355,153.885237
-500.0,500,156.229623
-500.0,500,158.485559
-266.0,267,159.789726
-240.0,241,161.216121
-268.0,269,162.760181
-248.0,249,164.193852
-336.0,337,165.949649
-190.0,191,167.29036
-140.0,141,168.316906
-255.0,256,169.779681
-258.0,259,171.407803
-188.0,189,172.93392
-185.0,186,174.465028
-174.0,175,175.669115
-156.0,157,177.348786
-194.0,195,178.744883
-246.0,247,180.437807
-199.0,200,181.821928
-158.0,159,183.059515
-187.0,188,184.239089
-180.0,181,185.802323
-235.0,236,187.206422
-166.0,167,188.738025
-192.0,193,189.896621
-144.0,145,191.626465
-148.0,149,193.066576
-198.0,199,194.243203
-252.0,253,195.745813
-238.0,239,197.463439
-259.0,260,199.014048
-219.0,220,200.46652
-162.0,163,201.605601
-129.0,130,202.671176
-189.0,190,204.33729
-217.0,218,205.795957
-266.0,267,207.802097
-277.0,278,209.819304
-276.0,277,211.607444
-285.0,286,213.195055
-317.0,318,214.958672
-283.0,284,216.756293
-257.0,258,218.479149
-238.0,239,220.029753
-262.0,263,221.804531
-234.0,235,223.256632
-168.0,169,224.679236
-197.0,198,225.93983
-177.0,178,227.740948
-216.0,217,229.085546
-255.0,256,231.07268
-187.0,188,232.635278
-141.0,142,233.770863
-160.0,161,234.908435
-271.0,272,236.861706
-189.0,190,238.861433
-233.0,234,240.254621
-240.0,241,241.869819
-177.0,178,243.295443
-141.0,142,244.327114
-144.0,145,245.499702
-246.0,247,247.262932
-213.0,214,248.74604
-217.0,218,250.14714
-193.0,194,251.7375
-226.0,227,253.149895
-209.0,210,254.627847
-168.0,169,256.027678
-194.0,195,257.312378
-160.0,161,258.90549
-136.0,137,260.328588
-125.0,126,261.485174
-270.0,271,263.117621
-110.0,111,264.346795
-151.0,152,265.646856
-166.0,167,266.719554
-138.0,139,267.72263
-138.0,139,268.915982
-404.0,405,271.033411
-148.0,149,272.787152
-146.0,147,274.14594
-135.0,136,275.263107
-180.0,181,276.462401
-296.0,297,278.451327
-105.0,106,278.633112
-133.0,134,279.877724
-133.0,134,281.608003
-120.0,121,281.816017
-140.0,141,283.515133
-500.0,500,285.957314
-123.0,124,287.338966
-114.0,115,288.797837
-163.0,164,290.468706
-128.0,129,291.820487
-156.0,157,293.184377
-148.0,149,294.254206
-106.0,107,295.264153
-138.0,139,296.326041
-143.0,144,297.451924
-284.0,285,299.077469
-195.0,196,300.736638
-131.0,132,302.011444
-144.0,145,302.984513
-141.0,142,304.059695
-158.0,159,305.237283
-298.0,299,307.225384
-222.0,223,308.727501
-129.0,130,309.857095
-169.0,170,311.285699
-169.0,170,312.505917
-125.0,126,313.580014
-169.0,170,314.728106
-149.0,150,316.279717
-152.0,153,317.693831
-165.0,166,318.921917
-211.0,212,320.30002
-153.0,154,321.594123
-130.0,131,322.660194
-145.0,146,323.747777
-123.0,124,324.912365
-120.0,121,325.946436
-129.0,130,327.01001
-169.0,170,328.126585
-210.0,211,329.957222
-112.0,113,330.979291
-202.0,203,332.275882
-106.0,107,333.483977
-134.0,135,334.748061
-300.0,301,336.691206
-107.0,108,338.070307
-144.0,145,339.481408
