#{"t_start": 1753251860.7646475, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.320208
-500.0,500,5.03389
-500.0,500,7.694087
-500.0,500,10.178262
-500.0,500,12.506913
-500.0,500,14.785082
-500.0,500,17.269262
-500.0,500,19.566922
-500.0,500,22.112104
-500.0,500,24.503273
-500.0,500,26.99345
-500.0,500,29.593137
-500.0,500,32.208326
-500.0,500,34.560995
-500.0,500,37.002633
-500.0,500,39.305844
-500.0,500,41.613021
-500.0,500,43.841686
-500.0,500,46.17091
-500.0,500,48.614091
-500.0,500,51.214793
-500.0,500,53.50097
-500.0,500,56.235671
-500.0,500,58.610352
-500.0,500,61.078031
-500.0,500,63.336279
-500.0,500,65.555441
-500.0,500,67.788596
-500.0,500,70.213382
-500.0,500,72.626548
-500.0,500,75.059725
-500.0,500,77.275881
-500.0,500,79.819064
-500.0,500,82.237646
-500.0,500,84.787823
-500.0,500,87.220491
-500.0,500,89.53365
-500.0,500,91.753303
-500.0,500,93.967956
-500.0,500,96.49863
-500.0,500,98.971542
-500.0,500,101.303016
-500.0,500,103.667178
-500.0,500,106.316617
-500.0,500,108.893535
-500.0,500,111.283469
-500.0,500,113.676958
-500.0,500,116.01131
-500.0,500,118.232123
-500.0,500,120.498957
-500.0,500,122.786246
-500.0,500,125.153803
-500.0,500,127.802983
-500.0,500,130.104771
-500.0,500,132.640949
-500.0,500,135.043598
-500.0,500,137.646955
-500.0,500,139.953937
-500.0,500,142.184096
-500.0,500,144.425497
-500.0,500,146.663158
-500.0,500,149.015698
-500.0,500,151.508631
-500.0,500,153.727955
-500.0,500,156.471614
-500.0,500,159.230532
-500.0,500,161.519222
-500.0,500,163.837275
-500.0,500,166.231654
-500.0,500,168.438105
-500.0,500,170.599351
-500.0,500,172.784243
-500.0,500,175.087704
-500.0,500,177.547875
-500.0,500,179.867977
-500.0,500,182.432923
-500.0,500,184.879296
-500.0,500,187.277856
-500.0,500,189.560371
-500.0,500,191.754274
-500.0,500,193.965616
-500.0,500,196.271411
-412.0,413,198.131565
-500.0,500,200.325834
-500.0,500,202.612947
-500.0,500,204.839939
-500.0,500,207.14393
-500.0,500,209.640414
-500.0,500,211.952405
-500.0,500,214.390035
-500.0,500,216.826324
-500.0,500,219.141493
-500.0,500,221.513685
-500.0,500,223.738697
-500.0,500,225.982335
-500.0,500,228.191009
-500.0,500,230.592669
-500.0,500,233.088339
-500.0,500,235.473506
-500.0,500,237.828258
-500.0,500,240.418186
-500.0,500,242.954888
-500.0,500,245.303705
-500.0,500,247.660187
-500.0,500,249.953415
-500.0,500,252.19998
-500.0,500,254.494814
-500.0,500,256.991481
-500.0,500,259.576823
-500.0,500,262.165217
-500.0,500,264.641786
-500.0,500,266.956055
-500.0,500,269.444725
-500.0,500,271.75256
-500.0,500,273.952707
-500.0,500,276.2029
-500.0,500,278.411252
-500.0,500,280.548902
-500.0,500,283.224702
-500.0,500,285.766392
-500.0,500,288.027548
-500.0,500,290.838262
-500.0,500,293.422436
-500.0,500,295.961613
-500.0,500,298.224862
-500.0,500,300.52678
-500.0,500,302.803238
-500.0,500,305.071667
-500.0,500,307.361831
-500.0,500,309.843177
-500.0,500,312.317354
-500.0,500,314.875528
-500.0,500,317.623732
-500.0,500,320.154803
-500.0,500,322.647984
-500.0,500,324.971753
-500.0,500,327.219923
-500.0,500,329.501587
-500.0,500,331.797771
-500.0,500,333.979432
-500.0,500,336.410615
-500.0,500,338.866294
-453.0,454,341.29497
-500.0,500,343.523657
-500.0,500,345.787864
-500.0,500,348.083584
-500.0,500,350.439258
-500.0,500,352.962758
-500.0,500,355.286926
-500.0,500,357.919162
-500.0,500,360.397967
-500.0,500,362.780749
-500.0,500,365.20442
-500.0,500,367.464703
-500.0,500,369.767838
-500.0,500,372.034094
-500.0,500,374.176739
-500.0,500,376.491837
-500.0,500,379.058892
-500.0,500,381.315904
-500.0,500,383.906528
-500.0,500,386.517753
-500.0,500,389.082941
-500.0,500,391.393882
-500.0,500,393.51776
-500.0,500,395.764237
-500.0,500,398.115402
-500.0,500,400.669834
-500.0,500,403.221384
-500.0,500,405.740839
-500.0,500,407.995135
-500.0,500,410.771359
-500.0,500,413.131675
-500.0,500,415.513129
-500.0,500,417.776654
-500.0,500,420.043172
-500.0,500,422.331228
-416.0,417,424.374491
-500.0,500,426.561012
-500.0,500,428.839696
-500.0,500,431.087086
-500.0,500,433.388741
-500.0,500,435.92111
-500.0,500,438.668382
-292.0,293,440.415154
-414.0,415,442.410286
-500.0,500,444.797056
-500.0,500,447.034212
-500.0,500,449.383873
-500.0,500,451.808544
-500.0,500,454.145417
-463.0,464,456.366577
-500.0,500,458.754712
-500.0,500,461.177141
-500.0,500,463.428781
-500.0,500,465.661003
-500.0,500,467.959928
-500.0,500,470.479599
-481.0,482,472.584281
-500.0,500,475.072475
-500.0,500,477.355209
-500.0,500,479.678123
-452.0,453,481.908882
-500.0,500,484.503353
-500.0,500,487.047265
-500.0,500,489.390541
-308.0,309,491.574962
-500.0,500,493.838898
-500.0,500,496.285618
-500.0,500,498.752802
-486.0,487,501.164987
-395.0,396,503.174645
-495.0,496,505.668326
-388.0,389,507.524466
-500.0,500,510.086697
-500.0,500,512.524937
-379.0,380,514.499569
-500.0,500,516.868262
-500.0,500,519.021927
-500.0,500,521.229798
-500.0,500,523.513094
-500.0,500,526.01564
-437.0,438,528.243716
-500.0,500,530.483837
-440.0,441,532.441188
-476.0,477,535.106419
