#{"t_start": 1753251575.4584863, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.109168
-500.0,500,1.273179
-500.0,500,1.604209
-500.0,500,1.98074
-447.0,448,3.720922
-427.0,428,4.033511
-500.0,500,4.393052
-451.0,452,4.732091
-385.0,386,6.398805
-188.0,189,6.53682
-500.0,500,6.912886
-367.0,368,7.18392
-500.0,500,7.548971
-258.0,259,7.741008
-282.0,283,9.337751
-384.0,385,9.617273
-218.0,219,9.780795
-378.0,379,10.062316
-296.0,297,10.283332
-214.0,215,10.439353
-231.0,232,10.613366
-238.0,239,12.168983
-193.0,194,12.313
-173.0,174,12.441509
-200.0,201,12.589017
-201.0,202,12.736034
-174.0,175,12.862545
-250.0,251,13.047567
-179.0,180,13.179085
-166.0,167,13.300599
-156.0,157,13.416118
-262.0,263,14.988809
-176.0,177,15.114967
-196.0,197,15.25748
-205.0,206,15.407499
-206.0,207,15.556004
-219.0,220,15.718024
-181.0,182,15.845529
-126.0,127,15.940049
-131.0,132,16.038567
-183.0,184,16.175644
-195.0,196,16.317373
-285.0,286,17.896054
-185.0,186,18.030065
-131.0,132,18.123571
-124.0,125,18.214079
-187.0,188,18.348585
-106.0,107,18.425595
-181.0,182,18.558859
-201.0,202,18.704848
-192.0,193,18.846922
-194.0,195,18.991432
-140.0,141,19.091938
-170.0,171,19.211661
-192.0,193,20.734265
-174.0,175,20.857773
-160.0,161,20.974279
-117.0,118,21.06295
-151.0,152,21.172412
-122.0,123,21.263921
-172.0,173,21.388426
-143.0,144,21.491691
-168.0,169,21.614707
-183.0,184,21.757214
-175.0,176,21.88972
-206.0,207,22.041734
-170.0,171,22.168241
-127.0,128,23.644157
-220.0,221,23.806687
-170.0,171,23.936194
-209.0,210,24.0897
-140.0,141,24.193945
-156.0,157,24.307957
-117.0,118,24.396959
-171.0,172,24.524486
-126.0,127,24.617993
-154.0,155,24.7305
-161.0,162,24.849006
-146.0,147,24.964513
-133.0,134,25.065019
-184.0,185,26.591418
-133.0,134,26.688926
-165.0,166,26.811938
-176.0,177,26.946446
-201.0,202,27.094954
-146.0,147,27.202461
-159.0,160,27.321096
-115.0,116,27.406601
-161.0,162,27.529111
-103.0,104,27.609617
-153.0,154,27.724124
-123.0,124,27.81563
-129.0,130,27.910138
-151.0,152,29.409106
-146.0,147,29.520612
-120.0,121,29.610119
-127.0,128,29.704121
-137.0,138,29.803628
-110.0,111,29.889132
-142.0,143,30.002642
-99.0,100,30.076146
-155.0,156,30.188653
-118.0,119,30.277159
-114.0,115,30.358667
-166.0,167,30.477174
-197.0,198,30.619187
-109.0,110,30.699189
-171.0,172,30.8232
-125.0,126,32.306606
-160.0,161,32.426618
-96.0,97,32.49962
-109.0,110,32.579124
-123.0,124,32.674631
-103.0,104,32.751856
-143.0,144,32.861315
-123.0,124,32.956821
-108.0,109,33.039315
-132.0,133,33.138821
-120.0,121,33.229848
-116.0,117,33.317313
-119.0,120,33.406315
-129.0,130,33.503822
-135.0,136,33.606315
-129.0,130,33.701821
-158.0,159,33.823818
-156.0,157,35.332226
-103.0,104,35.411732
-87.0,88,35.478732
-91.0,92,35.547239
-104.0,105,35.621746
-99.0,100,35.697748
-90.0,91,35.768894
-101.0,102,35.847304
-110.0,111,35.92881
-154.0,155,36.048303
-120.0,121,36.134809
-109.0,110,36.213304
-109.0,110,36.293304
-113.0,114,36.376809
-81.0,82,36.436301
-133.0,134,36.536808
-104.0,105,36.613301
-86.0,87,36.676301
-103.0,104,36.749807
-81.0,82,38.209295
-161.0,162,38.325801
-86.0,87,38.385801
-123.0,124,38.476294
-95.0,96,38.550891
-208.0,209,38.706295
-99.0,100,38.779799
-107.0,108,38.860292
-105.0,106,38.941799
-105.0,106,39.022292
-89.0,90,39.091292
-112.0,113,39.179798
-107.0,108,39.260291
-101.0,102,39.335798
-97.0,98,39.4078
-95.0,96,39.480291
-102.0,103,39.555797
-79.0,80,39.616289
-114.0,115,41.090859
-90.0,91,41.159366
-101.0,102,41.236873
-100.0,101,41.31238
-78.0,79,41.371379
-101.0,102,41.447887
-104.0,105,41.524393
-87.0,88,41.591393
-83.0,84,41.6529
-129.0,130,41.751406
-102.0,103,41.829913
-175.0,176,41.96142
-81.0,82,42.024927
-123.0,124,42.118433
-95.0,96,42.191433
-80.0,81,42.25194
-93.0,94,42.322447
-111.0,112,42.405451
-96.0,97,42.48046
-88.0,89,42.545967
-97.0,98,44.004066
-315.0,316,44.231585
-158.0,159,44.347091
-84.0,85,44.410598
-100.0,101,44.482598
-79.0,80,44.540106
-83.0,84,44.605108
-121.0,122,44.694614
-113.0,114,44.777757
-80.0,81,44.834264
-119.0,120,44.922771
-88.0,89,44.98877
-93.0,94,45.057277
-86.0,87,45.12229
-79.0,80,45.17729
-104.0,105,45.250796
-104.0,105,45.327304
-93.0,94,45.394306
-93.0,94,45.45781
-71.0,72,46.894908
-86.0,87,46.959413
-82.0,83,47.018919
-99.0,100,47.095425
-86.0,87,47.16193
-79.0,80,47.222437
-98.0,99,47.293437
-89.0,90,47.360944
-99.0,100,47.434451
-90.0,91,47.500453
-95.0,96,47.569957
-97.0,98,47.643464
-87.0,88,47.71097
-89.0,90,47.77697
-165.0,166,47.90148
-104.0,105,47.980984
-95.0,96,48.053491
-105.0,106,48.132998
-150.0,151,48.246505
-108.0,109,48.326011
-91.0,92,49.784342
-76.0,77,49.84151
-88.0,89,49.909512
-83.0,84,49.976017
-106.0,107,50.054523
-102.0,103,50.13203
-97.0,98,50.208032
-89.0,90,50.275536
-90.0,91,50.343043
-97.0,98,50.41855
-90.0,91,50.486549
-77.0,78,50.542057
-88.0,89,50.609561
-100.0,101,50.683563
-92.0,93,50.754071
-69.0,70,50.805073
-85.0,86,50.870577
-87.0,88,50.938085
-92.0,93,51.008086
-98.0,99,51.08259
-74.0,75,51.137952
-85.0,86,51.200953
-97.0,98,51.271408
-89.0,90,52.723914
-64.0,65,52.770914
-71.0,72,52.82442
-97.0,98,52.896422
-72.0,73,52.950929
-76.0,77,53.008929
-92.0,93,53.080433
-99.0,100,53.154941
-67.0,68,53.206943
-75.0,76,53.263447
-81.0,82,53.325954
-87.0,88,53.393954
-107.0,108,53.473461
-120.0,121,53.559969
-77.0,78,53.616475
-83.0,84,53.677475
-75.0,76,53.735983
-77.0,78,53.792983
-93.0,94,53.861489
-76.0,77,53.917996
-112.0,113,54.006999
-63.0,64,54.051502
-87.0,88,54.12001
-86.0,87,54.18401
-76.0,77,55.626245
-75.0,76,55.684245
-95.0,96,55.753752
-84.0,85,55.817259
-89.0,90,55.882259
-107.0,108,55.961766
-76.0,77,56.018272
-81.0,82,56.080273
-83.0,84,56.143779
-83.0,84,56.205781
-81.0,82,56.268291
-112.0,113,56.352792
-62.0,63,56.399794
-76.0,77,56.458299
-207.0,208,56.604807
-73.0,74,56.659312
-78.0,79,56.718818
-84.0,85,56.780819
-170.0,171,56.911832
-63.0,64,56.958832
-92.0,93,57.027339
-93.0,94,57.100341
-72.0,73,58.536289
-84.0,85,58.596291
-86.0,87,58.658795
-76.0,77,58.720303
-86.0,87,58.788303
-92.0,93,58.857809
-91.0,92,58.929316
-142.0,143,59.036822
-66.0,67,59.084822
-97.0,98,59.155329
-77.0,78,59.218835
-225.0,226,59.392879
-90.0,91,59.462386
-105.0,106,59.546892
-89.0,90,59.612399
-89.0,90,59.678399
-84.0,85,59.743906
-83.0,84,59.807908
-74.0,75,59.863413
-82.0,83,59.92492
-89.0,90,59.994919
-94.0,95,61.448582
-91.0,92,61.517088
-76.0,77,61.576088
-144.0,145,61.683595
-72.0,73,61.737102
-76.0,77,61.798104
-72.0,73,61.851609
-88.0,89,61.920115
-126.0,127,62.017622
-81.0,82,62.080623
-62.0,63,62.125129
-76.0,77,62.17813
-118.0,119,62.260636
-81.0,82,62.316142
-86.0,87,62.377142
-83.0,84,62.43665
-73.0,74,62.48665
-74.0,75,62.539156
-79.0,80,62.596156
-76.0,77,62.648663
-87.0,88,62.708667
-121.0,122,62.801173
-112.0,113,62.887182
-74.0,75,64.330469
-86.0,87,64.396469
-73.0,74,64.456976
-116.0,117,64.544482
-79.0,80,64.602484
-74.0,75,64.658989
-65.0,66,64.708991
-88.0,89,64.775495
-109.0,110,64.860003
-98.0,99,64.93651
-85.0,86,65.002511
-71.0,72,65.053016
-106.0,107,65.136522
-78.0,79,65.194522
-66.0,67,65.243664
-88.0,89,65.319172
-126.0,127,65.412679
-90.0,91,65.479678
-72.0,73,65.534185
-148.0,149,65.643691
-89.0,90,65.711693
-77.0,78,65.770191
-94.0,95,65.846697
-84.0,85,67.305187
-175.0,176,67.432184
-104.0,105,67.509187
-73.0,74,67.564691
-64.0,65,67.613184
-63.0,64,67.660184
-86.0,87,67.72469
-76.0,77,67.78369
-92.0,93,67.852689
-86.0,87,67.916178
-91.0,92,67.984178
-117.0,118,68.072686
-72.0,73,68.12918
-66.0,67,68.18018
-79.0,80,68.239687
-88.0,89,68.304689
-72.0,73,68.359181
-64.0,65,68.409183
-84.0,85,68.474688
-92.0,93,68.546181
-75.0,76,68.603183
-91.0,92,68.671687
-63.0,64,68.72018
-89.0,90,68.78818
-90.0,91,70.239551
-70.0,71,70.288551
-85.0,86,70.348747
-76.0,77,70.409749
-85.0,86,70.472173
-80.0,81,70.53468
-64.0,65,70.58268
-77.0,78,70.635173
-72.0,73,70.687173
-88.0,89,70.751679
-97.0,98,70.820057
-85.0,86,70.880057
-94.0,95,70.948565
-78.0,79,71.005566
-84.0,85,71.066072
-89.0,90,71.129578
-89.0,90,71.191578
-79.0,80,71.247085
-96.0,97,71.313591
-97.0,98,71.384591
-69.0,70,71.435098
-70.0,71,71.487098
-76.0,77,71.542605
-82.0,83,71.604607
-82.0,83,73.067207
-63.0,64,73.117714
-93.0,94,73.185714
-100.0,101,73.263221
-72.0,73,73.317739
-88.0,89,73.384739
-76.0,77,73.440245
-77.0,78,73.500247
-76.0,77,73.557682
-90.0,91,73.621189
-74.0,75,73.675189
-76.0,77,73.734696
-82.0,83,73.802698
-95.0,96,73.876204
-179.0,180,74.010714
-84.0,85,74.074218
-171.0,172,74.194727
-78.0,79,74.249233
-86.0,87,74.310236
-78.0,79,74.36974
-82.0,83,74.433247
-99.0,100,74.503249
-88.0,89,75.954586
-64.0,65,76.003589
-90.0,91,76.072093
-84.0,85,76.1346
-80.0,81,76.1956
-103.0,104,76.274106
-105.0,106,76.352614
-78.0,79,76.411616
-72.0,73,76.46612
-71.0,72,76.520628
-76.0,77,76.577628
-73.0,74,76.631134
-78.0,79,76.690134
-94.0,95,76.758641
-110.0,111,76.843148
-75.0,76,76.899151
-77.0,78,76.960268
-76.0,77,77.016775
-83.0,84,77.077775
-140.0,141,77.185282
-92.0,93,77.252307
-164.0,165,77.377318
-64.0,65,77.426467
-75.0,76,78.876704
-94.0,95,78.947211
-93.0,94,79.018718
-82.0,83,79.081718
-141.0,142,79.189225
-92.0,93,79.260732
-83.0,84,79.322239
-64.0,65,79.37124
-72.0,73,79.421746
-80.0,81,79.480746
-83.0,84,79.544791
-76.0,77,79.600793
-79.0,80,79.661298
-79.0,80,79.719804
-72.0,73,79.773804
-93.0,94,79.838311
-63.0,64,79.883311
-72.0,73,79.940818
-76.0,77,79.995818
-74.0,75,80.046325
-83.0,84,80.110327
-134.0,135,80.20634
-71.0,72,80.258844
-64.0,65,80.303846
-78.0,79,80.366351
-72.0,73,81.80145
-85.0,86,81.859954
-112.0,113,81.940462
-87.0,88,82.006464
-72.0,73,82.059968
-85.0,86,82.127476
-76.0,77,82.185476
-80.0,81,82.244982
-81.0,82,82.301985
-86.0,87,82.362489
-82.0,83,82.419997
-89.0,90,82.483997
-84.0,85,82.549504
-73.0,74,82.602506
-85.0,86,82.663011
-80.0,81,82.724029
-75.0,76,82.783029
-83.0,84,82.845537
-78.0,79,82.902539
-86.0,87,82.970043
-104.0,105,83.043551
-99.0,100,83.117057
-93.0,94,83.185056
-93.0,94,83.249564
-81.0,82,84.687663
-70.0,71,84.740169
-72.0,73,84.793169
-80.0,81,84.852676
-73.0,74,84.908726
-73.0,74,84.962231
-70.0,71,85.013233
-71.0,72,85.063611
-93.0,94,85.132116
-76.0,77,85.189118
-91.0,92,85.256729
-129.0,130,85.362235
-86.0,87,85.430743
-103.0,104,85.504744
-72.0,73,85.558249
-74.0,75,85.613252
-88.0,89,85.682757
-70.0,71,85.737263
-77.0,78,85.796263
-100.0,101,85.871771
-90.0,91,85.939277
-61.0,62,85.985277
-87.0,88,86.050785
-63.0,64,86.097785
-78.0,79,87.537644
-80.0,81,87.593644
-82.0,83,87.654152
-72.0,73,87.703154
-73.0,74,87.760659
-95.0,96,87.829066
-89.0,90,87.891066
-74.0,75,87.946573
-161.0,162,88.061079
-100.0,101,88.133587
-73.0,74,88.184587
-87.0,88,88.246094
-78.0,79,88.305096
-95.0,96,88.370601
-79.0,80,88.42911
-78.0,79,88.48511
-88.0,89,88.546616
-257.0,258,88.73163
-77.0,78,88.78563
-77.0,78,88.839137
-84.0,85,88.899137
-80.0,81,88.958644
-72.0,73,90.389968
-76.0,77,90.447475
-100.0,101,90.521982
-122.0,123,90.608984
-64.0,65,90.654489
-159.0,160,90.771996
-82.0,83,90.83533
-64.0,65,90.88433
-75.0,76,90.940837
-91.0,92,91.005839
-80.0,81,91.062344
-72.0,73,91.11785
-61.0,62,91.16285
-76.0,77,91.222358
-91.0,92,91.289357
-85.0,86,91.352864
-97.0,98,91.424371
-83.0,84,91.485371
-79.0,80,91.542878
-75.0,76,91.598878
-90.0,91,91.667386
-76.0,77,91.723894
-62.0,63,91.768894
-72.0,73,91.824401
-94.0,95,93.273666
-107.0,108,93.353172
-79.0,80,93.409174
-100.0,101,93.482679
-78.0,79,93.541186
-65.0,66,93.590186
-71.0,72,93.643693
-83.0,84,93.707695
-78.0,79,93.764199
-77.0,78,93.817707
-97.0,98,93.886707
-91.0,92,93.953214
-88.0,89,94.01672
-93.0,94,94.08672
-72.0,73,94.142227
-71.0,72,94.195227
-88.0,89,94.260734
-78.0,79,94.31924
-84.0,85,94.382241
-87.0,88,94.446748
-71.0,72,94.50075
-72.0,73,94.556254
-88.0,89,94.623762
-73.0,74,94.677762
-82.0,83,94.738269
-83.0,84,96.180918
-72.0,73,96.232425
-89.0,90,96.300437
-69.0,70,96.350944
-85.0,86,96.413946
-80.0,81,96.47445
-74.0,75,96.529958
-70.0,71,96.580958
-86.0,87,96.645464
-91.0,92,96.712467
-75.0,76,96.768972
-88.0,89,96.833532
-63.0,64,96.881533
-77.0,78,96.93704
-95.0,96,97.008042
-73.0,74,97.058546
-62.0,63,97.104548
-172.0,173,97.231559
-102.0,103,97.306561
-66.0,67,97.356066
-91.0,92,97.421572
-72.0,73,97.472573
-73.0,74,97.527072
-71.0,72,97.580071
-79.0,80,99.022994
-75.0,76,99.079994
-70.0,71,99.1325
-72.0,73,99.1845
-77.0,78,99.244007
-145.0,146,99.350514
-70.0,71,99.401516
-92.0,93,99.470021
-137.0,138,99.572528
-79.0,80,99.631035
-95.0,96,99.703037
-90.0,91,99.771543
-62.0,63,99.818049
-90.0,91,99.886049
-80.0,81,99.944555
-85.0,86,100.006557
-94.0,95,100.075063
-96.0,97,100.143569
-72.0,73,100.196569
-80.0,81,100.259105
-82.0,83,100.320567
-73.0,74,100.375567
-78.0,79,100.430577
-86.0,87,100.490577
-79.0,80,101.931345
-83.0,84,101.992345
-91.0,92,102.056366
-76.0,77,102.109369
-81.0,82,102.169873
-73.0,74,102.22438
-81.0,82,102.284379
-72.0,73,102.335886
-78.0,79,102.392886
-92.0,93,102.461393
-72.0,73,102.514395
-77.0,78,102.571581
-64.0,65,102.619089
-87.0,88,102.685089
-73.0,74,102.740596
-69.0,70,102.792596
-148.0,149,102.902623
-73.0,74,102.957947
-77.0,78,103.014949
-90.0,91,103.081454
-73.0,74,103.135961
-93.0,94,103.205468
-72.0,73,103.259487
-110.0,111,103.337995
-79.0,80,104.781092
-64.0,65,104.828598
-80.0,81,104.887598
-71.0,72,104.941106
-93.0,94,105.012108
-74.0,75,105.065612
-77.0,78,105.121863
-77.0,78,105.179863
-92.0,93,105.246889
-93.0,94,105.317394
-75.0,76,105.372396
-80.0,81,105.433903
-89.0,90,105.498903
-73.0,74,105.554415
-85.0,86,105.615417
-61.0,62,105.658921
-174.0,175,105.786428
-86.0,87,105.844934
-82.0,83,105.905937
-76.0,77,105.962948
-88.0,89,106.026455
-94.0,95,106.095455
-71.0,72,106.148962
-72.0,73,106.201962
-97.0,98,107.652256
-82.0,83,107.716259
-76.0,77,107.772441
-73.0,74,107.826947
-72.0,73,107.881948
-77.0,78,107.937454
-105.0,106,108.015961
-71.0,72,108.068465
-62.0,63,108.113468
-72.0,73,108.164675
-81.0,82,108.222775
-71.0,72,108.273775
-83.0,84,108.332851
-64.0,65,108.377851
-78.0,79,108.432358
-72.0,73,108.485358
-62.0,63,108.527864
-80.0,81,108.588865
-89.0,90,108.65612
-94.0,95,108.723626
-78.0,79,108.783627
-63.0,64,108.832133
-64.0,65,108.876133
-82.0,83,108.93464
-64.0,65,108.98264
-71.0,72,109.036147
-76.0,77,109.088147
-69.0,70,110.514578
-70.0,71,110.567082
-73.0,74,110.618589
-85.0,86,110.679591
-65.0,66,110.727098
