#{"t_start": 1753256141.2391932, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.426867
-500.0,500,5.135208
-500.0,500,7.396462
-500.0,500,9.622824
-500.0,500,11.829041
-500.0,500,14.064506
-500.0,500,16.284184
-500.0,500,18.410975
-500.0,500,20.681119
-500.0,500,23.0312
-500.0,500,25.430691
-500.0,500,27.871415
-500.0,500,30.477892
-500.0,500,32.835337
-500.0,500,35.198956
-500.0,500,37.365856
-500.0,500,39.555656
-500.0,500,41.820464
-500.0,500,44.180365
-500.0,500,46.328493
-500.0,500,48.889444
-500.0,500,51.396845
-500.0,500,53.785834
-500.0,500,56.312828
-500.0,500,58.60631
-500.0,500,60.914594
-500.0,500,63.155923
-500.0,500,65.384878
-500.0,500,67.693617
-500.0,500,69.893272
-500.0,500,72.210502
-500.0,500,74.442664
-500.0,500,76.921889
-500.0,500,79.325051
-500.0,500,81.866729
-500.0,500,84.114213
-500.0,500,86.327092
-500.0,500,88.553834
-500.0,500,90.724191
-500.0,500,93.03118
-500.0,500,95.317681
-500.0,500,97.804284
-500.0,500,100.042266
-500.0,500,102.724633
-500.0,500,105.217493
-500.0,500,107.472151
-500.0,500,109.723337
-500.0,500,111.815984
-500.0,500,113.9903
-345.0,346,115.724481
-500.0,500,118.145664
-500.0,500,120.355839
-500.0,500,122.59552
-500.0,500,124.980294
-500.0,500,127.260081
-500.0,500,129.526177
-500.0,500,131.772475
-500.0,500,133.893132
-500.0,500,136.116972
-500.0,500,138.397583
-500.0,500,140.806029
-500.0,500,142.998932
-500.0,500,145.579001
-500.0,500,148.2384
-500.0,500,150.371964
-500.0,500,152.74995
-500.0,500,154.832962
-500.0,500,156.968539
-500.0,500,159.096214
-500.0,500,161.369344
-500.0,500,163.729508
-500.0,500,165.959177
-500.0,500,168.151327
-500.0,500,170.540143
-500.0,500,172.882772
-500.0,500,175.197378
-500.0,500,177.374862
-500.0,500,179.633362
-500.0,500,181.790352
-500.0,500,183.866838
-500.0,500,186.042073
-500.0,500,188.290243
-500.0,500,190.536979
-500.0,500,192.691852
-500.0,500,195.044595
-500.0,500,197.491397
-500.0,500,199.649551
-500.0,500,201.795349
-500.0,500,203.923418
-500.0,500,206.141629
-500.0,500,208.396366
-500.0,500,210.703217
-500.0,500,212.988708
-500.0,500,215.186599
-500.0,500,217.569007
-500.0,500,219.930256
-500.0,500,222.13279
-500.0,500,224.328939
-500.0,500,226.577677
-500.0,500,228.706175
-500.0,500,230.899661
-500.0,500,233.185528
-500.0,500,235.460192
-500.0,500,237.88486
-500.0,500,240.143019
-500.0,500,242.66749
-500.0,500,245.146756
-500.0,500,247.642427
-500.0,500,249.941593
-500.0,500,252.140744
-500.0,500,254.296515
-500.0,500,256.475663
-500.0,500,258.760826
-500.0,500,260.965485
-500.0,500,263.210777
-500.0,500,265.726514
-500.0,500,268.117569
-500.0,500,270.358313
-500.0,500,272.737977
-500.0,500,274.947021
-500.0,500,277.121676
-500.0,500,279.274349
-500.0,500,281.494785
-500.0,500,283.815093
-500.0,500,286.30961
-500.0,500,288.674149
-500.0,500,291.18033
-500.0,500,293.51194
-500.0,500,295.804609
-500.0,500,298.194564
-500.0,500,300.331325
-500.0,500,302.513076
-500.0,500,304.630886
-500.0,500,306.842643
-500.0,500,309.172988
-500.0,500,311.475157
-500.0,500,313.552155
-500.0,500,315.89403
-500.0,500,318.307204
-500.0,500,320.611814
-500.0,500,322.764498
-500.0,500,324.927677
-500.0,500,327.069856
-500.0,500,329.287527
-500.0,500,331.650253
-500.0,500,334.021115
-500.0,500,336.374301
-500.0,500,338.705491
-500.0,500,341.040932
-500.0,500,343.443571
-500.0,500,345.577863
-500.0,500,347.76524
-500.0,500,349.997854
-500.0,500,352.124856
-500.0,500,354.327912
-500.0,500,356.693655
-500.0,500,358.980153
-500.0,500,361.32542
-263.0,264,363.351654
-500.0,500,365.62999
-500.0,500,368.194294
-500.0,500,370.583141
-500.0,500,372.812718
-500.0,500,375.110559
-500.0,500,377.302307
-500.0,500,379.622052
-500.0,500,381.88944
-500.0,500,384.1398
-500.0,500,386.416662
-500.0,500,388.865719
-500.0,500,391.066843
-500.0,500,393.382273
-500.0,500,395.567415
-500.0,500,397.88422
-500.0,500,400.080009
-314.0,315,401.751342
-279.0,280,403.614269
-500.0,500,406.067017
-500.0,500,408.608365
-500.0,500,410.862684
-500.0,500,413.236438
-451.0,452,415.485175
-500.0,500,417.69043
-500.0,500,419.85292
-500.0,500,422.149158
-500.0,500,424.502931
-500.0,500,426.89155
-500.0,500,429.25409
-500.0,500,431.667157
-500.0,500,433.892899
-500.0,500,436.17963
-500.0,500,438.382934
-500.0,500,440.602947
-500.0,500,442.9548
-500.0,500,445.359078
-476.0,477,447.546845
-500.0,500,450.027906
-500.0,500,452.33719
-500.0,500,454.683511
-500.0,500,456.855865
-500.0,500,458.987564
-500.0,500,461.171019
-461.0,462,463.210942
-430.0,431,465.405596
-448.0,449,467.504238
-500.0,500,469.9987
-500.0,500,472.285392
-500.0,500,474.532551
-500.0,500,476.707413
-500.0,500,478.854726
-500.0,500,481.124221
-500.0,500,483.374979
-500.0,500,485.651934
-500.0,500,487.967788
-500.0,500,490.527471
-500.0,500,492.834265
-500.0,500,495.172802
-500.0,500,497.333399
-500.0,500,499.542985
-493.0,494,501.748646
-500.0,500,504.048262
-470.0,471,506.090668
-500.0,500,508.344856
-446.0,447,510.657528
-500.0,500,512.913689
-500.0,500,515.244917
-500.0,500,517.628086
-500.0,500,519.730573
-500.0,500,522.187565
-500.0,500,524.588062
-498.0,499,526.920545
-500.0,500,529.031055
-500.0,500,531.229937
-500.0,500,533.451156
-500.0,500,535.561656
-392.0,393,537.386856
-500.0,500,539.581007
-500.0,500,541.970942
-500.0,500,544.33412
-500.0,500,546.489831
-500.0,500,548.8481
-500.0,500,551.189471
-406.0,407,553.149276
-456.0,457,555.39844
-500.0,500,557.579072
-500.0,500,559.801383
-500.0,500,561.932827
-500.0,500,564.215488
-413.0,414,566.314167
-500.0,500,568.494816
-425.0,426,570.456965
-500.0,500,572.638135
-500.0,500,574.776782
-447.0,448,576.621541
-429.0,430,578.945465
-480.0,481,581.119572
-471.0,472,583.350232
-385.0,386,585.306325
-471.0,472,587.701826
-500.0,500,589.806702
-500.0,500,592.1133
-500.0,500,594.524798
-500.0,500,596.826283
-421.0,422,598.946274
-500.0,500,601.209264
-500.0,500,603.445977
-500.0,500,605.910989
-500.0,500,608.296551
-500.0,500,610.946328
-500.0,500,613.394977
-500.0,500,615.789249
-500.0,500,618.070916
-500.0,500,620.235698
-500.0,500,622.368599
-500.0,500,624.592753
-500.0,500,626.699434
-500.0,500,628.977093
-500.0,500,631.365781
-500.0,500,633.637954
-500.0,500,636.157714
-500.0,500,638.509384
-500.0,500,640.848045
-500.0,500,642.981201
-500.0,500,645.194865
-500.0,500,647.309013
-500.0,500,649.472163
-500.0,500,651.865325
-500.0,500,654.260991
-500.0,500,656.71066
-500.0,500,658.986318
-500.0,500,661.437044
-500.0,500,663.825202
-500.0,500,666.107852
-500.0,500,668.352286
-500.0,500,670.492034
-500.0,500,672.657179
-500.0,500,674.887675
-500.0,500,677.226332
-500.0,500,679.635648
-500.0,500,681.742666
-500.0,500,684.186561
-500.0,500,686.613475
-500.0,500,689.040918
-500.0,500,691.32375
-500.0,500,693.528053
-500.0,500,695.690732
-500.0,500,697.95425
-500.0,500,700.224892
-500.0,500,702.606886
-500.0,500,704.936081
-500.0,500,707.180726
-500.0,500,709.682898
-500.0,500,712.299664
-500.0,500,714.726909
-500.0,500,717.155725
-500.0,500,719.284576
-500.0,500,721.49285
-500.0,500,723.744514
-500.0,500,726.182185
-500.0,500,728.65923
-500.0,500,731.130529
-500.0,500,733.46438
-500.0,500,735.957367
-500.0,500,738.323973
-500.0,500,740.728142
-500.0,500,743.062486
-500.0,500,745.232996
-500.0,500,747.40922
-500.0,500,749.645741
-500.0,500,751.886607
-500.0,500,754.173594
-500.0,500,756.377313
-500.0,500,758.64231
-500.0,500,761.108439
-420.0,421,763.330396
-500.0,500,765.463808
-500.0,500,767.98092
-500.0,500,770.373835
-500.0,500,773.015442
-386.0,387,775.08637
-500.0,500,777.351495
-423.0,424,779.386349
-384.0,385,781.545391
-500.0,500,784.008302
-500.0,500,786.537204
-381.0,382,788.515342
-321.0,322,790.271003
-408.0,409,792.301053
-500.0,500,794.451044
-451.0,452,796.44253
-500.0,500,799.045413
-267.0,268,800.840032
-334.0,335,802.910861
-376.0,377,804.65399
-393.0,394,806.387206
-497.0,498,808.58436
-275.0,276,809.94749
-327.0,328,811.584162
-348.0,349,813.344869
-266.0,267,815.064707
-483.0,484,817.611476
-374.0,375,819.431176
-217.0,218,820.779418
-399.0,400,822.650554
-294.0,295,824.094651
-457.0,458,826.349817
-299.0,300,827.816468
-268.0,269,829.313659
-217.0,218,830.900015
-283.0,284,832.33673
-225.0,226,833.778335
-278.0,279,835.200531
-258.0,259,836.587325
-201.0,202,838.095946
