#{"t_start": 1753254988.6938803, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.217724
-500.0,500,4.635359
-500.0,500,6.936791
-500.0,500,9.036439
-500.0,500,11.279098
-500.0,500,13.370245
-500.0,500,15.557396
-500.0,500,17.73155
-500.0,500,20.204233
-500.0,500,22.561898
-500.0,500,24.88673
-500.0,500,27.326914
-500.0,500,29.757662
-500.0,500,32.096119
-500.0,500,34.170378
-500.0,500,36.290719
-438.0,439,38.109844
-500.0,500,40.364011
-500.0,500,42.784807
-500.0,500,45.028537
-500.0,500,47.246169
-500.0,500,49.43433
-500.0,500,51.627296
-500.0,500,53.76933
-500.0,500,56.199869
-500.0,500,58.696564
-500.0,500,60.874561
-500.0,500,63.396502
-500.0,500,65.900733
-500.0,500,68.380196
-500.0,500,70.692441
-500.0,500,72.887223
-500.0,500,75.126388
-500.0,500,77.427895
-500.0,500,79.676782
-500.0,500,82.225925
-500.0,500,84.64858
-500.0,500,86.739323
-500.0,500,89.366356
-500.0,500,91.924683
-500.0,500,94.163793
-500.0,500,96.339192
-500.0,500,98.608747
-500.0,500,100.780398
-500.0,500,103.022644
-500.0,500,105.33657
-500.0,500,107.683747
-500.0,500,109.97801
-500.0,500,112.206313
-500.0,500,114.606261
-500.0,500,117.037745
-500.0,500,119.324243
-500.0,500,121.644199
-500.0,500,123.804691
-500.0,500,125.990589
-500.0,500,128.252308
-500.0,500,130.412457
-500.0,500,132.844655
-500.0,500,135.036188
-500.0,500,137.49767
-500.0,500,140.02183
-500.0,500,142.414368
-500.0,500,144.793657
-500.0,500,147.009536
-500.0,500,149.139598
-500.0,500,151.351492
-500.0,500,153.604305
-500.0,500,155.895753
-500.0,500,158.140096
-500.0,500,160.341088
-500.0,500,162.692587
-500.0,500,164.97207
-500.0,500,167.327092
-500.0,500,169.766043
-500.0,500,171.852372
-500.0,500,173.993019
-500.0,500,176.248028
-500.0,500,178.443398
-500.0,500,180.753505
-500.0,500,183.292073
-500.0,500,185.617818
-500.0,500,188.055031
-500.0,500,190.444539
-500.0,500,192.715287
-500.0,500,194.867033
-500.0,500,197.062526
-500.0,500,199.182298
-500.0,500,201.368449
-500.0,500,203.805009
-500.0,500,206.044246
-500.0,500,208.230696
-500.0,500,210.648864
-500.0,500,213.160383
-500.0,500,215.442097
-500.0,500,217.595039
-500.0,500,219.838814
-500.0,500,221.929585
-500.0,500,224.099066
-500.0,500,226.48355
-500.0,500,228.844521
-500.0,500,231.131021
-364.0,365,233.017654
-500.0,500,235.619804
-500.0,500,238.025796
-500.0,500,240.120282
-500.0,500,242.267779
-500.0,500,244.476771
-500.0,500,246.612259
-500.0,500,248.697295
-500.0,500,251.045727
-500.0,500,253.403229
-500.0,500,255.546977
-500.0,500,257.875153
-500.0,500,260.207321
-500.0,500,262.441488
-500.0,500,264.603954
-500.0,500,266.634774
-500.0,500,268.737453
-500.0,500,270.779596
-500.0,500,273.013672
-500.0,500,275.31115
-500.0,500,277.636323
-500.0,500,279.760668
-500.0,500,282.209842
-500.0,500,284.576574
-500.0,500,286.911327
-500.0,500,289.202374
-500.0,500,291.30881
-500.0,500,293.454293
-500.0,500,295.586529
-500.0,500,297.854449
-500.0,500,300.152459
-500.0,500,302.31111
-500.0,500,304.822303
-500.0,500,307.308002
-500.0,500,309.475021
-500.0,500,311.75156
-500.0,500,313.864743
-500.0,500,316.007912
-500.0,500,318.20007
-500.0,500,320.403734
-500.0,500,322.782654
-500.0,500,325.111819
-500.0,500,327.256474
-500.0,500,329.879653
-500.0,500,332.386285
-500.0,500,334.721459
-500.0,500,336.965916
-500.0,500,339.147904
-500.0,500,341.293452
-500.0,500,343.42811
-500.0,500,345.643827
-500.0,500,347.77567
-500.0,500,350.244212
-500.0,500,352.549072
-500.0,500,354.976266
-500.0,500,357.25195
-500.0,500,359.568507
-500.0,500,361.720649
-500.0,500,363.891005
-500.0,500,366.047149
-500.0,500,368.140544
-500.0,500,370.333689
-500.0,500,372.520785
-500.0,500,374.680286
-500.0,500,377.198271
-500.0,500,379.603756
-500.0,500,382.026255
-500.0,500,384.362738
-500.0,500,386.578233
-500.0,500,388.752721
-500.0,500,390.824218
-500.0,500,393.085212
-500.0,500,395.233203
-500.0,500,397.606687
-500.0,500,399.766186
-500.0,500,402.104177
-500.0,500,404.418203
-500.0,500,406.664891
-500.0,500,408.951497
-500.0,500,411.031544
-500.0,500,413.163649
-500.0,500,415.337226
-500.0,500,417.569383
-500.0,500,419.924091
-500.0,500,422.469854
-500.0,500,424.994702
-500.0,500,427.270505
-500.0,500,429.674567
-500.0,500,432.094066
-500.0,500,434.274549
-500.0,500,436.525078
-500.0,500,438.697915
-500.0,500,441.018031
-500.0,500,443.226025
-500.0,500,445.542274
-500.0,500,447.833518
-500.0,500,450.308098
-500.0,500,452.487893
-500.0,500,454.640712
-500.0,500,456.950888
-500.0,500,459.110558
-500.0,500,461.280744
-500.0,500,463.434786
-500.0,500,465.706712
-500.0,500,468.054315
-500.0,500,470.508262
-500.0,500,472.823016
-500.0,500,475.409702
-500.0,500,477.748051
-500.0,500,479.840986
-500.0,500,482.034153
-500.0,500,484.30289
-500.0,500,486.446302
-500.0,500,488.682453
-268.0,269,489.960736
-500.0,500,492.071924
-500.0,500,494.366287
-500.0,500,496.596805
-500.0,500,498.980478
-500.0,500,501.129841
-500.0,500,503.574359
-500.0,500,505.883533
-500.0,500,508.179639
-500.0,500,510.441452
-500.0,500,512.599089
-500.0,500,514.737569
-469.0,470,516.902238
-500.0,500,518.947454
-500.0,500,521.407769
-500.0,500,523.632996
-500.0,500,526.042169
-500.0,500,528.378763
-500.0,500,530.528074
-500.0,500,532.66083
-500.0,500,534.855795
-500.0,500,537.124954
-500.0,500,539.587842
-500.0,500,541.861602
-500.0,500,544.033488
-500.0,500,546.485662
-413.0,414,548.707256
-500.0,500,550.800915
-500.0,500,553.177826
-500.0,500,555.445633
-500.0,500,557.698192
-500.0,500,559.937635
-500.0,500,562.054187
-500.0,500,564.184143
-500.0,500,566.382997
-500.0,500,568.630301
-500.0,500,570.879243
-500.0,500,573.34541
-500.0,500,575.502076
-500.0,500,577.769739
-500.0,500,580.093425
-500.0,500,582.477717
-500.0,500,584.627366
-500.0,500,586.753662
-500.0,500,588.904813
-500.0,500,591.100464
-500.0,500,593.341169
-500.0,500,595.594006
-500.0,500,597.903761
-500.0,500,600.108403
-500.0,500,602.488579
-500.0,500,604.841235
-500.0,500,607.070489
-500.0,500,609.206718
-424.0,425,611.024254
-500.0,500,613.287778
-500.0,500,615.585334
-500.0,500,617.812362
-500.0,500,619.795324
-500.0,500,621.884652
-500.0,500,624.002546
-500.0,500,626.201669
-500.0,500,628.631766
-500.0,500,631.106187
-500.0,500,633.331864
-500.0,500,635.630007
-500.0,500,638.032303
-500.0,500,640.440559
-500.0,500,642.65343
-500.0,500,644.81987
-500.0,500,646.983746
-500.0,500,649.250895
-500.0,500,651.462764
-500.0,500,653.796129
-500.0,500,656.039715
-500.0,500,658.535211
-500.0,500,660.830696
-500.0,500,663.103193
-500.0,500,665.448186
-248.0,249,666.70618
-500.0,500,668.815667
-500.0,500,670.983165
-500.0,500,673.064652
-500.0,500,675.298642
-500.0,500,677.692629
-500.0,500,680.134132
-500.0,500,682.462122
-500.0,500,684.901207
-500.0,500,687.178734
-500.0,500,689.317636
-500.0,500,691.517289
-500.0,500,693.668721
-500.0,500,695.801468
-500.0,500,698.026924
-500.0,500,700.367385
-500.0,500,702.892075
-500.0,500,705.177215
-500.0,500,707.670384
-500.0,500,710.063797
-500.0,500,712.488463
-500.0,500,714.776708
-500.0,500,717.00213
-500.0,500,719.120203
-500.0,500,721.32135
-500.0,500,723.499595
-500.0,500,725.947273
-500.0,500,728.220934
-500.0,500,730.305013
-500.0,500,732.659732
-500.0,500,734.866399
-500.0,500,737.160055
-500.0,500,739.362502
-500.0,500,741.580649
-500.0,500,743.760309
-500.0,500,745.995574
-500.0,500,748.280722
-500.0,500,750.800403
-500.0,500,752.915048
-500.0,500,755.542489
-500.0,500,758.007668
-500.0,500,760.559344
-500.0,500,762.859128
-500.0,500,765.065279
-500.0,500,767.210679
-500.0,500,769.470837
-500.0,500,771.803221
-500.0,500,774.104837
-500.0,500,776.601059
-500.0,500,778.819263
-500.0,500,781.379273
-500.0,500,783.540929
-500.0,500,785.997602
-500.0,500,788.257977
-500.0,500,790.505656
-500.0,500,792.699706
-500.0,500,794.945932
-500.0,500,797.201431
-500.0,500,799.667695
-500.0,500,802.092735
-500.0,500,804.331846
-500.0,500,806.872686
-500.0,500,809.281518
-500.0,500,811.712207
-500.0,500,813.81337
-500.0,500,816.038305
-500.0,500,818.248895
-500.0,500,820.557593
-500.0,500,822.876815
-500.0,500,825.247054
-500.0,500,827.583282
-500.0,500,830.235483
