#{"t_start": 1753254625.9721525, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,1.053082
-500.0,500,1.219127
-500.0,500,1.492233
-500.0,500,1.861613
-500.0,500,3.670474
-500.0,500,4.04471
-500.0,500,4.425902
-500.0,500,4.796228
-500.0,500,6.561699
-500.0,500,6.939243
-500.0,500,7.317116
-500.0,500,7.694641
-500.0,500,9.455885
-500.0,500,9.833935
-500.0,500,10.200512
-500.0,500,10.582276
-500.0,500,12.356754
-500.0,500,12.732275
-500.0,500,13.105341
-500.0,500,13.465423
-500.0,500,15.216723
-500.0,500,15.587248
-500.0,500,15.958798
-500.0,500,16.322274
-500.0,500,18.0964
-500.0,500,18.473934
-500.0,500,18.856964
-500.0,500,19.233992
-500.0,500,21.008941
-500.0,500,21.380634
-500.0,500,21.757662
-365.0,366,22.029183
-500.0,500,22.401322
-500.0,500,24.16417
-440.0,441,24.490695
-500.0,500,24.865719
-500.0,500,25.233747
-500.0,500,27.044651
-500.0,500,27.413679
-500.0,500,27.794117
-500.0,500,28.16228
-500.0,500,29.918917
-500.0,500,30.28368
-500.0,500,30.65378
-500.0,500,31.021201
-500.0,500,32.769456
-500.0,500,33.13702
-500.0,500,33.502947
-500.0,500,33.872532
-500.0,500,35.68152
-500.0,500,36.05255
-500.0,500,36.41958
-443.0,444,36.749695
-500.0,500,38.523622
-500.0,500,38.892141
-500.0,500,39.250164
-500.0,500,39.614189
-500.0,500,41.388305
-500.0,500,41.751089
-500.0,500,42.114113
-500.0,500,42.477634
-500.0,500,44.26026
-500.0,500,44.620464
-500.0,500,44.988984
-500.0,500,45.356529
-500.0,500,45.718556
-500.0,500,47.491197
-500.0,500,47.858224
-500.0,500,48.225926
-500.0,500,48.590256
-500.0,500,50.353598
-500.0,500,50.720596
-500.0,500,51.080104
-500.0,500,51.441604
-411.0,412,53.15263
-500.0,500,53.519755
-500.0,500,53.881596
-428.0,429,54.196586
-500.0,500,55.961253
-500.0,500,56.325787
-500.0,500,56.68687
-500.0,500,57.050899
-500.0,500,58.85206
-500.0,500,59.217687
-500.0,500,59.590736
-500.0,500,59.965765
-500.0,500,61.749117
-500.0,500,62.12986
-455.0,456,62.46638
-500.0,500,62.842409
-500.0,500,63.219437
-500.0,500,64.997513
-500.0,500,65.37354
-500.0,500,65.749492
-500.0,500,66.124521
-500.0,500,67.93109
-500.0,500,68.303612
-500.0,500,68.683639
-500.0,500,69.060666
-500.0,500,70.8423
-496.0,497,71.206821
-500.0,500,71.581847
-500.0,500,71.957872
-500.0,500,73.742608
-500.0,500,74.119635
-500.0,500,74.497157
-500.0,500,74.873182
-500.0,500,76.65959
-500.0,500,77.033
-500.0,500,77.401531
-500.0,500,77.766541
-389.0,390,79.47304
-500.0,500,79.848989
-500.0,500,80.228606
-425.0,426,80.554125
-327.0,328,80.799175
-500.0,500,82.577299
-500.0,500,82.953097
-382.0,383,83.233616
-500.0,500,83.603204
-418.0,419,85.327811
-500.0,500,85.707269
-500.0,500,86.092293
-500.0,500,86.467403
-500.0,500,88.27333
-341.0,342,88.517366
-500.0,500,88.887888
-500.0,500,89.258421
-396.0,397,89.558908
-500.0,500,91.389671
-500.0,500,91.766697
-500.0,500,92.135759
-500.0,500,92.513785
-500.0,500,94.303969
-500.0,500,94.68412
-500.0,500,95.067148
-500.0,500,95.444881
-500.0,500,97.242088
-500.0,500,97.612612
-500.0,500,97.986634
-500.0,500,98.36066
-500.0,500,100.159793
-500.0,500,100.528322
-500.0,500,100.898929
-499.0,500,101.273956
-500.0,500,103.041032
-474.0,475,103.399399
-500.0,500,103.768427
-493.0,494,104.138454
-500.0,500,104.513976
-500.0,500,106.288096
-500.0,500,106.664632
-451.0,452,107.012158
-500.0,500,107.388183
-428.0,429,109.105355
-325.0,326,109.349872
-324.0,325,109.593405
-500.0,500,109.962433
-500.0,500,110.33446
-474.0,475,112.088331
-500.0,500,112.459358
-452.0,453,112.792878
-500.0,500,113.171986
-496.0,497,114.983849
-485.0,486,115.346405
-402.0,403,115.650928
-500.0,500,116.020968
-351.0,352,116.288987
-496.0,497,118.063617
-500.0,500,118.440644
-500.0,500,118.811166
-500.0,500,119.188192
-500.0,500,120.963671
-500.0,500,121.337874
-420.0,421,121.652393
-390.0,391,121.944912
-500.0,500,123.763043
-374.0,375,124.041066
-500.0,500,124.406589
-497.0,498,124.77476
-369.0,370,125.051281
-385.0,386,126.738075
-500.0,500,127.108245
-385.0,386,127.399418
-451.0,452,127.732836
-299.0,300,127.956851
-500.0,500,129.737971
-472.0,473,130.093999
-442.0,443,130.422027
-500.0,500,130.798549
-410.0,411,132.515669
-323.0,324,132.762186
-415.0,416,133.077706
-478.0,479,133.434739
-227.0,228,133.604244
-333.0,334,133.853765
-460.0,461,135.600893
-500.0,500,135.972177
-288.0,289,136.187191
-477.0,478,136.543218
-500.0,500,138.326428
-500.0,500,138.709954
-386.0,387,139.013476
-473.0,474,139.367138
-500.0,500,139.740165
-500.0,500,141.518819
-237.0,238,141.69483
-403.0,404,141.993356
-334.0,335,142.242486
-500.0,500,142.61312
-398.0,399,144.315256
-500.0,500,144.688281
-426.0,427,145.00681
-282.0,283,145.216817
-376.0,377,145.50099
-442.0,443,147.276631
-473.0,474,147.632756
-358.0,359,147.903533
-339.0,340,148.157053
-369.0,370,148.432573
-248.0,249,148.619083
-213.0,214,150.196336
-370.0,371,150.475975
-306.0,307,150.70454
-338.0,339,150.959059
-317.0,318,151.195078
-481.0,482,151.552769
-281.0,282,153.161794
-354.0,355,153.423811
-348.0,349,153.685892
-392.0,393,153.974975
-459.0,460,154.316262
-418.0,419,156.100179
-384.0,385,156.380476
-345.0,346,156.636588
-322.0,323,156.871604
-357.0,358,157.135131
-291.0,292,157.349144
-455.0,456,159.069842
-339.0,340,159.310451
-452.0,453,159.640312
-396.0,397,159.927529
-343.0,344,160.177542
-471.0,472,161.916748
-395.0,396,162.218125
-344.0,345,162.475878
-500.0,500,162.835422
-274.0,275,163.031275
-500.0,500,164.782935
-321.0,322,165.020953
-347.0,348,165.277135
-365.0,366,165.54422
-191.0,192,165.69173
-418.0,419,166.001252
-296.0,297,167.620515
-500.0,500,168.001688
-287.0,288,168.209703
-378.0,379,168.492761
-287.0,288,168.713776
-319.0,320,168.954816
-302.0,303,170.575739
-348.0,349,170.837282
-416.0,417,171.148067
-334.0,335,171.398684
-473.0,474,171.767118
-406.0,407,173.467168
-430.0,431,173.782501
-448.0,449,174.121686
-500.0,500,174.493324
-407.0,408,174.799498
-286.0,287,176.408815
-477.0,478,176.760518
-381.0,382,177.037171
-461.0,462,177.37423
-450.0,451,177.702757
-500.0,500,179.452651
-428.0,429,179.761172
-287.0,288,179.968189
-500.0,500,180.333269
-500.0,500,180.696572
-475.0,476,182.423424
-394.0,395,182.710468
-500.0,500,183.078091
-295.0,296,183.29611
-424.0,425,183.60666
-331.0,332,185.232358
-365.0,366,185.503871
-428.0,429,185.820388
-316.0,317,186.058908
-345.0,346,186.319375
-500.0,500,188.080696
-413.0,414,188.392226
-492.0,493,188.761264
-364.0,365,189.038371
-350.0,351,189.290424
-463.0,464,191.020128
-350.0,351,191.287657
-406.0,407,191.584756
-500.0,500,191.961808
-477.0,478,192.322331
-345.0,346,193.955532
-406.0,407,194.261077
-429.0,430,194.579607
-479.0,480,194.939674
-380.0,381,195.226709
-389.0,390,196.896077
-500.0,500,197.260024
-419.0,420,197.56726
-389.0,390,197.853785
-393.0,394,198.154311
-500.0,500,199.914485
-284.0,285,200.126502
-292.0,293,200.340022
-367.0,368,200.609038
-434.0,435,200.929561
-449.0,450,202.651422
-318.0,319,202.885438
-357.0,358,203.144974
-398.0,399,203.430017
-274.0,275,203.631036
-285.0,286,203.839558
-314.0,315,205.446246
-332.0,333,205.69227
-369.0,370,205.957812
-353.0,354,206.22184
-396.0,397,206.512364
-274.0,275,206.7089
-420.0,421,208.397665
-411.0,412,208.705194
-454.0,455,209.04082
-500.0,500,209.416382
-356.0,357,209.684913
-312.0,313,211.31609
-355.0,356,211.579473
-236.0,237,211.760124
-500.0,500,212.124643
-486.0,487,212.483681
-411.0,412,214.17498
-275.0,276,214.382997
-377.0,378,214.665523
-351.0,352,214.921187
-318.0,319,215.150744
-464.0,465,215.48327
-500.0,500,217.232921
-271.0,272,217.433939
-291.0,292,217.641462
-439.0,440,217.963113
-318.0,319,218.195198
-225.0,226,218.360368
-315.0,316,219.97633
-248.0,249,220.15847
-435.0,436,220.4705
-306.0,307,220.690508
-355.0,356,220.941765
-222.0,223,221.101952
-344.0,345,222.73614
-206.0,207,222.88468
-352.0,353,223.142249
-378.0,379,223.420439
-455.0,456,223.755716
-395.0,396,224.041033
-394.0,395,225.714982
-267.0,268,225.91104
-426.0,427,226.23348
-325.0,326,226.47789
-356.0,357,226.731239
-357.0,358,226.996826
-334.0,335,228.635064
-332.0,333,228.88032
-338.0,339,229.133903
-403.0,404,229.427707
-303.0,304,229.646018
-476.0,477,231.383578
-457.0,458,231.716045
-412.0,413,232.016971
-341.0,342,232.264715
-418.0,419,232.570015
-317.0,318,234.187335
-375.0,376,234.460478
-424.0,425,234.762019
-334.0,335,235.011261
-367.0,368,235.287509
-428.0,429,235.603149
-424.0,425,237.315523
-380.0,381,237.601975
-344.0,345,237.858795
-363.0,364,238.128464
-493.0,494,238.50277
-489.0,490,240.265882
-249.0,250,240.448376
-489.0,490,240.807373
-318.0,319,241.042372
-383.0,384,241.336877
-241.0,242,241.518877
-487.0,488,243.266743
-266.0,267,243.457754
-377.0,378,243.73677
-251.0,252,243.922783
-329.0,330,244.164304
-325.0,326,244.398316
-324.0,325,246.036379
-454.0,455,246.376352
-305.0,306,246.601351
-287.0,288,246.81435
-276.0,277,247.02035
-310.0,311,247.251427
-335.0,336,248.893852
-411.0,412,249.189341
-364.0,365,249.449342
-488.0,489,249.799844
-500.0,500,250.149843
-276.0,277,251.788491
-268.0,269,251.972506
-500.0,500,252.329849
-281.0,282,252.537384
-332.0,333,252.781285
-396.0,397,253.068806
-334.0,335,254.715526
-267.0,268,254.90354
-340.0,341,255.155185
-298.0,299,255.382704
-446.0,447,255.720798
-449.0,450,257.452775
-480.0,481,257.8038
-419.0,420,258.112322
-234.0,235,258.288336
-420.0,421,258.601856
-333.0,334,258.862377
-397.0,398,260.563932
-427.0,428,260.880207
-418.0,419,261.193725
-406.0,407,261.5028
-324.0,325,261.747519
-268.0,269,263.335796
-307.0,308,263.561797
-414.0,415,263.865201
-314.0,315,264.091539
-436.0,437,264.406394
-350.0,351,264.65926
-320.0,321,266.28357
-363.0,364,266.557586
-340.0,341,266.815917
-286.0,287,267.028834
-293.0,294,267.248848
-314.0,315,267.476644
-472.0,473,269.212865
-288.0,289,269.43223
-280.0,281,269.646461
-486.0,487,270.009852
-455.0,456,270.354895
-443.0,444,272.074164
-445.0,446,272.408087
-304.0,305,272.63422
-269.0,270,272.833739
-381.0,382,273.118771
-369.0,370,273.393947
-327.0,328,275.044258
-345.0,346,275.302347
-372.0,373,275.583384
-339.0,340,275.835397
-328.0,329,276.078902
-264.0,265,276.280005
-310.0,311,277.911219
-271.0,272,278.102232
-332.0,333,278.343542
-216.0,217,278.50167
-384.0,385,278.781403
-406.0,407,279.074984
-312.0,313,279.301137
-470.0,471,281.035853
-477.0,478,281.382975
-244.0,245,281.555481
-340.0,341,281.797444
-307.0,308,282.021156
-500.0,500,283.769562
-300.0,301,283.986665
-440.0,441,284.301337
-413.0,414,284.610666
-345.0,346,284.870935
-305.0,306,286.485803
-262.0,263,286.684929
-295.0,296,286.900602
-431.0,432,287.225124
-419.0,420,287.539207
-306.0,307,287.769223
-310.0,311,289.391958
-346.0,347,289.642972
-317.0,318,289.882669
-362.0,363,290.145752
-217.0,218,290.29834
-288.0,289,290.518901
-273.0,274,290.719915
-347.0,348,292.362685
-392.0,393,292.659178
-343.0,344,292.90846
-343.0,344,293.164547
-266.0,267,293.365561
-240.0,241,293.543873
-453.0,454,295.267198
-268.0,269,295.467053
-369.0,370,295.745281
-285.0,286,295.958393
-247.0,248,296.144467
-372.0,373,296.418504
-281.0,282,296.630646
-322.0,323,298.263157
-346.0,347,298.515827
-410.0,411,298.818154
-237.0,238,298.987891
-334.0,335,299.229153
-380.0,381,299.506497
-383.0,384,301.167988
-354.0,355,301.4276
-280.0,281,301.638615
-316.0,317,301.877265
-355.0,356,302.14255
-327.0,328,302.384129
-299.0,300,303.993455
-291.0,292,304.200471
-391.0,392,304.482487
-323.0,324,304.717006
-351.0,352,304.968018
-286.0,287,305.179185
-284.0,285,306.766683
-336.0,337,307.008857
-263.0,264,307.202872
-268.0,269,307.397392
-371.0,372,307.669401
-372.0,373,307.944966
-288.0,289,308.155018
-336.0,337,309.779849
-255.0,256,309.967862
-241.0,242,310.148016
-312.0,313,310.374161
-366.0,367,310.643389
-274.0,275,310.845407
-328.0,329,311.083421
-415.0,416,312.771063
-332.0,333,313.018244
-339.0,340,313.27089
-257.0,258,313.456903
-294.0,295,313.673918
-360.0,361,313.942435
-345.0,346,315.595072
-308.0,309,315.828085
-500.0,500,316.193732
-338.0,339,316.439745
-358.0,359,316.707783
-244.0,245,316.886294
-376.0,377,318.564407
-268.0,269,318.763422
-243.0,244,318.944435
-333.0,334,319.18245
-336.0,337,319.419088
-361.0,362,319.679103
-381.0,382,321.34922
-361.0,362,321.618739
-318.0,319,321.857752
-354.0,355,322.119271
-270.0,271,322.320285
-229.0,230,322.48882
-254.0,255,322.68133
-460.0,461,324.410475
-238.0,239,324.580984
-329.0,330,324.819502
-404.0,405,325.115021
-281.0,282,325.324035
-250.0,251,325.504048
-327.0,328,327.133203
-330.0,331,327.384218
-227.0,228,327.550229
-417.0,418,327.86275
-348.0,349,328.12327
-341.0,342,328.381286
-333.0,334,330.016915
-290.0,291,330.233928
-240.0,241,330.416941
-300.0,301,330.642954
-208.0,209,330.799967
-364.0,365,331.075982
-441.0,442,331.41041
-291.0,292,333.02264
-302.0,303,333.249588
-322.0,323,333.490045
-287.0,288,333.704061
-413.0,414,334.007588
-269.0,270,334.210602
-297.0,298,335.830295
-332.0,333,336.076735
-371.0,372,336.358253
