#{"t_start": 1753269553.8167922, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.210374
-500.0,500,4.798559
-500.0,500,7.073232
-500.0,500,9.413465
-500.0,500,11.619752
-500.0,500,13.80735
-500.0,500,16.057336
-500.0,500,18.407957
-500.0,500,20.764621
-500.0,500,23.200922
-500.0,500,25.685597
-500.0,500,28.299972
-500.0,500,30.66713
-500.0,500,32.9938
-500.0,500,35.255513
-500.0,500,37.385148
-500.0,500,39.567713
-500.0,500,41.78767
-500.0,500,43.935196
-500.0,500,46.374308
-500.0,500,48.855147
-500.0,500,51.195292
-500.0,500,53.637703
-500.0,500,56.121448
-500.0,500,58.458814
-500.0,500,60.676466
-500.0,500,62.887011
-500.0,500,65.088665
-500.0,500,67.151178
-500.0,500,69.542605
-500.0,500,71.849766
-500.0,500,74.094918
-500.0,500,76.545398
-500.0,500,79.045066
-500.0,500,81.405063
-500.0,500,83.537218
-500.0,500,85.77545
-500.0,500,87.837105
-500.0,500,90.002084
-500.0,500,92.168248
-500.0,500,94.619012
-500.0,500,97.101628
-500.0,500,99.349377
-500.0,500,101.932414
-500.0,500,104.223913
-500.0,500,106.583412
-500.0,500,108.902004
-500.0,500,110.916146
-500.0,500,113.074469
-500.0,500,115.173985
-500.0,500,117.391356
-500.0,500,119.803475
-500.0,500,122.189706
-500.0,500,124.497455
-500.0,500,126.957279
-500.0,500,129.353013
-500.0,500,131.736823
-500.0,500,133.853985
-500.0,500,135.996289
-500.0,500,138.242539
-500.0,500,140.332603
-500.0,500,142.57846
-500.0,500,144.852634
-500.0,500,147.078786
-500.0,500,149.687464
-500.0,500,152.225647
-500.0,500,154.617816
-500.0,500,156.817473
-500.0,500,159.006622
-500.0,500,161.168192
-500.0,500,163.339183
-500.0,500,165.462175
-500.0,500,167.727682
-500.0,500,170.349156
-500.0,500,172.506657
-500.0,500,175.092646
-500.0,500,177.445636
-500.0,500,179.724123
-500.0,500,181.938582
-500.0,500,184.079833
-500.0,500,186.218763
-500.0,500,188.374417
-500.0,500,190.576572
-301.0,302,192.031177
-500.0,500,194.286663
-441.0,442,196.097898
-451.0,452,198.433555
-500.0,500,200.626206
-500.0,500,202.672403
-397.0,398,204.648064
