#{"t_start": 1753268398.385761, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.332385
-500.0,500,4.649142
-500.0,500,6.974395
-500.0,500,9.358551
-500.0,500,11.499188
-500.0,500,13.634829
-500.0,500,15.703465
-500.0,500,17.95812
-500.0,500,20.423118
-500.0,500,22.865788
-500.0,500,24.986435
-500.0,500,27.316089
-500.0,500,29.659252
-500.0,500,31.98091
-500.0,500,34.217066
-500.0,500,36.493783
-500.0,500,38.630433
-500.0,500,40.768347
-500.0,500,42.957011
-500.0,500,45.347173
-500.0,500,47.761342
-500.0,500,49.999058
-500.0,500,52.332716
-500.0,500,54.727064
-500.0,500,57.03172
-500.0,500,59.365434
-500.0,500,61.567585
-500.0,500,63.739149
-500.0,500,65.989579
-500.0,500,68.278902
-500.0,500,70.68051
-500.0,500,72.936815
-500.0,500,75.261982
-500.0,500,77.698319
-500.0,500,80.033979
-500.0,500,82.358739
-500.0,500,84.581602
-500.0,500,86.664248
-500.0,500,88.795892
-500.0,500,91.034379
-500.0,500,93.155462
-500.0,500,95.42033
-500.0,500,97.700321
-500.0,500,100.010835
-500.0,500,102.549016
-500.0,500,104.885299
-500.0,500,107.154064
-500.0,500,109.226203
-500.0,500,111.357094
-500.0,500,113.542022
-500.0,500,115.615211
-500.0,500,118.071976
-500.0,500,120.438302
-500.0,500,122.763077
-500.0,500,125.091751
-500.0,500,127.396517
-500.0,500,129.71228
-500.0,500,131.92425
-500.0,500,134.074357
-500.0,500,136.178487
-500.0,500,138.439282
-500.0,500,140.675894
-500.0,500,143.145632
-500.0,500,145.566165
-500.0,500,148.084189
-500.0,500,150.573884
-500.0,500,152.968359
-500.0,500,155.170792
-500.0,500,157.299509
-500.0,500,159.524321
-500.0,500,161.701516
-500.0,500,163.932293
-500.0,500,166.256866
-500.0,500,168.635572
-500.0,500,170.89476
-500.0,500,173.384096
-500.0,500,175.920787
-500.0,500,178.343713
-500.0,500,180.78385
-500.0,500,183.09858
-500.0,500,185.281718
-500.0,500,187.409568
-445.0,446,189.298011
-500.0,500,191.629191
-500.0,500,194.009099
-500.0,500,196.238385
-500.0,500,198.415873
-500.0,500,200.570645
-500.0,500,202.921436
-500.0,500,205.321492
-500.0,500,207.854083
-500.0,500,210.180279
-500.0,500,212.780258
-500.0,500,215.12913
-500.0,500,217.447452
-500.0,500,219.645015
-500.0,500,221.77637
-500.0,500,223.909857
-500.0,500,226.017024
-500.0,500,228.364634
-500.0,500,230.603832
-500.0,500,232.99814
-500.0,500,235.462965
-500.0,500,237.723337
-500.0,500,240.081022
-500.0,500,242.233171
-500.0,500,244.447781
-500.0,500,246.560547
-444.0,445,248.415918
-500.0,500,250.879915
-500.0,500,253.015516
-500.0,500,255.438443
-500.0,500,257.641026
-500.0,500,259.756359
-500.0,500,261.9302
-500.0,500,264.104964
-500.0,500,266.420194
-500.0,500,268.716029
-500.0,500,271.077874
-500.0,500,273.531257
-500.0,500,275.816694
-500.0,500,278.190268
-500.0,500,280.371881
-500.0,500,282.553057
-500.0,500,284.667217
-500.0,500,286.805388
-500.0,500,289.155086
-500.0,500,291.442768
-500.0,500,293.828476
-500.0,500,296.196672
-500.0,500,298.808856
-500.0,500,301.192607
-500.0,500,303.530291
-500.0,500,305.859979
-500.0,500,308.032659
-500.0,500,310.210811
-500.0,500,312.293989
-500.0,500,314.486143
-500.0,500,316.795899
-500.0,500,319.246444
-500.0,500,321.635031
-500.0,500,324.188282
-500.0,500,326.469239
-500.0,500,328.624117
-500.0,500,330.876506
-500.0,500,333.06765
-500.0,500,335.314188
-500.0,500,337.362858
-500.0,500,339.600254
-425.0,426,341.690218
-500.0,500,343.888881
-500.0,500,346.031192
-500.0,500,348.339967
-500.0,500,350.816404
-500.0,500,353.296908
-500.0,500,355.636361
-500.0,500,357.923734
-500.0,500,360.361119
-500.0,500,362.608888
-500.0,500,364.914265
-500.0,500,367.11674
-500.0,500,369.267176
-500.0,500,371.475319
-500.0,500,373.757478
-500.0,500,376.224151
-500.0,500,378.561711
-500.0,500,381.064253
-500.0,500,383.496244
-500.0,500,385.958653
-500.0,500,388.079264
-500.0,500,390.308218
-500.0,500,392.483172
-500.0,500,394.685322
-500.0,500,396.84498
-500.0,500,399.085769
-500.0,500,401.461527
-500.0,500,403.69101
-500.0,500,406.283219
-500.0,500,408.799979
-500.0,500,411.272166
-500.0,500,413.630451
-500.0,500,415.811539
-500.0,500,417.970325
-500.0,500,420.063106
-500.0,500,422.348591
-500.0,500,424.778179
-500.0,500,426.999461
-500.0,500,429.28812
-500.0,500,431.775263
-500.0,500,434.068797
-500.0,500,436.427402
-500.0,500,438.635169
-500.0,500,440.892702
-500.0,500,443.00425
-500.0,500,445.196778
-500.0,500,447.514119
-500.0,500,449.790946
-500.0,500,452.171479
-500.0,500,454.449977
-500.0,500,456.856968
-500.0,500,459.335961
-500.0,500,461.494102
-500.0,500,463.55267
-500.0,500,465.628122
-500.0,500,467.833563
-500.0,500,470.038326
-500.0,500,472.34497
-495.0,496,474.904732
-500.0,500,477.135024
-500.0,500,479.710881
-500.0,500,482.240365
-500.0,500,484.587671
-500.0,500,486.82925
-500.0,500,489.033436
-500.0,500,491.171884
-500.0,500,493.281528
-500.0,500,495.561306
-500.0,500,498.015966
-500.0,500,500.230626
-459.0,460,502.528947
-500.0,500,504.715122
-500.0,500,506.849275
-500.0,500,508.944443
-500.0,500,511.231159
-500.0,500,513.63625
-500.0,500,515.958368
-500.0,500,518.121024
-500.0,500,520.477833
-500.0,500,522.748014
-500.0,500,525.091625
-500.0,500,527.316085
-500.0,500,529.389115
-500.0,500,531.495002
-500.0,500,533.55005
-500.0,500,535.805395
-500.0,500,538.239583
-500.0,500,540.675451
-500.0,500,542.939748
-500.0,500,545.330496
-500.0,500,547.697316
-500.0,500,549.733959
-500.0,500,551.908134
-500.0,500,553.95479
-500.0,500,556.036432
-500.0,500,558.256602
-500.0,500,560.639131
-500.0,500,562.866293
-500.0,500,565.260612
-500.0,500,567.63327
-500.0,500,570.016289
-500.0,500,572.542028
-500.0,500,575.004237
-500.0,500,577.248986
-500.0,500,579.373
-500.0,500,581.637838
-500.0,500,583.737184
-500.0,500,586.022486
-500.0,500,588.352875
-500.0,500,590.448483
-500.0,500,592.905211
