#{"t_start": 1753268035.6947346, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.387636
-500.0,500,0.762617
-500.0,500,1.138128
-500.0,500,1.511122
-500.0,500,3.28376
-500.0,500,3.653787
-500.0,500,4.025377
-500.0,500,4.393404
-500.0,500,6.175017
-500.0,500,6.547756
-500.0,500,6.922783
-500.0,500,7.292849
-500.0,500,9.067727
-500.0,500,9.435246
-500.0,500,9.820269
-500.0,500,10.192799
-500.0,500,11.956901
-500.0,500,12.326563
-500.0,500,12.694097
-500.0,500,13.064122
-500.0,500,14.824887
-500.0,500,15.198914
-500.0,500,15.569939
-500.0,500,15.940461
-500.0,500,17.704083
-500.0,500,18.080727
-500.0,500,18.458753
-500.0,500,18.829272
-500.0,500,20.609409
-500.0,500,20.978434
-500.0,500,21.348956
-500.0,500,21.722981
-500.0,500,23.50662
-500.0,500,23.872646
-500.0,500,24.253313
-500.0,500,24.623337
-500.0,500,26.398537
-500.0,500,26.770525
-500.0,500,27.140058
-500.0,500,27.517686
-500.0,500,29.294803
-500.0,500,29.665829
-500.0,500,30.037349
-500.0,500,30.410376
-500.0,500,30.779402
-500.0,500,32.54352
-500.0,500,32.911543
-500.0,500,33.282676
-500.0,500,33.657701
-500.0,500,35.415351
-500.0,500,35.791377
-500.0,500,36.163934
-500.0,500,36.536453
-500.0,500,38.299164
-500.0,500,38.6651
-500.0,500,39.034714
-500.0,500,39.403425
-425.0,426,41.113194
-500.0,500,41.482642
-500.0,500,41.852756
-500.0,500,42.222409
-500.0,500,43.980117
-500.0,500,44.351327
-500.0,500,44.720698
-500.0,500,45.092423
-500.0,500,46.855831
-500.0,500,47.224562
-500.0,500,47.589221
-500.0,500,47.960172
-500.0,500,49.735157
-474.0,475,50.088638
-500.0,500,50.460083
-500.0,500,50.830142
-500.0,500,52.590495
-500.0,500,52.957876
-500.0,500,53.326221
-500.0,500,53.691088
-500.0,500,54.05845
-500.0,500,55.814017
-500.0,500,56.189373
-500.0,500,56.557893
-500.0,500,56.923868
-500.0,500,58.685899
-500.0,500,59.05439
-500.0,500,59.426389
-500.0,500,59.793352
-500.0,500,61.601887
-500.0,500,61.971383
-500.0,500,62.341376
-500.0,500,62.708376
-500.0,500,64.477962
-500.0,500,64.844481
-500.0,500,65.215506
-500.0,500,65.584532
