#{"t_start": 1753267029.6030326, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,2.567182
-500.0,500,5.059026
-500.0,500,7.156208
-500.0,500,9.35865
-500.0,500,11.704977
-500.0,500,13.982247
-500.0,500,16.267722
-500.0,500,18.403324
-448.0,449,20.635858
-500.0,500,23.258119
-500.0,500,25.530278
-500.0,500,27.784428
-500.0,500,30.036187
-500.0,500,32.350025
-500.0,500,34.732228
-500.0,500,37.203404
-500.0,500,39.774532
-500.0,500,42.455414
-500.0,500,44.937908
-500.0,500,47.549465
-500.0,500,49.823268
-500.0,500,52.165059
-500.0,500,54.431864
-500.0,500,56.684023
-500.0,500,59.015612
-500.0,500,61.37537
-500.0,500,63.818039
-500.0,500,66.385731
-500.0,500,68.982317
-500.0,500,71.495389
-500.0,500,74.197921
-500.0,500,76.739347
-500.0,500,78.93536
-500.0,500,81.196338
-500.0,500,83.509414
-500.0,500,85.719939
-500.0,500,88.201614
-500.0,500,90.772516
-500.0,500,93.323121
-442.0,443,95.917454
-500.0,500,98.307078
-500.0,500,100.594867
-500.0,500,102.92635
-500.0,500,105.473084
-500.0,500,107.837126
-500.0,500,110.387158
-500.0,500,112.929642
-500.0,500,115.242634
-500.0,500,117.540131
-500.0,500,119.801329
-500.0,500,122.04867
-500.0,500,124.280205
-500.0,500,126.723039
-500.0,500,129.279715
-500.0,500,131.784209
-500.0,500,134.396355
-500.0,500,136.930408
-500.0,500,139.392738
-500.0,500,141.834369
-500.0,500,144.257033
-500.0,500,146.528168
-500.0,500,148.803017
-500.0,500,151.176499
-500.0,500,153.647997
-500.0,500,156.14153
-500.0,500,158.498475
-500.0,500,161.337967
-500.0,500,164.012958
-500.0,500,166.599949
-500.0,500,168.91194
-500.0,500,171.22093
-500.0,500,173.506925
-500.0,500,175.721912
-500.0,500,178.145397
-410.0,411,180.286909
-500.0,500,182.620503
-334.0,335,184.284257
-500.0,500,186.988753
-500.0,500,189.695441
-500.0,500,192.143522
-500.0,500,194.461338
-500.0,500,196.758555
-500.0,500,199.003823
-500.0,500,201.23202
-500.0,500,203.542724
-500.0,500,205.90582
-500.0,500,208.48888
-500.0,500,211.013057
-500.0,500,213.583225
-500.0,500,216.203908
-500.0,500,218.407287
-500.0,500,220.826953
-500.0,500,223.058124
-500.0,500,225.366726
-500.0,500,227.67821
-500.0,500,230.056703
-500.0,500,232.826698
-377.0,378,235.186182
-500.0,500,237.649986
-476.0,477,240.089338
-500.0,500,242.49368
-500.0,500,244.849844
-500.0,500,247.158738
-500.0,500,249.449469
-500.0,500,251.770051
-500.0,500,254.169723
-500.0,500,256.842548
-500.0,500,259.20502
-500.0,500,261.896046
-500.0,500,264.232414
-500.0,500,266.550064
-500.0,500,269.008056
-384.0,385,270.923553
-500.0,500,273.238038
-500.0,500,275.613857
-500.0,500,277.934223
-500.0,500,280.426542
-500.0,500,283.045229
-500.0,500,285.551898
-500.0,500,288.165093
-500.0,500,290.726039
-500.0,500,293.27825
-500.0,500,295.740319
-500.0,500,298.003964
-500.0,500,300.310613
-500.0,500,302.56578
-500.0,500,304.918439
-500.0,500,307.463618
-500.0,500,310.146465
-500.0,500,312.64413
-500.0,500,315.285818
-500.0,500,317.99001
-500.0,500,320.608988
-500.0,500,322.995659
-452.0,453,325.300293
-500.0,500,327.967701
-445.0,446,330.36385
-500.0,500,332.636582
-500.0,500,334.91077
-500.0,500,337.417442
-363.0,364,339.432173
-500.0,500,341.77596
-500.0,500,344.223701
-500.0,500,346.825948
-500.0,500,349.422125
-500.0,500,351.982302
-500.0,500,354.277466
-500.0,500,356.576587
-500.0,500,358.836293
-500.0,500,361.326687
-500.0,500,363.694699
-500.0,500,366.334071
-500.0,500,368.641186
-500.0,500,371.054167
-500.0,500,373.466447
-500.0,500,375.991205
-500.0,500,378.382365
