#{"t_start": 1753265257.3072202, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.36832
-500.0,500,0.732837
-500.0,500,1.10111
-500.0,500,1.470612
-500.0,500,3.231807
-500.0,500,3.594198
-500.0,500,3.953747
-500.0,500,4.310517
-500.0,500,6.06879
-388.0,389,6.347264
-500.0,500,6.716831
-489.0,490,7.073354
-419.0,420,8.772136
-277.0,278,8.986682
-471.0,472,9.340887
-446.0,447,9.670033
-443.0,444,9.99546
-419.0,420,11.698522
-246.0,247,11.88237
-255.0,256,12.066382
-354.0,355,12.324778
-329.0,330,12.568079
-351.0,352,12.831491
-354.0,355,14.487248
-220.0,221,14.652762
-274.0,275,14.854776
-213.0,214,15.004282
-233.0,234,15.171839
-162.0,163,15.291346
-240.0,241,15.47155
-215.0,216,15.631635
-252.0,253,15.820703
-226.0,227,17.381994
-240.0,241,17.559321
-222.0,223,17.729544
-226.0,227,17.901618
-218.0,219,18.064854
-190.0,191,18.208118
-172.0,173,18.339128
-195.0,196,18.480636
-204.0,205,18.629649
-230.0,231,18.802157
-188.0,189,20.332514
-131.0,132,20.423021
-151.0,152,20.527527
-197.0,198,20.670034
-201.0,202,20.814048
-182.0,183,20.945554
-181.0,182,21.079061
-500.0,500,21.436088
-153.0,154,21.544593
-183.0,184,21.6781
-167.0,168,23.197084
-469.0,470,23.539326
-174.0,175,23.662366
-205.0,206,23.803441
-168.0,169,23.92569
-149.0,150,24.030714
-170.0,171,24.158731
-175.0,176,24.286756
-241.0,242,24.46629
-121.0,122,24.552797
-156.0,157,26.054691
-177.0,178,26.184822
-99.0,100,26.259882
-88.0,89,26.323388
-164.0,165,26.441895
-110.0,111,26.518115
-140.0,141,26.619622
-114.0,115,26.704624
-164.0,165,26.822253
-138.0,139,26.920347
-146.0,147,27.026522
-195.0,196,27.16364
-222.0,223,27.32346
-137.0,138,27.420547
-124.0,125,28.897658
-155.0,156,29.003168
-173.0,174,29.133182
-112.0,113,29.220688
-113.0,114,29.30869
-119.0,120,29.396699
-166.0,167,29.524712
-134.0,135,29.623222
-370.0,371,29.891237
-177.0,178,30.022255
-99.0,100,30.093256
-145.0,146,30.205766
-151.0,152,30.320794
-164.0,165,31.826055
-130.0,131,31.922586
-118.0,119,32.011593
-359.0,360,32.280115
-133.0,134,32.380642
-109.0,110,32.466151
-134.0,135,32.565656
-210.0,211,32.726672
-131.0,132,32.82219
-131.0,132,32.918707
-113.0,114,33.002714
-127.0,128,33.101218
-133.0,134,33.203727
-110.0,111,33.289235
-100.0,101,34.763395
-106.0,107,34.842913
-105.0,106,34.921427
-114.0,115,35.006435
-95.0,96,35.080936
-291.0,292,35.302992
-139.0,140,35.412501
-152.0,153,35.526526
-90.0,91,35.594523
-95.0,96,35.669034
-107.0,108,35.746547
-112.0,113,35.832061
-131.0,132,35.935563
-107.0,108,36.016565
-121.0,122,36.107073
-97.0,98,36.179579
-110.0,111,37.671845
-105.0,106,37.751362
-105.0,106,37.825881
-93.0,94,37.891881
-94.0,95,37.957388
-87.0,88,38.017894
-100.0,101,38.089894
-110.0,111,38.171402
-80.0,81,38.231909
-89.0,90,38.300909
-104.0,105,38.383419
-97.0,98,38.455923
-96.0,97,38.528442
-138.0,139,38.627943
-85.0,86,38.690948
-89.0,90,38.757452
-102.0,103,38.827961
-99.0,100,38.90096
-111.0,112,38.979468
-114.0,115,39.063974
-118.0,119,40.537315
-138.0,139,40.643821
-155.0,156,40.761328
-109.0,110,40.846836
-93.0,94,40.91734
-108.0,109,41.001343
-85.0,86,41.066853
-92.0,93,41.137359
-78.0,79,41.196359
-160.0,161,41.31888
-102.0,103,41.391891
-87.0,88,41.454483
-87.0,88,41.520996
-87.0,88,41.584974
-101.0,102,41.661484
-100.0,101,41.735992
-103.0,104,41.813993
-146.0,147,41.927012
-92.0,93,41.995012
-105.0,106,43.469674
-85.0,86,43.53319
-91.0,92,43.601185
-119.0,120,43.690693
-97.0,98,43.761209
-92.0,93,43.827229
-83.0,84,43.890229
-87.0,88,43.955748
-81.0,82,44.015756
-101.0,102,44.092259
-75.0,76,44.149775
-77.0,78,44.208782
-92.0,93,44.278293
-91.0,92,44.348801
-106.0,107,44.429316
-94.0,95,44.497316
-86.0,87,44.559829
-91.0,92,44.62534
-88.0,89,44.68634
-109.0,110,44.766849
-109.0,110,44.846363
-109.0,110,44.928878
-103.0,104,46.403563
-91.0,92,46.472066
-90.0,91,46.542574
-94.0,95,46.614576
-74.0,75,46.671081
-131.0,132,46.76759
-100.0,101,46.841097
-65.0,66,46.891097
-86.0,87,46.957605
-500.0,500,47.333641
-66.0,67,47.387641
-500.0,500,47.739671
-84.0,85,47.803674
-77.0,78,47.862178
-130.0,131,49.355484
-72.0,73,49.413486
-100.0,101,49.488992
-83.0,84,49.5495
-102.0,103,49.626006
-85.0,86,49.686007
-93.0,94,49.757515
-98.0,99,49.831023
-73.0,74,49.883023
-99.0,100,49.95353
-108.0,109,50.031038
-93.0,94,50.098037
-64.0,65,50.145544
-82.0,83,50.204546
-94.0,95,50.273052
-93.0,94,50.33956
-84.0,85,50.39856
-94.0,95,50.467069
-101.0,102,50.538575
-192.0,193,50.675086
-90.0,91,50.738594
-98.0,99,52.197202
-92.0,93,52.26171
-91.0,92,52.326218
-86.0,87,52.387218
-79.0,80,52.444725
-90.0,91,52.513727
-86.0,87,52.575233
-82.0,83,52.63474
-77.0,78,52.68874
-86.0,87,52.749248
-112.0,113,52.833756
-101.0,102,52.913758
-100.0,101,52.992264
-94.0,95,53.06377
-102.0,103,53.141278
-97.0,98,53.218782
-103.0,104,53.293784
-98.0,99,53.369287
-127.0,128,53.462749
-97.0,98,53.539256
-75.0,76,53.595761
-103.0,104,55.060513
-90.0,91,55.126019
-81.0,82,55.189019
-86.0,87,55.251526
-196.0,197,55.394033
-63.0,64,55.44254
-91.0,92,55.512542
-106.0,107,55.593046
-72.0,73,55.647553
-86.0,87,55.709555
-78.0,79,55.768059
-88.0,89,55.833567
-83.0,84,55.900566
-87.0,88,55.967072
-92.0,93,56.037348
-87.0,88,56.103348
-84.0,85,56.168855
-84.0,85,56.230361
-70.0,71,56.277361
-64.0,65,56.324869
-98.0,99,56.397869
-79.0,80,56.460375
-96.0,97,56.534882
-116.0,117,58.01637
-85.0,86,58.077882
-94.0,95,58.147389
-77.0,78,58.202894
-151.0,152,58.307403
-94.0,95,58.372907
-122.0,123,58.455414
-66.0,67,58.503414
-95.0,96,58.57192
-136.0,137,58.668427
-79.0,80,58.724933
-65.0,66,58.769933
-92.0,93,58.83444
-73.0,74,58.88844
-97.0,98,58.958946
-84.0,85,59.019948
-76.0,77,59.076453
-94.0,95,59.146959
-77.0,78,59.201959
-147.0,148,59.307468
-82.0,83,59.365972
-88.0,89,60.815399
-63.0,64,60.861903
-303.0,304,61.079916
-88.0,89,61.144423
-90.0,91,61.206425
-86.0,87,61.266929
-92.0,93,61.331436
-216.0,217,61.487942
-87.0,88,61.548449
-98.0,99,61.618451
-99.0,100,61.686955
-83.0,84,61.745461
-72.0,73,61.796462
-78.0,79,61.849968
-114.0,115,61.934997
-86.0,87,61.994998
-77.0,78,62.052504
-77.0,78,62.108506
-85.0,86,62.16801
-109.0,110,62.246517
-108.0,109,63.718117
-72.0,73,63.768622
-102.0,103,63.842128
-78.0,79,63.900128
-65.0,66,63.946635
-84.0,85,64.005637
-94.0,95,64.07314
-81.0,82,64.133648
-270.0,271,64.317156
-71.0,72,64.370661
-72.0,73,64.425168
-94.0,95,64.495168
-95.0,96,64.561675
-62.0,63,64.606677
-190.0,191,64.740688
-73.0,74,64.793688
-66.0,67,64.839194
-73.0,74,64.891194
-96.0,97,64.9597
-75.0,76,65.015702
-64.0,65,65.059206
-86.0,87,66.512806
-80.0,81,66.57031
-418.0,419,66.86483
-75.0,76,66.916832
-72.0,73,66.967337
-70.0,71,67.019339
-89.0,90,67.081844
-90.0,91,67.148351
-201.0,202,67.291858
-64.0,65,67.336364
-72.0,73,67.389364
-260.0,261,67.57742
-93.0,94,67.645928
-97.0,98,67.71293
-77.0,78,67.767434
-81.0,82,67.823941
-92.0,93,67.888941
-65.0,66,69.327577
-65.0,66,69.371577
-82.0,83,69.430084
-75.0,76,69.485084
-78.0,79,69.53959
-73.0,74,69.59359
-63.0,64,69.637097
-81.0,82,69.692097
-105.0,106,69.769603
-71.0,72,69.819605
-95.0,96,69.88611
-64.0,65,69.930616
-62.0,63,69.975616
-87.0,88,70.038122
-84.0,85,70.095123
-95.0,96,70.159629
-75.0,76,70.215631
-88.0,89,70.275136
-94.0,95,70.342642
