#{"t_start": 1753258602.7502947, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.066508
50.0,50,0.159016
15.0,15,0.187016
9.0,9,0.205015
23.0,23,0.24852
15.0,15,0.947567
21.0,21,0.985072
19.0,19,1.019072
31.0,31,1.075578
12.0,12,1.097578
23.0,23,1.13958
21.0,21,1.602619
19.0,19,1.636621
15.0,15,1.664126
39.0,39,1.733126
27.0,27,1.781632
31.0,31,2.242666
12.0,12,2.26417
14.0,14,2.289171
14.0,14,2.31417
48.0,48,2.402681
9.0,9,2.420677
16.0,16,2.451191
12.0,12,3.015728
12.0,12,3.036729
19.0,19,3.070233
33.0,33,3.130234
16.0,16,3.160742
20.0,20,3.196742
22.0,22,3.672283
23.0,23,3.715282
14.0,14,3.740284
9.0,9,3.757788
21.0,21,3.794788
11.0,11,3.814788
14.0,14,3.839791
16.0,16,3.869295
12.0,12,3.891296
24.0,24,4.254076
20.0,20,4.290076
67.0,67,4.412588
13.0,13,4.437593
54.0,54,5.275159
51.0,51,5.368188
31.0,31,6.008235
14.0,14,6.034235
62.0,62,6.143744
14.0,14,6.168248
19.0,19,6.205251
39.0,39,6.934813
13.0,13,6.959317
16.0,16,6.988317
40.0,40,7.063827
11.0,11,7.083827
52.0,52,7.634364
12.0,12,7.657871
14.0,14,7.683872
12.0,12,7.706872
15.0,15,7.734874
19.0,19,7.77038
10.0,10,7.789381
11.0,11,7.81138
15.0,15,8.181087
34.0,34,8.242089
38.0,38,8.315595
13.0,13,8.340596
21.0,21,8.379105
21.0,21,8.855641
26.0,26,8.903641
32.0,32,8.961148
25.0,25,9.006148
28.0,28,9.056655
32.0,32,9.511191
23.0,23,9.552697
24.0,24,9.5947
30.0,30,9.6487
22.0,22,9.689207
63.0,63,10.175621
19.0,19,10.211621
10.0,10,10.229621
15.0,15,10.25787
25.0,25,10.30287
13.0,13,10.905918
21.0,21,10.94392
15.0,15,10.970426
10.0,10,10.988425
22.0,22,11.027426
19.0,19,11.061932
13.0,13,11.085932
16.0,16,11.113932
24.0,24,11.47451
12.0,12,11.496509
30.0,30,11.551017
21.0,21,11.589016
34.0,34,11.650522
22.0,22,12.103554
13.0,13,12.126555
15.0,15,12.154061
17.0,17,12.186061
14.0,14,12.21206
15.0,15,12.241063
30.0,30,12.29757
14.0,14,12.324569
18.0,18,12.735607
16.0,16,12.765113
59.0,59,12.871622
21.0,21,12.909622
17.0,17,13.61303
14.0,14,13.639035
16.0,16,13.666538
18.0,18,13.699539
62.0,62,13.810046
18.0,18,14.379097
36.0,36,14.4431
42.0,42,14.517604
17.0,17,14.547607
95.0,95,15.229162
16.0,16,15.257668
13.0,13,15.281669
39.0,39,16.034227
47.0,47,16.118734
17.0,17,16.149737
23.0,23,16.191243
118.0,118,16.945807
22.0,22,16.985313
22.0,22,17.024313
25.0,25,17.802934
35.0,35,17.866443
36.0,36,17.931443
42.0,42,18.441983
16.0,16,18.471488
15.0,15,18.497488
25.0,25,18.54149
56.0,56,18.640999
18.0,18,19.267548
36.0,36,19.331548
35.0,35,19.397055
18.0,18,19.430055
26.0,26,19.478618
30.0,30,19.972153
39.0,39,20.043155
34.0,34,20.10566
35.0,35,20.633198
49.0,49,20.719705
51.0,51,20.812211
12.0,12,20.834211
34.0,34,21.509764
82.0,82,21.654778
62.0,62,22.543344
82.0,82,22.689193
100.0,100,23.649693
25.0,25,23.702198
116.0,116,24.899214
33.0,33,25.911546
41.0,41,25.987052
48.0,48,26.072562
55.0,55,26.740611
121.0,121,27.685683
48.0,48,27.773189
66.0,66,28.506749
43.0,43,28.584256
68.0,68,28.710763
76.0,76,29.59184
81.0,81,30.491409
72.0,72,30.619917
89.0,89,31.5886
81.0,81,32.411659
224.0,224,33.820266
212.0,212,35.333873
128.0,128,36.292947
174.0,174,37.308775
131.0,131,38.507756
331.0,331,40.510902
139.0,139,41.502973
207.0,207,42.816582
188.0,188,43.933083
181.0,181,45.177197
225.0,225,46.640582
163.0,163,47.92318
66.0,66,48.043689
197.0,197,49.347285
202.0,202,50.691927
193.0,193,52.096056
198.0,198,53.415298
206.0,206,54.907414
285.0,285,56.224758
165.0,165,57.258342
68.0,68,58.388947
433.0,433,60.339236
280.0,280,62.067892
271.0,271,64.020547
213.0,213,65.205197
268.0,268,66.822436
113.0,113,67.832516
218.0,218,69.300137
146.0,146,70.38123
71.0,71,71.228295
75.0,75,71.365314
500.0,500,73.554797
159.0,159,74.723391
477.0,477,77.166268
500.0,500,79.396925
382.0,382,81.214081
500.0,500,83.465051
468.0,468,85.645602
307.0,307,87.247457
335.0,335,89.002239
301.0,301,90.663371
221.0,221,92.08298
236.0,236,93.412571
204.0,204,94.929684
296.0,296,96.442804
275.0,275,98.184087
500.0,500,100.543749
500.0,500,103.073447
75.0,75,104.203017
500.0,500,106.375335
227.0,227,107.663541
273.0,273,109.414169
100.0,100,110.410516
47.0,47,110.496023
219.0,219,111.784615
270.0,270,113.521313
251.0,251,115.050906
263.0,263,116.714985
208.0,208,117.848072
251.0,251,119.628202
38.0,38,120.674799
173.0,173,121.912022
87.0,87,122.836819
180.0,180,124.104931
210.0,210,125.416537
191.0,191,126.820651
182.0,182,128.090809
202.0,202,129.450949
172.0,172,130.886551
166.0,166,132.273819
165.0,165,133.293894
188.0,188,134.554004
189.0,189,136.001172
187.0,187,137.032752
201.0,201,138.708885
195.0,195,139.993213
191.0,191,141.270808
188.0,188,142.452489
158.0,158,143.73308
183.0,183,144.85766
158.0,158,145.954742
170.0,170,147.567374
162.0,162,148.716949
171.0,171,149.769035
161.0,161,151.15064
161.0,161,152.432786
176.0,176,153.487387
177.0,177,154.951201
99.0,99,155.133214
143.0,143,156.414104
166.0,166,157.699287
167.0,167,158.763392
32.0,32,158.824898
121.0,121,159.778981
68.0,68,160.896064
158.0,158,161.949652
154.0,154,163.014253
167.0,167,164.533368
144.0,144,165.67545
167.0,167,166.759469
184.0,184,167.816826
164.0,164,169.358936
169.0,169,170.441024
196.0,196,171.783891
179.0,179,173.108884
201.0,201,174.40513
191.0,191,175.907475
212.0,212,177.2568
205.0,205,178.538938
293.0,293,180.303984
214.0,214,181.567518
199.0,199,182.896805
195.0,195,184.004379
213.0,213,185.323968
250.0,250,186.657589
266.0,266,188.041683
277.0,277,189.451587
214.0,214,190.792366
196.0,196,191.858438
231.0,231,193.340039
235.0,235,194.951259
220.0,220,196.264473
218.0,218,197.359162
198.0,198,198.92062
180.0,180,199.921257
