#{"t_start": 1753258045.9685256, "env_id": "CartPole-v1"}
r,l,t
31.0,31,0.070563
12.0,12,0.092518
27.0,27,0.141522
11.0,11,0.161554
17.0,17,0.193554
25.0,25,0.238556
16.0,16,0.688871
11.0,11,0.710871
21.0,21,0.747979
18.0,18,0.779979
28.0,28,0.829979
18.0,18,0.862484
12.0,12,0.883485
15.0,15,1.293169
13.0,13,1.315168
58.0,58,1.417186
38.0,38,1.485305
18.0,18,2.090125
24.0,24,2.134127
57.0,57,2.235634
19.0,19,2.268901
49.0,49,2.934332
22.0,22,2.974835
11.0,11,2.994836
32.0,32,3.052343
17.0,17,3.083343
16.0,16,3.112343
17.0,17,3.553022
10.0,10,3.571021
52.0,52,3.662535
25.0,25,3.708533
41.0,41,4.389929
16.0,16,4.417929
22.0,22,4.457439
14.0,14,4.482439
15.0,15,4.509439
36.0,36,4.572948
63.0,63,5.097065
9.0,9,5.114064
27.0,27,5.161574
21.0,21,5.199574
23.0,23,5.838138
20.0,20,5.873644
19.0,19,5.907644
35.0,35,5.970149
32.0,32,6.028149
12.0,12,6.048655
12.0,12,6.526796
25.0,25,6.571826
38.0,38,6.639829
27.0,27,6.691333
13.0,13,6.714333
56.0,56,7.265021
9.0,9,7.282021
12.0,12,7.303021
28.0,28,7.354528
37.0,37,7.419528
14.0,14,7.884603
40.0,40,7.955112
46.0,46,8.037115
11.0,11,8.056622
19.0,19,8.090621
14.0,14,8.639194
50.0,50,8.728698
18.0,18,8.761206
17.0,17,8.792207
22.0,22,8.830205
52.0,52,9.50376
12.0,12,9.524759
43.0,43,9.600266
14.0,14,9.626266
16.0,16,9.655775
23.0,23,10.20332
22.0,22,10.242322
28.0,28,10.292828
44.0,44,10.369336
18.0,18,10.941878
86.0,86,11.094891
15.0,15,11.122891
17.0,17,11.153401
24.0,24,11.945545
22.0,22,11.984052
48.0,48,12.070607
19.0,19,12.105589
55.0,55,12.68364
14.0,14,12.709639
21.0,21,12.745641
18.0,18,12.779148
28.0,28,12.829148
18.0,18,13.229179
15.0,15,13.255687
33.0,33,13.315687
20.0,20,13.351195
13.0,13,13.374196
15.0,15,13.401196
26.0,26,13.447198
13.0,13,13.886735
21.0,21,13.923737
30.0,30,13.978244
108.0,108,14.74281
23.0,23,14.784315
15.0,15,14.811315
19.0,19,14.845319
20.0,20,14.880825
11.0,11,15.376369
15.0,15,15.403369
56.0,56,15.501877
24.0,24,15.544879
57.0,57,16.189058
22.0,22,16.229058
31.0,31,16.284566
76.0,76,16.91393
59.0,59,17.021954
13.0,13,17.045957
26.0,26,17.094462
23.0,23,17.771008
22.0,22,17.810009
73.0,73,17.941518
19.0,19,18.65257
15.0,15,18.67957
24.0,24,18.72357
12.0,12,18.744573
52.0,52,18.837078
15.0,15,18.864583
23.0,23,19.502274
19.0,19,19.536277
28.0,28,19.585781
18.0,18,19.618781
27.0,27,19.666287
15.0,15,19.693288
23.0,23,20.078596
58.0,58,20.184102
13.0,13,20.207103
14.0,14,20.233103
21.0,21,21.038533
39.0,39,21.108037
30.0,30,21.163545
26.0,26,21.209545
24.0,24,21.252051
24.0,24,21.74408
14.0,14,21.768586
15.0,15,21.795587
12.0,12,21.817585
57.0,57,21.918092
45.0,45,22.608829
86.0,86,22.760841
15.0,15,23.619895
51.0,51,23.710401
24.0,24,23.752908
14.0,14,23.778908
22.0,22,23.817908
31.0,31,24.4072
15.0,15,24.4352
17.0,17,24.465706
58.0,58,24.568213
14.0,14,24.593213
20.0,20,25.243255
54.0,54,25.339761
47.0,47,25.423266
13.0,13,25.447268
28.0,28,26.063812
36.0,36,26.127812
29.0,29,26.180318
50.0,50,26.692851
22.0,22,26.731851
43.0,43,26.809368
14.0,14,26.834368
72.0,72,27.462914
13.0,13,27.486914
48.0,48,27.572421
34.0,34,28.182964
53.0,53,28.276472
21.0,21,28.314472
41.0,41,28.386978
19.0,19,28.985071
56.0,56,29.083577
16.0,16,29.112577
28.0,28,29.164083
19.0,19,29.833124
88.0,88,29.988137
87.0,87,31.059709
42.0,42,31.135709
47.0,47,31.736524
48.0,48,31.82303
18.0,18,31.854536
13.0,13,31.87804
30.0,30,31.93204
43.0,43,32.53208
68.0,68,32.656092
13.0,13,32.679092
34.0,34,33.45164
52.0,52,33.543147
18.0,18,33.577654
17.0,17,33.609654
58.0,58,34.301205
59.0,59,34.404711
38.0,38,34.985754
77.0,77,35.124261
18.0,18,35.156767
87.0,87,36.160976
141.0,141,37.109535
18.0,18,37.142537
39.0,39,37.975095
41.0,41,38.050096
156.0,156,39.053106
49.0,49,39.140111
136.0,136,40.197541
169.0,169,41.455866
186.0,186,42.478862
288.0,288,44.380856
18.0,18,44.412855
140.0,140,45.762475
53.0,53,45.855849
100.0,100,46.590353
85.0,85,47.456349
8.0,8,47.470349
68.0,68,47.592843
101.0,101,48.481839
243.0,243,49.794341
397.0,397,51.5674
209.0,209,52.815502
161.0,161,53.958738
39.0,39,54.026665
306.0,306,55.539404
291.0,291,57.378695
65.0,65,57.494978
161.0,161,58.612371
348.0,348,60.242169
158.0,158,61.726899
154.0,154,62.937979
252.0,252,64.503893
219.0,219,65.700181
276.0,276,67.611811
145.0,145,68.751469
191.0,191,69.850049
336.0,336,71.732679
162.0,162,72.638743
174.0,174,73.69674
202.0,202,75.402354
176.0,176,76.368926
160.0,160,77.873746
196.0,196,79.100071
208.0,208,80.268183
163.0,163,81.257744
154.0,154,82.217661
157.0,157,83.563259
229.0,229,85.035164
120.0,120,86.066548
17.0,17,86.098548
146.0,146,87.427136
136.0,136,88.65469
99.0,99,88.827688
150.0,150,90.260001
158.0,158,91.54811
125.0,125,92.642948
172.0,172,93.809214
159.0,159,94.780924
133.0,133,95.85852
137.0,137,97.097612
150.0,150,98.699589
133.0,133,99.963383
177.0,177,101.152965
71.0,71,102.02124
175.0,175,103.097397
20.0,20,103.133397
143.0,143,104.083079
139.0,139,105.25287
215.0,215,106.728461
175.0,175,107.780996
227.0,227,109.291345
120.0,120,110.284173
52.0,52,111.151231
197.0,197,112.536998
139.0,139,113.466064
168.0,168,114.549137
139.0,139,115.8578
125.0,125,117.239823
170.0,170,118.548412
204.0,204,119.54648
151.0,151,121.188915
188.0,188,122.450999
191.0,191,123.660084
143.0,143,124.75471
253.0,253,126.363821
331.0,331,127.945932
133.0,133,129.082787
144.0,144,130.377532
310.0,310,132.158523
198.0,198,133.373027
197.0,197,134.886515
156.0,156,135.825019
295.0,295,137.374505
261.0,261,139.120013
160.0,160,140.709791
253.0,253,142.208739
500.0,500,144.526899
346.0,346,146.246052
500.0,500,148.643734
268.0,268,150.03616
199.0,199,151.455194
161.0,161,152.398637
207.0,207,153.694082
162.0,162,154.834231
160.0,160,155.842947
115.0,115,156.853608
75.0,75,157.78545
122.0,122,158.824584
126.0,126,160.02168
207.0,207,161.187429
271.0,271,162.848599
165.0,165,164.431523
124.0,124,165.555149
165.0,165,166.512271
232.0,232,167.85389
179.0,179,168.870529
162.0,162,169.995288
147.0,147,171.449415
156.0,156,172.697751
133.0,133,173.687855
122.0,122,174.750965
221.0,221,176.050133
203.0,203,177.444358
150.0,150,178.518047
174.0,174,179.929166
375.0,375,181.865468
206.0,206,183.062608
219.0,219,184.4114
194.0,194,185.470487
209.0,209,187.102121
162.0,162,188.143546
144.0,144,189.348768
142.0,142,190.739912
147.0,147,191.961091
161.0,161,193.246224
139.0,139,194.215353
150.0,150,195.232463
