#{"t_start": 1753257894.6728866, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.957565
35.0,35,0.971565
44.0,44,0.988601
11.0,11,0.992601
63.0,63,1.016601
25.0,25,1.026602
62.0,62,1.050601
30.0,30,1.061601
17.0,17,1.067601
30.0,30,1.079604
66.0,66,1.105109
12.0,12,1.110109
28.0,28,1.121111
26.0,26,1.131109
87.0,87,1.165109
13.0,13,1.170109
12.0,12,1.176111
19.0,19,1.191615
28.0,28,1.215616
23.0,23,1.234615
13.0,13,1.246616
26.0,26,1.268615
16.0,16,1.282617
20.0,20,1.300123
16.0,16,1.313123
46.0,46,1.350122
11.0,11,1.360122
28.0,28,1.383124
15.0,15,1.396629
41.0,41,1.428629
14.0,14,1.441629
49.0,49,1.480631
27.0,27,1.503136
17.0,17,1.517136
12.0,12,1.526136
13.0,13,1.537136
18.0,18,1.551136
33.0,33,1.576138
9.0,9,1.584138
43.0,43,1.616642
25.0,25,1.638642
11.0,11,1.646642
19.0,19,1.660642
23.0,23,1.678644
15.0,15,1.69015
45.0,45,1.726149
16.0,16,1.73915
13.0,13,1.750149
17.0,17,1.765149
16.0,16,1.778151
60.0,60,1.82716
22.0,22,1.84716
10.0,10,1.85516
17.0,17,1.86816
11.0,11,1.877162
16.0,16,1.891666
19.0,19,1.907666
35.0,35,1.934666
22.0,22,1.952667
13.0,13,1.962666
35.0,35,1.989173
12.0,12,1.997173
14.0,14,2.007173
16.0,16,2.020174
26.0,26,2.040174
16.0,16,2.052173
17.0,17,2.066173
22.0,22,2.083175
44.0,44,2.11968
32.0,32,2.14468
27.0,27,2.16868
18.0,18,2.182681
17.0,17,2.197187
18.0,18,2.210187
14.0,14,2.221187
47.0,47,2.257187
20.0,20,2.274189
23.0,23,2.291693
15.0,15,2.303694
34.0,34,2.332693
18.0,18,2.348694
52.0,52,3.789818
79.0,79,3.847818
22.0,22,3.865818
24.0,24,3.885819
20.0,20,3.902324
33.0,33,3.928324
71.0,71,3.982326
28.0,28,4.003831
22.0,22,4.021831
50.0,50,4.060831
33.0,33,4.086833
60.0,60,4.136337
47.0,47,4.17534
84.0,84,4.244843
19.0,19,4.261843
35.0,35,4.28935
33.0,33,4.31635
31.0,31,4.34135
24.0,24,4.36235
112.0,112,4.456857
27.0,27,4.478859
65.0,65,4.532364
19.0,19,4.547364
12.0,12,4.557364
20.0,20,4.573367
12.0,12,4.583366
11.0,11,4.59187
48.0,48,4.62987
37.0,37,4.65887
16.0,16,4.67187
20.0,20,4.689377
22.0,22,4.706377
22.0,22,4.724377
31.0,31,4.753377
14.0,14,4.765377
43.0,43,4.801883
31.0,31,4.826882
52.0,52,4.869883
50.0,50,4.910389
51.0,51,4.952389
13.0,13,4.962389
13.0,13,4.975391
31.0,31,5.000895
22.0,22,5.020895
17.0,17,5.034895
25.0,25,5.054895
20.0,20,5.072895
10.0,10,5.080897
17.0,17,5.094401
20.0,20,5.109402
12.0,12,5.119401
28.0,28,5.142401
44.0,44,5.179404
53.0,53,5.223908
27.0,27,5.245907
20.0,20,5.261907
17.0,17,5.27591
26.0,26,5.297414
12.0,12,5.307414
19.0,19,5.325414
82.0,82,5.392428
46.0,46,5.429421
18.0,18,5.444422
118.0,118,6.931665
65.0,65,6.983667
67.0,67,7.037171
114.0,114,7.127678
15.0,15,7.139678
110.0,110,7.230184
70.0,70,7.287186
157.0,157,7.410198
30.0,30,7.434198
111.0,111,7.518705
148.0,148,7.639211
57.0,57,7.685214
35.0,35,7.711718
59.0,59,7.762718
171.0,171,7.901731
52.0,52,7.943731
105.0,105,8.026239
43.0,43,8.059239
26.0,26,8.081241
36.0,36,8.110745
170.0,170,8.244765
13.0,13,8.255764
37.0,37,8.284767
104.0,104,8.362271
53.0,53,8.405778
175.0,175,9.9499
51.0,51,9.993406
167.0,167,10.128914
91.0,91,10.20142
178.0,178,10.350927
109.0,109,10.441434
101.0,101,10.521941
162.0,162,10.655486
286.0,286,10.894569
164.0,164,11.023078
282.0,282,11.24809
134.0,134,11.353597
27.0,27,11.375599
28.0,28,11.399104
128.0,128,11.503611
332.0,332,13.225035
306.0,306,13.47106
256.0,256,13.673169
452.0,452,14.036377
223.0,223,14.213544
172.0,172,14.352686
298.0,298,14.59294
372.0,372,16.292557
355.0,355,16.587998
500.0,500,16.988359
433.0,433,17.331999
500.0,500,19.139526
500.0,500,19.542135
500.0,500,19.948164
500.0,500,20.351736
500.0,500,22.159453
500.0,500,22.555661
500.0,500,22.959123
500.0,500,23.357284
500.0,500,23.756508
500.0,500,25.560315
500.0,500,25.961347
500.0,500,26.361406
500.0,500,26.7549
500.0,500,28.56173
500.0,500,28.966355
500.0,500,29.377386
500.0,500,29.778948
500.0,500,31.586809
500.0,500,31.993141
26.0,26,32.016161
500.0,500,32.426759
500.0,500,32.827786
500.0,500,34.629154
500.0,500,35.032186
500.0,500,35.441213
500.0,500,35.841947
500.0,500,37.64908
500.0,500,38.048102
500.0,500,38.448216
500.0,500,38.848758
500.0,500,40.661606
500.0,500,41.06365
500.0,500,41.467698
500.0,500,41.867333
500.0,500,43.68863
500.0,500,44.093663
500.0,500,44.489221
500.0,500,44.891266
500.0,500,46.707479
500.0,500,47.125232
500.0,500,47.523279
500.0,500,47.927325
500.0,500,49.753105
500.0,500,50.159132
500.0,500,50.553167
500.0,500,50.951201
500.0,500,52.75656
500.0,500,53.158594
500.0,500,53.559633
500.0,500,53.955672
500.0,500,55.761471
500.0,500,56.164512
500.0,500,56.566569
500.0,500,56.961609
500.0,500,57.347259
500.0,500,59.179461
500.0,500,59.578493
500.0,500,59.975193
500.0,500,60.369225
500.0,500,62.171774
500.0,500,62.562806
500.0,500,62.971862
500.0,500,63.371923
500.0,500,65.174655
500.0,500,65.5677
500.0,500,65.971747
500.0,500,66.378843
500.0,500,68.184658
500.0,500,68.589689
500.0,500,68.986725
500.0,500,69.393032
500.0,500,71.195657
500.0,500,71.597038
500.0,500,72.001614
500.0,500,72.410844
500.0,500,74.216475
500.0,500,74.618505
500.0,500,75.022543
500.0,500,75.424566
500.0,500,77.227327
500.0,500,77.632392
500.0,500,78.041417
500.0,500,78.445717
500.0,500,80.26036
500.0,500,80.66762
500.0,500,81.081986
500.0,500,81.484529
500.0,500,83.293022
500.0,500,83.702621
500.0,500,84.11516
500.0,500,84.519697
500.0,500,86.320743
500.0,500,86.726975
500.0,500,87.131884
500.0,500,87.541282
500.0,500,87.950331
500.0,500,89.751522
500.0,500,90.164709
500.0,500,90.573239
500.0,500,90.979268
500.0,500,92.783001
500.0,500,93.188607
500.0,500,93.598718
500.0,500,94.005752
500.0,500,95.811978
500.0,500,96.219317
500.0,500,96.628299
500.0,500,97.035363
500.0,500,98.837015
500.0,500,99.244619
500.0,500,99.642649
500.0,500,100.05082
500.0,500,101.861752
500.0,500,102.272385
500.0,500,102.679086
500.0,500,103.081652
500.0,500,104.89778
500.0,500,105.303251
500.0,500,105.706079
500.0,500,106.11631
500.0,500,107.924494
500.0,500,108.329548
500.0,500,108.732585
500.0,500,109.13561
500.0,500,110.949604
500.0,500,111.362197
500.0,500,111.770645
500.0,500,112.181991
500.0,500,114.002915
500.0,500,114.415655
500.0,500,114.83258
500.0,500,115.242826
500.0,500,117.054752
500.0,500,117.469447
500.0,500,117.883879
500.0,500,118.293371
500.0,500,118.713243
500.0,500,120.534589
500.0,500,120.946956
500.0,500,121.361739
500.0,500,121.771911
500.0,500,123.591778
500.0,500,124.00438
500.0,500,124.408967
500.0,500,124.818507
500.0,500,126.650707
500.0,500,127.056289
500.0,500,127.468143
500.0,500,127.877533
500.0,500,129.680231
500.0,500,130.087115
500.0,500,130.489928
500.0,500,130.889463
500.0,500,132.682257
500.0,500,133.096967
500.0,500,133.5046
500.0,500,133.918371
500.0,500,135.725348
500.0,500,136.140879
500.0,500,136.546611
500.0,500,136.951639
500.0,500,138.759716
500.0,500,139.154715
500.0,500,139.560646
500.0,500,139.958999
500.0,500,141.765512
500.0,500,142.164184
500.0,500,142.561577
500.0,500,142.959947
500.0,500,144.750303
500.0,500,145.160332
500.0,500,145.564363
500.0,500,145.968394
500.0,500,147.757834
500.0,500,148.154402
500.0,500,148.561992
500.0,500,148.964627
