#{"t_start": 1753264584.5538187, "env_id": "FrozenLake-v1"}
r,l,t
0.0,10,0.035003
0.0,25,0.076033
0.0,4,0.082033
0.0,9,0.097033
0.0,8,0.111033
0.0,10,0.128033
0.0,10,0.145035
0.0,5,0.153493
0.0,2,0.157493
0.0,3,0.162492
0.0,20,0.195493
0.0,5,0.204493
0.0,4,0.211493
0.0,5,0.219493
0.0,5,0.228493
0.0,12,0.631493
0.0,4,0.638492
0.0,11,0.655997
0.0,4,0.662997
0.0,4,0.669997
0.0,7,0.681997
0.0,20,0.714997
0.0,6,0.724997
0.0,8,0.737999
0.0,10,0.75449
0.0,11,0.771491
0.0,12,0.791491
0.0,4,0.79849
0.0,7,0.809491
0.0,11,0.828491
0.0,8,1.148991
0.0,3,1.154991
0.0,9,1.169991
0.0,3,1.175991
0.0,2,1.179991
0.0,14,1.201991
0.0,9,1.216991
0.0,4,1.223991
0.0,4,1.230991
0.0,3,1.235994
0.0,3,1.241993
0.0,10,1.257489
0.0,7,1.269489
0.0,3,1.274488
0.0,22,1.309489
0.0,5,1.318488
0.0,6,1.328489
1.0,8,1.34149
0.0,3,1.346995
0.0,5,1.713487
0.0,12,1.732489
0.0,19,1.762994
0.0,26,1.803994
0.0,9,1.818994
0.0,4,1.824994
0.0,5,1.833997
0.0,8,1.847486
0.0,13,1.868487
0.0,5,1.877486
0.0,5,1.885487
0.0,6,1.896487
0.0,8,1.909487
0.0,14,2.306484
0.0,14,2.329485
0.0,5,2.337487
0.0,13,2.358992
0.0,14,2.381992
0.0,2,2.385992
0.0,5,2.393992
0.0,8,2.406991
0.0,2,2.410991
0.0,12,2.430992
1.0,17,2.458485
0.0,4,2.465484
0.0,9,2.480484
0.0,4,2.487485
0.0,4,2.494484
0.0,7,2.774483
0.0,6,2.784483
0.0,6,2.795483
0.0,9,2.809483
0.0,2,2.813483
0.0,6,2.823483
0.0,9,2.838484
0.0,3,2.843485
0.0,6,2.853989
0.0,8,2.865989
1.0,8,2.878989
0.0,11,2.896989
0.0,3,2.901989
0.0,4,2.907989
0.0,3,2.912989
0.0,16,2.938991
0.0,10,2.956247
0.0,26,3.283495
0.0,2,3.287495
