#{"t_start": 1753263852.5020702, "env_id": "FrozenLake-v1"}
r,l,t
0.0,5,0.020999
0.0,5,0.03
0.0,15,0.054
0.0,23,0.091506
0.0,3,0.096506
0.0,2,0.099506
0.0,13,0.121506
0.0,3,0.126506
0.0,2,0.129506
0.0,10,0.145506
0.0,13,0.166509
0.0,3,0.172509
0.0,5,0.18
0.0,15,0.204
0.0,12,0.526504
0.0,6,0.536506
0.0,5,0.545504
0.0,5,0.553505
0.0,8,0.566507
0.0,9,0.582998
0.0,5,0.591998
0.0,6,0.602998
0.0,3,0.607998
0.0,2,0.611998
0.0,4,0.618998
0.0,2,0.621998
0.0,2,0.625998
0.0,3,0.631998
0.0,7,0.642998
1.0,16,0.668999
0.0,3,0.674504
0.0,25,0.713504
0.0,22,1.139996
0.0,3,1.144995
0.0,18,1.174502
0.0,8,1.187502
0.0,2,1.191502
0.0,2,1.195502
0.0,2,1.198502
0.0,4,1.205502
0.0,6,1.215502
0.0,3,1.220502
0.0,2,1.224502
0.0,3,1.229502
0.0,7,1.241502
0.0,4,1.248502
0.0,3,1.253502
0.0,9,1.267504
0.0,2,1.271504
0.0,10,1.288008
0.0,2,1.292008
0.0,5,1.300008
0.0,4,1.307008
0.0,4,1.313008
0.0,4,1.320008
0.0,7,1.331009
0.0,6,1.341008
0.0,10,1.637041
0.0,4,1.644032
0.0,11,1.661035
0.0,6,1.672035
0.0,5,1.679547
0.0,6,1.690547
0.0,22,1.725547
0.0,5,1.734546
1.0,7,1.745547
0.0,20,1.780066
0.0,4,1.788066
0.0,4,1.795066
0.0,5,1.804066
0.0,10,1.821066
0.0,3,1.826066
0.0,3,1.831066
0.0,6,2.191097
0.0,4,2.198097
0.0,5,2.207097
0.0,12,2.226097
0.0,4,2.233097
0.0,9,2.247097
0.0,8,2.260099
0.0,5,2.268099
0.0,4,2.275604
0.0,10,2.291604
0.0,2,2.294604
0.0,6,2.304604
0.0,3,2.309604
0.0,5,2.317604
0.0,3,2.323604
0.0,18,2.352604
0.0,4,2.358606
0.0,3,2.363606
0.0,7,2.37611
0.0,12,2.39511
1.0,9,2.706795
1.0,9,2.721795
1.0,18,2.752795
0.0,8,2.765797
0.0,5,2.774302
0.0,4,2.782301
0.0,3,2.787302
0.0,8,2.801301
0.0,2,2.805302
0.0,9,2.821301
0.0,13,2.843302
0.0,9,2.858302
0.0,4,2.865304
0.0,7,2.876812
0.0,19,2.907812
0.0,5,3.226332
0.0,7,3.237332
0.0,11,3.256332
0.0,7,3.267334
0.0,8,3.280839
0.0,5,3.289839
0.0,4,3.296839
0.0,4,3.302839
0.0,10,3.319839
0.0,3,3.324839
0.0,4,3.331839
0.0,17,3.357839
0.0,10,3.374345
0.0,5,3.383345
0.0,15,3.407345
0.0,8,3.420345
0.0,2,3.424345
0.0,5,3.432345
0.0,5,3.724866
0.0,2,3.727866
0.0,3,3.732866
0.0,5,3.741866
0.0,13,3.761868
0.0,5,3.770868
0.0,12,3.789373
0.0,5,3.798373
0.0,6,3.808373
0.0,6,3.818373
0.0,14,3.841373
0.0,12,3.860375
0.0,6,3.870375
0.0,13,3.89088
0.0,7,3.90288
0.0,9,3.91788
0.0,3,3.92288
0.0,5,4.171896
0.0,24,4.2094
0.0,6,4.2194
0.0,6,4.2304
0.0,2,4.2334
0.0,5,4.2424
0.0,5,4.2504
0.0,2,4.2544
0.0,7,4.265402
0.0,4,4.272402
0.0,8,4.285907
0.0,14,4.308907
0.0,4,4.314907
0.0,7,4.326907
0.0,4,4.332907
0.0,10,4.348907
0.0,4,4.355907
0.0,5,4.363909
0.0,2,4.367909
0.0,13,4.734934
0.0,12,4.754934
0.0,2,4.758936
0.0,9,4.773438
0.0,9,4.78844
0.0,5,4.79644
0.0,11,4.81444
0.0,22,4.85044
0.0,5,4.859442
0.0,6,4.869442
0.0,4,4.875948
0.0,7,4.887947
0.0,3,4.892947
0.0,2,4.896947
0.0,5,4.904947
0.0,2,4.907947
0.0,20,5.26647
0.0,11,5.283974
0.0,3,5.289975
0.0,6,5.299974
0.0,7,5.311975
0.0,21,5.344975
0.0,12,5.364978
0.0,4,5.371977
0.0,4,5.378481
1.0,8,5.391481
0.0,3,5.396481
0.0,19,5.427481
0.0,9,5.442481
0.0,18,5.471484
0.0,3,5.805509
0.0,19,5.836509
0.0,4,5.843509
0.0,4,5.850509
0.0,8,5.863511
0.0,18,5.893016
0.0,4,5.900016
0.0,13,5.921016
0.0,5,5.929016
0.0,16,5.957016
0.0,7,5.968018
0.0,22,6.002522
0.0,5,6.011522
0.0,19,6.371557
0.0,10,6.388062
0.0,6,6.398062
0.0,7,6.410062
0.0,9,6.425062
0.0,14,6.447062
0.0,8,6.460064
0.0,5,6.469064
0.0,5,6.477568
0.0,3,6.482568
0.0,2,6.485568
0.0,2,6.489568
0.0,3,6.494568
0.0,2,6.498568
0.0,5,6.506568
0.0,5,6.514568
0.0,6,6.524568
0.0,12,6.544568
0.0,9,6.844598
1.0,16,6.8706
0.0,12,6.890105
0.0,2,6.894105
0.0,18,6.922105
0.0,3,6.927105
0.0,4,6.934105
0.0,3,6.939105
0.0,6,6.950106
0.0,8,6.963107
0.0,12,6.982612
0.0,3,6.987612
0.0,6,6.997612
1.0,16,7.023612
0.0,2,7.027611
0.0,6,7.037611
0.0,6,7.046612
0.0,7,7.352132
1.0,6,7.362134
0.0,13,7.382638
0.0,9,7.397638
0.0,5,7.405638
0.0,6,7.415638
0.0,3,7.421638
0.0,3,7.426638
0.0,12,7.446638
0.0,18,7.474143
0.0,13,7.495145
0.0,3,7.500145
0.0,4,7.507145
0.0,4,7.514145
0.0,4,7.521145
0.0,5,7.529145
0.0,5,7.537145
0.0,7,7.549145
0.0,4,7.555145
0.0,20,7.850665
0.0,10,7.868667
0.0,13,7.890171
0.0,14,7.913172
0.0,2,7.916171
0.0,2,7.920171
0.0,3,7.925171
0.0,6,7.935171
0.0,11,7.953171
0.0,2,7.956171
0.0,9,7.971174
0.0,9,7.985678
0.0,10,8.001678
0.0,13,8.022678
0.0,5,8.334198
0.0,3,8.339199
0.0,2,8.343198
0.0,12,8.3622
0.0,4,8.3692
0.0,7,8.380704
0.0,10,8.396704
0.0,2,8.399704
0.0,7,8.411704
0.0,4,8.417704
0.0,4,8.425704
0.0,11,8.443704
0.0,3,8.448704
0.0,4,8.455704
0.0,12,8.47421
0.0,12,8.494212
0.0,9,8.509212
0.0,12,8.528212
0.0,17,8.770227
0.0,4,8.777731
0.0,5,8.785731
0.0,9,8.800731
0.0,11,8.817731
0.0,16,8.843731
0.0,3,8.848731
0.0,3,8.854731
0.0,3,8.859733
0.0,6,8.869734
0.0,2,8.872733
0.0,4,8.880239
0.0,23,8.917239
0.0,4,8.924239
0.0,7,8.935239
0.0,4,8.942238
0.0,9,8.956239
0.0,6,8.966241
0.0,25,9.349267
0.0,4,9.357267
0.0,8,9.370269
0.0,14,9.391774
0.0,19,9.422774
1.0,9,9.437774
0.0,3,9.442774
0.0,6,9.452774
0.0,3,9.457774
0.0,6,9.467776
0.0,10,9.483281
0.0,5,9.492281
0.0,8,9.505281
0.0,15,9.867804
0.0,5,9.876309
0.0,2,9.880309
0.0,12,9.900309
0.0,8,9.913308
0.0,4,9.920309
0.0,4,9.927309
0.0,2,9.930308
0.0,12,9.951309
0.0,7,9.96231
0.0,9,9.976815
0.0,3,9.981815
0.0,10,9.997815
0.0,13,10.01932
0.0,9,10.034319
0.0,5,10.04232
0.0,11,10.060322
0.0,3,10.066322
0.0,7,10.30684
0.0,4,10.31284
0.0,4,10.31984
0.0,5,10.32884
0.0,8,10.34184
0.0,6,10.35184
0.0,4,10.35784
0.0,7,10.369842
0.0,22,10.405347
0.0,2,10.408347
0.0,6,10.418347
0.0,7,10.430347
1.0,9,10.444347
0.0,7,10.455347
0.0,2,10.459349
0.0,12,10.478853
0.0,2,10.481853
0.0,9,10.496853
0.0,3,10.501853
0.0,9,10.867376
0.0,3,10.872376
0.0,3,10.87788
0.0,13,10.89988
0.0,12,10.91988
0.0,25,10.959882
0.0,13,10.980387
0.0,3,10.985387
0.0,2,10.989387
0.0,4,10.996387
0.0,6,11.006388
0.0,6,11.016387
0.0,12,11.035387
0.0,5,11.044387
0.0,7,11.055387
0.0,3,11.060389
0.0,3,11.066389
0.0,6,11.439414
0.0,3,11.444414
0.0,2,11.448414
0.0,3,11.453414
0.0,5,11.461416
0.0,18,11.490921
0.0,5,11.498921
0.0,4,11.505921
0.0,6,11.516922
0.0,14,11.539921
0.0,2,11.542922
0.0,18,11.571923
0.0,6,11.581428
0.0,3,11.587428
0.0,11,11.604429
0.0,3,11.610428
0.0,4,11.616428
0.0,16,11.642428
0.0,4,11.950948
0.0,23,11.987455
0.0,2,11.991455
0.0,4,11.998456
0.0,6,12.008456
0.0,9,12.023455
0.0,9,12.037456
0.0,10,12.054455
0.0,4,12.061457
0.0,5,12.069458
0.0,10,12.084962
0.0,2,12.088962
0.0,19,12.118962
0.0,24,12.157962
0.0,10,12.541989
0.0,10,12.558989
0.0,4,12.564991
0.0,23,12.601496
0.0,4,12.608496
0.0,14,12.631496
0.0,4,12.637496
0.0,4,12.644496
0.0,7,12.655496
0.0,5,12.664498
0.0,5,12.672498
0.0,3,12.678003
0.0,3,12.684003
0.0,15,12.708003
0.0,13,12.729003
0.0,3,12.734003
0.0,14,13.09203
0.0,11,13.10903
0.0,5,13.11803
0.0,15,13.14203
0.0,4,13.150176
0.0,5,13.157176
0.0,6,13.167178
0.0,5,13.175208
0.0,4,13.182207
0.0,6,13.192206
0.0,4,13.198192
0.0,8,13.212567
0.0,2,13.216567
0.0,2,13.219567
0.0,9,13.234567
0.0,4,13.241567
0.0,3,13.248567
0.0,5,13.257566
0.0,21,13.574091
0.0,4,13.580359
0.0,2,13.584358
0.0,5,13.592358
0.0,4,13.599358
0.0,10,13.615358
0.0,2,13.619358
0.0,3,13.624358
0.0,4,13.631359
0.0,16,13.657359
0.0,4,13.663361
0.0,4,13.67136
0.0,18,13.699708
0.0,2,13.703707
0.0,10,13.719707
0.0,12,13.739707
0.0,12,13.75971
0.0,2,13.76271
1.0,9,13.778214
0.0,7,14.087004
0.0,11,14.105
0.0,3,14.11
0.0,3,14.115
0.0,3,14.12
0.0,13,14.140999
0.0,2,14.144999
0.0,6,14.155
0.0,2,14.158
0.0,11,14.176507
0.0,10,14.192507
0.0,5,14.201507
0.0,9,14.215507
0.0,8,14.228507
0.0,11,14.246507
0.0,2,14.250507
0.0,6,14.260509
0.0,8,14.274509
0.0,10,14.519986
0.0,5,14.527986
0.0,4,14.534986
0.0,6,14.544986
0.0,7,14.555986
0.0,8,14.56899
1.0,9,14.584492
0.0,6,14.593493
0.0,2,14.597492
0.0,5,14.605493
0.0,5,14.614493
0.0,7,14.625493
0.0,3,14.631493
0.0,6,14.641492
0.0,21,14.674495
0.0,10,14.691667
1.0,10,14.709667
0.0,8,14.722667
0.0,5,14.730667
