#{"t_start": 1753263652.0524683, "env_id": "FrozenLake-v1"}
r,l,t
0.0,19,0.022
0.0,4,0.024
0.0,3,0.026
0.0,13,0.034
0.0,2,0.035999
0.0,7,0.04
0.0,8,0.045
0.0,6,0.048
0.0,2,0.049999
0.0,6,0.053
0.0,9,0.059
0.0,9,0.064
0.0,5,0.068
0.0,10,0.074
0.0,3,0.076
0.0,9,0.082
0.0,3,0.084002
0.0,4,0.086002
0.0,15,0.095002
0.0,4,0.097504
0.0,4,0.099506
0.0,2,0.101506
0.0,6,0.104506
0.0,5,0.107506
0.0,17,0.118506
0.0,12,0.126506
0.0,3,0.128506
0.0,4,0.131506
0.0,7,0.137506
0.0,8,0.142506
0.0,11,0.148506
0.0,14,0.157506
0.0,5,0.160506
0.0,4,0.163506
0.0,10,0.170506
0.0,11,0.177506
0.0,10,0.183508
0.0,6,0.188508
0.0,2,0.189508
0.0,8,0.194508
0.0,13,0.204013
0.0,10,0.210013
0.0,8,0.215013
0.0,6,0.219013
0.0,7,0.224013
0.0,8,0.229013
0.0,14,0.238014
0.0,2,0.239013
0.0,6,0.243013
0.0,5,0.246013
0.0,8,0.251013
0.0,2,0.252013
0.0,10,0.259013
0.0,13,0.267013
0.0,4,0.269013
0.0,6,0.273013
0.0,17,0.283015
0.0,9,0.288016
0.0,6,0.292016
0.0,5,0.295016
0.0,3,0.297518
0.0,4,0.29952
0.0,22,0.31252
0.0,16,0.32252
0.0,11,0.32952
0.0,4,0.33152
0.0,2,0.33352
0.0,4,0.33552
0.0,5,0.33852
0.0,2,0.33952
0.0,2,0.34052
0.0,6,0.34452
0.0,23,0.358521
1.0,21,0.37252
0.0,8,0.37852
1.0,19,0.390522
0.0,2,0.391522
0.0,5,0.394522
0.0,2,0.396522
0.0,3,0.397522
0.0,5,0.400877
0.0,9,0.406877
0.0,9,0.411877
0.0,9,0.417877
0.0,3,0.419877
0.0,4,0.422877
0.0,6,0.426877
0.0,7,0.430877
0.0,2,0.432877
0.0,6,0.435878
0.0,2,0.437877
0.0,16,0.447877
0.0,2,0.448877
0.0,3,0.450877
0.0,7,0.455877
0.0,3,0.457877
0.0,21,0.470877
0.0,2,0.472877
0.0,6,0.476877
0.0,9,0.48288
0.0,9,0.488879
0.0,39,0.511384
0.0,14,0.520384
0.0,4,0.523383
0.0,9,0.529384
0.0,5,0.533384
0.0,16,0.543384
0.0,5,0.546384
0.0,12,0.554384
0.0,5,0.558384
0.0,4,0.561384
0.0,22,0.574384
0.0,4,0.576384
0.0,4,0.579384
0.0,6,0.583386
0.0,3,0.585386
0.0,5,0.588386
0.0,5,0.592386
0.0,4,0.595386
0.0,13,0.603891
0.0,7,0.608891
0.0,2,0.609891
0.0,3,0.611891
0.0,12,0.620891
0.0,10,0.627891
0.0,4,0.62989
0.0,12,0.637891
0.0,6,0.641891
0.0,9,0.647891
0.0,15,0.656891
0.0,7,0.660891
0.0,6,0.664891
0.0,9,0.669891
0.0,7,0.673891
0.0,5,0.677891
0.0,3,0.679891
0.0,12,0.687893
0.0,2,0.688893
0.0,16,0.699398
0.0,2,0.700398
0.0,15,0.710398
0.0,31,0.730398
0.0,3,0.732398
0.0,16,0.742398
0.0,10,0.749398
0.0,2,0.751397
0.0,3,0.753398
0.0,7,0.757398
0.0,2,0.758398
0.0,4,0.760398
0.0,2,0.762398
0.0,17,0.773398
0.0,2,0.774398
0.0,20,0.7874
0.0,6,0.790401
0.0,3,0.792401
0.0,16,0.804905
0.0,8,0.809906
0.0,8,0.814905
0.0,9,0.820905
0.0,6,0.824906
0.0,19,0.836905
0.0,7,0.841905
0.0,7,0.845906
0.0,8,0.850905
0.0,2,0.852906
0.0,3,0.854906
0.0,3,0.856906
0.0,2,0.858906
0.0,4,0.860905
0.0,34,0.882908
0.0,8,0.888907
0.0,2,0.889907
0.0,10,0.895907
0.0,3,0.897409
0.0,3,0.900411
0.0,8,0.905411
0.0,6,0.909411
0.0,4,0.912411
0.0,5,0.915411
0.0,16,0.925412
0.0,2,0.926412
0.0,20,0.938411
0.0,12,0.945411
0.0,2,0.946411
0.0,4,0.948411
0.0,4,0.951411
0.0,2,0.952411
0.0,5,0.955411
0.0,2,0.956412
0.0,5,0.959411
0.0,4,0.961411
0.0,3,0.963411
0.0,13,0.971411
0.0,3,0.973412
0.0,20,0.985414
0.0,15,0.994414
0.0,16,1.004919
0.0,18,1.016919
1.0,9,1.021919
0.0,4,1.024919
0.0,3,1.026919
0.0,2,1.027919
0.0,5,1.030919
0.0,12,1.038918
0.0,6,1.041919
0.0,6,1.044919
0.0,7,1.049919
0.0,5,1.053919
0.0,2,1.054919
0.0,4,1.057919
0.0,5,1.060919
0.0,6,1.064919
0.0,3,1.066919
0.0,4,1.068919
0.0,2,1.069919
0.0,12,1.076919
0.0,5,1.079919
0.0,2,1.081919
0.0,4,1.083921
0.0,4,1.085921
0.0,3,1.087921
0.0,4,1.090921
0.0,6,1.094921
0.0,5,1.098426
0.0,29,1.114425
0.0,23,1.128425
0.0,7,1.132425
0.0,7,1.136425
0.0,7,1.140425
0.0,3,1.141425
0.0,8,1.146425
0.0,3,1.148425
0.0,2,1.150425
0.0,4,1.152425
0.0,5,1.155425
0.0,3,1.157425
0.0,5,1.160426
0.0,4,1.165425
0.0,8,1.170425
0.0,21,1.184428
0.0,2,1.186427
0.0,37,1.209548
0.0,2,1.210547
0.0,7,1.214547
0.0,5,1.217547
1.0,18,1.229548
0.0,14,1.238548
0.0,6,1.241547
0.0,4,1.244548
0.0,3,1.245548
0.0,20,1.257547
0.0,22,1.270548
0.0,4,1.272547
0.0,5,1.275548
0.0,33,1.29655
0.0,4,1.299055
0.0,8,1.304055
0.0,4,1.307055
0.0,5,1.310055
0.0,9,2.693779
0.0,11,2.701284
0.0,6,2.704283
0.0,3,2.706285
0.0,2,2.708286
0.0,2,2.709284
0.0,4,2.712284
0.0,9,2.718287
0.0,2,2.719284
0.0,5,2.722284
0.0,4,2.725284
0.0,4,2.728284
0.0,4,2.731284
0.0,19,2.742284
0.0,4,2.744284
0.0,3,2.746284
0.0,3,2.748284
0.0,3,2.750284
0.0,2,2.751284
0.0,27,2.768284
0.0,7,2.772284
0.0,9,2.778284
0.0,6,2.782284
0.0,4,2.784287
0.0,10,2.790287
0.0,11,2.796286
0.0,2,2.797789
0.0,16,2.806791
0.0,6,2.810791
0.0,10,2.816791
0.0,5,2.820791
0.0,16,2.830791
0.0,5,2.833791
0.0,13,2.841791
0.0,19,2.852792
0.0,11,2.859791
0.0,6,2.863791
0.0,8,2.868791
0.0,6,2.871792
0.0,16,2.881791
0.0,9,2.886793
0.0,18,2.898297
0.0,12,2.906299
0.0,6,2.909299
0.0,17,2.920299
0.0,8,2.9253
0.0,11,2.933299
0.0,6,2.937299
0.0,11,2.944299
0.0,16,2.955299
0.0,5,2.958299
0.0,7,2.962299
0.0,4,2.964299
0.0,3,2.966299
0.0,8,2.971299
0.0,7,2.975299
0.0,14,2.983301
0.0,3,2.985301
0.0,7,2.989301
0.0,23,3.003806
0.0,6,3.007806
0.0,2,3.008806
0.0,13,3.017806
0.0,4,3.020806
0.0,21,3.032806
0.0,2,3.034806
0.0,11,3.043806
0.0,9,3.049806
0.0,4,3.051806
0.0,15,3.061806
0.0,3,3.063806
0.0,5,3.066806
0.0,10,3.072806
0.0,3,3.075806
0.0,5,3.078806
0.0,5,3.082806
0.0,8,3.087808
0.0,7,3.092808
0.0,10,3.099046
0.0,5,3.102046
0.0,6,3.106046
0.0,6,3.109046
0.0,5,3.113046
0.0,3,3.115047
0.0,4,3.118046
0.0,4,3.120047
1.0,13,3.129046
0.0,8,3.134046
0.0,2,3.135046
0.0,10,3.141047
0.0,8,3.146046
0.0,7,3.150046
0.0,3,3.152046
0.0,7,3.157047
0.0,4,3.159047
0.0,7,3.164054
0.0,3,3.166046
0.0,8,3.171046
0.0,4,3.174047
0.0,12,3.182047
0.0,12,3.190049
0.0,7,3.195049
0.0,24,3.211522
0.0,4,3.213521
0.0,7,3.217522
0.0,10,3.223522
0.0,4,3.226521
0.0,5,3.228522
0.0,9,3.234522
0.0,13,3.241521
0.0,2,3.243522
0.0,3,3.245522
0.0,3,3.246521
0.0,6,3.250521
0.0,11,3.256521
0.0,12,3.264521
0.0,6,3.268522
0.0,5,3.272521
0.0,11,3.279521
0.0,15,3.289524
0.0,8,3.294523
0.0,15,3.304028
0.0,2,3.306028
0.0,3,3.308028
0.0,2,3.309028
0.0,5,3.313028
1.0,21,3.326028
0.0,2,3.327028
0.0,8,3.332028
0.0,4,3.334028
0.0,22,3.348028
0.0,13,3.357028
0.0,6,3.361028
0.0,12,3.368028
0.0,9,3.373028
0.0,8,3.378028
0.0,19,3.39003
0.0,13,3.39803
0.0,10,3.405313
0.0,12,3.413313
0.0,2,3.414313
