#{"t_start": 1753261838.5099359, "env_id": "LunarLander-v3"}
r,l,t
-126.286961,122,0.216013
-148.297048,74,1.459602
-196.136212,80,2.422672
-73.538178,58,2.519179
-87.326029,71,3.335233
-80.213924,116,4.662332
-157.641065,60,4.761839
-195.972725,57,4.855347
-76.650099,112,5.810418
-133.155805,96,7.179125
-368.282356,84,8.166193
-201.30666,70,8.283702
-447.298279,98,9.232258
-223.25913,90,10.30379
-364.399621,81,10.439299
-471.274457,131,11.635443
-73.649174,67,12.742437
-136.92072,92,13.784507
-169.549189,118,15.167599
-68.694409,67,15.279105
-184.949505,107,16.301682
-316.437336,72,17.261748
-173.645698,85,17.402761
-97.152277,121,18.550335
-281.675594,94,19.740955
-385.343671,115,20.95513
-348.776004,96,22.206396
-250.947799,95,22.364902
-214.092943,117,23.547988
-279.986857,113,24.626091
-207.992176,113,25.755265
-336.89178,90,26.829432
-150.491544,61,26.932939
-256.348112,137,27.884502
-121.036928,91,28.77557
-38.088335,142,29.820152
-126.117748,90,30.793717
-247.674192,104,32.043305
-210.107979,80,32.17881
-60.223665,63,32.953367
-346.008055,111,34.294955
-236.397955,77,34.422966
-367.819569,92,35.30753
-15.035197,132,36.490112
-87.008706,65,36.599122
-242.789213,96,37.480687
-424.02644,83,38.391257
-182.027041,106,39.691846
-234.758468,125,41.140956
-138.741856,92,41.295463
-76.218042,75,42.272542
-107.54715,89,43.321116
-44.082052,65,43.430621
-105.284195,87,44.400781
-271.716196,159,45.674371
-108.758573,81,46.643439
-103.368381,91,46.794947
-75.614723,94,47.896517
-414.06569,79,48.837081
-51.113025,158,50.225211
-252.096272,94,51.215274
-288.9642,110,52.506447
-179.812249,86,52.650954
-340.076304,187,53.971042
-360.006471,90,54.120056
-272.534543,107,55.30715
-413.411393,113,56.49672
-155.405365,110,57.524792
-472.100965,113,58.581858
-206.259446,116,59.884439
-391.928559,88,60.033451
-57.168424,86,61.261033
-99.503406,77,62.197592
-407.99172,135,63.550676
-138.517851,122,64.879768
-181.310852,103,65.052787
-78.240402,66,65.994347
-136.385523,113,67.043914
-404.170242,97,68.048977
-322.835997,122,69.30056
-304.231832,103,69.472571
-302.852262,92,70.730683
-209.410959,113,71.808269
-187.547499,108,72.84084
-85.19091,95,73.945427
-203.964739,150,75.539044
-90.317815,110,76.820137
-104.753963,64,76.928644
-363.397587,130,77.891205
-134.669306,130,78.799768
-147.787946,67,79.891613
-450.698255,101,80.059623
-107.839206,61,81.223204
-184.648252,90,82.220271
-415.004824,89,82.369777
-369.084695,98,83.598863
-225.275038,70,84.579924
-200.833864,128,85.879012
-130.683034,90,86.029024
-86.239248,88,87.140194
-568.163626,150,88.264766
-470.342051,95,89.456352
-150.447008,118,90.446285
-552.268698,105,91.460351
-190.290147,82,91.595861
-84.806787,69,92.763942
-151.891827,84,93.834028
-372.306901,83,93.973535
-443.811201,96,95.200621
-606.208434,102,96.256198
-71.779181,102,97.391289
-403.82058,113,97.584303
-68.838206,79,99.039949
-327.412053,77,100.000521
-142.955277,101,100.169533
-420.688812,104,101.380132
-457.274523,124,102.427268
-302.575827,121,103.697364
-232.562267,65,104.514929
-219.420344,111,105.869629
-285.152889,135,107.255275
-376.986562,114,107.444289
-311.049746,108,108.760881
-223.523374,102,109.982041
-374.286196,98,110.902604
-308.242905,84,112.058685
-187.006497,160,113.661303
-130.075549,67,113.77381
-64.536418,68,114.68938
