#{"t_start": 1753259787.9882114, "env_id": "LunarLander-v3"}
r,l,t
-377.809454,96,0.169528
-218.098581,104,1.196595
-134.6949,82,2.235666
-173.621207,89,2.380677
-130.592205,99,3.531901
-121.545069,96,4.536481
-264.030882,85,5.552765
-333.046182,114,5.740276
-115.859971,69,7.125368
-82.960626,78,8.081438
-102.973148,79,8.211943
-202.840598,128,9.292519
-220.014853,111,10.449095
-136.948512,76,11.49967
-104.709217,79,11.629176
-85.287999,123,12.617243
-263.847089,81,13.881449
31.256718,82,14.900126
-190.723883,94,15.06014
-214.702492,64,16.31874
-177.447311,90,16.466754
-93.374818,83,17.736834
-276.492885,74,18.723901
-188.069976,87,18.867914
-138.842065,97,20.007487
-294.778947,109,21.079058
-259.884929,123,22.103138
-90.144801,66,22.211646
-193.603685,188,23.526237
-102.725083,67,23.636744
-212.855422,102,24.610816
-93.860224,109,25.984911
-229.116786,131,27.130489
-217.11628,77,28.150561
-256.22408,74,28.272574
-101.409752,90,29.334647
-164.131267,78,30.284716
-338.677015,113,31.4013
-135.659185,72,31.520806
-192.04051,98,32.501874
-259.908452,132,33.515942
-284.670425,138,34.656022
-77.476395,81,35.605584
-212.433809,103,35.773597
-142.182156,100,37.011679
-154.098522,89,37.843735
-90.678865,97,38.78576
-94.946914,72,38.901265
-193.622403,145,39.911051
-235.610392,92,41.332668
-208.256076,108,42.390161
-117.055325,93,43.243216
-107.690063,77,43.369228
-107.811946,86,44.399295
16.323059,75,44.522801
-134.940457,109,45.554374
-493.531496,109,46.780457
-40.361817,93,47.718018
-185.752543,152,48.9241
-61.083334,63,49.87417
-128.764341,103,50.04468
-493.439097,107,51.355772
-457.760522,95,52.565854
-195.92472,94,53.548416
-93.767545,101,53.713427
-539.540321,114,54.989231
-133.296776,91,56.190963
-108.965012,65,57.250032
-157.735509,100,57.411044
-218.847485,81,58.581081
-95.040122,82,59.546588
-89.697827,105,59.717599
-173.006684,85,61.115603
-223.70844,125,62.259108
-172.88345,125,63.28405
-409.803789,85,64.249488
-97.64127,78,64.377499
-60.59457,69,65.280071
-148.566579,109,66.412582
-297.615934,76,66.535089
-281.479701,69,67.474825
-188.928519,97,68.546894
-151.683524,80,68.676904
-156.721395,83,69.533844
-162.023873,78,70.505914
-152.173858,89,70.649422
-215.246713,75,71.59149
-108.831266,114,72.732064
-168.565538,83,72.866076
-502.473067,100,73.830637
-67.206933,67,74.756201
-415.267769,107,74.930212
-196.574331,116,76.243595
-270.95818,82,77.624686
-116.738058,104,78.627756
-193.6422,100,79.594819
-426.725718,105,79.767832
-121.365855,107,81.035303
-193.54432,105,82.035369
-134.054804,119,83.114942
-285.278563,99,84.067022
-145.400188,119,85.085088
-116.603427,97,85.242597
-368.726498,88,86.408277
-283.250671,86,87.323384
-317.982357,88,88.225951
-40.514662,65,88.332457
-48.414021,86,89.271523
-76.406708,59,89.370031
-114.513791,140,90.216349
-159.952432,65,91.300932
-242.186242,78,91.428063
-134.921884,92,92.452804
-152.037688,112,93.598396
-117.495131,85,94.537966
-81.693069,80,94.67298
-110.477194,65,95.611542
-141.351191,89,95.755051
-84.821803,57,96.777626
-112.574493,77,97.659803
-271.359254,106,97.83531
-339.692436,90,99.054394
-397.371928,104,100.116903
-142.210946,64,100.219395
-378.677306,102,101.114899
-102.543673,64,102.094894
-335.420086,111,103.26989
-129.026592,86,103.409271
-139.440837,105,104.526843
-237.266348,103,105.528883
-53.564176,74,105.651376
-55.048598,69,106.582877
-108.137166,87,107.55037
-83.764985,75,107.674367
-47.559961,97,108.59236
-333.301222,156,109.649362
-121.089936,73,110.756865
-148.871025,86,110.899862
-84.973758,88,111.967852
-247.174541,100,112.930348
